date,open,high,low,close,volume,value,board
2001-10-31,379.0,379.0,366.0,366.01,1200,452244.5,EQBR
2001-11-01,371.99,378.66,371.99,378.45,7725,2911531.31,EQBR
2001-11-02,380.01,382.0,362.0,365.0,22386,8316992.72,EQBR
2001-11-05,364.0,373.5,358.0,365.0,44998,16549461.02,EQBR
2001-11-06,370.01,370.01,350.0,355.0,10208,3644192.73,EQBR
2001-11-08,349.0,383.4,345.0,383.4,45955,16668461.71,EQBR
2001-11-09,380.0,400.0,372.5,390.0,33365,13016963.99,EQBR
2001-11-12,400.0,405.0,371.0,384.0,31203,12369587.48,EQBR
2001-11-13,390.5,445.0,390.0,440.0,57191,24310829.41,EQBR
2001-11-14,455.0,463.5,425.5,440.0,47396,21046338.27,EQBR
2001-11-15,430.0,440.0,416.0,419.0,27891,11957533.37,EQBR
2001-11-16,413.0,427.0,413.0,423.0,8309,3491004.44,EQBR
2001-11-19,422.0,447.0,420.0,433.0,13537,5959577.88,EQBR
2001-11-20,440.0,450.0,435.02,444.0,16228,7200161.98,EQBR
2001-11-21,447.0,457.57,443.0,457.0,19953,9039794.12,EQBR
2001-11-22,454.5,474.4,454.5,473.0,43176,20146535.65,EQBR
2001-11-23,479.9,483.0,452.0,474.0,22762,10646425.64,EQBR
2001-11-26,479.8,495.0,479.0,491.0,21159,10337696.68,EQBR
2001-11-27,499.0,502.9,487.5,502.0,28041,13928737.47,EQBR
2001-11-28,495.0,496.0,472.03,478.8,19974,9652609.23,EQBR
2001-11-29,478.5,478.5,460.0,467.0,16015,7456317.66,EQBR
2001-11-30,480.0,485.0,461.0,468.95,8576,4016699.04,EQBR
2001-12-03,456.0,474.0,456.0,458.0,18062,8354963.22,EQBR
2001-12-04,471.0,480.99,456.0,480.5,32733,15398615.72,EQBR
2001-12-05,480.0,481.99,470.0,479.0,15604,7446051.57,EQBR
2001-12-06,481.0,498.8,481.0,490.0,22448,11012406.8,EQBR
2001-12-07,490.0,494.0,482.1,491.23,15805,7721612.68,EQBR
2001-12-10,497.0,498.0,493.0,495.5,11677,5786070.4,EQBR
2001-12-11,495.0,511.0,495.0,508.5,60850,30851654.77,EQBR
2001-12-13,510.4,513.0,478.0,480.0,40633,20222904.63,EQBR
2001-12-14,484.0,484.0,473.0,483.0,17569,8394887.0,EQBR
2001-12-17,485.0,491.5,480.0,491.5,11470,5594946.29,EQBR
2001-12-18,490.0,494.9,486.05,493.2,11665,5731610.68,EQBR
2001-12-19,491.0,504.0,488.0,502.2,39522,19754333.53,EQBR
2001-12-20,501.0,518.0,496.01,507.0,55614,28431185.82,EQBR
2001-12-21,501.0,508.0,493.5,502.94,28774,14384104.35,EQBR
2001-12-24,506.0,510.4,503.16,506.0,25114,12749415.33,EQBR
2001-12-25,505.0,509.0,496.0,498.35,10788,5393689.51,EQBR
2001-12-26,499.0,499.0,493.0,496.0,11831,5867754.29,EQBR
2001-12-27,500.0,503.5,495.0,500.0,12606,6301702.69,EQBR
2001-12-28,503.0,515.0,503.0,512.5,36760,18691798.86,EQBR
2001-12-29,512.99,515.0,509.0,512.89,12892,6589954.49,EQBR
2002-01-03,515.2,537.0,515.2,535.0,28318,15039398.04,EQBR
2002-01-04,546.0,563.0,535.0,560.0,31103,17127416.72,EQBR
2002-01-08,565.5,598.0,565.5,582.0,26814,15651684.87,EQBR
2002-01-09,579.5,581.0,556.1,561.0,46006,26293108.13,EQBR
2002-01-10,572.39,572.39,545.0,546.0,21614,11970438.47,EQBR
2002-01-11,540.0,552.0,535.0,550.59,15518,8488536.91,EQBR
2002-01-14,540.1,545.0,510.5,512.0,71515,37378539.91,EQBR
2002-01-15,502.0,520.0,500.0,520.0,46686,23960348.8,EQBR
2002-01-16,520.0,522.0,505.0,508.0,20029,10308912.71,EQBR
2002-01-17,510.0,520.0,506.0,518.0,29372,15140671.03,EQBR
2002-01-18,520.0,522.1,499.0,505.1,52316,26519245.54,EQBR
2002-01-21,509.0,509.0,499.0,503.9,42917,21549543.37,EQBR
2002-01-22,503.0,514.9,501.05,509.99,97829,49972224.26,EQBR
2002-01-23,510.5,510.5,491.0,494.0,68771,34325047.19,EQBR
2002-01-24,493.0,493.0,461.0,464.0,92773,44287861.23,EQBR
2002-01-25,471.0,472.9,456.2,460.5,42473,19689867.25,EQBR
2002-01-28,465.9,474.49,463.01,469.75,49287,23099014.84,EQBR
2002-01-29,474.99,500.0,470.0,493.1,126220,61346935.92,EQBR
2002-01-30,484.98,487.39,471.01,477.0,183469,87900897.38,EQBR
2002-01-31,485.0,498.7,482.0,498.0,50346,24711008.25,EQBR
2002-02-01,503.0,513.45,499.0,505.0,124454,63049863.49,EQBR
2002-02-04,501.05,502.0,496.11,502.0,58575,29292946.39,EQBR
2002-02-05,493.5,496.5,488.0,491.65,33076,16293791.61,EQBR
2002-02-06,498.65,508.0,496.0,505.0,47007,23552821.33,EQBR
2002-02-07,504.04,534.0,500.1,528.9,167403,87696481.1,EQBR
2002-02-08,533.0,557.0,533.0,537.0,235884,128510440.82,EQBR
2002-02-11,541.03,550.0,537.05,540.0,81276,43990782.95,EQBR
2002-02-12,531.25,549.0,531.25,544.3,64070,34926453.58,EQBR
2002-02-13,533.49,547.0,533.49,543.9,34601,18731786.43,EQBR
2002-02-14,539.0,544.6,534.5,540.0,40175,21704923.2,EQBR
2002-02-15,542.5,542.5,536.11,536.5,108148,58454104.19,EQBR
2002-02-18,534.1,549.0,534.1,546.1,62269,33766911.03,EQBR
2002-02-19,548.5,562.99,544.3,549.5,99252,55290297.37,EQBR
2002-02-20,540.1,547.0,538.0,543.0,59013,31922807.9,EQBR
2002-02-21,505.5,564.0,505.5,559.94,76905,42622555.07,EQBR
2002-02-22,555.61,596.5,555.61,590.0,165352,96265689.49,EQBR
2002-02-26,599.5,623.0,599.0,608.9,154994,94611566.45,EQBR
2002-02-27,570.5,615.0,570.5,602.0,112961,68178560.9,EQBR
2002-02-28,605.0,617.0,595.5,608.5,73628,44647427.57,EQBR
2002-03-01,609.99,632.9,609.98,619.0,173438,108208703.55,EQBR
2002-03-04,627.0,634.9,615.0,619.02,101949,63693809.16,EQBR
2002-03-05,622.0,626.99,600.0,611.1,43745,26973449.85,EQBR
2002-03-06,605.0,618.0,604.0,614.5,100636,61462985.68,EQBR
2002-03-07,619.8,635.0,617.3,628.0,43303,27184763.24,EQBR
2002-03-11,623.51,633.0,618.0,621.0,46835,29374679.0,EQBR
2002-03-12,620.0,626.5,615.0,620.0,27321,16978908.39,EQBR
2002-03-13,618.53,637.0,618.53,629.5,68756,43330641.49,EQBR
2002-03-14,631.0,642.0,629.3,639.0,77701,49428332.67,EQBR
2002-03-15,641.95,656.0,641.5,655.0,79330,51466457.33,EQBR
2002-03-18,656.55,670.8,652.2,670.7,32535,21602943.73,EQBR
2002-03-19,672.0,688.0,665.5,679.0,72825,49376086.68,EQBR
2002-03-20,678.49,678.49,653.55,658.9,76822,50979371.32,EQBR
2002-03-21,660.0,682.9,657.1,679.3,67558,45496510.85,EQBR
2002-03-22,678.5,685.0,675.0,679.0,51258,34847083.16,EQBR
2002-03-25,675.0,695.0,662.0,667.0,78761,53834898.75,EQBR
2002-03-26,524.0,672.5,524.0,665.0,47570,31606995.52,EQBR
2002-03-27,665.01,675.0,659.93,661.0,31127,20721027.81,EQBR
2002-03-28,663.0,682.0,662.1,681.4,63158,42517817.98,EQBR
2002-03-29,684.9,685.0,675.01,678.0,44657,30329460.56,EQBR
2002-04-01,681.0,681.0,674.0,676.0,16319,11046275.3,EQBR
2002-04-02,676.0,678.0,666.66,667.02,31982,21488089.51,EQBR
2002-04-03,666.1,668.0,645.0,654.25,60391,39496712.03,EQBR
2002-04-04,605.25,658.0,605.25,650.5,117686,76046403.52,EQBR
2002-04-05,600.01,653.0,600.01,648.25,36815,23930165.85,EQBR
2002-04-08,643.03,660.0,643.0,651.0,33667,21964180.66,EQBR
2002-04-09,603.5,661.0,603.5,655.07,57915,38072976.88,EQBR
2002-04-10,654.9,673.0,648.0,672.0,61713,40606424.49,EQBR
2002-04-11,667.0,682.0,660.15,680.0,85008,57197262.38,EQBR
2002-04-12,672.0,682.0,665.3,674.0,35703,24067138.05,EQBR
2002-04-15,676.5,687.0,672.7,684.0,48869,33376598.87,EQBR
2002-04-16,695.0,708.0,692.0,698.0,90445,63383727.09,EQBR
2002-04-17,701.0,718.49,700.15,713.95,63940,45331574.38,EQBR
2002-04-18,717.0,750.0,713.0,719.0,164617,119388189.24,EQBR
2002-04-19,665.75,780.0,665.75,779.9,279320,209546710.09,EQBR
2002-04-22,709.0,793.98,709.0,764.0,97693,76003901.66,EQBR
2002-04-23,759.95,775.0,750.0,762.0,169159,129268243.02,EQBR
2002-04-24,710.0,766.0,710.0,739.0,76699,57518962.5,EQBR
2002-04-25,697.0,746.0,697.0,735.0,102413,75281978.31,EQBR
2002-04-26,773.0,773.0,730.01,740.0,69776,51543493.11,EQBR
2002-04-27,730.0,744.0,730.0,740.0,18159,13414088.24,EQBR
2002-04-29,740.0,749.0,735.0,747.0,51420,38336879.7,EQBR
2002-04-30,748.0,748.48,728.0,735.0,60506,44767365.21,EQBR
2002-05-06,735.0,738.0,726.04,729.98,10971,8020745.92,EQBR
2002-05-07,727.27,727.99,696.0,699.0,84445,59548302.71,EQBR
2002-05-08,709.5,724.0,702.0,717.0,22213,15882063.99,EQBR
2002-05-13,713.0,716.0,689.01,692.0,57496,40015617.95,EQBR
2002-05-14,703.0,721.0,693.04,720.4,94873,67468295.9,EQBR
2002-05-15,664.5,734.0,664.5,715.0,117622,85130096.22,EQBR
2002-05-16,714.51,723.89,709.0,720.0,65888,47297171.74,EQBR
2002-05-17,720.18,727.5,714.0,722.0,165656,119538854.87,EQBR
2002-05-18,727.11,743.0,721.02,738.36,104193,76856581.72,EQBR
2002-05-20,739.0,750.5,732.0,734.0,114259,84789059.52,EQBR
2002-05-21,732.0,742.39,731.15,735.01,65077,47993599.85,EQBR
2002-05-22,735.0,735.0,716.0,719.0,83638,60674404.4,EQBR
2002-05-23,725.0,730.0,716.0,718.0,55854,40355047.13,EQBR
2002-05-24,720.53,725.0,714.01,723.0,75779,54532257.91,EQBR
2002-05-27,600.5,742.98,600.5,742.98,82450,60613677.26,EQBR
2002-05-28,744.69,753.0,716.51,717.25,86520,63246227.07,EQBR
2002-05-29,718.01,724.85,710.01,721.8,75888,54468342.96,EQBR
2002-05-30,728.0,737.0,710.0,718.51,83710,60701584.71,EQBR
2002-05-31,717.5,729.0,710.1,728.0,52850,38045167.68,EQBR
2002-06-03,729.9,738.5,722.01,724.0,51563,37700802.14,EQBR
2002-06-04,715.0,722.95,705.1,715.99,54676,39063350.92,EQBR
2002-06-05,727.0,735.0,710.0,716.2,81690,58878802.67,EQBR
2002-06-06,716.0,731.99,716.0,722.0,71022,51462343.64,EQBR
2002-06-07,720.0,723.0,710.1,720.01,29880,21424938.6,EQBR
2002-06-10,720.0,731.99,718.0,723.0,42066,30535871.99,EQBR
2002-06-11,722.0,730.79,720.0,728.0,34053,24742730.77,EQBR
2002-06-13,726.0,732.3,723.0,723.1,46984,34138971.35,EQBR
2002-06-14,727.98,727.98,695.0,707.0,46409,33037748.35,EQBR
2002-06-17,710.0,710.0,680.0,683.0,51614,35512971.28,EQBR
2002-06-18,691.0,691.9,642.0,649.4,49575,32854528.27,EQBR
2002-06-19,648.0,648.0,623.25,631.0,37170,23580594.11,EQBR
2002-06-20,630.0,646.0,603.0,607.9,72965,45595300.08,EQBR
2002-06-21,602.0,611.0,577.11,607.0,64301,38252744.73,EQBR
2002-06-24,604.75,614.98,594.0,599.0,34264,20593849.41,EQBR
2002-06-25,610.0,637.0,602.5,636.99,83409,51813520.85,EQBR
2002-06-26,617.25,624.85,600.25,617.0,59875,36827312.69,EQBR
2002-06-27,626.0,658.0,621.11,656.0,79608,51011560.35,EQBR
2002-06-28,660.0,670.0,646.16,658.0,44218,29029523.14,EQBR
2002-07-01,660.0,671.99,648.0,671.99,87528,57313051.14,EQBR
2002-07-02,660.25,674.99,653.0,655.5,41063,27206145.44,EQBR
2002-07-03,659.8,669.89,645.0,668.0,55986,36754750.9,EQBR
2002-07-04,670.0,681.0,668.01,679.0,34189,23138126.8,EQBR
2002-07-05,677.02,696.79,677.02,692.0,36263,24980723.58,EQBR
2002-07-08,695.0,699.0,671.02,695.0,30424,21015901.7,EQBR
2002-07-09,682.63,707.75,682.63,707.75,51126,35934055.27,EQBR
2002-07-10,695.05,711.0,695.05,705.0,35919,25388548.69,EQBR
2002-07-11,700.0,700.0,682.0,685.0,80541,55744768.1,EQBR
2002-07-12,696.0,700.0,682.0,686.0,54085,37534555.37,EQBR
2002-07-15,689.98,690.5,670.15,684.0,28442,19457523.39,EQBR
