date,open,high,low,close,volume,value,board
2008-11-20,25.4,26.99,23.232,24.4,10497,259133.14,EQNL
2008-11-21,24.9,25,23.5,24.936,6493,158260.03,EQNL
2008-11-24,26.122,26.184,23.501,25.0,53283,1329581.37,EQNL
2008-11-25,25,25,24,24.6,13477,333377.39,EQNL
2008-11-26,25.7,25.7,22.8,23.0,25822,607011.01,EQNL
2008-11-27,24,24.539,23.135,24.0,17728,424135.27,EQNL
2008-11-28,24.5,25.99,23.999,24.7,14602,367820.14,EQNL
2008-12-01,25,25,23.3,24.012,7960,192422.25,EQNL
2008-12-02,23.5,23.5,23,23.49,18115,422105.64,EQNL
2008-12-03,24,24,23.45,23.7,5704,134243.17,EQNL
2008-12-04,25,25,23.3,23.996,8444,202849.16,EQNL
2008-12-05,23.5,23.5,22.901,23.449,11189,258363.67,EQNL
2008-12-08,24,24.24,23.5,24.0,45294,1082759.67,EQNL
2008-12-09,24,24,23.5,23.83,6380,151360.69,EQNL
2008-12-10,23.761,23.85,22.5,23.0,23099,532277.61,EQNL
2008-12-11,23.1,29.894,23.05,29.894,371567,10181345.53,EQNL
2008-12-15,32.565,38,29,30.8,285407,9435936.79,EQNL
2008-12-16,31.5,34.1,29.21,31.5,161026,5127742.56,EQNL
2008-12-17,31.512,31.836,29.5,29.512,93933,2855566.75,EQNL
2008-12-18,29.997,31,26.05,29.0,49702,1417106.58,EQNL
2008-12-19,28.75,29.494,26.436,28.802,57331,1650205.57,EQNL
2008-12-22,28.5,29.1,27.251,27.711,14122,397571.99,EQNL
2008-12-23,27.201,28.5,27.15,28.1,8273,229692.96,EQNL
2008-12-24,23.85,28.01,23.85,27.005,14182,384351.75,EQNL
2008-12-25,27.005,28,26.22,27.426,13028,351818.38,EQNL
2008-12-26,26.895,32.898,26.1,30.001,248259,7634301.1,EQNL
2008-12-29,28.005,31.3,27.2,27.52,68228,1965570.2,EQNL
2008-12-30,27.979,28.799,27.11,28.26,56189,1548474.92,EQNL
2008-12-31,27.508,28.49,27.12,27.8,14271,397386.97,EQNL
2009-01-11,27.979,28.27,27.3,27.99,15842,440827.67,EQNL
2009-01-12,28.005,31.9,28,30.081,116206,3443914.59,EQNL
2009-01-13,29.89,33.48,29.79,31.099,278632,8819288.33,EQNL
2009-01-14,31.215,32.48,28.41,28.767,86845,2662412.03,EQNL
2009-01-15,28.7,29.5,27.87,28.33,40576,1160863.76,EQNL
2009-01-16,28.825,30.896,28.207,29.681,83879,2486780.7,EQNL
2009-01-19,30,30.2,28.24,28.75,37993,1105915.7,EQNL
2009-01-20,29.114,30.25,28.55,29.299,56610,1645276.64,EQNL
2009-01-21,28.551,28.99,28.047,28.8,16053,459153.66,EQNL
2009-01-22,29,29.402,27,27.978,24744,705274.12,EQNL
2009-01-23,28,28.309,26.05,26.501,9449,253027.61,EQNL
2009-01-26,26.6,28.255,26.5,27.5,14432,396305.97,EQNL
2009-01-27,28,29,27.05,27.599,87884,2416496.73,EQNL
2009-01-28,27.701,28.8,27.03,27.823,43327,1205788.79,EQNL
2009-01-29,27.428,27.87,26.901,27.1,27419,750125.6,EQNL
2009-01-30,26.99,27.5,26.886,27.001,74630,2017000.69,EQNL
2009-02-02,26.992,26.992,26.3,26.74,10917,289864.27,EQNL
2009-02-03,26.875,27.596,26.501,26.57,16885,455480.37,EQNL
2009-02-04,27.7,28.897,26.887,27.6,81015,2238162.89,EQNL
2009-02-05,27.5,27.5,27.011,27.22,28059,766333.48,EQNL
2009-02-06,27.272,28.776,27.25,28.5,82217,2330693.13,EQNL
2009-02-09,30.503,37.2,28.49,33.4,352189,11915192.62,EQNL
2009-02-10,34.747,34.98,32.556,33.4,98922,3347687.38,EQNL
2009-02-11,33.19,33.19,31,31.5,116070,3728968.92,EQNL
2009-02-12,31.995,33,31.126,31.999,56256,1821173.53,EQNL
2009-02-13,32.478,35.75,32.408,34.188,94056,3210801.6,EQNL
2009-02-16,34.308,36.4,32.5,32.95,52247,1772709.97,EQNL
