date,open,high,low,close,volume,value,board
2012-10-31,17.001,19,17.001,19.0,3400,61968.7,EQDE
2012-11-01,19,20,18.1,19.8,22400,440890,EQDE
2012-11-02,19.9,20.25,19.5,20.25,18200,363090.1,EQDE
2012-11-06,19.801,20.401,19.5,20.401,23500,464911.2,EQDE
2012-11-07,19.9,20.7,19.9,20.65,36100,720271.2,EQDE
2012-11-08,20,20.7,19.8,20.69,59700,1208902.9,EQDE
2012-11-09,20.5,20.82,20,20.82,60400,1208587,EQDE
2012-11-12,20.5,20.95,20,20.95,23700,475544.7,EQDE
2012-11-13,20.9,20.9,20.8,20.8,5300,110640,EQDE
2012-11-14,20.85,20.85,20.55,20.55,3600,74730,EQDE
2012-11-15,20.91,20.91,20.9,20.9,6300,131694.2,EQDE
2012-11-16,20.9,20.9,20.89,20.89,2500,52245.3,EQDE
2012-11-19,20.915,20.93,20.915,20.93,1900,39753.5,EQDE
2012-11-20,20.9,20.937,20.9,20.937,4100,85831.7,EQDE
2012-11-21,20.94,22.7,20.94,20.965,8100,170630.2,EQDE
2012-11-22,20.997,21.09,20.997,21.09,3300,69376.8,EQDE
2012-11-23,21.015,21.14,21.015,21.14,4400,92781.5,EQDE
2012-11-26,21.141,21.2,21.141,21.2,4300,90969.8,EQDE
2012-11-27,21.25,21.298,21.25,21.298,1900,40414.2,EQDE
2012-11-28,21.298,22.99,21.298,21.7,2300,50410.1,EQDE
2012-11-29,21.702,21.798,20.999,21.15,12100,258522.4,EQDE
2012-11-30,21.14,21.14,20.72,20.72,16500,345188.5,EQDE
2012-12-03,21.9,21.9,20.86,20.86,7700,160919,EQDE
2012-12-04,20.875,21,20.294,21.0,5800,119844.5,EQDE
2012-12-05,20.61,21.199,20.4,21.065,10700,225002.5,EQDE
2012-12-06,21,21,20.901,20.902,2000,41814.3,EQDE
2012-12-07,20.999,20.999,20.85,20.85,1600,33511.4,EQDE
2012-12-10,20.87,20.87,20.805,20.805,3500,72943,EQDE
2012-12-11,20.806,20.806,20.788,20.788,2100,43680.4,EQDE
2012-12-12,20.801,20.801,20.79,20.79,3700,76946.8,EQDE
2012-12-13,20.93,21.79,20.86,21.671,10400,224224.5,EQDE
2012-12-14,21.673,22.5,21.201,21.985,9000,196416.2,EQDE
2012-12-17,21.996,22.9,21.99,22.9,9500,213548.7,EQDE
2012-12-18,22.915,23.75,22.911,23.75,9400,219969.6,EQDE
2012-12-19,23.755,24.8,23.751,24.787,10200,251161,EQDE
2012-12-20,24.819,25.8,24.819,25.7,10100,255484.8,EQDE
2012-12-21,25.622,26,25.5,26.0,8200,209993,EQDE
2012-12-24,26,26.211,25.996,26.21,900,23527.3,EQDE
2012-12-25,26.215,26.22,26.209,26.209,4400,115341.4,EQDE
2012-12-26,26.155,26.295,26.155,26.2,5900,154883,EQDE
2012-12-27,26.212,26.8,26.21,26.35,4800,126518.3,EQDE
2012-12-28,26.35,26.66,26.3,26.66,20300,534136.4,EQDE
2013-01-09,26.8,26.8,26.674,26.674,3800,101523.2,EQDE
2013-01-10,26.685,26.685,26.652,26.652,4000,106717.7,EQDE
2013-01-11,26.723,26.723,26.659,26.659,4300,114835.9,EQDE
2013-01-14,26.85,26.91,26.85,26.905,23300,626029,EQDE
2013-01-15,27.2,28.3,27.2,28.1,8600,237942.8,EQDE
2013-01-16,28.099,28.302,28.099,28.3,7500,212005.4,EQDE
2013-01-17,28.5,28.9,28.5,28.865,18800,539294.5,EQDE
2013-01-18,28.901,28.901,28.9,28.9,6100,176293.5,EQDE
2013-01-21,28.91,29.999,28.91,29.99,18600,547436.3,EQDE
2013-01-22,30,31,29.999,30.5,39300,1192230,EQDE
2013-01-23,29.15,30.6,29.15,30.6,3700,109310.7,EQDE
2013-01-24,30.65,31.5,30.65,31.2,18100,562232.9,EQDE
2013-01-25,31,31.2,29.701,30.999,21000,652790.9,EQDE
2013-01-28,30.999,31.23,30.999,31.229,16500,514009.2,EQDE
2013-01-29,30.999,31.999,30.999,31.999,6400,201148.7,EQDE
2013-01-30,31.85,32.1,31.85,32.1,16400,524325.1,EQDE
2013-01-31,32.001,32.155,32.001,32.155,6700,215269.6,EQDE
2013-02-01,32.25,32.6,32.25,32.499,16200,524800.5,EQDE
2013-02-04,31.85,32.8,31.85,32.7,15800,512087.5,EQDE
2013-02-05,32.5,32.5,32.5,32.5,3000,97500,EQDE
2013-02-06,32,32.7,32,32.7,33900,1105055,EQDE
2013-02-07,32.88,32.88,31.506,32.777,15600,509397.4,EQDE
2013-02-08,32.65,32.77,32.457,32.458,16200,528993.9,EQDE
2013-02-11,32.7,32.999,32.649,32.999,17800,582494.2,EQDE
2013-02-12,32.4,32.9,32.4,32.9,28000,919414.6,EQDE
2013-02-13,32.9,33.1,32.9,33.1,17200,568361.7,EQDE
2013-02-14,32.755,33.2,32.755,33.101,16600,550096.5,EQDE
2013-02-15,33.2,33.201,33.148,33.201,21200,703433.3,EQDE
2013-02-18,33.2,33.201,33.19,33.201,16300,541143.6,EQDE
2013-02-19,33.25,33.5,33,33.5,16600,548390.2,EQDE
2013-02-20,33.199,33.25,33,33.249,56500,1876906.1,EQDE
2013-02-21,33.22,33.9,33.22,33.9,49600,1676074.8,EQDE
2013-02-22,33.5,33.5,33.2,33.499,31400,1049967.8,EQDE
2013-02-25,33.5,33.5,33.479,33.499,29100,974527.8,EQDE
2013-02-26,33.5,33.504,33.441,33.504,28000,937178.4,EQDE
2013-02-27,33.504,33.504,33.48,33.481,23200,776976,EQDE
2013-02-28,33.7,33.7,33.5,33.6,8900,298595,EQDE
2013-03-01,33.7,33.701,33.697,33.701,34000,1145769,EQDE
2013-03-04,33.7,33.7,33.694,33.694,21600,727853.1,EQDE
