date,open,high,low,close,volume,value,board
2006-11-13,6511,6511,6511,6511.0,32,208352,EQLV
2006-11-14,6576,6589,4836.01,6470.0,22,142917,EQLV
2006-11-15,6550,6657,6526.6,6526.6,74,490210.6,EQLV
2006-11-16,6713,6713,6713,6713.0,7,46991,EQLV
2006-11-20,6710,6720,6710,6720.0,3,20150,EQLV
2006-11-22,6690,6690,6690,6690.0,1,6690,EQLV
2006-11-23,6690,6690,6557,6557.0,5,33317,EQLV
2006-11-24,6519.8,6519.8,6392,6392.0,5,32089.8,EQLV
2006-11-27,6589,6589,6589,6589.0,1,6589,EQLV
2006-11-29,6001,7100,6001,7100.0,7,47033,EQLV
2006-11-30,6441,6441,6441,6441.0,40,257640,EQLV
2006-12-04,6550,6550,6550,6550.0,30,196500,EQLV
2006-12-05,6600,6600,6600,6600.0,5,33000,EQLV
2006-12-08,6760,6760,6620,6620.0,4,26881,EQLV
2006-12-11,6649,6649,6649,6649.0,1,6649,EQLV
2006-12-14,6561,6561,6561,6561.0,10,65610,EQLV
2006-12-15,6666,6713,6321,6321.0,304,2037924,EQLV
2006-12-18,6750,6750,6750,6750.0,1,6750,EQLV
2006-12-20,7037,7037,7037,7037.0,13,91481,EQLV
2006-12-21,6990,6990,6966,6966.0,2,13956,EQLV
2006-12-26,7000,7000,6903,6903.0,10,69612,EQLV
2007-01-09,6739,6739,6614,6614.0,4,26706,EQLV
2007-01-10,6500,6500,6437,6437.0,2,12937,EQLV
2007-01-12,6639,6668,6639,6668.0,11,73319,EQLV
2007-01-15,6712,6772,6712,6772.0,8,53996,EQLV
2007-01-16,6767,6792,6767,6792.0,25,169375,EQLV
2007-01-17,6744,6745,6744,6745.0,3,20234,EQLV
2007-01-18,6792,7041,6792,7041.0,21,145122,EQLV
2007-01-22,7070,7170,7070,7115.0,7,49925,EQLV
2007-01-23,7025,7025,7025,7025.0,3,21075,EQLV
2007-01-26,7041,7041,7041,7041.0,7,49287,EQLV
2007-01-29,7043,7043,6910,6910.0,151,1044368,EQLV
2007-01-30,6765,6821,6765,6821.0,23,156827,EQLV
2007-01-31,6875,6875,6875,6875.0,2,13750,EQLV
2007-02-01,6967,6967,6865,6865.0,12,83298,EQLV
2007-02-02,6857,6857,6857,6857.0,1,6857,EQLV
2007-02-05,6762,6762,6762,6762.0,1,6762,EQLV
2007-02-06,6853,6853,6853,6853.0,1,6853,EQLV
2007-02-08,6592,6697,6592,6697.0,203,1339967,EQLV
2007-02-09,6561,6697,6500,6697.0,115,756936,EQLV
2007-02-12,6445,6445,6445,6445.0,15,96675,EQLV
2007-02-13,6380,6380,6328,6350.0,36,228280,EQLV
2007-02-15,6426.5,6427,6426,6427.0,6,38557.5,EQLV
2007-02-20,6544,6544,6544,6544.0,4,26176,EQLV
2007-02-22,6485,6586,6485,6586.0,3,19621,EQLV
2007-02-27,6675,6675,6613,6613.0,105,700751,EQLV
2007-02-28,6451,6451,6450,6450.0,82,528981,EQLV
2007-03-01,6482,6526,6482,6500.0,33,214534,EQLV
2007-03-02,6405,6459,6405,6459.0,29,187248,EQLV
2007-03-05,6350,6350,6350,6350.0,300,1905000,EQLV
2007-03-06,6369,6369,6369,6369.0,142,904398,EQLV
2007-03-09,6399,6399,6039,6252.0,214,1325011,EQLV
2007-03-14,6012,6012,6012,6012.0,2,12024,EQLV
2007-03-15,6029,6029,6015,6015.0,3,18064,EQLV
2007-03-16,6005,6055,5976,6055.0,22,131609,EQLV
2007-03-19,6055,6108,6055,6107.99,3,18270.99,EQLV
2007-03-20,6117,6235,6022,6031.0,174,1050909,EQLV
2007-03-22,6050,6232,6036,6077.0,451,2773291.1,EQLV
2007-03-26,6100,6190,6100,6190.0,3,18480,EQLV
2007-03-27,6160,6160,6160,6160.0,1,6160,EQLV
2007-03-28,6235,6235,6235,6235.0,1,6235,EQLV
2007-03-29,6192,6250,6192,6250.0,20,124768,EQLV
2007-03-30,6500,6500,6292,6292.0,28,177424,EQLV
