date,open,high,low,close,volume,value,board
2005-02-17,1.1,1.1,1.1,1.1,500,550,EQNE
2005-02-18,1.15,1.15,1.15,1.15,18300,21045,EQNE
2005-02-25,1,1.2,1,1.2,36800,44100,EQNE
2005-02-28,0.9,0.95,0.83,0.95,219000,192750,EQNE
2005-03-01,1.04,1.04,0.9,0.99,100600,92040,EQNE
2005-03-02,0.89,0.94,0.89,0.89,46700,41568,EQNE
2005-03-03,0.95,0.95,0.89,0.89,54200,48522,EQNE
2005-03-05,0.99,0.99,0.99,0.99,6000,5940,EQNE
2005-03-09,0.88,0.88,0.8,0.88,156200,129562,EQNE
2005-03-10,0.85,0.85,0.84,0.85,131000,111290,EQNE
2005-03-11,0.85,0.88,0.85,0.86,60100,51386,EQNE
2005-03-14,0.88,0.88,0.82,0.85,550600,462618,EQNE
2005-03-15,0.85,0.85,0.85,0.85,50000,42500,EQNE
2005-03-16,0.84,0.86,0.84,0.85,44300,38013,EQNE
2005-03-17,0.84,0.85,0.84,0.85,121000,101750,EQNE
2005-03-18,0.95,0.95,0.95,0.95,100,95,EQNE
2005-03-22,0.95,0.97,0.95,0.97,16500,15735,EQNE
2005-03-24,0.98,0.98,0.98,0.98,26000,25480,EQNE
2005-03-25,0.85,0.94,0.85,0.94,165100,140634,EQNE
2005-03-28,0.87,0.87,0.86,0.86,223800,192729,EQNE
2005-03-30,0.92,0.92,0.92,0.92,100,92,EQNE
2005-03-31,0.92,0.93,0.92,0.93,20900,19428,EQNE
2005-04-08,1,1,1,1.0,10000,10000,EQNE
2005-04-12,0.93,0.93,0.9,0.9,48600,43745,EQNE
2005-04-13,0.86,0.89,0.85,0.89,84800,72173,EQNE
2005-04-14,0.87,0.9,0.87,0.9,4200,3756,EQNE
2005-04-18,0.85,0.85,0.85,0.85,100,85,EQNE
2005-04-20,0.85,0.86,0.85,0.86,1500,1285,EQNE
2005-04-21,0.88,0.88,0.88,0.88,500,440,EQNE
2005-04-22,0.9,0.95,0.9,0.95,18000,17018,EQNE
2005-04-26,0.93,0.93,0.93,0.93,5300,4929,EQNE
2005-04-27,0.84,0.87,0.83,0.87,94700,80189,EQNE
2005-04-28,0.84,0.84,0.84,0.84,19400,16296,EQNE
2005-04-29,0.85,0.85,0.85,0.85,100,85,EQNE
2005-05-03,0.83,0.83,0.82,0.82,69000,56615,EQNE
2005-05-04,0.85,0.87,0.83,0.85,52600,44839,EQNE
2005-05-05,0.85,0.86,0.85,0.85,4600,3911,EQNE
2005-05-06,0.81,0.87,0.81,0.87,800,689,EQNE
2005-05-13,0.81,0.81,0.8,0.8,54000,43201,EQNE
2005-05-14,0.8,0.8,0.8,0.8,21500,17200,EQNE
