date,open,high,low,close,volume,value,board
2011-12-14,0.7496,0.7496,0.7496,0.7496,100000,74960,EQNE
2011-12-26,0.9,0.9,0.9,0.9,10000,9000,EQNE
2012-01-18,1.1,1.1,1.1,1.1,10000,11000,EQNE
2012-01-19,1.1,1.1,1.1,1.1,200000,220000,EQNE
2012-01-20,1.0999,1.1,1.0999,1.1,130000,142995,EQNE
2012-01-23,1.1,1.1,1.1,1.1,20000,22000,EQNE
2012-01-24,1.1,1.15,1.1,1.15,530000,598000,EQNE
2012-01-25,1.15,1.15,1.101,1.101,350000,392700,EQNE
2012-01-26,1,1,0.94,0.94,90000,87904,EQNE
2012-01-27,0.94,0.94,0.9,0.9,210000,193001,EQNE
2012-01-30,0.95,0.99,0.95,0.99,120000,114800,EQNE
2012-01-31,0.9005,0.9005,0.8,0.85,640000,545186,EQNE
2012-02-22,0.9,0.9496,0.9,0.9,280000,256970,EQNE
2012-02-24,0.9002,0.9002,0.9002,0.9002,20000,18004,EQNE
2012-02-28,0.9899,0.99,0.9899,0.99,160000,158399,EQNE
2012-02-29,0.9002,0.95,0.9002,0.9003,220000,202611,EQNE
2012-03-02,0.9004,0.9004,0.9002,0.9002,100000,90027,EQNE
2012-03-07,0.9416,1.1,0.9416,1.1,140000,138083,EQNE
2012-03-11,0.9047,1.3808,0.9001,1.3808,340000,383789,EQNE
2012-03-12,1.2,1.25,1.2,1.2,30000,36500,EQNE
2012-03-14,1.0701,1.0701,0.9504,0.9999,390000,392945,EQNE
2012-03-20,0.95,0.9699,0.9001,0.9182,200000,185185,EQNE
2012-03-21,0.9399,0.94,0.9399,0.94,40000,37599,EQNE
2012-03-26,0.8802,0.8802,0.8802,0.8802,10000,8802,EQNE
2012-04-04,0.87,0.87,0.87,0.87,10000,8700,EQNE
2012-04-05,0.8101,0.8699,0.81,0.8699,50000,41100,EQNE
2012-04-10,0.88,0.88,0.88,0.88,10000,8800,EQNE
2012-04-17,0.8102,0.855,0.8102,0.855,20000,16652,EQNE
2012-04-20,0.8101,0.8101,0.8101,0.8101,10000,8101,EQNE
2012-04-26,0.81,0.81,0.81,0.81,10000,8100,EQNE
2012-05-16,0.8,0.8,0.8,0.8,10000,8000,EQNE
2012-06-08,0.6599,0.6599,0.6,0.6,20000,12599,EQNE
2012-06-14,0.81,0.81,0.81,0.81,10000,8100,EQNE
2012-06-26,0.62,0.7,0.61,0.7,120000,74310,EQNE
2012-06-27,0.6875,0.6875,0.6875,0.6875,10000,6875,EQNE
2012-07-05,0.6986,0.6999,0.6986,0.6999,20000,13985,EQNE
2012-07-17,0.69,0.7,0.69,0.7,270000,188899,EQNE
2012-07-26,0.5311,0.5311,0.5311,0.5311,10000,5311,EQNE
2012-07-30,0.7,0.7,0.7,0.7,10000,7000,EQNE
2012-08-24,0.8,0.8,0.8,0.8,120000,96000,EQNE
2012-09-06,0.7998,0.7998,0.7998,0.7998,10000,7998,EQNE
2012-09-20,0.5606,0.5606,0.5606,0.5606,10000,5606,EQNE
2012-09-21,0.69,0.69,0.69,0.69,10000,6900,EQNE
2012-09-24,0.6132,0.7848,0.6132,0.7848,350000,270736,EQNE
2012-09-28,0.88,0.88,0.88,0.88,400000,352000,EQNE
2012-10-03,0.7,0.7,0.7,0.7,33,23.1,SMAL
2012-10-05,0.7,0.7,0.7,0.7,1,0.7,SMAL
2012-10-08,0.88,0.88,0.6139,0.82,50000,38188,EQNE
2012-10-09,0.7002,0.7002,0.7002,0.7002,10000,7002,EQNE
2012-10-10,0.79,0.8797,0.79,0.8797,30000,25494,EQNE
2012-10-15,0.775,0.775,0.59,0.7,50000,35650,EQNE
2012-10-16,0.75,0.75,0.7212,0.7212,260000,187808,EQNE
2012-10-19,0.8794,0.8794,0.8,0.8,20000,16794,EQNE
2012-10-22,0.7001,0.7001,0.7001,0.7001,10000,7001,EQNE
2012-10-24,0.7,0.7,0.7,0.7,1,0.7,SMAL
2012-10-26,0.69,0.69,0.69,0.69,586,404.34,SMAL
2012-10-30,0.6101,0.6498,0.5842,0.6,1000000,605773,EQNE
2012-10-31,0.61,0.6498,0.61,0.6498,20000,12598,EQNE
2012-11-01,0.5999,0.5999,0.5899,0.599,80000,47667,EQNE
2012-11-02,0.59,0.59,0.59,0.59,10000,5900,EQNE
2012-11-07,0.7799,0.7799,0.7799,0.7799,50,39,SMAL
2012-11-13,0.7999,0.7999,0.7999,0.7999,50,40,SMAL
2012-11-14,0.8,0.8,0.8,0.8,10,8,SMAL
2012-11-22,0.59,0.59,0.59,0.59,10000,5900,EQNE
2012-11-28,0.59,0.59,0.59,0.59,10000,5900,EQNE
2012-11-29,0.59,0.6099,0.59,0.6099,20000,11999,EQNE
2012-12-06,0.5801,0.5999,0.5515,0.5999,50000,28865,EQNE
2012-12-07,0.7837,0.7837,0.5005,0.5999,90000,52715,EQNE
2012-12-12,0.56,0.5987,0.56,0.5987,40000,23087,EQNE
2012-12-14,0.56,0.56,0.56,0.56,4667,2613.52,SMAL
2012-12-19,0.55,0.57,0.55,0.57,110000,60700,EQNE
2012-12-20,0.5999,0.5999,0.5701,0.5701,20000,11700,EQNE
2013-01-10,0.6,0.6,0.5701,0.5701,100000,58601,EQNE
2013-01-17,0.6499,0.6499,0.6499,0.6499,10000,6499,EQNE
2013-01-24,0.6,0.6699,0.5991,0.5991,50000,30681,EQNE
2013-01-29,0.6298,0.6298,0.6297,0.6297,20000,12595,EQNE
2013-02-05,0.7292,0.73,0.6501,0.6501,180000,127646,EQNE
2013-02-06,0.675,0.675,0.675,0.675,10000,6750,EQNE
2013-02-07,0.675,0.675,0.675,0.675,120000,81000,EQNE
2013-02-08,0.69,0.69,0.67,0.67,90000,61607,EQNE
2013-02-12,0.65,0.65,0.65,0.65,20000,13000,EQNE
2013-02-13,0.7499,0.7499,0.7499,0.7499,5,3.75,SMAL
2013-02-14,0.6,0.6999,0.52,0.6999,240000,142565,EQNE
2013-02-15,0.64,0.6609,0.6,0.6609,80000,50379,EQNE
2013-02-18,0.6351,0.6351,0.6351,0.6351,10000,6351,EQNE
2013-02-19,0.6849,0.6849,0.6849,0.6849,10000,6849,EQNE
2013-02-20,0.6401,0.6401,0.64,0.64,80000,51206,EQNE
2013-02-21,0.64,0.64,0.62,0.62,30000,19000,EQNE
2013-03-04,0.86,0.86,0.86,0.86,10000,8600,EQNE
2013-03-06,0.6599,0.66,0.6599,0.66,110000,72599,EQNE
2013-03-07,0.65,0.65,0.65,0.65,10000,6500,EQNE
2013-03-11,0.6001,0.6001,0.581,0.5998,110000,65620,EQNE
2013-03-12,0.6599,0.6599,0.6599,0.6599,90000,59391,EQNE
2013-03-14,0.63,0.63,0.63,0.63,10000,6300,EQNE
2013-03-18,0.6255,0.63,0.6255,0.63,70000,44055,EQNE
2013-03-19,0.63,0.63,0.63,0.63,10000,6300,EQNE
2013-03-21,0.63,0.63,0.6201,0.6201,90000,56502,EQNE
2013-03-22,0.63,0.63,0.63,0.63,30000,18900,EQNE
2013-03-25,0.63,0.63,0.63,0.63,10000,6300,EQNE
2013-03-26,0.75,0.75,0.75,0.75,560000,420000,EQNE
2013-03-27,0.75,0.75,0.75,0.75,30000,22500,EQNE
2013-03-28,0.75,0.75,0.75,0.75,100000,75000,EQNE
2013-03-29,0.8499,0.896,0.8499,0.85,190000,161958,EQNE
2013-04-01,0.9,0.9,0.8001,0.8001,150000,125010,EQNE
2013-04-02,0.83,0.838,0.83,0.838,50000,41580,EQNE
2013-04-03,0.838,0.86,0.838,0.86,180000,153320,EQNE
2013-04-04,0.85,0.85,0.85,0.85,100000,85000,EQNE
2013-04-05,0.85,0.855,0.85,0.855,660000,561100,EQNE
2013-04-08,0.85,0.85,0.85,0.85,30000,25500,EQNE
2013-04-19,0.8001,0.8001,0.8001,0.8001,10000,8001,EQNE
2013-06-03,0.8001,0.8001,0.8,0.8,50000,40001,EQNE
2013-06-21,0.8997,0.8997,0.8997,0.8997,10000,8997,EQNE
2013-06-24,0.8,0.8,0.8,0.8,10000,8000,EQNE
2013-07-03,0.5555,0.5555,0.5555,0.5555,5000,2777.5,SMAL
2013-07-12,0.88,0.95,0.88,0.95,80000,74298,EQNE
2013-07-15,0.951,0.951,0.95,0.95,50000,47510,EQNE
2013-07-16,0.95,1.01,0.95,1.01,400000,400300,EQNE
2013-07-18,0.95,0.95,0.95,0.95,10000,9500,EQNE
2013-07-25,0.95,0.9501,0.95,0.95,60000,57002,EQNE
2013-08-07,0.9,0.9,0.9,0.9,60000,54000,EQNE
2013-09-03,0.8,0.8,0.7999,0.7999,120000,95998,TQNE
2013-09-10,0.75,0.75,0.74,0.74,70000,52400,TQNE
2013-09-11,0.75,0.75,0.75,0.75,50000,37500,TQNE
2013-09-12,0.725,0.75,0.725,0.75,30000,22250,TQNE
2013-09-18,0.76,0.76,0.76,0.76,10000,7600,TQNE
2013-10-02,0.98,0.98,0.98,0.98,10,9.8,SMAL
2013-10-10,0.78,0.78,0.78,0.78,20000,15600,TQNE
2013-10-11,0.78,0.78,0.7675,0.78,140000,109075,TQNE
2013-10-29,0.7997,0.7997,0.7997,0.7997,80000,63976,TQNE
2013-11-07,0.572,0.73,0.572,0.73,9642,6237.44,SMAL
2013-11-08,0.78,0.78,0.78,0.78,10000,7800,TQNE
2014-01-06,0.594,0.594,0.594,0.594,106,62.96,SMAL
2014-02-12,0.92,0.92,0.92,0.92,1,0.92,SMAL
2014-02-17,0.92,0.92,0.92,0.92,105,96.6,SMAL
2014-02-26,0.99,0.99,0.98,0.98,30000,29500,TQNE
2014-02-27,0.98,0.98,0.98,0.98,10000,9800,TQNE
2014-02-28,0.985,0.985,0.985,0.985,520000,512200,TQNE
2014-03-11,0.9999,0.9999,0.9999,0.9999,10000,9999,TQNE
2014-03-14,0.99,0.99,0.99,0.99,210000,207900,TQNE
