date,open,high,low,close,volume,value,board
2023-11-02,675.2,735.0,617.0,670.0,2634803,1734673634.6,TQBR
2023-11-03,674.5,674.5,632.2,669.0,613166,401963518.9,TQBR
2023-11-06,664.0,665.0,647.0,650.0,236365,155042903.0,TQBR
2023-11-07,660.0,662.9,650.1,659.5,199158,130760682.8,TQBR
2023-11-08,658.0,658.0,636.0,636.0,167463,108303934.1,TQBR
2023-11-09,636.2,640.0,619.0,619.9,206246,128797012.8,TQBR
2023-11-10,620.0,636.0,581.0,581.0,311688,188047715.7,TQBR
2023-11-13,581.0,595.0,546.1,569.0,276382,155104910.7,TQBR
2023-11-14,569.0,571.7,547.0,550.0,141801,78357978.3,TQBR
2023-11-15,551.7,574.9,545.0,564.1,134939,75526399.9,TQBR
2023-11-16,572.7,584.0,561.2,578.0,94192,54160746.2,TQBR
2023-11-17,578.0,582.7,564.2,574.0,49161,28320321.8,TQBR
2023-11-20,573.9,573.9,563.0,563.0,39755,22576129.4,TQBR
2023-11-21,564.0,570.0,545.0,553.5,203466,112250330.5,TQBR
2023-11-22,553.6,576.0,548.0,570.1,88660,50182355.0,TQBR
2023-11-23,570.0,572.0,554.0,560.5,52710,29526983.9,TQBR
2023-11-24,561.0,563.4,551.0,552.2,37147,20671056.7,TQBR
2023-11-27,552.2,568.7,535.1,544.0,130086,71827536.1,TQBR
2023-11-28,555.0,558.3,535.9,536.5,48887,26394725.3,TQBR
2023-11-29,537.5,557.6,537.5,541.6,77212,41772547.7,TQBR
2023-11-30,538.1,543.3,515.0,516.3,171751,90477780.0,TQBR
2023-12-01,517.9,540.0,512.0,513.0,91806,48105635.9,TQBR
2023-12-04,515.0,520.4,482.0,492.0,208234,103744710.1,TQBR
2023-12-05,492.5,500.0,476.1,492.9,111941,54310073.1,TQBR
2023-12-06,494.2,504.4,488.8,499.0,53479,26620879.5,TQBR
2023-12-07,500.0,501.0,485.1,495.5,35693,17669412.8,TQBR
2023-12-08,494.9,539.8,493.4,508.0,91782,47682082.1,TQBR
2023-12-11,513.2,529.8,494.9,500.3,133873,68906204.5,TQBR
2023-12-12,520.0,559.9,502.5,530.2,274509,146378378.9,TQBR
2023-12-13,544.8,580.7,530.6,551.8,308435,171498682.8,TQBR
2023-12-14,554.0,570.0,530.6,535.0,108311,58747872.7,TQBR
2023-12-15,544.8,559.8,530.6,551.0,77410,42454725.4,TQBR
2023-12-18,554.8,565.0,546.0,561.7,101007,56153056.6,TQBR
2023-12-19,565.4,566.5,545.2,560.1,76447,42560365.9,TQBR
2023-12-20,561.0,561.3,546.6,560.0,47635,26470987.2,TQBR
2023-12-21,505.0,560.0,505.0,536.0,126834,68200685.0,TQBR
2023-12-22,538.0,558.0,533.4,541.1,93069,50371510.5,TQBR
2023-12-25,542.8,561.3,542.7,550.0,72690,40060372.9,TQBR
2023-12-26,552.9,559.0,535.0,535.6,90833,49129090.2,TQBR
2023-12-27,545.0,550.4,534.5,547.0,77283,41804106.5,TQBR
2023-12-28,550.0,554.4,540.0,544.0,66907,36570865.9,TQBR
2023-12-29,550.0,550.0,540.1,544.5,36392,19752637.4,TQBR
2024-01-03,550.0,574.5,544.0,568.9,71904,40519755.5,TQBR
2024-01-04,570.0,598.8,555.0,581.5,109710,63836998.5,TQBR
2024-01-05,583.6,590.8,570.1,576.9,41543,24010657.2,TQBR
2024-01-08,581.5,598.1,576.1,588.6,67832,39890379.1,TQBR
2024-01-09,592.7,597.5,587.6,593.1,54750,32401914.1,TQBR
2024-01-10,598.9,628.5,594.8,595.6,259100,157560313.1,TQBR
2024-01-11,600.3,600.4,576.1,584.2,122806,71901951.9,TQBR
2024-01-12,600.0,640.0,590.2,613.1,699872,433198635.5,TQBR
2024-01-15,622.7,626.7,602.9,609.0,139045,85702520.1,TQBR
2024-01-16,615.3,624.5,600.1,604.7,111033,67723090.3,TQBR
2024-01-17,607.0,609.5,600.0,601.3,39863,24056523.6,TQBR
2024-01-18,603.2,615.0,600.0,606.1,78771,47882305.3,TQBR
2024-01-19,606.3,610.4,587.8,590.0,130420,77356204.1,TQBR
2024-01-22,594.8,605.5,592.4,600.0,85536,51213157.5,TQBR
2024-01-23,600.0,607.9,600.0,602.6,40111,24222425.9,TQBR
2024-01-24,602.6,604.5,600.0,604.0,34502,20772219.3,TQBR
2024-01-25,606.0,622.4,601.0,601.1,349499,213679437.7,TQBR
2024-01-26,602.0,609.5,590.3,594.0,73085,43899085.4,TQBR
2024-01-29,598.0,605.0,595.5,599.2,52062,31288645.9,TQBR
2024-01-30,600.1,603.8,592.0,601.6,67697,40547817.5,TQBR
2024-01-31,603.0,603.0,592.9,598.3,54449,32535656.8,TQBR
2024-02-01,600.9,603.9,593.7,595.1,75987,45406828.4,TQBR
2024-02-02,598.1,606.6,595.0,601.7,84977,51067267.3,TQBR
2024-02-05,601.7,608.6,598.0,605.2,92335,55696733.9,TQBR
2024-02-06,607.2,614.5,605.2,611.9,68903,42059775.5,TQBR
2024-02-07,611.9,614.9,600.3,611.5,59808,36464477.5,TQBR
2024-02-08,614.7,621.8,603.3,611.6,149295,91737172.6,TQBR
2024-02-09,613.6,625.0,605.4,624.0,125723,77448773.6,TQBR
2024-02-12,624.1,632.0,611.5,626.0,128769,80106135.0,TQBR
2024-02-13,626.5,636.2,615.9,635.6,97696,61303498.0,TQBR
2024-02-14,637.6,645.0,630.0,644.0,113752,72655199.5,TQBR
2024-02-15,644.0,669.0,626.2,659.5,236391,154283319.2,TQBR
2024-02-16,659.5,673.5,649.4,659.6,166999,110928297.0,TQBR
2024-02-19,660.0,663.0,646.0,657.0,84817,55478575.4,TQBR
2024-02-20,657.0,657.1,635.0,638.5,78534,50570009.1,TQBR
2024-02-21,631.9,640.0,605.1,620.0,104836,64803913.4,TQBR
2024-02-22,622.3,647.8,616.2,620.3,60639,38361506.4,TQBR
2024-02-26,624.4,657.1,624.4,656.4,104940,67403090.6,TQBR
2024-02-27,660.0,669.7,644.0,660.3,166819,110043082.2,TQBR
2024-02-28,660.5,664.5,640.0,655.0,82362,53609095.5,TQBR
2024-02-29,656.0,661.7,642.4,650.0,52082,33771044.3,TQBR
2024-03-01,651.0,658.0,649.3,652.0,42765,27945879.1,TQBR
2024-03-04,655.0,663.3,647.3,648.6,63256,41397132.7,TQBR
2024-03-05,648.6,658.5,648.0,651.3,36773,23958319.8,TQBR
2024-03-06,651.3,656.7,648.0,649.0,33758,21967793.3,TQBR
2024-03-07,650.0,651.2,642.8,650.0,35656,23107202.3,TQBR
2024-03-11,651.0,654.5,645.7,649.2,106031,69075496.2,TQBR
2024-03-12,650.0,650.0,633.6,643.8,77680,49942007.3,TQBR
2024-03-13,646.0,651.6,638.1,643.3,59729,38602242.7,TQBR
2024-03-14,643.3,649.0,638.1,638.6,71953,46290516.7,TQBR
2024-03-15,638.6,644.0,628.0,635.2,43254,27553473.8,TQBR
2024-03-18,636.0,637.8,624.3,632.3,40781,25738215.3,TQBR
2024-03-19,632.3,638.3,625.2,628.2,51173,32278513.5,TQBR
2024-03-20,632.3,635.0,625.0,628.7,34044,21440094.8,TQBR
2024-03-21,630.1,656.0,625.5,650.9,139328,89991551.8,TQBR
2024-03-22,651.0,655.7,640.9,649.0,59824,38836264.0,TQBR
2024-03-25,648.9,661.2,640.0,650.0,129085,84289423.0,TQBR
2024-03-26,650.0,672.9,650.0,665.3,124578,82834290.0,TQBR
2024-03-27,665.3,715.0,665.3,710.0,679153,472613636.4,TQBR
2024-03-28,704.0,720.0,676.6,699.0,248872,175369543.3,TQBR
