date,open,high,low,close,volume,value,board
2014-02-26,0.6,0.6,0.6,0.6,1000,600,TQBR
2014-02-28,0.57,0.57,0.4,0.5525,202000,111670,TQBR
2014-03-03,0.5045,0.5055,0.5045,0.5055,200000,101000,TQBR
2014-03-04,0.4751,0.57,0.4751,0.57,2000,1045.1,TQBR
2014-03-05,0.5325,0.5325,0.5323,0.5323,80000,42598,TQBR
2014-03-06,0.5128,0.5128,0.51,0.51,1279000,652570,TQBR
2014-03-11,0.524,0.527,0.524,0.527,200000,105100,TQBR
2014-03-12,0.5225,0.5225,0.5205,0.5205,210000,109505,TQBR
2014-03-14,0.5025,0.5055,0.5025,0.5055,200000,100800,TQBR
2014-03-17,0.52,0.545,0.52,0.5438,14318000,7477898.7,TQBR
2014-03-18,0.5351,0.55,0.5351,0.55,510000,280351,TQBR
2014-03-19,0.545,0.55,0.545,0.55,200000,109500,TQBR
2014-03-20,0.545,0.555,0.545,0.555,400000,219650,TQBR
2014-03-21,0.55,0.5532,0.55,0.5532,600000,330320,TQBR
2014-03-25,0.55,0.55,0.55,0.55,1072000,589600,TQBR
2014-03-26,0.562,0.562,0.562,0.562,200000,112400,TQBR
2014-03-28,0.5605,0.564,0.5605,0.564,840000,472520,TQBR
2014-03-31,0.558,0.558,0.551,0.551,300000,166000,TQBR
2014-04-01,0.558,0.558,0.558,0.558,41000,22878,TQBR
2014-04-02,0.5544,0.5599,0.5544,0.5599,1072000,595191.3,TQBR
2014-04-03,0.562,0.562,0.562,0.562,549000,308538,TQBR
2014-04-04,0.555,0.5619,0.554,0.5619,2001000,1114247.3,TQBR
2014-04-07,0.5565,0.5591,0.5565,0.5591,358000,199267.8,TQBR
2014-04-10,0.5661,0.5675,0.5661,0.5675,2162000,1226473,TQBR
2014-04-11,0.5643,0.5875,0.5643,0.5667,215000,123884.5,TQBR
2014-04-14,0.5548,0.5578,0.5548,0.5578,198000,110150.4,TQBR
2014-04-15,0.5591,0.5622,0.5591,0.5622,106000,59273.9,TQBR
2014-04-17,0.5328,0.5328,0.5315,0.5315,133000,70759.9,TQBR
2014-04-21,0.552,0.5532,0.5507,0.5532,500000,275860,TQBR
2014-04-23,0.5418,0.5427,0.5414,0.5417,120000,65005.8,TQBR
2014-04-24,0.5417,0.5417,0.5299,0.5299,201000,106521.7,TQBR
2014-04-25,0.529,0.5293,0.529,0.5293,210000,111123,TQBR
2014-04-28,0.5339,0.5549,0.5331,0.5448,1956000,1053189.2,TQBR
2014-04-29,0.5002,0.541,0.5002,0.5406,1189000,627054.8,TQBR
2014-05-02,0.5569,0.5569,0.5569,0.5569,898000,500096.2,TQBR
2014-05-05,0.5712,0.5712,0.566,0.566,252000,143100.9,TQBR
2014-05-06,0.566,0.566,0.566,0.566,50000,28300,TQBR
2014-05-07,0.566,0.569,0.566,0.569,200000,113206,TQBR
2014-05-13,0.5748,0.5748,0.5732,0.5732,580000,333320,TQBR
2014-05-14,0.58,0.58,0.5794,0.5794,178000,103239.4,TQBR
2014-05-15,0.5805,0.5885,0.5805,0.5872,160000,94036.3,TQBR
2014-05-19,0.5872,0.5872,0.5872,0.5872,200000,117440,TQBR
2014-05-20,0.5898,0.6546,0.5898,0.654,15056000,9334294.7,TQBR
2014-05-21,0.6497,0.6691,0.6355,0.6364,528000,342351.5,TQBR
2014-05-22,0.65,0.65,0.65,0.65,10000,6500,TQBR
2014-05-23,0.67,0.67,0.67,0.67,100000,67000,TQBR
2014-05-27,0.6675,0.6675,0.6675,0.6675,100000,66750,TQBR
2014-05-29,0.689,0.689,0.6876,0.6876,500000,344260,TQBR
2014-05-30,0.69,0.69,0.69,0.69,1192000,822480,TQBR
2014-06-02,0.699,0.7227,0.6939,0.7227,12442000,8725313.6,TQBR
2014-06-04,0.7227,0.7344,0.7227,0.7344,196000,143685,TQBR
2014-06-11,0.73,0.7377,0.73,0.7377,871000,639240,TQBR
2014-06-30,0.677,0.677,0.6609,0.6609,1002000,678335.7,TQBR
