date,open,high,low,close,volume,value,board
2009-10-23,1,1.12,0.902,0.902,159,161.4,SMAL
2009-10-27,1.09,1.09,1,1.0,156,168.15,SMAL
2009-11-23,1.1,1.1,1.1,1.1,158,173.8,SMAL
2009-11-24,1.1,1.15,0.921,1.15,349,349.65,SMAL
2009-12-11,1.13,1.13,1.13,1.13,68,76.84,SMAL
2009-12-17,1.13,1.13,1.13,1.13,35,39.55,SMAL
2009-12-21,1.101,1.101,1.101,1.101,7,7.71,SMAL
2010-11-10,1.6,1.6,1.56,1.58,149600,234982.5,EQBR
2010-11-11,1.12,1.12,1.12,1.12,356,398.72,SMAL
2010-11-12,1.4,1.4,1.12,1.12,2711,3181.59,SMAL
2010-11-15,1.11,1.11,1.11,1.11,64,71.04,SMAL
2010-11-16,1.568,1.57,1.562,1.562,20000,31312,EQBR
2010-11-17,1.5,1.5,1.5,1.5,373,559.5,SMAL
2010-11-18,1.559,1.57,1.55,1.57,480000,748652.1,EQBR
2010-11-19,1.565,1.565,1.563,1.563,318700,498751.5,EQBR
2010-11-22,1.1,1.565,1.1,1.565,136,155.65,SMAL
2010-11-23,1.57,1.57,1.57,1.57,85,133.45,SMAL
2010-11-24,1.6,1.652,1.6,1.652,771000,1243965.8,EQBR
2010-11-25,1.65,1.65,1.65,1.65,13,21.45,SMAL
2010-11-26,1.65,1.65,1.65,1.65,2100,3465,EQBR
2010-11-29,1.631,1.631,1.615,1.625,5516200,8950922,EQBR
2010-11-30,1.59,1.59,1.59,1.59,75,119.25,SMAL
2010-12-01,1.625,1.63,1.61,1.63,7837600,12659212.2,EQBR
2010-12-02,1.655,1.79,1.605,1.61,11157300,18122131.3,EQBR
2010-12-03,1.621,1.621,1.61,1.621,1691900,2731806.9,EQBR
2010-12-06,1.63,1.655,1.63,1.655,1014300,1666421.3,EQBR
2010-12-07,1.6,1.6,1.175,1.175,135,174.35,SMAL
2010-12-08,1.621,1.621,1.621,1.621,28,45.39,SMAL
2010-12-09,1.55,1.55,1.55,1.55,50,77.5,SMAL
2010-12-13,1.611,1.611,1.142,1.142,282,373.62,SMAL
2010-12-14,1.61,1.649,1.605,1.649,140900,226448.9,EQBR
2010-12-15,1.581,1.581,1.581,1.581,245,387.35,SMAL
2010-12-16,1.581,1.591,1.581,1.591,123,195.04,SMAL
2010-12-17,1.6,1.6,1.551,1.551,1264,1963.58,SMAL
2010-12-20,1.626,1.626,1.62,1.621,120700,195640.5,EQBR
2010-12-21,1.626,1.645,1.62,1.64,39880700,65253683.4,EQBR
2010-12-22,1.649,1.663,1.648,1.65,28664000,47518686,EQBR
2010-12-23,1.635,1.65,1.632,1.65,6704400,11041720.8,EQBR
2010-12-24,1.646,1.646,1.63,1.63,57270600,93668470.8,EQBR
2010-12-27,1.611,1.611,1.611,1.611,167,269.04,SMAL
2010-12-28,1.611,1.628,1.611,1.615,15500,25033.4,EQBR
2010-12-29,1.615,1.63,1.615,1.63,183600,299266.5,EQBR
2010-12-30,1.6,1.6,1.6,1.6,27,43.2,SMAL
2011-01-11,1.64,1.653,1.64,1.647,55235400,91022104.1,EQBR
2011-01-12,1.665,1.665,1.665,1.665,74,123.22,SMAL
2011-01-13,1.695,1.695,1.65,1.65,24814200,40990813.9,EQBR
2011-01-14,1.65,1.663,1.65,1.663,8915700,14761326.5,EQBR
2011-01-17,1.665,1.665,1.655,1.655,5000000,8300758.4,EQBR
2011-01-18,1.656,1.66,1.643,1.643,11684400,19359796.3,EQBR
2011-01-19,1.66,1.66,1.63,1.631,5188800,8572668.6,EQBR
2011-01-20,1.6,1.6,1.6,1.6,2023,3236.8,SMAL
2011-01-21,1.592,1.609,1.58,1.582,258800,412883.2,EQBR
2011-01-24,1.585,1.599,1.54,1.54,276000,429529.4,EQBR
2011-01-25,1.547,1.547,1.511,1.522,665100,1016797.7,EQBR
2011-01-26,1.52,1.55,1.52,1.523,1432800,2191484,EQBR
2011-01-27,1.51,1.512,1.51,1.51,929600,1404013.3,EQBR
2011-01-28,1.525,1.525,1.5,1.5,304500,458178.9,EQBR
2011-01-31,1.494,1.494,1.439,1.489,1343500,1984000.1,EQBR
2011-02-01,1.493,1.551,1.493,1.538,509900,771367.4,EQBR
2011-02-02,1.082,1.082,1.082,1.082,47,50.85,SMAL
2011-02-03,1.451,1.451,1.451,1.451,45,65.3,SMAL
2011-02-04,1.525,1.525,1.5,1.508,469700,710183.1,EQBR
2011-02-07,1.494,1.528,1.491,1.491,14800,22194.9,EQBR
2011-02-08,1.365,1.365,1.365,1.365,64,87.36,SMAL
2011-02-09,1.491,1.501,1.47,1.494,1406400,2074514.3,EQBR
2011-02-10,1.48,1.48,1.48,1.48,296248,438447.04,SMAL
2011-06-10,1.3748,1.3748,1.3748,1.3748,1000,1374.8,EQBR
2011-06-20,1.32,1.32,1.32,1.32,711,938.52,SMAL
2011-06-23,1.325,1.325,1.2066,1.2066,1000,1265.8,SMAL
2011-06-29,1.3,1.3,1.3,1.3,144,187.2,SMAL
2011-07-11,1.3668,1.3668,1.3668,1.3668,211,288.39,SMAL
2011-07-19,1.35,1.35,1.35,1.35,12000,16200,EQBR
2011-07-28,1.3,1.3,1.3,1.3,710,923,SMAL
2011-08-01,1.3,1.3,1.3,1.3,211,274.3,SMAL
2011-08-03,1.4,1.4,1.4,1.4,1000,1400,EQBR
2011-08-09,1.15,1.15,1.15,1.15,1000,1150,EQBR
2011-08-12,1.4,1.4,0.8283,0.8283,20000,22283,EQBR
2011-08-15,1.15,1.1999,1.15,1.1999,10000,11749.5,EQBR
2011-08-16,1.3,1.556,1.3,1.4001,10000,14533.7,EQBR
2012-10-08,0.854,0.854,0.854,0.854,2000,1708,EQBR
2012-10-10,0.7,0.8001,0.7,0.8001,1576,1210.18,SMAL
2012-10-17,0.84,0.84,0.84,0.84,28000,23520,EQBR
2012-10-18,0.83,0.83,0.83,0.83,3,2.49,SMAL
2012-10-19,0.838,0.838,0.838,0.838,10000,8380,EQBR
2012-10-22,0.831,0.831,0.831,0.831,858000,712998,EQBR
2012-10-23,0.834,0.834,0.834,0.834,2000,1668,EQBR
2012-10-24,0.842,0.842,0.842,0.842,1000,842,EQBR
2012-10-30,0.767,0.767,0.767,0.767,3000,2301,EQBR
2012-10-31,0.76,0.76,0.76,0.76,17000,12920,EQBR
2012-11-07,0.76,0.76,0.76,0.76,35000,26600,EQBR
2012-11-08,0.843,0.843,0.72,0.72,132000,97913,EQBR
2012-11-13,0.72,0.72,0.7,0.7,851000,598700,EQBR
2012-11-14,0.738,0.738,0.738,0.738,10000,7380,EQBR
2012-11-16,0.84,0.849,0.673,0.722,1226000,921282,EQBR
2012-11-20,0.735,0.745,0.7271,0.7271,180000,132484,EQBR
2012-11-21,0.7101,0.7314,0.7101,0.7314,151000,107886.4,EQBR
2012-11-22,0.72,0.72,0.72,0.72,1182,851.04,SMAL
2012-11-23,0.76,0.76,0.745,0.76,4000,3025,EQBR
2012-11-27,0.6953,0.6953,0.6953,0.6953,183,127.24,SMAL
2012-11-28,0.7296,0.7296,0.7296,0.7296,1000,729.6,EQBR
2012-11-29,0.7305,0.7305,0.7305,0.7305,181000,132220.5,EQBR
2012-12-07,0.6639,0.6639,0.6639,0.6639,284,188.55,SMAL
2012-12-10,0.7421,0.7607,0.73,0.73,4000,2962.8,EQBR
2012-12-11,0.7713,0.7713,0.7713,0.7713,10000,7713,EQBR
2012-12-17,0.7326,0.7396,0.7326,0.7396,98000,72473.8,EQBR
2012-12-18,0.74,0.74,0.74,0.74,97000,71780,EQBR
2014-02-26,0.6,0.6,0.6,0.6,1000,600,TQBR
2014-02-28,0.57,0.57,0.4,0.5525,202000,111670,TQBR
2014-03-03,0.5045,0.5055,0.5045,0.5055,200000,101000,TQBR
2014-03-04,0.4751,0.57,0.4751,0.57,2000,1045.1,TQBR
2014-03-05,0.5325,0.5325,0.5323,0.5323,80000,42598,TQBR
2014-03-06,0.5128,0.5128,0.51,0.51,1279000,652570,TQBR
2014-03-11,0.524,0.527,0.524,0.527,200000,105100,TQBR
2014-03-12,0.5225,0.5225,0.5205,0.5205,210000,109505,TQBR
2014-03-14,0.5025,0.5055,0.5025,0.5055,200000,100800,TQBR
2014-03-17,0.52,0.545,0.52,0.5438,14318000,7477898.7,TQBR
2014-03-18,0.5351,0.55,0.5351,0.55,510000,280351,TQBR
2014-03-19,0.545,0.55,0.545,0.55,200000,109500,TQBR
2014-03-20,0.545,0.555,0.545,0.555,400000,219650,TQBR
2014-03-21,0.55,0.5532,0.55,0.5532,600000,330320,TQBR
2014-03-25,0.55,0.55,0.55,0.55,1072000,589600,TQBR
2014-03-26,0.562,0.562,0.562,0.562,200000,112400,TQBR
2014-03-28,0.5605,0.564,0.5605,0.564,840000,472520,TQBR
2014-03-31,0.558,0.558,0.551,0.551,300000,166000,TQBR
