date,open,high,low,close,volume,value,board
2015-05-25,1000,1000,1000,1000.0,1,1000,TQBR
2015-05-28,1000,1000,1000,1000.0,1,1000,TQBR
2015-06-02,1000,1000,1000,1000.0,9000,9000000,TQBR
2015-06-03,1000,1000,1000,1000.0,2,2000,TQBR
2015-06-25,1000,1000,1000,1000.0,1,1000,TQBR
2015-07-23,1000,1000,1000,1000.0,5,5000,TQBR
2015-08-21,1000,1000,1000,1000.0,1,1000,TQBR
2015-09-17,1000,1000,1000,1000.0,1,1000,TQBR
2015-11-19,1000,1000,600,620.0,6,4820,TQBR
2015-11-20,880,880,666,880.0,4,3306,TQBR
2015-11-23,1000,1000,1000,1000.0,1,1000,TQBR
2015-11-24,666,990,600,990.0,6,4122,TQBR
2015-12-01,766,1255,766,1255.0,2,2021,TQBR
2015-12-02,999,999,999,999.0,1,999,TQBR
2015-12-03,1021,1150,1021,1150.0,3,3260,TQBR
2015-12-09,1200,1200,1200,1200.0,1,1200,TQBR
2015-12-10,1250,1250,1250,1250.0,1,1250,TQBR
2015-12-23,1250,1280,1250,1280.0,2,2530,TQBR
2015-12-24,1290,1300,1290,1300.0,2,2590,TQBR
2015-12-25,1320,1320,1320,1320.0,1,1320,TQBR
2015-12-28,1350,1350,1350,1350.0,1,1350,TQBR
2015-12-30,1400,1400,1400,1400.0,1,1400,TQBR
2016-01-05,1450,1450,1450,1450.0,1,1450,TQBR
2016-01-12,1500,1500,1500,1500.0,1,1500,TQBR
2016-01-14,1550,2090,1001,2090.0,12,21191,TQBR
2016-01-15,2399,2866,2399,2866.0,13,35571,TQBR
2016-01-18,3000,4005,3000,4005.0,18,64154,TQBR
2016-01-19,4200,5596,4200,5596.0,17,88079,TQBR
2016-01-20,7770,7770,7770,7770.0,3,23310,TQBR
2016-01-22,4802,7700,4660,7700.0,4,22162,TQBR
2016-02-02,6980,7300,5000,7300.0,6,39900,TQBR
2016-02-05,5370,5900,5370,5900.0,2,11270,TQBR
2016-02-08,7790,7790,7770,7770.0,2,15560,TQBR
2016-02-18,3900,4351,3900,4351.0,2,8251,TQBR
2016-02-19,4770,4770,4770,4770.0,1,4770,TQBR
2016-02-22,3250,3250,3250,3250.0,1,3250,TQBR
2016-02-25,3000,3000,3000,3000.0,1,3000,TQBR
2016-03-01,2800,2850,2800,2850.0,2,5650,TQBR
2016-03-03,2210,2210,2210,2210.0,1,2210,TQBR
2016-03-11,2255,2255,2255,2255.0,1,2255,TQBR
2016-03-21,3000,3497,3000,3497.0,6,20071,TQBR
2016-03-22,4600,4892,4600,4892.0,7,33952,TQBR
2016-03-23,5600,6844,5600,6844.0,7,44524,TQBR
2016-03-24,7870,9575,7870,9575.0,9,84470,TQBR
2016-03-25,11000,13355,11000,13355.0,4,48655,TQBR
2016-03-28,13400,13400,13400,13400.0,1,13400,TQBR
2016-03-29,12600,12600,12600,12600.0,1,12600,TQBR
2016-04-06,7251,7251,7251,7251.0,1,7251,TQBR
2016-04-07,5010,10176,5010,7000.0,5,41839,TQBR
2016-04-15,7000,7000,7000,7000.0,1,7000,TQBR
2016-04-19,6000,6000,6000,6000.0,1,6000,TQBR
2016-04-25,8000,8394,5200,8394.0,5,37944,TQBR
2016-04-26,9900,11500,9900,11500.0,2,21400,TQBR
2016-05-05,9200,9200,9200,9200.0,1,9200,TQBR
2016-05-10,10100,11500,7100,11500.0,3,28700,TQBR
2016-05-11,7500,7530,7500,7520.0,5,37600,TQBR
2016-05-12,8200,10200,8200,10200.0,2,18400,TQBR
2016-05-16,9700,9700,8880,8880.0,2,18580,TQBR
2016-05-23,6100,11500,6100,7880.0,4,33250,TQBR
2016-07-06,6100,10800,6100,10800.0,2,16900,TQBR
2016-07-21,9920,9920,6500,9900.0,5,42320,TQBR
2016-07-25,8200,8200,8200,8200.0,1,8200,TQBR
2016-08-03,8200,10000,8100,10000.0,4,36000,TQBR
2016-08-04,11000,11990,11000,11990.0,8,92920,TQBR
2016-08-05,11490,13500,11490,13500.0,2,24990,TQBR
2016-08-08,13500,14000,13500,14000.0,6,83000,TQBR
2016-08-11,13700,13700,13650,13650.0,2,27350,TQBR
2016-08-12,13610,13610,13600,13600.0,3,40810,TQBR
2016-09-28,8000,8000,8000,8000.0,1,8000,TQBR
2016-09-29,11540,11540,11540,11540.0,1,11540,TQBR
2016-11-22,14020,14800,7200,14800.0,3,36020,TQBR
2016-11-28,8450,14000,8450,14000.0,2,22450,TQBR
2016-12-05,7300,12500,7300,10200.0,8,74950,TQBR
2016-12-06,8110,9360,8110,9360.0,3,26460,TQBR
2016-12-07,9590,9590,9590,9590.0,1,9590,TQBR
2016-12-15,9600,9600,9600,9600.0,1,9600,TQBR
2016-12-19,6300,12600,6300,12600.0,2,18900,TQBR
2017-01-20,14210,14210,14210,14210.0,1,14210,TQBR
2017-01-24,8700,8700,8700,8700.0,1,8700,TQBR
2017-03-02,6500,12000,6500,12000.0,2,18500,TQBR
2017-03-21,6300,6720,6300,6720.0,3,19740,TQBR
2017-03-22,6000,6000,6000,6000.0,1,6000,TQBR
2017-03-24,6900,6900,6900,6900.0,1,6900,TQBR
2017-03-30,6050,9200,6050,8640.0,27,212330,TQBR
2017-04-18,6250,11250,6250,11250.0,2,17500,TQBR
2017-05-02,6350,10650,6350,10650.0,2,17000,TQBR
2017-05-05,6100,8950,6100,8950.0,6,42810,TQBR
2017-05-15,5650,7850,5650,7830.0,7,47740,TQBR
2017-05-26,6750,7850,6750,7240.0,3,21840,TQBR
2017-05-29,6360,8750,6360,7990.0,4,29560,TQBR
2017-05-30,6360,7950,6360,7950.0,2,14310,TQBR
2017-06-02,6360,8880,6360,8880.0,2,15240,TQBR
2017-06-05,5680,7770,5680,7190.0,4,26900,TQBR
2017-06-06,6270,8760,6270,7770.0,10,72800,TQBR
2017-07-10,5120,7380,5120,7230.0,5,31980,TQBR
2017-07-11,5260,6870,5260,6770.0,4,24180,TQBR
2017-07-12,5260,7770,5260,7770.0,2,13030,TQBR
2017-07-24,7770,8740,5250,7740.0,5,35170,TQBR
2017-08-07,5130,7990,5130,7560.0,4,26340,TQBR
2017-08-08,5260,7770,5260,7770.0,2,13030,TQBR
2017-08-14,5210,7960,5210,7940.0,4,26370,TQBR
2017-08-17,7990,8000,7990,8000.0,3,23990,TQBR
2017-08-29,6800,6800,6800,6800.0,1,6800,TQBR
2018-01-10,9510,9510,9510,9510.0,1,9510,TQBR
2018-04-20,4300,4300,4300,4300.0,1,4300,TQBR
2018-04-23,4500,4500,4500,4500.0,1,4500,TQBR
2018-08-27,4500,4500,4500,4500.0,1,4500,TQBR
2019-06-17,5000,5000,5000,5000.0,1,5000,TQBR
2019-06-18,6800,6800,6800,6800.0,1,6800,TQBR
2019-06-19,9400,9400,9400,9400.0,1,9400,TQBR
2019-06-20,10200,10200,10200,10200.0,1,10200,TQBR
2019-06-27,6200,6200,6200,6200.0,1,6200,TQBR
2019-07-23,7000,7000,6200,6200.0,2,13200,TQBR
2019-07-26,6400,6400,6400,6400.0,1,6400,TQBR
2019-07-30,8600,8600,8600,8600.0,1,8600,TQBR
2019-08-13,8400,8400,8400,8400.0,1,8400,TQBR
2019-08-19,11600,11600,11600,11600.0,2,23200,TQBR
2019-08-20,11600,16200,11600,16200.0,3,44000,TQBR
2019-08-21,17800,17800,17800,17800.0,2,35600,TQBR
2019-08-29,21200,21200,21200,21200.0,1,21200,TQBR
2019-08-30,23200,23200,23200,23200.0,1,23200,TQBR
2019-09-02,32400,32400,32400,32400.0,1,32400,TQBR
2019-09-03,35600,35600,35600,35600.0,1,35600,TQBR
2019-09-04,39000,39000,39000,39000.0,2,78000,TQBR
2019-09-10,26000,42800,26000,42800.0,2,68800,TQBR
2019-09-16,39000,39000,39000,39000.0,5,195000,TQBR
2019-09-24,23400,23400,23400,23400.0,1,23400,TQBR
2019-09-25,26200,26200,26200,26200.0,1,26200,TQBR
2019-09-26,26600,26600,26600,26600.0,1,26600,TQBR
2019-09-30,26200,26200,16200,26000.0,3,68400,TQBR
2019-10-16,22600,22600,22600,22600.0,1,22600,TQBR
2019-10-18,22600,22600,22600,22600.0,1,22600,TQBR
2019-10-21,16000,16000,16000,16000.0,1,16000,TQBR
2019-11-13,16000,16000,16000,16000.0,1,16000,TQBR
2019-11-19,13600,13600,13600,13600.0,9,122400,TQBR
2019-11-22,15200,15200,15200,15200.0,3,45600,TQBR
2019-11-25,16600,16600,16600,16600.0,6,99600,TQBR
2020-02-06,22500,22500,22500,22500.0,9,202500,TQBR
2020-02-07,24500,24500,24500,24500.0,1,24500,TQBR
2020-02-10,26500,26500,26500,26500.0,1,26500,TQBR
2020-02-14,37500,37500,37500,37500.0,1,37500,TQBR
2020-02-25,58500,58500,58500,58500.0,1,58500,TQBR
2020-02-26,59500,59500,43500,59500.0,5,281000,TQBR
2020-02-27,36000,59500,36000,58500.0,3,154000,TQBR
2020-03-02,58500,59500,36500,59500.0,3,154500,TQBR
2020-03-10,36000,59500,36000,59500.0,2,95500,TQBR
2020-03-12,38000,65000,38000,65000.0,3,166000,TQBR
2020-03-13,39000,46500,39000,46500.0,2,85500,TQBR
