date,open,high,low,close,volume,value,board
2016-11-07,1285,1285,1285,1285.0,1,1285,TQBR
2016-11-08,1300,1355,1270,1295.0,38,50510,TQBR
2016-11-09,1260,1345,1260,1305.0,21,27400,TQBR
2016-11-10,1275,1335,1260,1335.0,21,26770,TQBR
2016-11-14,1275,1275,1275,1275.0,2,2550,TQBR
2016-11-15,1350,1350,1350,1350.0,2,2700,TQBR
2016-11-16,1355,1355,1355,1355.0,1,1355,TQBR
2016-11-17,1370,1370,1370,1370.0,1,1370,TQBR
2016-11-21,1270,1270,900,1165.0,1104,1317330,TQBR
2016-11-22,1200,1295,1165,1165.0,14,16500,TQBR
2016-11-23,1150,1150,1150,1150.0,1,1150,TQBR
2016-11-24,1130,1150,1130,1150.0,2,2280,TQBR
2016-11-30,1115,1195,1115,1195.0,4,4640,TQBR
2016-12-06,1210,1230,1195,1195.0,23,27570,TQBR
2016-12-07,1260,1260,1130,1165.0,14,16845,TQBR
2016-12-08,1200,1240,1170,1210.0,37,44000,TQBR
2016-12-09,1185,1185,1040,1145.0,570,598535,TQBR
2016-12-12,1105,1115,1055,1105.0,99,109040,TQBR
2016-12-13,1060,1100,1040,1100.0,8,8555,TQBR
2016-12-14,1100,1100,1100,1100.0,20,22000,TQBR
2016-12-15,1110,1150,1055,1110.0,12,13200,TQBR
2016-12-16,1110,1215,1060,1110.0,24,27265,TQBR
2016-12-19,1120,1250,1115,1115.0,48,56130,TQBR
2016-12-20,1225,1230,1010,1135.0,57,63230,TQBR
2016-12-21,1135,1135,1135,1135.0,1,1135,TQBR
2016-12-22,1135,1295,1135,1155.0,162,188735,TQBR
2016-12-23,1300,1300,1095,1150.0,171,198620,TQBR
2016-12-26,1100,1175,1040,1175.0,34,36860,TQBR
2016-12-27,1090,1220,1065,1165.0,83,96770,TQBR
2016-12-30,1270,1270,1260,1260.0,5,6310,TQBR
2017-01-05,1315,1315,1315,1315.0,1,1315,TQBR
2017-01-09,1250,1250,1250,1250.0,2,2500,TQBR
2017-01-12,1295,1295,1295,1295.0,2,2590,TQBR
2017-01-17,1295,1295,1295,1295.0,2,2590,TQBR
2017-01-23,1295,1295,1285,1285.0,2,2580,TQBR
2017-01-24,1280,1280,1280,1280.0,3,3840,TQBR
2017-01-25,1095,1330,1090,1300.0,55,68065,TQBR
2017-01-26,1105,1275,1105,1275.0,13,15515,TQBR
2017-01-30,1300,1300,1300,1300.0,1,1300,TQBR
2017-01-31,1300,1300,1260,1270.0,60,76545,TQBR
2017-02-01,1250,1300,1200,1300.0,157,191275,TQBR
2017-02-02,1345,1345,1265,1265.0,12,15610,TQBR
2017-02-03,1345,1385,1155,1345.0,542,725500,TQBR
2017-02-06,1215,1215,1215,1215.0,1,1215,TQBR
2017-02-07,1330,1330,1225,1225.0,6,7755,TQBR
2017-02-08,1340,1345,1300,1335.0,11,14690,TQBR
2017-02-10,1300,1345,1275,1345.0,16,21125,TQBR
2017-02-13,1210,1210,1200,1200.0,6,7230,TQBR
2017-02-14,1250,1270,1230,1250.0,95,118910,TQBR
2017-02-17,1300,1300,820,1185.0,118,122170,TQBR
2017-02-20,1195,1205,1120,1205.0,68,77540,TQBR
2017-02-21,1140,1230,1140,1230.0,10,12140,TQBR
2017-02-24,1200,1200,1200,1200.0,1,1200,TQBR
2017-02-28,1020,1160,1015,1130.0,9,9410,TQBR
2017-03-01,1125,1125,1100,1100.0,3,3350,TQBR
2017-03-02,1100,1100,1100,1100.0,4,4400,TQBR
2017-03-03,1155,1190,1155,1185.0,7,8265,TQBR
2017-03-06,1215,1215,1210,1215.0,9,10925,TQBR
2017-03-07,1050,1235,1040,1230.0,13,15440,TQBR
2017-03-09,1045,1045,1045,1045.0,1,1045,TQBR
2017-03-10,1020,1095,1020,1045.0,9,9325,TQBR
2017-03-13,1010,1095,970,1095.0,3,3075,TQBR
2017-03-14,1100,1100,1100,1100.0,10,11000,TQBR
2017-03-15,1100,1110,1100,1110.0,3,3310,TQBR
2017-03-16,1010,1160,1010,1050.0,19,19995,TQBR
2017-03-17,1005,1150,960,1150.0,16,17185,TQBR
2017-03-24,1035,1135,1035,1055.0,4,4360,TQBR
2017-03-27,1125,1170,1125,1170.0,5,5735,TQBR
2017-03-28,1165,1165,1165,1165.0,2,2330,TQBR
2017-03-29,1165,1165,1055,1165.0,63,70045,TQBR
2017-03-30,1110,1110,1030,1095.0,124,133850,TQBR
2017-03-31,1060,1120,1030,1105.0,54,58320,TQBR
2017-04-05,1055,1150,1055,1150.0,8,8985,TQBR
2017-04-06,1065,1150,1060,1150.0,6,6695,TQBR
2017-04-07,1150,1150,1060,1150.0,75,82625,TQBR
2017-04-11,1150,1150,1150,1150.0,2,2300,TQBR
2017-04-12,1150,1150,1150,1150.0,2,2300,TQBR
2017-04-13,1195,1195,1195,1195.0,5,5975,TQBR
2017-04-14,1190,1190,1105,1145.0,27,30440,TQBR
2017-04-17,1190,1525,1190,1210.0,69,84305,TQBR
2017-04-18,1155,1200,1055,1195.0,63,74925,TQBR
