date,open,high,low,close,volume,value,board
2011-12-23,485.44,485.44,485.44,485.44,10,4854.4,EQNE
2011-12-26,600.0,600.0,600.0,600.0,10,6000.0,EQNE
2011-12-29,500.01,500.01,500.01,500.01,10,5000.1,EQNE
2011-12-30,600.0,600.0,600.0,600.0,10,6000.0,EQNE
2012-01-03,598.15,598.15,598.15,598.15,10,5981.5,EQNE
2012-01-04,590.01,590.01,590.01,590.01,110,64901.1,EQNE
2012-01-06,650.0,650.0,650.0,650.0,100,65000.0,EQNE
2012-01-12,900.0,900.0,900.0,900.0,10,9000.0,EQNE
2012-01-24,1000.0,1000.0,1000.0,1000.0,10,10000.0,EQNE
2012-02-08,900.01,900.01,900.0,900.0,30,27000.2,EQNE
2012-02-14,850.01,850.01,850.01,850.01,20,17000.2,EQNE
2012-02-15,900.0,900.0,900.0,900.0,10,9000.0,EQNE
2012-02-20,900.0,900.0,900.0,900.0,10,9000.0,EQNE
2012-02-21,750.0,900.0,730.0,750.0,440,346400.0,EQNE
2012-02-22,750.0,750.0,740.0,740.0,210,157400.0,EQNE
2012-02-24,750.0,750.0,750.0,750.0,100,75000.0,EQNE
2012-02-28,750.0,750.0,750.0,750.0,100,75000.0,EQNE
2012-02-29,750.0,750.0,750.0,750.0,100,75000.0,EQNE
2012-03-01,700.01,800.0,577.0,624.0,3140,2020589.6,EQNE
2012-03-02,565.0,605.02,550.01,605.02,90,51851.2,EQNE
2012-03-11,603.0,603.0,603.0,603.0,20,12060.0,EQNE
2012-03-16,650.0,650.0,650.0,650.0,10,6500.0,EQNE
2012-04-18,650.0,650.0,650.0,650.0,150,97500.0,EQNE
2012-05-17,640.0,640.0,640.0,640.0,180,115200.0,EQNE
2012-05-29,500.0,550.0,500.0,550.0,240,121000.0,EQNE
2012-08-06,350.0,350.0,350.0,350.0,10,3500.0,EQNE
2012-08-13,450.0,490.0,450.0,490.0,270,130300.0,EQNE
2012-08-14,470.0,470.0,470.0,470.0,10,4700.0,EQNE
2012-08-17,470.0,658.0,430.0,430.0,430,216619.9,EQNE
2012-08-21,550.0,550.0,550.0,550.0,10,5500.0,EQNE
2012-08-22,544.5,545.0,400.0,400.0,30,14895.0,EQNE
2012-09-10,559.99,560.0,411.0,560.0,50,25209.9,EQNE
2012-09-11,430.0,700.0,430.0,515.0,50,26470.0,EQNE
2012-09-12,410.0,650.0,410.0,515.0,160,80159.9,EQNE
2012-09-14,515.0,515.0,515.0,515.0,70,36050.0,EQNE
2012-09-17,425.0,710.0,425.0,550.0,50,28200.0,EQNE
2012-09-28,481.0,640.0,481.0,640.0,60,33910.0,EQNE
2012-10-01,749.99,749.99,500.05,500.05,20,12500.4,EQNE
2012-10-02,500.02,630.0,500.02,520.02,50,28050.3,EQNE
2012-10-04,405.0,620.02,405.0,620.02,30,16450.4,EQNE
2012-10-05,463.0,463.0,463.0,463.0,10,4630.0,EQNE
2012-10-08,410.0,410.0,410.0,410.0,10,4100.0,EQNE
2012-10-09,580.0,580.0,467.18,467.18,50,25485.8,EQNE
2012-10-10,433.0,699.95,433.0,699.9,60,35048.0,EQNE
2012-10-11,600.0,660.0,550.0,590.0,70,41800.0,EQNE
2012-10-12,749.9,749.9,749.9,749.9,10,7499.0,EQNE
2012-10-15,729.5,729.5,729.5,729.5,10,7295.0,EQNE
2012-10-17,520.0,730.0,520.0,730.0,60,38400.0,EQNE
2012-10-18,600.0,720.0,550.0,720.0,1000,687919.8,EQNE
2012-10-19,651.0,900.0,651.0,900.0,950,840005.0,EQNE
2012-10-23,899.99,900.0,899.99,900.0,780,701997.4,EQNE
