date,open,high,low,close,volume,value,board
2026-06-24,101.0,101.0,84.12,98.0,377371,35529139.52,TQBR
2026-06-25,98.0,101.08,86.0,92.96,220178,20296539.86,TQBR
2026-06-26,92.96,99.8,85.0,99.0,2319945,228574689.0,TQBR
2026-06-29,98.98,98.98,88.44,98.0,104446,9769527.54,TQBR
2026-06-30,99.62,99.84,94.0,94.4,70836,6862352.04,TQBR
2026-07-01,94.94,94.94,90.0,90.0,57506,5234355.96,TQBR
2026-07-02,90.02,90.94,87.14,88.76,40845,3609884.38,TQBR
2026-07-03,88.76,89.34,84.04,84.5,45902,3942271.84,TQBR
2026-07-06,84.5,84.98,76.22,82.0,71322,5781592.46,TQBR
2026-07-07,81.98,83.96,73.32,76.1,40905,3173267.66,TQBR
2026-07-08,76.12,83.94,71.0,83.0,59235,4580894.28,TQBR
2026-07-09,81.5,81.5,75.1,79.98,36426,2867291.06,TQBR
2026-07-10,78.98,81.48,75.08,80.4,16546,1321984.42,TQBR
2026-07-13,80.4,81.0,72.62,73.6,178872,13410507.26,TQBR
2026-07-14,72.74,74.48,67.34,70.0,142283,10042047.1,TQBR
2026-07-15,70.14,72.0,68.06,69.62,6436,451918.28,TQBR
2026-07-16,69.58,69.58,58.46,63.92,62212,3875224.88,TQBR
2026-07-17,63.88,63.96,58.16,63.8,28917,1777251.6,TQBR
2026-07-20,63.82,64.1,62.0,64.08,24463,1558185.26,TQBR
2026-07-21,65.42,69.0,59.68,63.34,40654,2670510.3,TQBR
2026-07-22,63.5,65.98,63.12,64.0,30230,1961740.36,TQBR
2026-07-23,64.98,74.46,64.06,64.48,165908,11477109.22,TQBR
2026-07-24,64.48,78.58,64.04,72.98,317665,23670848.32,TQBR
2026-07-27,72.1,75.7,70.08,72.3,157052,11529807.1,TQBR
2026-07-28,73.74,73.74,70.0,71.5,22536,1637385.04,TQBR
2026-07-29,72.36,74.0,71.12,72.14,10429,750894.7,TQBR
2026-07-30,72.14,72.2,71.0,72.0,10180,732208.24,TQBR
2026-07-31,71.52,72.2,70.0,72.08,6049,434441.56,TQBR
