date,open,high,low,close,volume,value,board
2008-10-17,0.0096,0.0096,0.0096,0.0096,1706400,16381.44,EQNE
2008-10-20,0.0096,0.0096,0.0096,0.0096,1200,11.52,EQNE
2008-10-21,0.0096,0.0096,0.0096,0.0096,40400,387.84,EQNE
2008-10-22,0.0096,0.0096,0.0082,0.0082,125400,1201.04,EQNE
2008-10-23,0.0096,0.0096,0.0096,0.0096,1600,15.36,EQNE
2008-10-24,0.0096,0.0096,0.0096,0.0096,52000,499.2,EQNE
2008-10-28,0.0096,0.0096,0.0096,0.0096,40500,388.8,EQNE
2008-10-29,0.0096,0.0096,0.0082,0.0082,1044100,10020.56,EQNE
2008-10-30,0.0096,0.0096,0.0081,0.0081,5764400,54635.04,EQNE
2008-10-31,0.0096,0.0096,0.0096,0.0096,2500,24,EQNE
2008-11-01,0.0096,0.0096,0.0096,0.0096,1346700,12928.32,EQNE
2008-11-05,0.0096,0.0096,0.0096,0.0096,100,0.96,EQNE
2008-11-06,0.0096,0.0096,0.0096,0.0096,1300,12.48,EQNE
2008-11-07,0.0096,0.0096,0.0096,0.0096,500,4.8,EQNE
2008-11-10,0.0096,0.0096,0.0096,0.0096,20000,192,EQNE
2008-11-17,0.0096,0.0096,0.0096,0.0096,400,3.84,EQNE
2008-11-21,0.0096,0.0096,0.0096,0.0096,3200,30.72,EQNE
2008-11-25,0.0096,0.0096,0.0096,0.0096,10000,96,EQNE
2008-11-27,0.0096,0.0096,0.0096,0.0096,100100,960.96,EQNE
2008-12-01,0.0064,0.0069,0.0059,0.006,61577100,383003.8,EQNE
2008-12-02,0.0053,0.0063,0.005,0.0058,60290500,361205.86,EQNE
2012-11-09,0.024005,0.02499,0.024,0.0244,52000000,1273399.9,EQNL
2012-11-12,0.0244,0.0244,0.0235,0.0242,79100000,1890077.1,EQNL
2012-11-13,0.023681,0.0238,0.022663,0.022663,180400000,4204042.3,EQNL
2012-11-14,0.022622,0.0237,0.022612,0.023483,31900000,733813.1,EQNL
2012-11-15,0.023001,0.02357,0.023001,0.02357,42000000,982670.3,EQNL
2012-11-16,0.023245,0.023999,0.023245,0.023351,47900000,1130538.5,EQNL
2012-11-19,0.02357,0.023789,0.02331,0.0235,78200000,1837982.1,EQNL
2012-11-20,0.023306,0.0239,0.023306,0.023525,52300000,1238730.6,EQNL
2012-11-21,0.0234,0.023873,0.0234,0.0238,73500000,1738313.6,EQNL
2012-11-22,0.023957,0.024199,0.02365,0.023869,197600000,4695140.2,EQNL
2012-11-23,0.023869,0.02535,0.023869,0.02515,304500000,7539753.1,EQNL
2012-11-26,0.02525,0.0254,0.0247,0.0249,102300000,2564358.3,EQNL
2012-11-27,0.025168,0.025375,0.0246,0.0246,40200000,1004583.7,EQNL
2012-11-28,0.025,0.025,0.02422,0.0246,183300000,4540256.7,EQNL
2012-11-29,0.024521,0.02505,0.024521,0.024705,35300000,875901.5,EQNL
2012-11-30,0.0248,0.025,0.0248,0.0249,35800000,890873.6,EQNL
2012-12-03,0.025038,0.0251,0.02475,0.02481,62500000,1559071,EQNL
2012-12-04,0.024765,0.0249,0.024426,0.024596,118100000,2908620.6,EQNL
2012-12-05,0.024603,0.024997,0.0246,0.0248,152600000,3788830,EQNL
2012-12-06,0.024899,0.024997,0.02461,0.02478,47900000,1187220.1,EQNL
2012-12-07,0.0247,0.024709,0.024598,0.024598,140300000,3461437.9,EQNL
2012-12-10,0.024424,0.024701,0.0244,0.024549,126600000,3113324.9,EQNL
2012-12-11,0.024379,0.0248,0.024339,0.0248,120400000,2959507.7,EQNL
2012-12-12,0.024765,0.025215,0.024765,0.025215,93900000,2350367.1,EQNL
2012-12-13,0.0254,0.0254,0.025102,0.025102,81000000,2044456.7,EQNL
2012-12-14,0.02455,0.02538,0.02455,0.0252,19800000,496604.8,EQNL
2012-12-17,0.02505,0.0252,0.0246,0.024604,22600000,560884.8,EQNL
2012-12-18,0.024664,0.02491,0.024664,0.0247,1275800000,31776973.4,EQNL
2012-12-19,0.024826,0.024827,0.024759,0.024827,29400000,729214.2,EQNL
2012-12-20,0.024801,0.024827,0.024653,0.024797,267200000,6624981.2,EQNL
2012-12-21,0.024657,0.02485,0.02455,0.02465,81900000,2020712.3,EQNL
2012-12-24,0.024701,0.024797,0.0244,0.024433,252800000,6194593.4,EQNL
2012-12-25,0.024786,0.02516,0.02461,0.02516,87600000,2177717.3,EQNL
2012-12-26,0.025289,0.02535,0.024804,0.024806,28600000,718106.3,EQNL
2012-12-27,0.024801,0.024999,0.024635,0.024635,84500000,2101259.9,EQNL
2012-12-28,0.024508,0.02495,0.024125,0.024319,75800000,1872976.7,EQNL
2013-01-08,0.0246,0.024997,0.0246,0.0248,83800000,2071625.6,EQNL
2013-01-09,0.024665,0.024893,0.024603,0.02475,46200000,1141371.4,EQNL
2013-01-10,0.0248,0.0248,0.0246,0.024699,176200000,4363363.3,EQNL
2013-01-11,0.024664,0.024815,0.024554,0.024554,16600000,410774.7,EQNL
2013-01-14,0.024511,0.0249,0.024501,0.024725,430100000,10661152.4,EQNL
2013-01-15,0.024701,0.0248,0.024499,0.0245,116200000,2865020.5,EQNL
2013-01-16,0.024385,0.024729,0.024385,0.024721,128500000,3168890.4,EQNL
2013-01-17,0.024899,0.0249,0.024706,0.0249,79400000,1970493.8,EQNL
2013-01-18,0.0249,0.025476,0.0249,0.025113,118200000,2979427.3,EQNL
2013-01-21,0.025105,0.0252,0.024924,0.024924,30000000,751640.6,EQNL
2013-01-22,0.025002,0.025002,0.024801,0.02482,17600000,437969.6,EQNL
2013-01-23,0.024985,0.025142,0.0249,0.025003,221300000,5532119.2,EQNL
2013-01-24,0.024905,0.025001,0.024904,0.025001,72900000,1821961.7,EQNL
2013-01-25,0.024999,0.025012,0.024802,0.024802,42100000,1051606.6,EQNL
2013-01-28,0.024801,0.025,0.024712,0.025,21800000,541733.7,EQNL
2013-01-29,0.024813,0.025,0.024801,0.024801,21100000,524245.8,EQNL
2013-01-30,0.024801,0.024801,0.024406,0.024576,535500000,13170102,EQNL
2013-01-31,0.024003,0.024549,0.023153,0.0244,27500000,668155,EQNL
2013-02-01,0.0244,0.0247,0.0244,0.0245,33100000,811984.1,EQNL
2013-02-04,0.024401,0.0245,0.024213,0.024278,22300000,543241.2,EQNL
2013-02-05,0.024262,0.02455,0.02426,0.02455,131300000,3199775.3,EQNL
2013-02-06,0.0248,0.025168,0.024402,0.024761,275400000,6870452.9,EQNL
2013-02-07,0.024796,0.0248,0.024602,0.024701,111300000,2750187.1,EQNL
