date,open,high,low,close,volume,value,board
2004-03-09,20.5,24.5,20.5,24.0,85700,1962653.0,EQNE
2004-03-10,24.25,35.4,23.8,32.1,185900,5222481.0,EQNE
2004-03-11,33.0,63.03,33.0,55.0,280300,14308133.0,EQNE
2004-03-12,54.95,78.0,40.0,42.0,706800,40040192.0,EQNE
2004-03-15,39.1,53.5,22.26,23.3,1680200,48362278.0,EQNE
2004-03-16,24.5,26.0,21.5,22.41,2391800,55192342.0,EQNE
2004-03-17,23.33,23.33,21.83,22.25,1392300,30864156.0,EQNE
2004-03-18,22.4,22.4,21.24,21.4,1003300,21861969.0,EQNE
2004-03-19,21.48,21.55,20.8,21.12,602700,12719469.0,EQNE
2004-03-22,20.5,20.85,20.03,20.2,788800,16029487.0,EQNL
2004-03-23,20.2,21.4,20.0,20.95,1100400,22919867.0,EQNL
2004-03-24,21.2,21.34,20.11,20.3,747800,15435620.0,EQNL
2004-03-25,20.5,20.82,20.16,20.69,1212400,24876107.0,EQNL
2004-03-26,20.5,20.7,18.71,19.0,2468700,48702389.0,EQNL
2004-03-29,19.0,19.16,18.65,18.9,590400,11183162.0,EQNL
2004-03-30,19.0,19.36,18.46,18.5,775200,14549976.0,EQNL
2004-03-31,18.45,19.1,18.21,18.9,445100,8351801.0,EQNL
2004-04-01,18.68,19.11,18.68,18.88,1552600,29349783.0,EQNL
2004-04-02,18.75,18.86,18.41,18.6,859700,16052172.0,EQNL
2004-04-05,18.7,18.75,18.1,18.44,555200,10216305.0,EQNL
2004-04-06,18.33,18.79,18.33,18.6,1493000,27805973.0,EQNL
2004-04-07,18.62,19.0,18.62,18.75,1088900,20503071.0,EQNL
2004-04-08,18.75,19.4,18.75,18.99,869000,16494080.0,EQNL
2004-04-09,19.18,21.47,19.0,21.0,6851400,142362102.0,EQNL
2004-04-12,21.34,22.6,21.18,21.56,5206350,114465799.0,EQNL
2004-04-13,21.75,21.86,20.25,20.43,2313100,48625432.0,EQNL
2004-04-14,20.44,20.47,19.9,20.05,1414100,28463353.0,EQNL
2004-04-15,20.07,20.35,19.33,19.83,1473300,29200445.0,EQNL
2004-04-16,19.82,19.91,19.19,19.37,464500,9052026.0,EQNL
2004-04-19,19.24,19.57,19.01,19.5,528500,10209738.0,EQNL
2004-04-20,19.54,19.54,19.03,19.29,752300,14457254.0,EQNL
2004-04-21,19.25,19.7,17.0,18.15,1360800,25451492.0,EQNL
2004-04-22,18.25,18.79,18.0,18.23,2109500,38822064.0,EQNL
2004-04-23,18.73,18.73,17.84,18.06,426800,7729945.0,EQNL
2004-04-26,18.05,18.1,17.53,17.55,852500,15153454.0,EQNL
2004-04-27,17.54,17.59,16.75,17.23,1045200,17840035.0,EQNL
2004-04-28,17.19,18.29,17.01,17.64,1225600,21804668.0,EQNL
2004-04-29,17.65,17.65,16.16,16.36,1551000,25882598.0,EQNL
2004-04-30,16.3,17.0,16.2,16.96,414600,6937758.0,EQNL
2004-05-05,17.36,17.59,17.01,17.5,299000,5181792.0,EQNL
2004-05-06,17.59,17.65,17.02,17.15,274200,4757920.0,EQNL
2004-05-07,17.2,17.34,16.66,16.93,157800,2681655.0,EQNL
2004-05-11,16.9,16.95,16.0,16.9,482500,7959525.0,EQNL
2004-05-12,17.0,17.25,16.85,17.0,327200,5576051.0,EQNL
2004-05-13,17.96,17.96,17.0,17.12,246900,4269767.0,EQNL
2004-05-14,17.15,17.47,16.9,17.09,322600,5516149.0,EQNL
2004-05-17,17.23,17.23,16.8,17.1,353200,6022637.0,EQNL
2004-05-18,17.15,17.34,16.84,17.01,296800,5045480.0,EQNL
2004-05-19,17.0,17.23,16.76,16.99,232300,3943039.0,EQNL
2004-05-20,17.0,17.07,16.78,16.88,188900,3185933.0,EQNL
2004-05-21,16.88,16.88,16.76,16.81,98600,1657564.0,EQNL
2004-05-24,16.8,17.7,16.73,17.7,263700,4523709.0,EQNL
2004-05-25,17.51,17.73,16.77,16.79,1551400,26787140.0,EQNL
2004-05-26,16.8,17.0,16.58,16.97,225900,3800981.0,EQNL
2004-05-27,17.0,17.01,16.61,16.88,273400,4603567.0,EQNL
2004-05-28,16.7,16.7,15.6,15.7,585800,9405005.0,EQNL
2004-05-31,15.75,17.0,15.66,16.55,450200,7328376.0,EQNL
2004-06-01,16.5,16.69,15.7,15.92,442600,7107157.0,EQNL
2004-06-02,15.66,16.1,15.4,16.02,325600,5147819.0,EQNL
2004-06-03,16.08,16.1,15.78,15.82,862400,13784846.0,EQNL
2004-06-04,15.86,16.05,15.71,15.93,268900,4283729.0,EQNL
2004-06-07,16.06,16.25,16.02,16.23,132500,2140222.0,EQNL
2004-06-08,16.07,16.15,15.9,15.98,350900,5610593.0,EQNL
2004-06-09,16.0,16.1,15.62,15.62,132900,2097823.0,EQNL
2004-06-10,15.72,15.72,15.35,15.68,273500,4245635.0,EQNL
2004-06-11,15.6,15.87,15.23,15.34,924200,14318527.0,EQNL
2004-06-15,15.21,15.35,14.27,14.27,910200,13345012.0,EQNL
2004-06-16,14.5,14.59,13.87,14.47,351800,4984568.0,EQNL
2004-06-17,14.35,15.2,14.22,14.9,1126500,16628729.0,EQNL
2004-06-18,15.0,15.0,14.69,14.9,667800,9914355.0,EQNL
2004-06-21,15.11,16.15,15.1,16.12,569000,8851917.0,EQNL
2004-06-22,16.0,16.01,15.55,15.6,122500,1919490.0,EQNL
2004-06-23,15.5,15.89,15.45,15.79,150200,2356713.0,EQNL
2004-06-24,15.8,15.95,15.7,15.8,238000,3758591.0,EQNL
2004-06-25,15.7,15.7,15.32,15.47,84800,1315418.0,EQNL
2004-06-28,15.39,15.47,14.75,14.8,299300,4455043.0,EQNL
2004-06-29,15.1,15.18,14.67,15.1,342800,5139383.0,EQNL
2004-06-30,15.52,15.52,15.01,15.11,368000,5595356.0,EQNL
2004-07-01,15.15,15.3,14.4,14.41,590800,8808244.0,EQNL
2004-07-02,15.09,15.09,14.01,14.73,262000,3818009.0,EQNL
2004-07-05,14.1,14.63,14.1,14.63,60100,870244.0,EQNL
2004-07-06,14.8,14.8,14.3,14.41,142100,2061763.0,EQNL
2004-07-07,14.7,14.75,14.25,14.43,80500,1162903.0,EQNL
2004-07-08,14.5,14.6,14.33,14.33,118800,1723585.0,EQNL
2004-07-09,14.44,14.6,14.26,14.45,168300,2428719.0,EQNL
2004-07-12,14.35,14.75,14.25,14.68,242000,3510784.0,EQNL
2004-07-13,14.74,14.91,14.5,14.83,178200,2631495.0,EQNL
2004-07-14,14.79,14.8,14.43,14.5,129500,1881459.0,EQNL
2004-07-15,14.54,14.65,14.4,14.62,89200,1297190.0,EQNL
2004-07-16,14.53,14.7,14.51,14.68,42200,617644.0,EQNL
2004-07-19,14.96,14.96,14.58,14.82,122600,1812974.0,EQNL
2004-07-20,14.79,15.15,14.62,14.73,378100,5602988.0,EQNL
2004-07-21,14.7,14.84,14.49,14.59,262100,3838714.0,EQNL
2004-07-22,14.32,14.59,14.21,14.46,38500,553829.0,EQNL
2004-07-23,14.36,14.59,13.85,14.25,421500,5915616.0,EQNL
2004-07-26,14.3,14.4,13.8,13.96,245500,3419773.0,EQNL
2004-07-27,13.81,13.98,13.5,13.91,171100,2354544.0,EQNL
2004-07-28,13.96,13.96,12.29,12.48,865400,11217707.0,EQNL
2004-07-29,12.7,12.84,12.45,12.77,264300,3321508.0,EQNL
2004-07-30,12.94,13.19,12.67,13.15,153500,1986052.0,EQNL
2004-08-02,13.19,13.54,13.16,13.48,384090,5136284.0,EQNL
2004-08-03,13.36,13.57,13.25,13.48,237400,3196347.0,EQNL
2004-08-04,13.5,13.8,13.5,13.64,155800,2118503.0,EQNL
2004-08-05,13.55,14.27,13.55,13.7,559100,7776853.0,EQNL
2004-08-06,13.69,13.8,12.83,13.36,352500,4644878.0,EQNL
2004-08-09,13.83,13.88,13.52,13.6,82200,1122728.0,EQNL
2004-08-10,13.38,13.52,13.12,13.52,46600,623429.0,EQNL
2004-08-11,13.65,13.65,13.27,13.27,36000,484075.0,EQNL
2004-08-12,13.48,13.66,13.48,13.61,83700,1137709.0,EQNL
2004-08-13,13.03,14.11,13.02,14.04,113100,1558520.0,EQNL
2004-08-16,13.82,14.72,13.82,14.56,473400,6822990.0,EQNL
2004-08-17,14.62,14.89,14.5,14.71,350300,5130173.0,EQNL
2004-08-18,14.93,14.93,14.22,14.45,277800,4026715.0,EQNL
2004-08-19,14.37,14.7,14.0,14.66,172500,2492512.0,EQNL
2004-08-20,14.6,14.9,14.6,14.9,93100,1374945.0,EQNL
2004-08-23,14.75,14.89,14.66,14.72,40100,592198.0,EQNL
2004-08-24,14.85,15.4,14.82,15.12,352300,5334096.0,EQNL
2004-08-25,15.0,15.25,14.98,15.25,172300,2598675.0,EQNL
2004-08-26,15.2,15.39,15.0,15.25,64300,970774.0,EQNL
2004-08-27,15.29,15.56,15.11,15.56,264000,4077303.0,EQNL
2004-08-30,15.59,15.79,15.34,15.4,215900,3336979.0,EQNL
2004-08-31,15.59,15.75,15.5,15.67,194200,3040343.0,EQNL
2004-09-01,15.6,15.65,15.4,15.65,49100,761831.0,EQNL
2004-09-02,15.65,15.65,15.0,15.63,364300,5614673.0,EQNL
2004-09-03,15.5,15.63,15.2,15.5,92600,1433966.0,EQNL
2004-09-06,15.57,15.83,15.43,15.73,150200,2353028.0,EQNL
2004-09-07,15.83,16.75,15.8,16.57,1030000,16903590.0,EQNL
2004-09-08,16.65,17.65,16.5,17.53,1733800,30059692.0,EQNL
2004-09-09,17.55,17.89,17.1,17.85,920400,16208817.0,EQNL
2004-09-10,18.45,18.45,17.49,17.75,1006100,17869232.0,EQNL
2004-09-13,17.58,17.99,17.39,17.67,514900,9123810.0,EQNL
2004-09-14,17.61,17.74,17.49,17.66,421000,7422146.0,EQNL
2004-09-15,17.5,17.8,17.4,17.64,247500,4359595.0,EQNL
2004-09-16,17.51,17.55,16.8,16.95,415400,7108292.0,EQNL
2004-09-17,16.96,17.0,16.75,17.0,232700,3941580.0,EQNL
2004-09-20,17.29,17.5,16.95,17.2,590300,10168727.0,EQNL
2004-09-21,17.37,18.2,16.86,17.3,2873800,50398609.0,EQNL
2004-09-22,17.4,17.73,16.89,17.01,922000,15771747.0,EQNL
2004-09-23,17.2,17.22,16.9,17.19,115300,1974404.0,EQNL
2004-09-24,17.17,17.25,16.96,16.99,310000,5298071.0,EQNL
2004-09-27,17.29,17.45,16.94,16.95,1102300,18955680.0,EQNL
2004-09-28,17.0,17.25,16.9,17.2,739700,12661887.0,EQNL
2004-09-29,17.1,17.2,16.95,17.05,271700,4640409.0,EQNL
2004-09-30,17.1,17.26,17.0,17.25,250000,4292033.0,EQNL
2004-10-01,17.11,17.76,17.05,17.6,807400,14118329.0,EQNL
2004-10-04,17.67,17.94,17.38,17.48,410500,7221972.0,EQNL
2004-10-05,17.36,17.55,17.21,17.35,316800,5519303.0,EQNL
2004-10-06,17.45,17.65,17.16,17.49,343600,5954647.0,EQNL
2004-10-07,17.6,17.75,17.33,17.45,812000,14176025.0,EQNL
2004-10-08,17.5,17.9,17.32,17.73,1123300,19860146.0,EQNL
2004-10-11,17.65,17.65,17.36,17.6,195600,3423650.0,EQNL
2004-10-12,17.5,17.67,16.83,16.9,524700,9044991.0,EQNL
2004-10-13,16.67,17.2,16.67,17.17,276400,4696326.0,EQNL
2004-10-14,17.0,17.09,16.8,17.02,321800,5464907.0,EQNL
2004-10-15,17.04,17.04,16.8,16.99,121000,2051349.0,EQNL
2004-10-18,16.82,17.1,16.77,16.9,329000,5569511.0,EQNL
2004-10-19,17.0,17.07,16.5,16.9,603100,10122399.0,EQNL
2004-10-20,16.8,16.98,16.2,16.47,467800,7694562.0,EQNL
2004-10-21,16.3,16.44,16.05,16.29,213400,3466145.0,EQNL
2004-10-22,16.45,16.5,16.3,16.35,216600,3555837.0,EQNL
2004-10-25,16.46,16.46,16.25,16.35,54300,888799.0,EQNL
2004-10-26,16.27,16.5,16.15,16.49,128400,2103486.0,EQNL
2004-10-27,16.48,16.6,16.27,16.54,310000,5094350.0,EQNL
2004-10-28,16.57,16.7,16.26,16.51,155800,2561537.0,EQNL
2004-10-29,16.31,16.55,16.31,16.41,217900,3573658.0,EQNL
2004-11-01,16.49,16.58,16.36,16.4,129800,2133275.0,EQNL
2004-11-02,16.49,17.4,16.4,17.26,530900,8960244.0,EQNL
2004-11-03,17.19,17.45,16.84,16.87,538700,9248369.0,EQNL
2004-11-04,17.72,17.72,16.98,17.34,575200,9914635.0,EQNL
2004-11-05,17.4,18.1,17.31,17.8,1791500,31798915.0,EQNL
2004-11-09,17.85,18.05,17.54,17.54,502300,8898401.0,EQNL
2004-11-10,17.6,17.85,17.5,17.82,561400,9943763.0,EQNL
2004-11-11,17.69,17.96,17.63,17.71,940900,16826800.0,EQNL
2004-11-12,17.82,17.82,17.6,17.8,141100,2502481.0,EQNL
2004-11-15,17.9,17.9,17.69,17.75,119900,2136864.0,EQNL
2004-11-16,17.67,17.71,17.5,17.65,157300,2772356.0,EQNL
2004-11-17,17.7,17.87,17.65,17.73,286100,5076087.0,EQNL
2004-11-18,17.68,17.9,17.64,17.8,262400,4672103.0,EQNL
2004-11-19,17.77,18.18,17.65,17.9,1559500,27877447.0,EQNL
2004-11-22,17.77,17.92,17.72,17.83,380300,6784342.0,EQNL
2004-11-23,17.75,18.1,17.6,18.05,901200,16090991.0,EQNL
2004-11-24,18.0,18.23,17.15,17.45,1853500,33359452.0,EQNL
2004-11-25,17.6,17.6,17.08,17.4,397000,6878434.0,EQNL
2004-11-26,17.55,17.85,17.55,17.65,347100,6160908.0,EQNL
2004-11-29,17.65,17.82,17.5,17.66,399000,7038421.0,EQNL
2004-11-30,17.66,17.7,17.49,17.5,317000,5581308.0,EQNL
2004-12-01,17.42,17.7,17.2,17.35,426700,7392562.0,EQNL
2004-12-02,17.39,17.7,17.06,17.25,338100,5837238.0,EQNL
2004-12-03,17.39,17.39,16.63,16.99,217200,3696238.0,EQNL
2004-12-06,16.8,16.85,16.53,16.75,102500,1707534.0,EQNL
2004-12-07,16.6,16.9,16.6,16.74,387200,6491243.0,EQNL
2004-12-08,16.62,16.97,15.9,16.04,459500,7508656.0,EQNL
2004-12-09,16.48,16.48,15.1,15.2,418500,6573787.0,EQNL
2004-12-10,15.4,15.91,14.95,15.01,269700,4184911.0,EQNL
2004-12-14,15.85,16.2,15.21,16.0,108900,1728287.0,EQNL
2004-12-15,16.0,16.0,15.5,15.9,513000,8107473.0,EQNL
2004-12-16,15.9,16.08,15.6,16.08,353700,5626397.0,EQNL
