date,open,high,low,close,volume,value,board
2006-05-26,1.1,1.1,1.1,1.1,500,550,EQNE
2006-05-29,1.11,1.11,1.11,1.11,5200,5772,EQNE
2006-05-30,1.3,1.3,1.3,1.3,30000,39000,EQNE
2006-05-31,1.3,1.3,1.3,1.3,2000,2600,EQNE
2006-06-09,1.25,1.25,1.25,1.25,6500,8125,EQNE
2006-06-14,1.25,1.25,1.25,1.25,2000,2500,EQNE
2006-06-16,1.2,1.2,1.2,1.2,10000,12000,EQNE
2006-06-20,1.19,1.2,1.19,1.2,15000,17955,EQNE
2006-07-04,1.2,1.2,1.2,1.2,8000,9600,EQNE
2006-07-13,0.03,0.03,0.03,0.03,10000,300,EQNE
2006-07-14,1.2,1.2,1.2,1.2,3000,3600,EQNE
2006-07-24,1.2,1.2,1.2,1.2,1500,1800,EQNE
2006-07-25,1.2,1.2,1.2,1.2,10000,12000,EQNE
2006-07-26,1.2,1.2,1.2,1.2,18000,21600,EQNE
2006-07-28,1.2,1.2,1.2,1.2,2000,2400,EQNE
2006-08-02,1.2,1.2,1.2,1.2,30000,36000,EQNE
2006-08-04,1.2,1.2,1.2,1.2,8000,9600,EQNE
2006-08-09,1.2,1.2,1.2,1.2,32000,38400,EQNE
2006-08-10,1.2,1.2,1.2,1.2,50000,60000,EQNE
2006-08-14,1.2,1.2,1.2,1.2,60100,72120,EQNE
2006-08-15,1.2,1.2,1.2,1.2,50000,60000,EQNE
2006-08-18,1.2,1.2,1.2,1.2,127300,152760,EQNE
2006-08-23,1.2,1.2,1.2,1.2,162600,195120,EQNE
2006-08-28,1.25,1.25,1.25,1.25,50000,62500,EQNE
2006-09-01,1.3,1.4,1.3,1.4,50700,65980,EQNE
2006-09-13,1.34,1.4,1.34,1.4,200000,279978,EQNE
2006-10-02,1.4,1.4,1.4,1.4,500,700,EQNE
2006-10-17,1.32,1.32,1.32,1.32,10000,13200,EQNE
2006-10-18,1.49,1.5,1.49,1.5,32000,47900,EQNE
2006-11-02,1.5,1.5,1.5,1.5,1500,2250,EQNE
2006-11-09,1.43,1.53,1.41,1.53,204100,293061,EQNE
2006-11-10,1.44,1.5,1.44,1.5,201100,301584,EQNE
2006-12-07,1.7,1.93,1.68,1.93,120100,203193,EQNE
2006-12-15,1.94,1.95,1.94,1.95,1000,1948,EQNE
2006-12-27,1.94,1.94,1.94,1.94,100,194,EQNE
2007-01-10,1.77,1.77,1.77,1.77,10100,17877,EQNE
2007-01-12,1.95,1.95,1.95,1.95,900,1755,EQNE
2007-01-19,1.89,1.89,1.78,1.79,20100,35889,EQNE
2007-01-22,1.8,1.81,1.8,1.81,64200,116160,EQNE
2007-01-25,1.83,1.83,1.83,1.83,20000,36600,EQNE
2007-01-26,1.04,1.04,1.04,1.04,53,55.12,SMAL
2007-01-30,1.7,1.7,1.7,1.7,60000,102000,EQNE
2007-01-31,1.9,2,1.9,2.0,65800,125815,EQNE
2007-02-01,2.03,2.15,2.03,2.15,98900,206979,EQNE
2007-02-05,2.01,2.01,2,2.0,15600,31300,EQNE
2007-02-06,2.17,2.62,2.04,2.04,35200,79041,EQNE
2007-02-08,1.93,1.93,1.93,1.93,100,193,EQNE
2007-02-09,2.7,2.7,2.68,2.7,12000,32277,EQNE
2007-02-12,2.7,2.7,2.04,2.4,300,714,EQNE
2007-02-16,2.6,2.6,2.6,2.6,400,1040,EQNE
2007-02-19,2.6,2.62,2.6,2.62,10100,26398,EQNE
2007-02-21,2.62,2.73,2.62,2.73,200,535,EQNE
2007-03-02,2.65,2.85,2.65,2.84,13000,36012,EQNE
2007-03-06,2.73,2.73,2.73,2.73,100,273,EQNE
2007-03-07,2.73,2.73,2.61,2.61,300,803,EQNE
2007-03-09,2.73,2.95,2.18,2.75,7700,20506,EQNE
2007-03-12,2.73,2.73,2.72,2.73,400,1091,EQNE
2007-03-13,2.73,2.73,2.73,2.73,100,273,EQNE
2007-03-15,2.5,2.51,2.45,2.45,900,2232,EQNE
2007-03-16,2.21,2.69,2.12,2.69,10600,22652,EQNE
2007-03-19,2.15,2.27,2.15,2.27,900,2007,EQNE
2007-03-23,2.57,2.57,2.57,2.57,100,257,EQNE
2007-03-26,2.73,2.73,2.73,2.73,200,546,EQNE
2007-03-28,2.41,2.7,2.41,2.7,11800,28922,EQNE
2007-03-29,2.63,2.63,2.63,2.63,20000,52600,EQNE
2007-04-02,2.61,2.61,2,2.11,4300,9816,EQNE
2007-04-03,2.5,2.73,2.5,2.65,35600,94659,EQNE
2007-04-04,2.65,3.19,2.65,3.19,35900,97646,EQNE
2007-04-05,2.51,3.1,2.49,2.49,81400,207295,EQNE
2007-04-06,2.5,2.5,2.15,2.22,1032900,2251025,EQNE
2007-04-09,2.37,2.37,2.13,2.19,154500,336153,EQNE
2007-04-10,2.3,2.44,2.2,2.3,42000,92735,EQNE
2007-04-11,2.3,2.31,2.22,2.22,10800,24926,EQNE
