date,open,high,low,close,volume,value,board
2005-09-12,2.2,3.5,2.2,3.5,36000,109741,EQNE
2005-09-13,3.55,3.55,3,3.35,11700,37648,EQNE
2005-09-14,2.5,3.07,2.5,3.07,1000,2832,EQNE
2005-09-15,3.09,3.09,2.9,2.9,5100,14809,EQNE
2005-09-16,3,3,3,3.0,3100,9300,EQNE
2005-09-21,2.9,2.9,2,2.0,26600,57370,EQNE
2005-09-22,2.7,2.7,1.97,1.97,15500,33395,EQNE
2005-09-27,1.8,1.9,1.79,1.79,4100,7381,EQNE
2005-09-28,1.81,1.81,1.5,1.5,35800,61764,EQNE
2005-09-30,1.77,2.39,1.66,1.98,53700,106848,EQNE
2005-10-03,2.06,2.35,1.5,1.91,220600,376779,EQNE
2005-10-04,1.89,1.9,1.8,1.85,62300,114066,EQNE
2005-10-06,1.71,1.71,1.58,1.65,12000,19106,EQNE
2005-10-10,1.65,1.65,1.65,1.65,2500,4125,EQNE
2005-10-11,1.71,1.84,1.71,1.84,50200,91990,EQNE
2005-10-17,1.83,1.88,1.83,1.88,800,1474,EQNE
2005-10-18,1.83,1.83,1.79,1.82,400,727,EQNE
2005-10-20,1.76,1.76,1.76,1.76,800,1408,EQNE
2005-10-21,1.69,1.69,1.69,1.69,100,169,EQNE
2005-11-01,1.85,1.9,1.85,1.9,21000,39894,EQNE
2005-11-03,2.19,2.19,2,2.0,200,419,EQNE
2005-11-11,2.2,2.2,2.1,2.1,200,430,EQNE
2005-11-14,2,2.14,2,2.14,150300,300629,EQNE
2005-11-15,2.2,2.28,2.2,2.28,200,448,EQNE
2005-11-17,2.24,2.24,2.22,2.23,60000,133800,EQNE
2005-11-18,2.3,2.3,2.22,2.28,5900,13414,EQNE
2005-11-21,2.24,2.28,2.24,2.28,16500,36964,EQNE
2005-11-22,2.21,2.21,2.21,2.21,100,221,EQNE
2005-11-23,2.26,2.26,2.25,2.25,39200,88515,EQNE
2005-11-24,2.27,2.27,2.27,2.27,100,227,EQNE
2005-11-28,2.26,2.27,2.21,2.21,500,1128,EQNE
2005-11-29,2.27,2.27,2.27,2.27,100,227,EQNE
2005-12-02,2.25,2.25,2.25,2.25,2100,4725,EQNE
2005-12-05,2.26,2.28,2.26,2.28,700,1592,EQNE
2005-12-06,2.28,2.3,2.28,2.3,20700,47208,EQNE
2005-12-07,2.36,2.68,2.36,2.68,200,504,EQNE
2005-12-12,2.3,2.3,2.3,2.3,100,230,EQNE
2005-12-13,2.69,2.69,2.46,2.46,1800,4451,EQNE
2005-12-19,2.65,2.65,2.65,2.65,100,265,EQNE
2005-12-21,2.4,2.4,2.4,2.4,3100,7440,EQNE
2005-12-22,2.4,2.5,2.4,2.5,41100,101750,EQNE
2005-12-23,2.45,2.45,2.45,2.45,100,245,EQNE
2005-12-26,2.49,2.49,2.4,2.4,15000,36009,EQNE
2005-12-28,2.4,2.4,2.4,2.4,100,240,EQNE
2006-01-11,2.7,2.7,2.7,2.7,100,270,EQNE
2006-01-20,2.41,2.41,2.41,2.41,3000,7230,EQNE
2006-01-23,2.65,2.65,2.65,2.65,100,265,EQNE
2006-01-24,2.57,2.65,2.57,2.65,7500,19843,EQNE
2006-02-02,2.69,2.69,2.69,2.69,100,269,EQNE
2006-02-15,2.63,2.63,2.63,2.63,100,263,EQNE
2006-02-17,2.65,2.65,2.65,2.65,300,795,EQNE
2006-02-28,2.6,2.6,2.5,2.5,600,1520,EQNE
2006-03-02,2.3,2.63,2.3,2.63,3600,8610,EQNE
2006-03-03,2.7,2.7,2.7,2.7,100,270,EQNE
2006-03-06,2.51,2.51,2.5,2.5,500,1251,EQNE
2006-03-07,2.7,2.7,2.7,2.7,166500,449550,EQNE
2006-03-10,2.7,2.7,2.7,2.7,200,540,EQNE
2006-03-13,2.71,2.77,2.71,2.77,1100,2987,EQNE
2006-03-14,2.77,2.77,2.77,2.77,100,277,EQNE
2006-03-15,2.88,3.22,2.88,3.22,17100,50396,EQNE
2006-03-16,2.7,3.5,2.7,3.3,105700,338495,EQNE
2006-03-17,3.4,3.44,3.25,3.25,2000,6813,EQNE
2006-03-21,3.54,3.56,3.3,3.56,3900,13800,EQNE
2006-03-22,3.5,3.62,3.5,3.62,5100,18296,EQNE
2006-03-23,3.6,3.64,3.6,3.64,19100,68764,EQNE
2006-03-29,3.65,3.65,3.65,3.65,200,730,EQNE
2006-03-30,3.6,3.6,3.6,3.6,400,1440,EQNE
2006-04-03,3.6,3.6,3.6,3.6,2600,9360,EQNE
2006-04-05,3.63,3.63,3.63,3.63,1000,3630,EQNE
2006-04-07,3.66,3.66,3.29,3.29,200,695,EQNE
2006-04-10,3.7,3.7,3.1,3.45,3000,10365,EQNE
2006-04-11,3.5,3.5,3.5,3.5,20000,70000,EQNE
2006-04-19,3,3,3,3.0,2600,7800,EQNE
2006-04-24,3,3,3,3.0,1300,3900,EQNE
2006-04-25,3,3,3,3.0,1500,4500,EQNE
2006-04-26,3.1,3.2,3.1,3.19,77100,246434,EQNE
2006-04-27,2.84,2.84,2.84,2.84,1300,3692,EQNE
2006-04-28,2.72,2.773,2.7,2.773,22100,60035.8,EQNE
2006-05-02,2.702,2.85,2.702,2.85,5000,13954,EQNE
2006-05-03,2.6,2.75,2.6,2.75,800,2140,EQNE
2006-05-06,2.99,3.099,2.99,3.088,50600,151353.9,EQNE
2006-05-12,2.8,2.8,2.8,2.8,1000,2800,EQNE
2006-05-17,2.72,2.9,2.72,2.75,45500,128675,EQNE
2006-05-18,2.6,2.6,2.6,2.6,9500,24700,EQNE
2006-05-19,2.6,2.6,2.6,2.6,5200,13520,EQNE
2006-05-22,2.831,2.831,2.831,2.831,300,849.3,EQNE
2006-05-24,2.7,2.7,2.7,2.7,10000,27000,EQNE
2006-05-26,2.1,2.5,2.1,2.5,200,460,EQNE
2006-05-29,2.652,2.85,2.651,2.85,46700,132730.3,EQNE
2006-05-30,3,3,2.68,2.68,5700,15485.2,EQNE
2006-06-02,3.05,3.05,2.51,2.51,400,1166,EQNE
2006-06-08,2.5,2.5,2.5,2.5,10000,25000,EQNE
2006-06-09,2.999,2.999,2.999,2.999,100,299.9,EQNE
2006-06-13,3.25,3.25,2.411,2.411,25300,64190.3,EQNE
2006-06-14,2.31,2.31,2.272,2.272,200,458.2,EQNE
2006-06-19,2.116,2.116,2.116,2.116,100,211.6,EQNE
2006-06-29,2.1,2.1,2.074,2.074,25100,52109.4,EQNE
2006-06-30,2.103,2.99,2.103,2.114,400,980.7,EQNE
2006-07-12,2.3,2.95,2.3,2.95,300,755,EQNE
2006-07-13,2.97,2.97,2.23,2.701,10400,23478.3,EQNE
2006-07-14,2.084,2.084,2.084,2.084,100,208.4,EQNE
2006-07-18,2.277,2.277,2.277,2.277,100,227.7,EQNE
2006-07-20,2.3,2.3,2.3,2.3,30000,69000,EQNE
2006-07-31,2.416,2.416,2.416,2.416,900,2174.4,EQNE
2006-08-01,2.51,2.51,2.51,2.51,900,2259,EQNE
2006-08-14,2.77,2.77,2.72,2.72,106000,292555.5,EQNE
2006-08-18,2.65,2.65,2.65,2.65,100000,265000,EQNE
2006-08-21,2.77,2.77,2.611,2.611,9000,24214.5,EQNE
2006-08-23,2.77,2.77,2.77,2.77,50000,138500,EQNE
2006-08-24,2.77,2.8,2.75,2.8,67800,188163,EQNE
2006-08-28,2.86,2.86,2.86,2.86,81500,233090,EQNE
2006-08-29,2.95,2.95,2.95,2.95,100,295,EQNE
2006-09-05,3.001,3.001,3,3.0,5000,15000.1,EQNE
2006-09-06,3,3,3,3.0,1500,4500,EQNE
2006-09-07,2.8,2.8,2.8,2.8,10000,28000,EQNE
2006-09-08,3,3,3,3.0,10400,31200,EQNE
2006-09-11,3.05,3.05,3.05,3.05,3000,9150,EQNE
2006-09-14,3.05,3.05,3,3.0,10000,30005,EQNE
2006-09-19,3.4,3.4,3.4,3.4,100,340,EQNE
2006-09-21,3,3,3,3.0,100,300,EQNE
2006-09-22,3.4,3.4,3,3.0,14700,44715.8,EQNE
2006-09-26,2,2,2,2.0,72,144,SMAL
2006-09-28,3.44,3.45,3.44,3.45,12600,43420,EQNE
2006-10-04,2.92,2.92,2.92,2.92,100,292,EQNE
2006-10-06,3.1,3.1,3.1,3.1,16400,50840,EQNE
2006-10-09,2.8,2.8,2.8,2.8,100,280,EQNE
2006-10-17,3.01,3.01,3.01,3.01,3000,9030,EQNE
2006-10-23,3,3,3,3.0,35000,105000,EQNE
2006-10-26,3.1,3.1,3.1,3.1,5000,15500,EQNE
2006-10-27,3,3.15,3,3.15,300,915,EQNE
2006-10-31,3.146,3.146,3,3.0,300,914.6,EQNE
2006-11-07,2.8,3,2.8,3.0,28,81.2,SMAL
2006-11-17,3.365,3.4,3.365,3.4,300,1016.5,EQNE
2006-11-22,3.35,3.39,3.302,3.39,55700,184111.8,EQNE
2006-11-23,3.4,3.45,3.4,3.45,25200,85905,EQNE
2006-11-24,3.7,3.7,3.7,3.7,20000,74000,EQNE
2006-11-27,3.723,4.15,3.51,4.15,27700,109635,EQNE
2006-12-04,4.3,4.3,4.3,4.3,1900,8170,EQNE
2006-12-06,4.41,4.599,4.41,4.599,400,1806.3,EQNE
2006-12-12,4,4.602,4,4.602,500,2240.8,EQNE
2006-12-14,4.211,4.211,4.211,4.211,53400,224867.4,EQNE
2006-12-15,4.602,4.602,4.602,4.602,53800,247587.6,EQNE
2006-12-22,4.602,4.602,4.602,4.602,100,460.2,EQNE
2006-12-25,4.3,4.3,4.3,4.3,100,430,EQNE
2006-12-28,4.3,4.602,4.3,4.602,200,890.2,EQNE
2007-01-09,4.599,4.601,4.599,4.601,900,4140.2,EQNE
2007-01-10,4.602,4.602,4.602,4.602,50100,230560.2,EQNE
2007-01-11,4.602,4.602,4.602,4.602,100,460.2,EQNE
2007-01-12,4.602,4.602,4.602,4.602,200,920.4,EQNE
2007-01-22,4.2,4.53,4.2,4.53,1300,5843,EQNE
2007-01-24,4.602,4.602,4.103,4.103,1100,4960.8,EQNE
2007-01-29,4.6,4.6,4.45,4.46,1500,6755,EQNE
2007-01-30,4.602,5.15,4.58,5.15,1300,6032.2,EQNE
2007-01-31,4.461,4.602,4.461,4.602,2600,11724.6,EQNE
2007-02-01,4.602,5.873,4.602,5.1,816300,4079919.2,EQNE
2007-02-02,5.1,5.677,4.9,5.677,49200,247129.6,EQNE
2007-02-05,5.35,5.65,5.35,5.65,65600,354604.1,EQNE
2007-02-06,6.572,6.572,5.55,6.15,157900,935377.9,EQNE
2007-02-07,6.8,7.5,6.5,7.5,218500,1606167,EQNE
2007-02-08,7.4,7.4,7,7.0,9100,66499.3,EQNE
2007-02-09,6.5,7.13,6.5,7.1,203800,1452060,EQNE
2007-02-12,6.6,7,6.6,6.6,3900,25910,EQNE
2007-02-13,6.8,6.8,6.204,6.3,52000,352684.9,EQNE
2007-02-15,6.8,6.9,6.5,6.85,97200,665250,EQNE
2007-02-16,6.75,6.75,6.75,6.75,800,5400,EQNE
2007-02-20,7.01,7.1,7.01,7.1,700,4916,EQNE
2007-02-26,7.499,7.499,7.001,7.001,200,1450,EQNE
2007-02-27,7.001,7.001,7.001,7.001,900,6300.9,EQNE
2007-02-28,6.801,6.999,6.301,6.301,21500,137439.9,EQNE
