date,open,high,low,close,volume,value,board
2005-09-28,0.25,0.4,0.25,0.4,30200,7580,EQNE
2005-09-29,0.37,0.37,0.37,0.37,1000,370,EQNE
2005-09-30,0.31,0.31,0.3,0.3,13900,4171,EQNE
2005-10-03,0.32,0.32,0.32,0.32,5000,1600,EQNE
2005-10-04,0.3,0.3,0.3,0.3,13800,4140,EQNE
2005-10-12,0.3,0.3,0.3,0.3,7000,2100,EQNE
2005-10-19,0.3,0.3,0.3,0.3,4000,1200,EQNE
2005-10-24,0.3,0.3,0.3,0.3,119200,35760,EQNE
2005-10-25,0.35,0.35,0.35,0.35,100,35,EQNE
2005-11-01,0.3,0.3,0.3,0.3,100,30,EQNE
2005-11-02,0.26,0.26,0.26,0.26,10000,2600,EQNE
2005-11-07,0.22,0.22,0.2,0.2,3600,742,EQNE
2005-11-09,0.25,0.25,0.25,0.25,200,50,EQNE
2005-11-18,0.5,0.5,0.3,0.3,200000,80000,EQNE
2005-11-28,0.6,0.6,0.31,0.31,120000,69100,EQNE
2005-11-29,0.31,0.31,0.31,0.31,21300,6603,EQNE
2005-12-01,0.31,0.31,0.31,0.31,100000,31000,EQNE
2005-12-02,0.86,0.86,0.74,0.74,200,160,EQNE
2005-12-05,0.85,0.86,0.55,0.84,114400,84299,EQNE
2005-12-06,0.56,0.84,0.5,0.84,73000,52008,EQNE
2005-12-07,0.51,0.8,0.5,0.75,47100,24056,EQNE
2005-12-08,0.75,0.75,0.75,0.75,100,75,EQNE
2005-12-09,0.51,0.73,0.51,0.71,13300,6845,EQNE
2005-12-13,0.73,0.73,0.73,0.73,20000,14600,EQNE
2005-12-14,0.551,0.699,0.55,0.699,15100,8320,EQNE
2005-12-15,0.501,0.697,0.5,0.66,4200,2262.9,EQNE
2005-12-16,0.95,0.95,0.78,0.8,1200,955,EQNE
2005-12-19,0.67,0.766,0.46,0.6,65900,33290.5,EQNE
2005-12-21,0.47,0.55,0.46,0.528,24800,12391.3,EQNE
2005-12-22,0.53,0.53,0.53,0.53,3100,1643,EQNE
2005-12-23,0.46,0.529,0.459,0.528,17000,7834.3,EQNE
2005-12-26,0.528,0.528,0.528,0.528,100,52.8,EQNE
2005-12-27,0.495,0.527,0.495,0.527,7900,3913.7,EQNE
2005-12-28,0.522,0.522,0.522,0.522,1900,991.8,EQNE
2005-12-29,0.15,0.15,0.15,0.15,92,13.8,SMAL
2006-01-11,0.5,0.518,0.481,0.491,12400,6086.5,EQNE
2006-01-12,0.451,0.451,0.451,0.451,1700,766.7,EQNE
2006-01-13,0.51,0.51,0.462,0.47,500,238.2,EQNE
2006-01-17,0.423,0.46,0.423,0.46,4600,1950.2,EQNE
2006-01-23,0.499,0.528,0.499,0.528,3800,1948.4,EQNE
2006-02-13,0.429,0.48,0.429,0.48,300,138.8,EQNE
2006-02-15,0.49,0.49,0.49,0.49,200,98,EQNE
2006-02-20,0.5,0.5,0.5,0.5,6000,3000,EQNE
2006-02-21,0.547,0.596,0.358,0.49,45300,24412.9,EQNE
2006-02-22,0.529,0.53,0.529,0.53,300,158.9,EQNE
2006-02-26,0.544,0.544,0.544,0.544,700,380.8,EQNE
2006-02-27,0.5,0.545,0.5,0.545,6400,3425,EQNE
2006-03-01,0.548,0.548,0.351,0.5,12400,6490.4,EQNE
2006-03-06,0.531,0.531,0.531,0.531,100,53.1,EQNE
2006-03-13,0.531,0.625,0.531,0.625,9700,5471.2,EQNE
2006-03-14,0.6,0.6,0.6,0.6,600,360,EQNE
2006-03-15,0.597,0.598,0.597,0.598,1800,1075.5,EQNE
2006-03-16,0.598,0.766,0.598,0.7,12900,8960.1,EQNE
2006-03-22,0.8,0.8,0.8,0.8,200,160,EQNE
2006-03-23,0.355,0.355,0.354,0.354,1000,354.1,EQNE
2006-03-24,0.707,0.707,0.7,0.7,500,350.7,EQNE
2006-03-27,0.7,0.7,0.7,0.7,100,70,EQNE
2006-03-28,0.65,0.65,0.356,0.356,300,165.6,EQNE
2006-03-29,0.599,1.31,0.599,0.92,3800,3188.9,EQNE
2006-03-30,0.9,0.9,0.46,0.66,8000,5078.4,EQNE
2006-03-31,0.79,0.79,0.47,0.53,2900,1513.4,EQNE
2006-04-03,0.65,0.73,0.5,0.5,400,238.1,EQNE
2006-04-05,0.55,0.55,0.5,0.5,1700,900,EQNE
2006-04-06,0.372,0.4,0.372,0.4,200,77.2,EQNE
2006-04-10,0.5,0.5,0.5,0.5,100,50,EQNE
2006-04-11,0.634,1.156,0.58,0.58,30600,26346.8,EQNE
2006-04-12,1.069,1.085,0.985,0.985,5300,5665.3,EQNE
2006-04-13,1.08,1.08,1,1.03,2700,2783,EQNE
2006-04-14,0.4,0.7,0.4,0.7,5200,2563.7,EQNE
2006-04-17,0.7,0.8,0.7,0.8,4000,2899.9,EQNE
2006-04-19,0.65,0.661,0.65,0.651,2600,1698,EQNE
2006-04-20,0.605,0.605,0.605,0.605,3000,1815,EQNE
2006-04-24,0.5,0.5,0.5,0.5,100,50,EQNE
2006-04-27,0.494,0.494,0.493,0.493,800,394.7,EQNE
2006-05-15,0.6,0.6,0.5,0.5,15000,8300,EQNE
2006-05-17,0.5,0.5,0.5,0.5,20000,10000,EQNE
2006-05-23,0.5,0.5,0.5,0.5,1200,600,EQNE
2006-05-26,0.939,0.939,0.053,0.462,1500,743.8,EQNE
2006-05-29,0.45,0.45,0.45,0.45,5100,2295,EQNE
2006-05-30,0.46,0.46,0.415,0.415,36900,16668,EQNE
2006-05-31,0.4,0.401,0.4,0.401,200,80.1,EQNE
2006-06-01,0.459,0.46,0.459,0.46,10000,4599.9,EQNE
2006-06-02,0.46,0.46,0.46,0.46,100,46,EQNE
2006-06-05,0.4,0.4,0.4,0.4,15400,6160,EQNE
2006-06-16,0.4,0.45,0.4,0.45,20000,8500,EQNE
2006-06-19,0.438,0.46,0.438,0.46,11200,5047.2,EQNE
2006-06-21,0.46,0.46,0.35,0.35,10700,3756.2,EQNE
2006-06-22,0.454,0.455,0.454,0.455,18000,8189.3,EQNE
2006-07-03,0.5,0.5,0.5,0.5,1800,900,EQNE
2006-07-06,0.45,0.498,0.45,0.498,10000,4585.6,EQNE
2006-07-07,0.45,0.46,0.45,0.451,25200,11390.2,EQNE
2006-07-11,0.458,0.46,0.458,0.46,28700,13175.6,EQNE
2006-07-13,0.451,0.451,0.45,0.45,10200,4590.2,EQNE
2006-07-19,0.46,0.46,0.46,0.46,10000,4600,EQNE
2006-08-02,0.5,0.5,0.5,0.5,20000,10000,EQNE
2006-08-09,0.499,0.5,0.499,0.5,110200,55099.8,EQNE
2006-08-14,0.55,0.55,0.45,0.53,350200,157613,EQNE
2006-08-15,0.304,0.304,0.303,0.303,2600,788.1,EQNE
2006-08-16,0.318,0.59,0.318,0.4,4000,1851.1,EQNE
2006-09-13,0.54,0.54,0.54,0.54,200,108,EQNE
2006-09-14,0.598,0.598,0.598,0.598,100,59.8,EQNE
2006-10-18,0.649,0.649,0.649,0.649,100,64.9,EQNE
2006-10-20,0.65,0.65,0.5,0.5,900,465,EQNE
2006-10-23,0.599,0.599,0.599,0.599,100,59.9,EQNE
2006-10-24,0.549,0.55,0.549,0.549,2800,1538.1,EQNE
2006-10-25,0.452,0.549,0.45,0.549,105500,57376.6,EQNE
2006-10-26,0.6,0.6,0.547,0.549,1000,553.8,EQNE
2006-10-27,0.548,0.549,0.548,0.549,200,109.7,EQNE
2006-10-30,0.6,0.6,0.501,0.549,10500,5773.9,EQNE
2006-10-31,0.549,0.55,0.549,0.55,500,274.8,EQNE
2006-11-01,0.488,0.549,0.483,0.549,20400,9974.8,EQNE
2006-11-02,0.55,0.55,0.55,0.55,100,55,EQNE
2006-11-07,0.55,0.55,0.55,0.55,600,330,EQNE
2006-11-08,0.453,0.55,0.453,0.55,200,100.3,EQNE
2006-11-09,0.6,0.6,0.6,0.6,100,60,EQNE
2006-11-10,0.629,0.629,0.49,0.55,342400,188217.2,EQNE
2006-11-13,0.6,0.6,0.6,0.6,100,60,EQNE
2006-11-14,0.63,0.63,0.495,0.579,5200,2600.1,EQNE
2006-11-15,0.578,0.578,0.578,0.578,100,57.8,EQNE
2006-11-20,0.47,0.55,0.47,0.55,2100,995,EQNE
2006-11-21,0.55,0.6,0.55,0.59,202900,111725.4,EQNE
2006-11-22,0.6,0.999,0.558,0.558,307100,209050,EQNE
2006-11-23,0.901,0.901,0.56,0.56,4300,2450.3,EQNE
2006-11-24,0.5,0.5,0.455,0.455,37600,18305,EQNE
2006-11-27,0.478,0.989,0.478,0.894,2700,2304.5,EQNE
2006-11-28,0.492,0.75,0.49,0.75,264400,133294.2,EQNE
2006-11-29,0.796,0.796,0.619,0.682,1600,1142.5,EQNE
2006-11-30,0.67,0.67,0.59,0.62,15500,9623,EQNE
2006-12-01,0.608,0.62,0.608,0.62,7000,4328,EQNE
2006-12-04,0.61,0.61,0.61,0.61,500,305,EQNE
2006-12-05,0.542,0.542,0.542,0.542,12500,6775,EQNE
2006-12-06,0.561,0.561,0.507,0.507,50000,26025.8,EQNE
2006-12-07,0.56,0.56,0.56,0.56,500,280,EQNE
2006-12-08,0.522,0.522,0.519,0.519,19800,10277.8,EQNE
2006-12-11,0.56,0.56,0.5,0.5,58100,29574.3,EQNE
2006-12-12,0.55,0.55,0.5,0.505,182200,92840.7,EQNE
2006-12-13,0.559,0.559,0.559,0.559,100,55.9,EQNE
2006-12-14,0.53,0.55,0.53,0.55,5200,2760,EQNE
2006-12-15,0.554,0.559,0.554,0.559,5600,3116.7,EQNE
2006-12-19,0.577,0.577,0.529,0.529,15100,8707.9,EQNE
2006-12-20,0.573,0.573,0.573,0.573,100,57.3,EQNE
2006-12-22,0.53,0.53,0.53,0.53,6200,3286,EQNE
2006-12-25,0.519,0.554,0.505,0.554,66100,33845.6,EQNE
2006-12-26,0.55,0.55,0.55,0.55,1000,550,EQNE
2006-12-27,0.551,0.65,0.551,0.65,360400,227464.2,EQNE
2006-12-28,0.65,0.77,0.63,0.69,44700,30619,EQNE
2006-12-29,0.66,0.755,0.66,0.75,27700,19729.5,EQNE
2007-01-10,0.559,0.648,0.525,0.57,269400,150548.8,EQNE
2007-01-11,0.632,0.74,0.632,0.689,344500,223893.1,EQNE
2007-01-12,0.7,0.7,0.585,0.614,256800,155314.2,EQNE
2007-01-15,0.668,0.67,0.605,0.605,123000,77856.7,EQNE
2007-01-16,0.605,0.63,0.605,0.62,6900,4259.5,EQNE
2007-01-17,0.645,0.645,0.601,0.601,12200,7400,EQNE
2007-01-18,0.601,0.625,0.601,0.625,43900,27367.7,EQNE
2007-01-19,0.64,0.64,0.637,0.637,2100,1339.5,EQNE
2007-01-23,0.639,0.639,0.556,0.584,229200,130872.5,EQNE
2007-01-24,0.629,0.629,0.579,0.589,15300,9051.3,EQNE
2007-01-25,0.637,0.67,0.618,0.65,1280900,804141.6,EQNE
2007-01-26,0.65,0.699,0.65,0.661,122300,84631.1,EQNE
2007-01-29,0.68,0.7,0.675,0.675,55600,38132.7,EQNE
2007-01-30,0.699,0.7,0.698,0.699,5700,3986.3,EQNE
2007-01-31,0.699,0.7,0.699,0.7,1800,1259.5,EQNE
2007-02-01,0.7,0.7,0.7,0.7,1400,980,EQNE
2007-02-05,0.645,0.699,0.645,0.68,25900,17401.4,EQNE
2007-02-06,0.633,0.7,0.633,0.7,44400,29319.6,EQNE
2007-02-07,0.65,0.71,0.62,0.67,31300,19939.6,EQNE
2007-02-08,0.625,0.699,0.625,0.66,93000,60136.1,EQNE
2007-02-09,0.66,0.69,0.629,0.67,41500,27889,EQNE
2007-02-12,0.688,0.7,0.635,0.7,97000,66021.9,EQNE
2007-02-13,0.7,0.7,0.631,0.699,33200,21844.8,EQNE
2007-02-14,0.66,0.698,0.62,0.633,43900,27659.6,EQNE
2007-02-15,0.633,0.698,0.62,0.679,14500,9518,EQNE
2007-02-16,0.7,1.059,0.691,1.0,1516600,1330496.7,EQNE
2007-02-19,0.81,1.047,0.81,0.96,591900,569005.8,EQNE
2007-02-20,1.033,1.033,0.85,0.85,250000,231654.7,EQNE
2007-02-21,0.856,0.856,0.85,0.85,200000,170015.4,EQNE
2007-02-22,0.853,0.925,0.85,0.925,264800,225198.5,EQNE
2007-02-26,0.925,1.299,0.925,1.089,1262400,1395738.1,EQNE
2007-02-27,1.02,1.076,0.942,1.064,34100,33810.1,EQNE
2007-02-28,0.999,0.999,0.85,0.96,4400,3877.6,EQNE
2007-03-01,1.049,1.085,0.874,1.083,164200,162762.9,EQNE
2007-03-02,1,1,1,1.0,100,100,EQNE
2007-03-05,0.85,0.999,0.732,0.999,44400,34562.7,EQNE
2007-03-06,0.972,0.976,0.732,0.976,7200,5514.2,EQNE
2007-03-07,0.73,0.974,0.73,0.972,15400,13456.9,EQNE
2007-03-09,0.9,0.975,0.873,0.918,44400,43238.3,EQNE
2007-03-12,0.826,0.899,0.764,0.898,700,584.3,EQNE
2007-03-13,0.976,0.976,0.737,0.799,146300,110019.6,EQNE
2007-03-14,0.723,0.757,0.651,0.747,125700,88828.7,EQNE
2007-03-15,0.801,0.801,0.7,0.7,215200,152739.6,EQNE
2007-03-16,0.722,0.722,0.722,0.722,1000,722,EQNE
2007-03-19,0.722,0.773,0.722,0.757,14900,10946.8,EQNE
2007-03-20,0.8,0.98,0.701,0.73,54300,39293.3,EQNE
2007-03-21,0.759,1,0.596,0.599,9836900,6119653.7,EQNE
2007-03-22,0.643,0.643,0.532,0.582,7067000,3994660.6,EQNE
2007-03-23,0.595,0.628,0.579,0.612,3228700,1954337.5,EQNE
2007-03-26,0.624,0.629,0.606,0.629,262000,163088.8,EQNE
2007-03-27,0.639,0.639,0.605,0.629,42100,25931.8,EQNE
2007-03-28,0.635,0.635,0.596,0.627,83300,50593.4,EQNE
2007-03-29,0.604,0.627,0.594,0.616,453100,276181.7,EQNE
2007-03-30,0.603,0.629,0.603,0.614,244400,149658.9,EQNE
2007-04-02,0.627,0.627,0.605,0.619,41900,25663.1,EQNE
2007-04-03,0.61,0.622,0.603,0.621,302000,184325.7,EQNE
2007-04-04,0.625,0.639,0.611,0.616,76200,47122.9,EQNE
2007-04-05,0.62,0.624,0.612,0.618,83100,51030.6,EQNE
2007-04-06,0.627,0.69,0.627,0.636,453400,299355.5,EQNE
2007-04-09,0.665,0.665,0.641,0.65,120800,78338.3,EQNE
2007-04-10,0.665,0.687,0.651,0.682,1000300,670638.8,EQNE
2007-04-11,0.69,0.768,0.687,0.74,1585200,1156207.2,EQNE
2007-04-12,0.798,0.798,0.701,0.736,318300,236557.4,EQNE
2007-04-13,0.75,0.754,0.73,0.737,423500,310144.1,EQNE
2007-04-16,0.752,0.752,0.64,0.65,1700800,1123662.6,EQNE
2007-04-17,0.64,0.683,0.64,0.653,743100,483933,EQNE
2007-04-18,0.664,0.679,0.652,0.677,194800,129719.1,EQNE
2007-04-19,0.635,0.66,0.606,0.65,190000,122638.8,EQNE
2007-04-20,0.649,0.679,0.635,0.675,453800,302908.1,EQNE
2007-04-23,0.693,0.693,0.655,0.658,46600,31027.3,EQNE
2007-04-24,0.679,0.679,0.63,0.66,108700,68788.8,EQNE
2007-04-25,0.67,0.67,0.608,0.642,47400,29091.7,EQNE
2007-04-26,0.649,0.649,0.6,0.626,242700,149681,EQNE
2007-04-27,0.647,0.647,0.59,0.599,169500,101414.9,EQNE
2007-04-28,0.582,0.623,0.567,0.615,28900,17108.3,EQNE
2007-05-02,0.6,0.614,0.588,0.614,13900,8268.2,EQNE
2007-05-03,0.624,0.624,0.617,0.617,400,248.2,EQNE
2007-05-04,0.603,0.619,0.603,0.619,51000,30755.8,EQNE
2007-05-07,0.621,0.627,0.6,0.619,37500,22623.6,EQNE
2007-05-08,0.601,0.619,0.6,0.615,8300,5059.6,EQNE
2007-05-10,0.582,0.598,0.56,0.592,236600,134808.2,EQNE
2007-05-11,0.584,0.585,0.55,0.55,101300,56782.9,EQNE
2007-05-14,0.569,0.577,0.555,0.56,228600,127443.2,EQNE
2007-05-15,0.56,0.575,0.555,0.575,40800,22810.8,EQNE
2007-05-16,0.579,0.579,0.577,0.577,5000,2885.2,EQNE
2007-05-18,0.57,0.585,0.56,0.56,7900,4458.9,EQNE
2007-05-21,0.55,0.59,0.55,0.59,61200,35731.9,EQNE
2007-05-22,0.588,0.599,0.587,0.599,55100,32796.4,EQNE
2007-05-23,0.598,0.605,0.569,0.596,49300,28828.7,EQNE
2007-05-24,0.589,0.589,0.538,0.538,43700,24489.6,EQNE
2007-05-25,0.481,0.568,0.481,0.55,12900,6889,EQNE
2007-05-28,0.575,0.576,0.501,0.534,135100,70769.9,EQNE
2007-05-29,0.569,0.569,0.569,0.569,100,56.9,EQNE
2007-05-31,0.519,0.565,0.519,0.552,61700,33904.3,EQNE
2007-06-01,0.545,0.564,0.524,0.563,54300,29649.4,EQNE
2007-06-04,0.54,0.559,0.527,0.541,34300,18187.8,EQNE
2007-06-05,0.607,0.607,0.57,0.578,15800,9344.9,EQNE
2007-06-06,0.576,0.576,0.569,0.569,30700,17542.7,EQNE
2007-06-07,0.566,0.592,0.566,0.588,33400,19430.3,EQNE
2007-06-08,0.515,0.583,0.515,0.576,6600,3420.3,EQNE
2007-06-09,0.58,0.58,0.58,0.58,100,58,EQNE
2007-06-13,0.604,0.604,0.55,0.583,100300,55677.5,EQNE
2007-06-14,0.56,0.589,0.56,0.57,53100,29768.9,EQNE
2007-06-15,0.579,0.579,0.56,0.567,149700,83907.9,EQNE
2007-06-18,0.575,0.589,0.517,0.549,721400,382386.2,EQNE
2007-06-19,0.563,0.563,0.563,0.563,100,56.3,EQNE
2007-06-20,0.574,0.574,0.523,0.549,68000,35828.9,EQNE
2007-06-21,0.565,0.565,0.525,0.539,59100,31231.5,EQNE
2007-06-22,0.56,0.56,0.56,0.56,100,56,EQNE
2007-06-25,0.532,0.556,0.48,0.551,22700,11900.9,EQNE
2007-06-26,0.559,0.569,0.533,0.533,83900,46403.4,EQNE
2007-06-27,0.556,0.556,0.53,0.553,20100,10693.4,EQNE
2007-06-28,0.532,0.557,0.501,0.53,158300,81249,EQNE
2007-06-29,0.515,0.534,0.505,0.534,6700,3405,EQNE
2007-07-02,0.54,0.54,0.54,0.54,100,54,EQNE
2007-07-03,0.552,0.552,0.505,0.545,5400,2746.3,EQNE
