date,open,high,low,close,volume,value,board
2003-02-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-10,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-12,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-13,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-14,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-18,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-19,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-20,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-21,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-25,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-26,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-27,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-28,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2010-07-22,15.54,15.54,15.54,15.54,1000,15540.0,EQNE
2010-07-23,21.76,24.86,21.76,24.84,4100,96313.0,EQNE
2010-07-26,27.0,27.0,14.9,14.9,41200,632369.0,EQNE
2010-07-27,14.0,14.95,13.15,13.48,18500,259806.0,EQNE
2010-07-28,12.82,14.05,12.82,13.3,1400,18393.0,EQNE
2010-07-29,12.82,13.9,12.11,13.9,5700,71999.0,EQNE
2010-07-30,12.5,13.0,12.5,13.0,2000,25500.0,EQNE
2010-08-02,12.22,13.89,12.21,13.89,700,8716.0,EQNE
2010-08-04,14.09,14.09,12.0,12.62,2100,26471.0,EQNE
2010-08-05,12.49,12.49,11.22,11.99,78100,928460.0,EQNE
2010-08-06,11.5,11.5,10.27,11.16,9900,112044.0,EQNE
2010-08-09,11.47,12.0,11.47,11.5,9600,111481.0,EQNE
2010-08-10,11.5,11.5,11.0,11.0,5200,57700.0,EQNE
2010-08-11,10.88,10.88,10.6,10.6,600,6500.0,EQNE
2010-08-12,10.99,11.4,10.99,11.4,600,6635.0,EQNE
2010-08-13,11.5,11.5,11.5,11.5,100,1150.0,EQNE
2010-08-16,11.5,11.5,11.5,11.5,100,1150.0,EQNE
2010-08-17,11.5,11.5,11.5,11.5,100,1150.0,EQNE
2010-08-18,10.99,11.0,10.99,11.0,200,2199.0,EQNE
2010-08-19,11.0,11.0,10.01,10.75,1600,16685.0,EQNE
2010-08-23,10.0,10.72,10.0,10.23,9600,100302.0,EQNE
2010-08-24,10.0,10.0,10.0,10.0,100,1000.0,EQNE
2010-08-25,10.0,10.0,10.0,10.0,1800,18000.0,EQNE
2010-08-26,10.04,10.1,10.01,10.1,2000,20073.0,EQNE
2010-08-27,10.01,10.03,10.01,10.03,1100,11013.0,EQNE
2010-08-30,10.01,10.02,10.0,10.0,2700,27031.0,EQNE
2010-08-31,9.4,10.1,8.01,9.91,4800,47220.0,EQNE
2010-09-01,9.71,11.0,9.55,10.75,142500,1561247.0,EQNE
2010-09-06,10.75,11.0,10.75,10.75,23200,254675.0,EQNE
2010-09-07,10.5,10.74,10.02,10.49,20700,216766.0,EQNE
2010-09-08,10.5,10.5,10.06,10.5,9800,102724.0,EQNE
2010-09-09,10.5,10.5,10.03,10.49,8200,85488.0,EQNE
2010-09-10,10.03,10.49,10.03,10.49,3000,30780.0,EQNE
2010-09-13,10.5,10.8,10.5,10.5,211600,2276550.0,EQNE
2010-09-14,10.5,10.5,9.12,9.12,7900,80049.0,EQNE
2010-09-15,10.0,10.0,10.0,10.0,89,890.0,SMAL
2010-09-17,9.99,10.0,9.99,10.0,2300,22987.0,EQNE
2010-09-20,9.41,9.42,9.4,9.4,5700,53591.0,EQNE
2010-09-22,9.97,9.97,9.97,9.97,200,1994.0,EQNE
2010-09-24,9.34,9.94,9.34,9.94,300,2862.0,EQNE
2010-09-30,9.31,9.72,9.3,9.72,6200,57864.0,EQNE
2010-10-01,9.71,9.97,9.71,9.97,2000,19860.0,EQNE
2010-10-04,9.74,10.0,9.74,9.75,22500,223554.0,EQNE
2010-10-05,9.74,10.0,9.74,9.75,64000,637554.0,EQNE
2010-10-06,9.75,9.75,9.75,9.75,2000,19500.0,EQNE
2010-10-11,9.75,9.75,9.75,9.75,2000,19500.0,EQNE
2010-10-13,9.75,10.0,9.75,9.75,37400,368972.0,EQNE
2010-10-14,9.75,9.75,9.75,9.75,300,2925.0,EQNE
2010-10-15,9.15,9.5,9.15,9.5,7900,72590.0,EQNE
2010-10-21,9.5,9.5,9.5,9.5,100,950.0,EQNE
2010-10-22,9.15,9.15,9.0,9.0,10600,95415.0,EQNE
2010-10-27,9.01,9.01,9.0,9.0,600,5404.0,EQNE
2010-10-29,9.24,9.24,9.24,9.24,200,1848.0,EQNE
2010-11-03,9.19,9.19,9.19,9.19,200,1838.0,EQNE
2010-11-08,8.51,9.18,8.5,9.18,13300,118306.0,EQNE
2010-11-09,9.0,9.01,8.99,9.0,40600,365397.0,EQNE
2010-11-10,8.99,9.0,8.99,9.0,12600,113398.0,EQNE
2010-11-11,9.0,9.0,8.56,8.9,18200,161854.0,EQNE
2010-11-12,8.99,8.99,8.95,8.95,200,1794.0,EQNE
2010-11-13,9.0,9.0,9.0,9.0,10100,90900.0,EQNE
2010-11-15,9.0,9.25,9.0,9.0,2100,19150.0,EQNE
2010-11-16,8.95,8.95,8.95,8.95,2500,22375.0,EQNE
2010-11-17,8.7,8.95,8.6,8.95,400,3486.0,EQNE
2010-11-18,8.9,8.9,8.9,8.9,200,1780.0,EQNE
2010-11-22,8.52,8.93,8.51,8.51,3100,26985.0,EQNE
2010-11-24,8.45,8.52,8.0,8.51,15800,129600.0,EQNE
2010-11-25,8.49,8.75,8.49,8.75,3600,30644.0,EQNE
2010-11-26,8.65,8.9,8.65,8.9,1200,10505.0,EQNE
2010-11-29,8.61,9.97,8.61,9.79,274300,2589749.0,EQNE
2010-11-30,9.75,9.75,8.52,9.15,112800,1024303.0,EQNE
2010-12-01,9.15,9.22,8.61,8.9,21300,188003.0,EQNE
2010-12-02,8.82,9.3,8.63,8.82,36000,331388.0,EQNE
2010-12-03,8.8,9.2,8.51,9.2,16200,144621.0,EQNE
2010-12-06,8.83,9.0,8.05,8.99,42500,363934.0,EQNE
2010-12-07,8.63,9.0,8.63,8.85,17600,157784.0,EQNE
2010-12-08,8.8,8.98,8.8,8.9,7900,70217.0,EQNE
