date,open,high,low,close,volume,value,board
2006-01-30,1,1,0.37,0.37,8962000,3762929,EQNE
2006-01-31,0.37,0.41,0.37,0.38,1996700,783081,EQNE
2006-02-01,0.37,0.38,0.29,0.3,18632500,5809785,EQNE
2006-02-02,0.3,0.31,0.29,0.3,2610600,780085,EQNE
2006-02-03,0.29,0.31,0.29,0.29,733200,214917,EQNE
2006-02-06,0.29,0.3,0.26,0.27,35184100,9593919,EQNE
2006-02-07,0.27,0.28,0.26,0.27,6428700,1729152,EQNE
2006-02-08,0.27,0.28,0.26,0.27,21486000,5792291,EQNE
2006-02-09,0.27,0.29,0.26,0.27,15674300,4309741,EQNE
2006-02-10,0.27,0.3,0.26,0.3,6699000,1850612,EQNE
2006-02-13,0.29,0.3,0.29,0.3,4915200,1450637,EQNE
2006-02-14,0.3,0.35,0.29,0.34,16706000,5402719,EQNE
2006-02-15,0.35,0.35,0.31,0.34,8631400,2728628,EQNE
2006-02-16,0.32,0.36,0.32,0.35,18810200,6492287,EQNE
2006-02-17,0.38,0.41,0.34,0.4,6923200,2625590,EQNE
2006-02-20,0.37,0.47,0.37,0.47,13484400,5764929,EQNE
2006-02-21,0.42,0.48,0.41,0.42,1882900,825342,EQNE
2006-02-22,0.43,0.43,0.39,0.43,1923800,792341,EQNE
2006-02-26,0.43,0.45,0.41,0.44,2856200,1253101,EQNE
2006-02-27,0.44,0.49,0.43,0.46,4066800,1877328,EQNE
2006-02-28,0.47,0.7,0.44,0.52,13365300,7450693,EQNE
2006-03-01,0.48,0.54,0.43,0.47,9242800,4328951,EQNE
2006-03-02,0.47,0.52,0.43,0.44,20194800,9056083,EQNE
2006-03-03,0.46,0.47,0.43,0.44,2260600,1014145,EQNE
2006-03-06,0.45,0.45,0.42,0.44,5442900,2377421,EQNE
2006-03-07,0.44,0.44,0.4,0.4,2842200,1197580,EQNE
2006-03-09,0.38,0.41,0.37,0.4,1026400,397736,EQNE
2006-03-10,0.38,0.41,0.37,0.4,2658600,1031723,EQNE
2006-03-13,0.4,0.43,0.38,0.38,839200,332166,EQNE
2006-03-14,0.4,0.41,0.38,0.39,3050900,1197277,EQNE
2006-03-15,0.4,0.4,0.38,0.4,2634700,1023708,EQNE
2006-03-16,0.39,0.4,0.37,0.38,500600,191410,EQNE
2006-03-17,0.39,0.39,0.37,0.38,339100,129281,EQNE
2006-03-20,0.38,0.39,0.37,0.38,1188700,450255,EQNE
2006-03-21,0.38,0.39,0.37,0.38,235200,88323,EQNE
2006-03-22,0.37,0.38,0.37,0.37,398900,149600,EQNE
2006-03-23,0.38,0.41,0.38,0.39,1131800,445238,EQNE
2006-03-24,0.39,0.4,0.39,0.4,353100,140034,EQNE
2006-03-27,0.41,0.41,0.38,0.39,1548100,607660,EQNE
2006-03-28,0.39,0.39,0.37,0.39,2785900,1061234,EQNE
2006-03-29,0.38,0.39,0.37,0.37,982300,369453,EQNE
2006-03-30,0.37,0.38,0.37,0.38,2630300,995948,EQNE
2006-03-31,0.38,0.41,0.38,0.41,2498900,977647,EQNE
2006-04-03,0.41,0.41,0.39,0.41,378900,151055,EQNE
