date,open,high,low,close,volume,value,board
2011-12-14,63.0,63.0,60.0,60.0,2000,120900.0,EQNE
2011-12-15,62.0,62.0,62.0,62.0,100,6200.0,EQNE
2011-12-16,62.0,63.0,62.0,62.0,3600,223400.0,EQNE
2011-12-20,62.0,69.0,62.0,62.0,234500,16150800.0,EQNE
2011-12-21,62.0,63.0,59.0,59.0,17000,1044939.0,EQNE
2011-12-22,61.43,62.0,60.0,61.99,600,36542.0,EQNE
2011-12-26,60.99,73.0,60.99,73.0,5700,362798.0,EQNE
2011-12-27,64.0,64.0,64.0,64.0,200,12800.0,EQNE
2011-12-28,64.0,64.0,64.0,64.0,1200,76800.0,EQNE
2011-12-30,63.0,64.0,63.0,64.0,2000,127500.0,EQNE
2012-01-06,61.01,64.0,61.01,64.0,700,44500.0,EQNE
2012-01-10,64.0,64.0,64.0,64.0,500,32000.0,EQNE
2012-01-11,64.0,64.0,64.0,64.0,100,6400.0,EQNE
2012-01-12,64.0,66.0,64.0,66.0,700,45100.0,EQNE
2012-01-13,66.0,67.0,66.0,67.0,1100,72700.0,EQNE
2012-01-16,66.61,66.61,65.1,66.0,500,32852.0,EQNE
2012-01-17,66.0,66.0,66.0,66.0,300,19800.0,EQNE
2012-01-18,66.98,66.98,66.98,66.98,100,6698.0,EQNE
2012-01-19,61.03,63.9,61.0,63.9,5800,354120.0,EQNE
2012-01-20,60.0,62.99,60.0,62.98,300,18597.0,EQNE
2012-01-23,62.97,62.97,60.0,62.89,1200,72591.0,EQNE
2012-01-24,62.95,62.95,62.95,62.95,100,6295.0,EQNE
2012-01-25,62.9,62.9,62.89,62.89,600,37736.0,EQNE
2012-01-26,62.98,65.98,62.89,62.89,1300,82740.0,EQNE
2012-01-27,63.0,63.0,63.0,63.0,100,6300.0,EQNE
2012-01-30,64.0,64.0,64.0,64.0,2400,153600.0,EQNE
2012-01-31,64.0,64.0,62.1,62.98,10000,628170.0,EQNE
2012-02-01,63.0,65.0,62.98,65.0,65300,4162751.0,EQNE
2012-02-02,65.64,65.64,65.1,65.1,13200,859457.0,EQNE
2012-02-03,64.2,66.8,64.2,66.8,2600,169721.0,EQNE
2012-02-06,66.0,68.97,66.0,68.0,30500,2024662.0,EQNE
2012-02-07,68.0,69.75,68.0,68.0,10500,720856.0,EQNE
2012-02-08,68.0,69.95,68.0,69.0,10900,750120.0,EQNE
2012-02-09,69.0,70.0,69.0,69.0,7900,548850.0,EQNE
2012-02-10,69.0,71.0,69.0,69.01,8300,578578.0,EQNE
2012-02-13,70.0,72.65,68.0,72.45,26200,1867055.0,EQNE
2012-02-14,70.99,72.5,70.99,72.5,3500,250977.0,EQNE
2012-02-15,72.8,74.0,72.8,74.0,4100,300478.0,EQNE
2012-02-16,74.8,76.99,72.5,72.5,15700,1193414.0,EQNE
2012-02-17,76.49,77.0,70.64,70.64,10600,811028.0,EQNE
2012-02-20,75.68,77.4,72.0,74.99,12400,945927.0,EQNE
2012-02-21,75.0,76.0,72.04,74.0,51700,3853036.0,EQNE
2012-02-22,74.99,75.5,74.0,74.74,152900,11431969.0,EQNE
2012-02-24,68.1,77.0,68.1,76.0,104500,7724644.0,EQNE
2012-02-27,76.5,76.94,75.0,75.0,67900,5103980.0,EQNE
2012-02-28,74.0,78.0,74.0,78.0,103500,7844745.0,EQNE
2012-02-29,77.0,80.5,77.0,78.0,143400,11403716.0,EQNE
2012-03-01,80.0,80.0,77.5,79.0,54500,4243035.0,EQNE
2012-03-02,79.3,79.99,78.0,79.0,24700,1954259.0,EQNE
2012-03-05,82.0,82.0,79.99,80.5,8100,650212.0,EQNE
2012-03-06,79.5,79.5,79.5,79.5,100,7950.0,EQNE
2012-03-07,77.33,78.5,77.1,78.0,7100,551295.0,EQNE
2012-03-11,79.48,79.48,78.0,78.0,11900,940106.0,EQNE
2012-03-12,78.5,78.5,76.01,76.01,1300,100386.0,EQNE
2012-03-13,77.11,77.11,75.99,76.01,5500,419399.0,EQNE
2012-03-14,77.0,77.0,76.99,77.0,64200,4943398.0,EQNE
2012-03-15,77.2,77.2,77.2,77.2,100,7720.0,EQNE
2012-03-16,77.2,77.2,77.2,77.2,100,7720.0,EQNE
2012-03-19,75.01,77.16,75.0,75.0,37900,2842973.0,EQNE
2012-03-20,75.0,76.97,74.25,74.25,16500,1234115.0,EQNE
2012-03-21,76.45,76.47,75.0,75.1,3100,233072.0,EQNE
2012-03-22,75.8,76.88,75.8,75.8,52400,3972029.0,EQNE
2012-03-26,77.0,77.85,76.99,77.85,20000,1551648.0,EQNE
2012-03-29,77.75,78.01,77.75,78.0,33200,2587931.0,EQNE
2012-03-30,78.0,78.49,77.0,78.45,111700,8702949.0,EQNE
2012-04-02,77.03,79.79,77.0,78.5,8400,653928.0,EQNE
2012-04-03,79.27,79.28,78.51,78.51,7400,581665.0,EQNE
2012-04-04,78.7,78.7,78.0,78.01,62300,4884560.0,EQNE
2012-04-05,77.5,77.5,77.5,77.5,100,7750.0,EQNE
2012-04-06,79.48,79.9,78.15,79.5,107000,8467456.0,EQNE
2012-04-09,79.0,79.99,77.0,77.0,79500,6263534.0,EQNE
2012-04-10,78.55,79.0,78.55,78.99,107600,8454949.0,EQNE
2012-04-11,78.5,80.1,78.5,80.1,21000,1649056.0,EQNE
2012-04-12,83.99,86.2,80.49,86.2,10800,902507.0,EQNE
2012-04-13,87.98,89.3,86.2,86.2,5400,476310.0,EQNE
2012-04-16,92.0,92.0,84.0,87.99,3500,299818.0,EQNE
2012-04-17,84.0,93.8,78.5,89.0,100400,7986792.0,EQNE
2012-04-18,85.0,86.98,84.0,86.98,36000,3062410.0,EQNE
2012-04-19,88.0,88.0,85.0,85.0,26000,2285000.0,EQNE
2012-04-20,88.0,88.95,84.0,84.0,3300,281912.0,EQNE
2012-04-23,88.79,90.0,88.79,89.0,2000,178605.0,EQNE
2012-04-24,89.76,89.95,88.0,88.0,700,62556.0,EQNE
2012-04-25,86.0,86.0,86.0,86.0,5400,464400.0,EQNE
2012-04-26,86.0,86.0,86.0,86.0,1000,86000.0,EQNE
2012-04-27,87.0,89.85,86.0,86.0,10000,886600.0,EQNE
2012-04-28,88.5,89.01,85.03,85.03,13900,1198471.0,EQNE
2012-05-02,88.45,89.7,88.45,89.5,14400,1291029.0,EQNE
2012-05-03,88.5,89.29,86.4,86.42,19200,1673592.0,EQNE
2012-05-04,86.01,88.4,84.01,84.01,3800,330037.0,EQNE
2012-05-05,84.01,89.29,84.0,84.8,28600,2489033.0,EQNE
2012-05-07,89.28,89.28,89.28,89.28,100,8928.0,EQNE
2012-05-08,86.9,86.9,86.9,86.9,13200,1147080.0,EQNE
2012-05-10,87.0,87.0,87.0,87.0,100,8700.0,EQNE
2012-05-11,84.76,84.76,84.76,84.76,100,8476.0,EQNE
2012-05-12,82.55,82.55,82.55,82.55,100,8255.0,EQNE
2012-05-14,81.11,81.11,80.03,80.03,13300,1078525.0,EQNE
2012-05-15,73.5,73.5,73.5,73.5,100,7350.0,EQNE
2012-05-16,84.99,85.0,84.99,85.0,2800,237997.0,EQNE
2012-05-23,83.99,83.99,83.99,83.99,100,8399.0,EQNE
2012-06-01,61.21,83.93,61.21,83.93,900,70818.0,EQNE
2012-06-15,83.12,83.4,70.05,72.07,1000,77426.0,EQNE
2012-06-18,83.59,83.59,78.5,80.98,400,32406.0,EQNE
2012-06-26,81.0,83.9,81.0,83.9,6000,503044.0,EQNE
2012-06-27,79.3,79.3,66.0,79.22,900,70007.0,EQNE
2012-06-29,79.22,79.22,79.22,79.22,300,23766.0,EQNE
2012-07-03,79.73,79.73,79.49,79.49,400,31842.0,EQNE
2012-07-05,79.49,79.49,79.48,79.49,1100,87438.0,EQNE
2012-07-13,79.47,79.48,79.47,79.48,300,23842.0,EQNE
2012-07-16,79.47,79.47,79.47,79.47,100,7947.0,EQNE
2012-07-17,79.47,79.47,79.46,79.46,200,15893.0,EQNE
2012-07-18,79.45,79.45,79.45,79.45,100,7945.0,EQNE
2012-07-25,75.5,75.5,75.0,75.0,9600,723253.0,EQNE
2012-07-30,75.0,75.0,75.0,75.0,100,7500.0,EQNE
2012-07-31,80.49,80.49,75.4,75.4,6600,498149.0,EQNE
2012-08-06,79.83,83.3,75.1,75.1,2400,189266.0,EQNE
2012-08-07,75.5,75.5,75.5,75.5,6500,490750.0,EQNE
2012-08-08,79.54,79.54,79.54,79.54,100,7954.0,EQNE
2012-08-09,75.5,75.5,75.0,75.0,12500,941063.0,EQNE
2012-08-13,75.0,75.0,75.0,75.0,100,7500.0,EQNE
2012-08-20,75.01,75.01,75.0,75.0,1000,75005.0,EQNE
2012-08-21,77.97,77.97,77.97,77.97,200,15594.0,EQNE
2012-08-22,75.01,75.01,75.0,75.01,1500,112502.0,EQNE
2012-08-23,75.0,75.0,75.0,75.0,200,15000.0,EQNE
2012-09-10,75.0,79.97,75.0,79.97,600,46491.0,EQNE
2012-09-19,79.45,81.55,79.45,80.97,1100,88105.0,EQNE
2012-09-20,81.8,82.0,81.8,82.0,200,16380.0,EQNE
2012-09-21,78.0,78.0,78.0,78.0,100,7800.0,EQNE
2012-09-28,78.48,79.0,78.48,78.48,10100,797596.0,EQNE
2012-10-01,78.48,78.48,78.48,78.48,100,7848.0,EQNE
2012-10-09,78.48,78.48,78.48,78.48,100,7848.0,EQNE
2012-10-11,78.01,78.02,78.0,78.0,7700,600606.0,EQNE
2012-10-15,79.0,79.0,79.0,79.0,5000,395000.0,EQNE
2012-10-16,80.0,80.0,80.0,80.0,100,8000.0,EQNE
2012-10-17,80.0,82.3,80.0,81.0,2400,196393.0,EQNE
2012-10-18,80.01,80.01,80.01,80.01,100,8001.0,EQNE
2012-10-19,81.99,81.99,80.0,80.0,400,32399.0,EQNE
2012-10-22,80.01,80.01,80.01,80.01,300,24003.0,EQNE
2012-10-23,80.0,80.0,80.0,80.0,1700,136000.0,EQNE
2012-10-24,79.5,79.5,79.0,79.0,900,71350.0,EQNE
2012-10-25,79.5,79.5,79.5,79.5,100,7950.0,EQNE
2012-10-30,79.51,79.51,79.51,79.51,100,7951.0,EQNE
2012-10-31,79.5,80.0,79.5,80.0,10000,799000.0,EQNE
2012-11-01,79.0,79.0,79.0,79.0,1000,79000.0,EQNE
2012-11-02,80.49,80.5,79.0,79.0,47100,3789448.0,EQNE
2012-11-06,79.99,80.0,79.99,80.0,5400,431996.0,EQNE
2012-11-07,81.0,81.0,81.0,81.0,100,8100.0,EQNE
2012-11-08,79.0,80.0,79.0,80.0,13900,1100000.0,EQNE
2012-11-09,80.0,80.0,80.0,80.0,600,48000.0,EQNE
2012-11-12,80.0,80.0,80.0,80.0,1600,128000.0,EQNE
2012-11-20,80.0,80.01,80.0,80.0,5700,456001.0,EQNE
2012-11-28,80.0,84.7,80.0,84.7,700,57879.0,EQNE
2012-11-29,81.5,81.5,81.5,81.5,10000,815000.0,EQNE
2012-12-03,83.0,83.0,80.03,80.03,600,48612.0,EQNE
2012-12-04,83.99,83.99,83.99,83.99,100,8399.0,EQNE
2012-12-05,82.5,82.75,82.5,82.75,6200,513000.0,EQNE
2012-12-07,83.0,83.0,83.0,83.0,500,41500.0,EQNE
2012-12-10,83.0,83.0,83.0,83.0,1000,83000.0,EQNE
2012-12-11,83.0,83.0,83.0,83.0,500,41500.0,EQNE
2012-12-13,83.0,83.0,83.0,83.0,1100,91300.0,EQNE
2012-12-14,83.0,83.0,83.0,83.0,1500,124500.0,EQNE
2012-12-18,83.0,83.0,83.0,83.0,100,8300.0,EQNE
2012-12-19,83.0,83.0,82.99,83.0,15500,1286498.0,EQNE
2012-12-20,83.0,83.9,83.0,83.9,300,24990.0,EQNE
2012-12-21,83.0,83.0,83.0,83.0,1000,83000.0,EQNE
2012-12-24,83.0,83.0,83.0,83.0,1000,83000.0,EQNE
2012-12-25,83.25,90.01,83.25,88.9,43800,3903121.0,EQNE
2012-12-26,83.01,91.4,83.0,90.0,93300,8364788.0,EQNE
2012-12-27,90.0,90.99,89.01,90.99,20300,1826901.0,EQNE
2012-12-28,90.99,92.7,90.0,92.7,102300,9211168.0,EQNE
2013-01-09,80.01,94.99,80.0,90.0,310500,24842502.0,EQNE
2013-01-10,90.0,97.4,90.0,95.0,16500,1572738.0,EQNE
2013-01-11,110.0,110.0,90.03,90.03,200,20003.0,EQNE
2013-01-14,97.99,119.99,97.99,119.99,33800,3563306.0,EQNE
2013-01-15,119.99,149.0,119.99,149.0,41200,4975599.0,EQNE
2013-01-16,116.5,116.5,116.5,116.5,100,11650.0,EQNE
2013-01-17,120.0,138.0,120.0,138.0,200,25800.0,EQNE
2013-01-18,116.5,120.5,116.5,120.5,300,35750.0,EQNE
2013-01-22,105.1,105.1,105.0,105.0,300,31519.0,EQNE
2013-01-23,109.95,115.0,109.95,110.0,9000,1005029.0,EQNE
2013-01-28,110.0,110.0,107.0,110.0,400,43500.0,EQNE
2013-01-29,100.02,100.02,100.0,100.0,19600,1960002.0,EQNE
2013-02-07,60.3,60.3,60.3,60.3,70,4221.0,SMAL
2013-02-08,100.0,100.0,100.0,100.0,500,50000.0,EQNE
2013-02-12,100.0,100.0,94.03,94.03,200,19403.0,EQNE
2013-02-13,99.99,102.9,99.99,100.01,18700,1870285.0,EQNE
2013-02-14,100.0,119.0,100.0,119.0,26100,2630895.0,EQNE
2013-02-18,106.01,106.01,106.0,106.0,200,21201.0,EQNE
2013-02-21,110.0,110.0,110.0,110.0,200,22000.0,EQNE
2013-02-27,109.95,109.95,109.95,109.95,100,10995.0,EQNE
2013-02-28,101.03,101.03,100.0,100.0,59400,5941422.0,EQNE
2013-03-05,109.85,109.87,100.0,100.0,1300,131972.0,EQNE
2013-03-06,99.99,100.0,99.99,100.0,4600,459999.0,EQNE
2013-03-07,99.0,103.0,99.0,103.0,900,91490.0,EQNE
2013-03-11,100.0,100.0,100.0,100.0,2000,200000.0,EQNE
2013-03-12,94.08,97.0,91.0,97.0,4300,403842.0,EQNE
2013-03-13,97.0,100.0,97.0,99.0,5900,586173.0,EQNE
2013-03-14,95.06,100.0,95.06,95.51,2300,220843.0,EQNE
2013-03-15,96.2,96.2,94.04,96.0,10500,1007226.0,EQNE
2013-03-18,87.12,94.97,87.06,94.97,1700,150808.0,EQNE
2013-03-19,92.0,93.99,92.0,92.0,3300,304197.0,EQNE
2013-03-21,92.0,95.97,92.0,95.97,4000,368828.0,EQNE
2013-03-25,95.0,95.0,93.03,93.03,2500,237303.0,EQNE
2013-03-27,90.04,90.04,87.0,90.0,1200,107119.0,EQNE
2013-03-29,92.99,93.0,89.31,89.31,2300,208364.0,EQNE
2013-04-01,90.0,90.0,90.0,90.0,1000,90000.0,EQNE
2013-04-02,91.98,93.9,91.98,93.9,1900,176839.0,EQNE
2013-04-05,90.0,91.5,90.0,90.0,2700,243750.0,EQNE
2013-04-08,87.0,87.0,85.01,85.01,1500,127918.0,EQNE
2013-04-10,83.5,90.01,83.5,90.0,6400,568741.0,EQNE
2013-04-11,88.01,88.01,88.0,88.0,6000,528002.0,EQNE
2013-04-12,81.5,81.5,81.5,81.5,10000,815000.0,EQNE
2013-04-19,89.99,89.99,89.99,89.99,500,44995.0,EQNE
2013-04-24,82.03,82.03,82.0,82.0,3200,262431.0,EQNE
