date,open,high,low,close,volume,value,board
2008-09-23,0.207,0.207,0.207,0.207,100,20.7,EQNE
2008-09-30,0.207,0.207,0.207,0.207,100,20.7,EQNE
2008-10-02,0.207,0.207,0.207,0.207,100,20.7,EQNE
2008-11-05,0.207,0.207,0.207,0.207,100,20.7,EQNE
2008-12-08,0.207,0.207,0.207,0.207,1000,207.0,EQNE
2008-12-15,0.23,0.23,0.23,0.23,100,23.0,EQNE
2008-12-16,0.25,0.25,0.15,0.15,200,40.0,EQNE
2008-12-17,0.25,0.25,0.12,0.12,21300,3252.01,EQNE
2008-12-18,0.184,0.19,0.11,0.11,9900,1112.4,EQNE
2008-12-19,0.13,0.13,0.0661,0.13,10600,1370.59,EQNE
2008-12-22,0.1615,0.1615,0.1615,0.1615,100,16.15,EQNE
2008-12-23,0.1599,0.1599,0.1599,0.1599,100,15.99,EQNE
2008-12-24,0.1599,0.16,0.0959,0.16,500,73.58,EQNE
2008-12-25,0.1817,0.1817,0.1817,0.1817,100,18.17,EQNE
2009-01-16,0.109,0.1362,0.109,0.1362,21100,2302.62,EQNE
2009-01-20,0.13,0.13,0.13,0.13,100,13.0,EQNE
2009-01-22,0.078,0.078,0.078,0.078,100,7.8,EQNE
2009-01-23,0.0468,0.0888,0.0468,0.0888,42600,2569.76,EQNE
2009-01-26,0.0588,0.0588,0.0534,0.0534,9500,558.06,EQNE
2009-01-27,0.0733,0.0733,0.0733,0.0733,500,36.65,EQNE
2009-01-28,0.044,0.044,0.044,0.044,500,22.0,EQNE
2009-01-29,0.055,0.0616,0.055,0.0616,9100,527.56,EQNE
2009-01-30,0.0405,0.0405,0.0405,0.0405,100,4.05,EQNE
2009-02-02,0.0566,0.0566,0.0566,0.0566,100,5.66,EQNE
2009-02-03,0.0729,0.0729,0.0729,0.0729,100,7.29,EQNE
2009-02-04,0.1021,0.1021,0.1021,0.1021,100,10.21,EQNE
2009-02-05,0.1429,0.1429,0.1429,0.1429,100,14.29,EQNE
2009-02-06,0.2001,0.2001,0.2001,0.2001,10100,2021.01,EQNE
2009-02-09,0.2801,0.2801,0.2801,0.2801,6100,1708.61,EQNE
2009-02-10,0.39,0.39,0.39,0.39,100,39.0,EQNE
2009-02-11,0.5459,0.5459,0.5459,0.5459,100,54.59,EQNE
2009-02-13,0.4093,0.4093,0.3275,0.3275,106000,38112.27,EQNE
2009-02-17,0.205,0.2696,0.1965,0.2,15700,3840.28,EQNE
2009-02-20,0.1206,0.2813,0.1205,0.207,807500,209399.24,EQNE
2009-03-02,0.1244,0.205,0.1244,0.205,200,32.94,EQNE
2009-03-04,0.2057,0.2058,0.1511,0.1511,20300,4171.25,EQNE
2009-03-19,0.228,0.228,0.2249,0.2249,200,45.29,EQNE
2009-03-20,0.1712,0.1712,0.1699,0.1699,12500,2125.8,EQNE
2009-03-26,0.1352,0.2126,0.1352,0.2126,10100,2043.78,EQNE
2009-04-02,0.1405,0.1405,0.1405,0.1405,200,28.1,EQNE
2009-04-03,0.1454,0.1454,0.14,0.14,40200,5783.33,EQNE
2009-04-06,0.1729,0.1729,0.1729,0.1729,100,17.29,EQNE
2009-04-07,0.1996,0.1996,0.143,0.143,9500,1373.75,EQNE
2009-04-08,0.1806,0.1806,0.1243,0.1548,79000,10962.32,EQNE
2009-04-09,0.1541,0.16,0.129,0.16,270000,38645.21,EQNE
2009-04-10,0.165,0.165,0.1332,0.1638,700,110.11,EQNE
2009-04-13,0.155,0.165,0.1323,0.1638,10600,1731.74,EQNE
2009-04-14,0.167,0.167,0.1402,0.1402,110500,15807.25,EQNE
2009-04-15,0.165,0.165,0.138,0.138,298500,42747.19,EQNE
2009-04-17,0.1371,0.1371,0.137,0.137,1100,150.71,EQNE
2009-04-20,0.1251,0.1389,0.1251,0.13,3900,494.25,EQNE
2009-04-21,0.1398,0.1398,0.1398,0.1398,300,41.94,EQNE
2009-04-22,0.1252,0.1401,0.121,0.1401,44100,5440.84,EQNE
2009-04-23,0.1385,0.1403,0.1379,0.1403,24800,3440.89,EQNE
2009-04-24,0.13,0.1415,0.1241,0.1415,2200,287.71,EQNE
2009-04-27,0.1414,0.1414,0.1414,0.1414,100,14.14,EQNE
2009-04-28,0.13,0.13,0.1127,0.1127,200,24.27,EQNE
2009-04-29,0.1373,0.1373,0.1373,0.1373,100,13.73,EQNE
2009-04-30,0.1372,0.1372,0.12,0.12,200,25.72,EQNE
2009-05-04,0.12,0.1475,0.12,0.1475,6900,961.94,EQNE
2009-05-05,0.1473,0.1475,0.1473,0.1475,400,58.96,EQNE
2009-05-06,0.1471,0.1473,0.1471,0.1472,700,103.04,EQNE
2009-05-07,0.1473,0.1473,0.1473,0.1473,100,14.73,EQNE
2009-05-08,0.1479,0.1485,0.1479,0.1485,300,44.43,EQNE
2009-05-12,0.1351,0.1351,0.13,0.13,3900,516.62,EQNE
2009-05-13,0.1302,0.1302,0.125,0.125,104800,13102.74,EQNE
2009-05-15,0.14,0.1409,0.14,0.1409,4400,617.35,EQNE
2009-05-18,0.1283,0.14,0.128,0.14,116600,15521.25,EQNE
2009-05-19,0.14,0.14,0.14,0.14,1000,140.0,EQNE
2009-05-20,0.1399,0.14,0.1399,0.14,20000,2799.0,EQNE
2009-05-21,0.1254,0.14,0.125,0.14,46100,5765.82,EQNE
2009-05-22,0.1413,0.1413,0.1389,0.141,12600,1754.13,EQNE
2009-05-25,0.1261,0.1398,0.125,0.1388,58800,7363.2,EQNE
2009-05-26,0.127,0.1394,0.125,0.1388,28500,3585.33,EQNE
2009-05-27,0.125,0.1388,0.125,0.1388,3400,426.38,EQNE
2009-05-28,0.1394,0.1394,0.1202,0.125,709400,89914.61,EQNE
2009-05-29,0.125,0.1251,0.125,0.125,110700,13841.08,EQNE
2009-06-02,0.1252,0.1252,0.125,0.125,4100,512.53,EQNE
2009-06-04,0.1201,0.1201,0.115,0.1182,700,82.99,EQNE
2009-06-10,0.1326,0.133,0.1326,0.133,5000,663.1,EQNE
2009-06-18,0.1252,0.1252,0.1251,0.1251,10000,1251.8,EQNE
2009-06-23,0.1151,0.1151,0.115,0.115,3200,368.12,EQNE
2009-06-24,0.1144,0.1144,0.0999,0.1119,28600,3102.35,EQNE
2009-06-25,0.1175,0.1175,0.1175,0.1175,400,47.0,EQNE
2009-06-26,0.1102,0.1198,0.1102,0.1198,99900,11009.94,EQNE
2009-06-29,0.1051,0.1102,0.105,0.1102,10400,1094.09,EQNE
2009-06-30,0.1011,0.1011,0.1011,0.1011,100,10.11,EQNE
2009-07-01,0.1159,0.117,0.1159,0.117,10000,1159.89,EQNE
2009-07-06,0.1056,0.1056,0.1056,0.1056,100,10.56,EQNE
2009-07-07,0.1051,0.1149,0.1,0.1149,81100,8172.05,EQNE
2009-07-29,0.0951,0.1061,0.084,0.0866,99500,8829.39,EQNE
2009-07-31,0.1,0.1,0.1,0.1,200,20.0,EQNE
2009-08-03,0.1149,0.1199,0.1149,0.1199,121500,14499.76,EQNE
2009-08-04,0.0913,0.114,0.0913,0.114,300,29.67,EQNE
2009-08-10,0.097,0.1,0.0902,0.0902,10300,997.72,EQNE
2009-08-11,0.1289,0.13,0.1169,0.117,3100,389.33,EQNE
2009-08-12,0.1147,0.1147,0.0939,0.1139,1900,201.22,EQNE
2009-08-13,0.0957,0.117,0.0957,0.117,12000,1369.12,EQNE
2009-08-14,0.0965,0.1169,0.0963,0.1168,5100,576.05,EQNE
2009-08-17,0.117,0.117,0.117,0.117,700,81.9,EQNE
2009-08-21,0.095,0.135,0.095,0.135,137600,15310.79,EQNE
2009-08-24,0.1355,0.1355,0.1151,0.13,13700,1580.4,EQNE
2009-08-25,0.1355,0.1355,0.1136,0.1136,5700,691.13,EQNE
2009-08-26,0.1299,0.1299,0.1069,0.1075,170800,18761.8,EQNE
2009-08-27,0.1077,0.1077,0.1071,0.1071,13900,1493.49,EQNE
2009-08-28,0.107,0.107,0.107,0.107,3700,395.9,EQNE
2009-08-31,0.1099,0.1179,0.1062,0.1179,114800,12257.02,EQNE
2009-09-01,0.1159,0.1159,0.1159,0.1159,100,11.59,EQNE
2009-09-03,0.1097,0.111,0.1097,0.111,8100,892.51,EQNE
2009-09-08,0.1062,0.1107,0.1001,0.1097,234100,23613.48,EQNE
2009-09-09,0.1194,0.1194,0.1001,0.1039,150900,15163.41,EQNE
2009-09-10,0.1128,0.1128,0.1001,0.105,101000,10323.54,EQNE
2009-09-11,0.1131,0.1131,0.1,0.1033,237400,23951.63,EQNE
2009-09-14,0.1,0.1033,0.0988,0.1027,367100,37080.36,EQNE
2009-09-15,0.1119,0.1119,0.1033,0.1033,23300,2408.53,EQNE
2009-09-16,0.1038,0.1097,0.1004,0.101,200500,21715.47,EQNE
2009-09-17,0.0857,0.11,0.0857,0.1007,38500,3969.38,EQNE
2009-09-18,0.1011,0.1079,0.1004,0.1039,51400,5166.67,EQNE
2009-09-21,0.109,0.137,0.104,0.1273,822600,99560.91,EQNE
2009-09-22,0.1377,0.1444,0.1377,0.1444,25400,3560.3,EQNE
2009-09-23,0.1451,0.15,0.1451,0.15,27700,4133.0,EQNE
2009-09-24,0.1554,0.1554,0.1554,0.1554,100,15.54,EQNE
2009-09-25,0.15,0.15,0.14,0.14,1200,178.0,EQNE
