date,open,high,low,close,volume,value,board
2012-09-27,50.9,51.03,50.9,51.03,13400,683214,EQNE
2012-09-28,50.95,51.03,50.95,51.03,82000,4182120,EQNE
2012-10-18,51.5,51.53,51.5,51.51,7500,386348,EQNE
2012-10-29,51.3,51.3,51.3,51.3,1600,82080,EQNE
2012-10-31,51.53,51.53,51.53,51.53,45000,2318850,EQNE
2012-12-03,33,39,33,39.0,200,7200,EQNE
2012-12-25,32,35,25,35.0,1800,58200,EQNE
2012-12-26,35,46,21.33,21.33,900,23031,EQNE
2012-12-27,28,29,25.99,29.0,1800,50897,EQNE
2013-01-23,28,28,28,28.0,1000,28000,EQNE
2013-01-31,21,21,21,21.0,100,2100,EQNE
2013-02-01,24,27,24,27.0,300,7700,EQNE
2013-02-04,30.95,37.1,30.93,36.8,1800,58057,EQNE
2013-02-22,35,35,35,35.0,200,7000,EQNE
2013-02-26,21,49,21,27.0,500,16750,EQNE
2013-03-07,17.2,17.2,17.2,17.2,100,1720,EQNE
2013-03-11,12.5,12.5,12.5,12.5,100,1250,EQNE
2013-03-27,17.5,17.5,17.5,17.5,100,1750,EQNE
2013-04-03,24.5,24.5,24.5,24.5,100,2450,EQNE
2013-06-27,10.9,10.9,10.9,10.9,100,1090,EQNE
2013-07-31,15.26,15.26,15.26,15.26,100,1526,EQNE
2013-08-26,21.36,21.36,21.36,21.36,100,2136,EQNE
2013-08-27,25.6,28.5,25.6,28.5,1300,36710,EQNE
2013-09-04,28,28,28,28.0,1000,28000,TQNE
2013-09-09,21.5,21.5,20,20.0,200,4150,TQNE
2013-09-18,25,25.5,25,25.5,200,5050,TQNE
2013-09-19,35.73,35.73,35.73,35.73,100,3573,TQNE
2013-09-20,46.1,46.1,46.1,46.1,100,4610,TQNE
2013-09-23,50.1,50.1,49.9,49.9,200,10000,TQNE
2013-09-24,35.02,35.02,35.02,35.02,100,3502,TQNE
2013-09-25,35.04,35.04,25,25.82,500,14027,TQNE
2013-09-26,20,25,20,25.0,200,4500,TQNE
2013-09-27,35.04,35.04,35.04,35.04,100,3504,TQNE
2013-09-30,36.2,49.9,36.2,49.9,1500,72427,TQNE
2013-10-03,46.01,46.01,46.01,46.01,100,4601,TQNE
2013-10-04,62.95,62.99,50,50.0,300,17594,TQNE
2013-10-07,50,50,50,50.0,100,5000,TQNE
2013-10-11,47,50,47,50.0,400,19400,TQNE
2013-10-31,50,50,47,50.0,300,14700,TQNE
2013-11-05,47,47,47,47.0,200,9400,TQNE
2013-11-06,50,50,50,50.0,200,10000,TQNE
2013-11-08,47,47,47,47.0,200,9400,TQNE
2013-12-03,50,50,50,50.0,200,10000,TQNE
2013-12-06,47,47,47,47.0,300,14100,TQNE
2013-12-09,53,53,50,50.0,300,15300,TQNE
2013-12-10,50,50,50,50.0,100,5000,TQNE
2013-12-17,47,47,47,47.0,100,4700,TQNE
2013-12-23,47,47,47,47.0,100,4700,TQNE
2013-12-24,50,50,50,50.0,200,10000,TQNE
2013-12-30,50,50,50,50.0,100,5000,TQNE
2014-01-31,50,50,45,45.0,1100,51601,TQNE
