date,open,high,low,close,volume,value,board
2005-09-12,12,15.3,12,15.3,2200,30030,EQNE
2005-09-13,15.7,15.7,15.7,15.7,100,1570,EQNE
2005-09-15,15,15,15,15.0,100,1500,EQNE
2005-09-16,15.5,15.5,15.5,15.5,100,1550,EQNE
2005-09-21,11,11,11,11.0,300,3300,EQNE
2005-09-22,10,10,10,10.0,100,1000,EQNE
2005-09-23,7,7.15,7,7.15,2000,14162,EQNE
2005-09-26,10,11.6,10,11.6,300,3320,EQNE
2005-09-27,10,10,10,10.0,200,2000,EQNE
2005-09-28,10,11.4,10,11.4,1000,10700,EQNE
2005-09-29,8,11.5,8,11.5,1500,12350,EQNE
2005-09-30,7.7,7.7,7.7,7.7,1500,11550,EQNE
2005-10-03,7.5,7.5,7,7.0,1100,7750,EQNE
2005-10-05,6.5,8,6.5,8.0,2300,15400,EQNE
2005-11-08,5.06,5.1,3.81,4.0,14600,61650,EQNE
2005-11-09,3.17,3.17,3.17,3.17,1000,3170,EQNE
2005-11-15,5,5,5,5.0,100,500,EQNE
2005-11-16,5,5,4.93,4.93,6900,34387,EQNE
2005-11-18,4.5,4.7,4.5,4.5,23000,104000,EQNE
2005-11-21,4.15,4.15,4.15,4.15,4000,16600,EQNE
2005-11-24,5.4,5.41,5.4,5.41,2000,10810,EQNE
2005-11-25,5.75,5.9,4.4,5.85,3900,21254,EQNE
2005-11-29,4.75,4.95,4.24,4.24,5800,26828,EQNE
2005-11-30,4.05,4.05,4.05,4.05,400,1620,EQNE
2005-12-01,4.09,4.09,4.09,4.09,3100,12679,EQNE
2005-12-02,4.7,4.7,4.15,4.15,2600,11670,EQNE
2005-12-13,3.71,3.71,3.71,3.71,300,1113,EQNE
2005-12-16,5.3,5.34,5.3,5.34,1000,5320,EQNE
2005-12-19,5,5.33,5,5.33,1100,5797,EQNE
2005-12-20,5.34,7,5.25,7.0,3200,20184,EQNE
2005-12-21,6.2,10,6.2,10.0,5500,48756,EQNE
2005-12-22,8.01,12.5,6.08,9.8,2500,22558,EQNE
2005-12-23,6.9,7,6.9,7.0,1000,6950,EQNE
2005-12-27,2,4.2,2,4.2,300,1040,EQNE
2006-01-16,6,6.3,6,6.3,1000,6150,EQNE
2006-01-17,6.79,6.79,6.79,6.79,100,679,EQNE
2006-01-18,5.8,6,5.8,6.0,500,2920,EQNE
2006-01-26,6.4,6.4,6.4,6.4,1000,6400,EQNE
2006-01-30,4.21,5,3,3.0,50000,195924,EQNE
2006-01-31,3.73,4.5,3.52,3.52,300,1175,EQNE
2006-02-01,4,5,4,4.9,1000,4848,EQNE
2006-02-06,5.3,5.3,5.3,5.3,100,530,EQNE
2006-02-07,3.98,3.98,3.98,3.98,1200,4776,EQNE
2006-02-09,3.76,4,2.86,3.1,202300,683777,EQNE
2006-02-10,3.56,6.45,3.56,6.4,31300,169908,EQNE
2006-02-13,4.5,4.56,4.5,4.56,1000,4554,EQNE
2006-02-14,3.91,4.56,3.91,4.56,1200,4822,EQNE
2006-02-15,4.5,4.5,4.5,4.5,300,1350,EQNE
2006-02-20,4.56,4.56,4.56,4.56,500,2280,EQNE
2006-02-21,4.56,4.56,4.56,4.56,17000,77520,EQNE
2006-02-22,4.56,4.56,4.56,4.56,5600,25536,EQNE
2006-02-26,4.56,4.56,4.56,4.56,2200,10032,EQNE
2006-03-01,4.56,4.56,4.56,4.56,400,1824,EQNE
2006-03-06,3.92,4.23,3.9,3.95,8100,32140,EQNE
2006-03-07,4.56,4.56,4.2,4.45,3100,13773,EQNE
2006-03-09,3.87,3.87,3.85,3.85,1200,4624,EQNE
2006-03-10,4,4,4,4.0,4000,16000,EQNE
2006-03-14,4.54,4.54,4,4.0,5100,20454,EQNE
2006-03-15,4,4,3.75,3.75,600,2290,EQNE
2006-03-16,3.67,3.67,3.66,3.66,400,1467,EQNE
2006-03-17,3.66,4.33,3.65,4.33,1900,7619,EQNE
2006-03-20,4.33,4.35,4.33,4.35,1200,5214,EQNE
2006-03-21,4.35,4.35,3.8,4.2,4900,18910,EQNE
2006-03-22,4,4,4,4.0,6000,24000,EQNE
2006-03-24,4.39,5,4.39,5.0,14600,65115,EQNE
2006-03-27,4.56,4.56,4.56,4.56,2200,10032,EQNE
2006-03-29,4.56,4.56,4.54,4.55,2400,10930,EQNE
2006-03-30,4.5,4.55,4.4,4.4,18300,83160,EQNE
2006-03-31,4.4,4.4,4.4,4.4,500,2200,EQNE
2006-04-03,4.56,4.56,4.56,4.56,500,2280,EQNE
2006-04-05,4.53,4.53,4.47,4.47,300,1347,EQNE
2006-04-06,4.56,4.56,4.2,4.5,6200,26261,EQNE
2006-04-07,4.56,4.56,4.56,4.56,100,456,EQNE
2006-04-10,4.23,4.43,4.01,4.2,7400,30650,EQNE
2006-04-11,4.39,4.39,4,4.0,300,1240,EQNE
2006-04-12,3.9,4.16,3.8,4.16,13400,52276,EQNE
2006-04-13,3.51,3.9,3.5,3.7,6200,22061,EQNE
2006-04-14,3.7,3.7,3.5,3.6,16300,57750,EQNE
2006-04-17,3.89,3.89,3.2,3.2,68000,222408,EQNE
2006-04-18,3.22,3.3,3.2,3.3,30200,96670,EQNE
2006-04-19,4.15,4.15,3.3,3.3,1400,4706,EQNE
2006-04-20,3.302,3.659,3.3,3.659,194000,641022.3,EQNE
2006-04-21,3.945,4.05,3.485,3.5,293800,1024810.5,EQNE
2006-04-24,3.5,4.05,3.4,3.74,36400,124557,EQNE
2006-04-25,3.75,3.9,3.45,3.9,4000,14445,EQNE
2006-05-04,3.4,3.778,3.4,3.778,2600,8877.8,EQNE
2006-05-05,3.779,3.799,3.779,3.799,200,757.8,EQNE
2006-05-11,3.401,3.401,3.2,3.2,900,2960.1,EQNE
2006-05-12,3,3.399,3,3.399,2100,6339.9,EQNE
2006-05-16,3.499,3.499,3.499,3.499,100,349.9,EQNE
2006-05-26,3.1,3.599,2.27,3.499,30400,93193.5,EQNE
2006-05-29,3.64,3.64,3.64,3.64,100,364,EQNE
2006-06-15,3.749,3.749,3.749,3.749,100,374.9,EQNE
2006-06-16,3.2,3.579,3.2,3.579,200,677.9,EQNE
2006-06-21,3.1,3.5,2.27,3.44,60600,179917,EQNE
2006-06-22,3.2,3.2,2.99,3.1,29000,87357,EQNE
2006-06-26,3.2,3.2,3.2,3.2,100,320,EQNE
2006-06-28,2.62,3.1,2.62,3.1,9100,24514,EQNE
2006-06-29,2.601,3.1,2.601,3.1,7400,19347.2,EQNE
2006-06-30,3.497,3.497,3.1,3.1,700,2249.4,EQNE
2006-07-03,3.399,3.399,3.07,3.07,4200,12926.9,EQNE
2006-07-04,3.2,3.2,3.2,3.2,200,640,EQNE
2006-07-11,2.262,3.166,2.262,3.166,1500,3483.4,EQNE
2006-07-12,3,3,2.75,2.999,800,2349.9,EQNE
2006-07-13,3.497,3.497,3.497,3.497,300,1049.1,EQNE
2006-07-14,3.025,3.025,2.501,2.89,700,1961.7,EQNE
2006-07-18,2.989,2.989,2.989,2.989,100,298.9,EQNE
2006-07-19,2.6,2.6,2.6,2.6,9600,24960,EQNE
2006-07-20,3.498,3.5,3.498,3.5,500,1749.6,EQNE
2006-07-24,2.699,3.469,2.699,3.469,2200,6116.8,EQNE
2006-07-25,2.95,3.489,2.95,3.435,9400,27885.9,EQNE
2006-07-27,3.014,3.015,3.014,3.014,3300,9948.6,EQNE
2006-07-28,3.438,3.438,3.049,3.05,600,1907.3,EQNE
2006-07-31,3.05,3.05,3.05,3.05,5000,15250,EQNE
2006-08-01,3.1,3.1,3.1,3.1,300,930,EQNE
2006-08-03,3.964,3.99,2.852,3.1,500,1700.6,EQNE
2006-08-04,3.495,3.495,3.495,3.495,200,699,EQNE
2006-08-11,2.995,2.995,2.995,2.995,300,898.5,EQNE
2006-08-14,3.777,3.777,3.777,3.777,100,377.7,EQNE
2006-08-23,3.3,3.3,3.3,3.3,200,660,EQNE
2006-08-25,3.2,3.3,3.2,3.3,300,970,EQNE
2006-08-29,2.91,3.15,2.8,3.09,18100,51167.8,EQNE
2006-08-31,3.249,3.249,3.24,3.24,200,648.9,EQNE
2006-09-01,2.901,3.001,2.901,3.0,1700,4981.5,EQNE
2006-09-05,2.81,2.99,2.505,2.85,12400,33693.1,EQNE
2006-09-06,2.878,2.878,2.878,2.878,100,287.8,EQNE
2006-09-07,2.7,2.848,2.67,2.7,14900,40165.9,EQNE
2006-09-08,2.502,2.648,2.5,2.5,12700,31822.3,EQNE
2006-09-11,2.4,2.55,2.4,2.55,600,1471,EQNE
2006-09-12,2.796,2.796,2.502,2.659,19100,50656.5,EQNE
2006-09-13,2.65,2.65,2.452,2.649,17600,43381.7,EQNE
2006-09-14,2.898,2.898,2.4,2.499,3000,7377.6,EQNE
