date,open,high,low,close,volume,value,board
2004-06-23,575,575,575,575.0,100,57500,EQNE
2004-07-01,600,600,600,600.0,1,600,EQNE
2004-08-02,600,600,600,600.0,204,122400,EQNE
2004-08-03,650,650,650,650.0,1,650,EQNE
2004-08-04,605,640,605,640.0,2,1245,EQNE
2004-09-08,560,561,560,561.0,148,82930,EQNE
2004-09-13,500,552,27,552.0,6,2479,EQNE
2004-09-14,900,900,900,900.0,1,900,EQNE
2004-09-23,600,600,600,600.0,34,20400,EQNE
2004-09-24,552,552,500,552.0,14,7156,EQNE
2004-09-27,595,595,501,595.0,12,6200,EQNE
2004-09-29,500,500,500,500.0,1,500,EQNE
2004-09-30,500.01,600,500,550.0,91,45800.01,EQNE
2004-10-01,600,601,595,601.0,113,67753,EQNE
2004-10-04,610,610,600,605.0,218,131445,EQNE
