date,open,high,low,close,volume,value,board
2005-09-16,9.3,9.3,9.3,9.3,100,930,EQNE
2005-09-21,9,9,9,9.0,500,4500,EQNE
2005-09-30,8.8,8.8,8.8,8.8,100,880,EQNE
2005-10-10,7,7,7,7.0,100,700,EQNE
2005-12-14,6.5,6.5,6,6.0,1500,9350,EQNE
2005-12-22,8.5,8.5,8.5,8.5,100,850,EQNE
2005-12-27,6,6,6,6.0,1000,6000,EQNE
2006-01-17,3,3,2.97,3.0,20100,60120,EQNE
2006-01-18,4.22,4.22,3,3.0,500,1637,EQNE
2006-01-19,2.71,3.25,2.71,3.25,400,1192,EQNE
2006-01-20,2.3,3.05,2.3,3.05,500,1282,EQNE
2006-01-24,2.3,2.95,2.3,2.95,900,2322,EQNE
2006-01-25,1.94,2.9,1.94,2.9,700,1454,EQNE
2006-01-26,2.4,2.98,2.4,2.9,400,1126,EQNE
2006-01-27,3.33,3.33,2.3,2.75,2100,5668,EQNE
2006-01-30,3,3,2.1,2.1,400,1110,EQNE
2006-02-01,2.08,2.45,2.08,2.45,700,1561,EQNE
2006-02-02,2.5,2.5,2,2.35,1900,4163,EQNE
2006-02-03,2.73,2.85,2.73,2.85,200,558,EQNE
2006-02-07,2.2,2.7,2.2,2.57,1700,4079,EQNE
2006-02-08,2.75,2.75,2.75,2.75,100,275,EQNE
2006-02-14,2.84,2.84,2.84,2.84,5000,14200,EQNE
2006-02-16,2.98,2.98,2.98,2.98,100,298,EQNE
2006-02-17,2.9,3.1,2.3,2.86,129200,334731,EQNE
2006-02-20,2.98,3.33,2.9,3.0,48500,147045,EQNE
2006-02-21,3.33,4.95,2.7,4.95,585900,2579191,EQNE
2006-02-22,4.79,4.8,3.7,3.82,106300,419558,EQNE
2006-02-26,3.7,3.96,3.54,3.56,106000,400931,EQNE
2006-02-27,3.08,3.8,3.08,3.64,9700,36168,EQNE
2006-02-28,3.5,3.6,3.3,3.38,16500,57628,EQNE
2006-03-01,3.7,3.7,3.35,3.35,2300,8475,EQNE
2006-03-02,3.3,3.85,3.3,3.3,6100,21335,EQNE
2006-03-03,3.5,3.87,3.22,3.8,53800,189951,EQNE
2006-03-06,4.1,4.1,3.5,3.53,20200,71821,EQNE
2006-03-09,3.5,3.5,3.4,3.4,4100,14250,EQNE
2006-03-14,3.4,3.65,3.4,3.4,3300,11536,EQNE
2006-03-15,3.5,3.5,3.5,3.5,3000,10500,EQNE
2006-03-16,3.55,3.61,3.5,3.5,12500,44034,EQNE
2006-03-17,3.5,3.85,3.5,3.5,3300,11935,EQNE
2006-03-21,4.1,5.5,3.76,5.0,113500,588093,EQNE
2006-03-22,5.39,5.39,3.7,4.0,5300,21592,EQNE
2006-03-23,5.29,5.29,4.5,4.5,3700,19350,EQNE
2006-03-24,4.1,4.1,4.1,4.1,500,2050,EQNE
2006-03-27,3.95,3.95,3.75,3.75,1000,3866,EQNE
2006-03-29,3.94,3.94,3.84,3.84,500,1950,EQNE
2006-03-31,5,5,4.2,4.95,71100,341983,EQNE
2006-04-03,4.3,5.2,4.3,4.8,10700,46559,EQNE
2006-04-04,5.2,6.3,5.08,6.3,145100,819525,EQNE
2006-04-05,6.3,6.3,6.25,6.25,4500,28275,EQNE
2006-04-06,5.5,5.5,5.5,5.5,1000,5500,EQNE
2006-04-07,6.3,6.3,6.3,6.3,1000,6300,EQNE
2006-04-10,6.45,6.45,6.1,6.1,10500,64225,EQNE
2006-04-11,5.7,5.7,5.3,5.3,3500,19750,EQNE
2006-04-12,5.5,5.5,5,5.0,16000,85900,EQNE
