date,open,high,low,close,volume,value,board
2006-11-30,38.0,38.0,38.0,38.0,19000,722000.0,EQNE
2006-12-11,55.0,55.0,55.0,55.0,200,11000.0,EQNE
2006-12-18,42.0,42.0,42.0,42.0,100,4200.0,EQNE
2006-12-29,52.0,52.0,52.0,52.0,100,5200.0,EQNE
2007-01-23,55.0,55.0,55.0,55.0,200,11000.0,EQNE
2007-01-24,55.0,55.0,0.15,44.55,500,18270.0,EQNE
2007-01-26,48.01,48.01,48.01,48.01,100,4801.0,EQNE
2007-02-21,50.01,51.7,50.01,51.7,200,10171.0,EQNE
2007-03-22,51.71,51.71,51.71,51.71,200,10342.0,EQNE
2007-03-23,51.717,51.717,51.717,51.717,13400,693007.8,EQNE
2007-03-26,52.5,55.0,52.5,55.0,10000,537500.0,EQNE
2007-03-27,52.0,52.0,52.0,52.0,5000,260000.0,EQNE
2007-04-16,49.99,50.0,49.99,50.0,9500,474950.0,EQNE
2007-04-17,50.0,50.0,50.0,50.0,200,10000.0,EQNE
2007-04-18,49.0,49.0,49.0,49.0,1000,49000.0,EQNE
2007-04-20,47.0,47.0,47.0,47.0,1100,51700.0,EQNE
2007-05-08,40.0,40.0,40.0,40.0,1000,40000.0,EQNE
2007-06-07,47.0,47.0,47.0,47.0,9500,446500.0,EQNE
2007-08-09,49.0,49.0,49.0,49.0,1500,73500.0,EQNE
2007-09-04,49.0,49.0,37.002,42.7,2700,116176.1,EQNE
2007-09-26,49.0,49.0,49.0,49.0,9000,441000.0,EQNE
2007-10-08,46.0,46.0,46.0,46.0,900,41400.0,EQNE
2007-10-09,46.94,46.94,46.94,46.94,100,4694.0,EQNE
2007-10-23,49.0,55.0,49.0,54.0,27700,1446501.1,EQNE
2007-10-24,52.01,52.01,52.01,52.01,2100,109221.0,EQNE
2007-11-02,50.0,50.5,50.0,50.5,21700,1093300.0,EQNE
2007-11-06,50.5,50.5,50.5,50.5,600,30300.0,EQNE
2007-11-07,50.01,50.01,50.01,50.01,500,25005.0,EQNE
2007-11-09,50.01,50.01,50.01,50.01,5000,250050.0,EQNE
2007-11-13,50.21,50.21,50.21,50.21,400,20084.0,EQNE
2007-11-20,52.0,53.0,52.0,53.0,1400,73380.0,EQNE
2007-11-21,53.98,53.98,53.97,53.97,500,26989.0,EQNE
2007-11-22,51.0,51.0,51.0,51.0,5000,255000.0,EQNE
2007-11-23,51.5,51.5,51.5,51.5,5000,257500.0,EQNE
2007-11-26,51.5,51.5,51.5,51.5,5000,257500.0,EQNE
2007-11-27,51.5,52.0,51.5,52.0,5900,304104.0,EQNE
2007-11-28,50.01,53.97,50.01,53.88,1500,78930.0,EQNE
2007-11-30,50.0,50.0,50.0,50.0,100,5000.0,EQNE
2007-12-05,53.99,53.99,51.5,51.5,200,10549.0,EQNE
2007-12-12,52.0,52.5,52.0,52.5,6300,328750.0,EQNE
2007-12-13,52.01,55.0,52.0,55.0,22900,1221100.0,EQNE
2007-12-17,54.5,54.5,54.5,54.5,2200,119900.0,EQNE
2007-12-18,55.0,55.0,55.0,55.0,100,5500.0,EQNE
2007-12-19,54.0,54.0,54.0,54.0,4000,216000.0,EQNE
2007-12-24,55.99,55.99,55.99,55.99,1200,67188.0,EQNE
2007-12-25,56.0,56.0,56.0,56.0,2500,140000.0,EQNE
2007-12-28,54.421,56.0,54.421,56.0,600,33442.1,EQNE
2008-01-18,55.0,55.0,55.0,55.0,4600,253000.0,EQNE
2008-02-18,56.7,56.7,56.7,56.7,10000,567000.0,EQNE
