date,open,high,low,close,volume,value,board
2024-02-22,9.0,9.0,7.65,8.1,27831000,229173926.4,TQBR
2024-02-26,8.2,8.35,7.65,7.683,16546400,129810256.4,TQBR
2024-02-27,7.68,7.713,7.257,7.39,15955500,118829278.8,TQBR
2024-02-28,7.4,7.66,7.39,7.515,7297700,54744770.8,TQBR
2024-02-29,7.515,8.6,7.41,8.484,34725600,284678090.7,TQBR
2024-03-01,8.5,8.888,8.088,8.433,17195600,146578927.7,TQBR
2024-03-04,8.451,8.7,8.41,8.643,6587300,56122380.1,TQBR
2024-03-05,8.643,8.73,8.18,8.3,4508700,38021091.2,TQBR
2024-03-06,8.396,8.485,8.192,8.23,3168400,26247622.1,TQBR
2024-03-07,8.24,8.665,8.15,8.506,4272000,35912801.7,TQBR
2024-03-11,8.41,8.617,8.331,8.476,2668600,22503420.9,TQBR
2024-03-12,8.479,8.588,8.33,8.5,2747800,23230211.2,TQBR
2024-03-13,8.495,8.495,8.263,8.449,2326700,19483345.1,TQBR
2024-03-14,8.52,8.52,8.264,8.454,1714500,14387818.7,TQBR
2024-03-15,8.317,8.479,8.165,8.479,1280500,10763617.8,TQBR
2024-03-18,8.479,8.479,8.29,8.415,2070200,17370365.4,TQBR
2024-03-19,8.468,8.468,8.362,8.386,1989800,16735131.8,TQBR
2024-03-20,8.397,8.4,8.221,8.37,2311300,19254131.4,TQBR
2024-03-21,8.37,8.459,8.28,8.445,2067500,17305970.1,TQBR
2024-03-22,8.41,8.462,8.236,8.415,3098300,25841269.5,TQBR
2024-03-25,8.4,8.4,8.26,8.285,715200,5936379.6,TQBR
2024-03-26,8.287,8.3,8.111,8.128,1748300,14349003.7,TQBR
2024-03-27,8.167,8.167,7.889,7.931,2379700,18994533.5,TQBR
2024-03-28,7.95,8.23,7.94,7.991,2028500,16375600.8,TQBR
2024-03-29,8.001,8.07,7.969,8.012,974700,7805437.5,TQBR
2024-04-01,8.03,8.4,7.9,8.131,2819400,22985724.3,TQBR
2024-04-02,8.131,8.199,7.91,8.001,1194400,9587010.0,TQBR
2024-04-03,8.001,8.105,8.0,8.0,770700,6197344.8,TQBR
2024-04-04,8.001,8.069,8.001,8.046,608100,4891108.6,TQBR
2024-04-05,8.04,8.139,8.006,8.048,576000,4650707.1,TQBR
2024-04-08,8.048,8.131,8.0,8.015,855400,6899325.7,TQBR
2024-04-09,8.025,8.18,8.025,8.056,875700,7092654.6,TQBR
2024-04-10,8.057,8.074,8.001,8.049,591800,4755522.0,TQBR
2024-04-11,8.049,8.071,8.0,8.041,612100,4912482.0,TQBR
2024-04-12,8.043,8.043,7.991,8.001,734800,5884750.2,TQBR
2024-04-15,8.03,8.124,7.985,8.007,1234800,9908294.9,TQBR
2024-04-16,8.1,8.186,7.95,8.04,4769800,38552529.2,TQBR
2024-04-17,8.091,8.186,8.061,8.15,1768600,14411235.1,TQBR
2024-04-18,8.158,8.276,8.073,8.267,2030800,16628788.7,TQBR
2024-04-19,8.269,8.325,8.15,8.186,1550500,12774093.4,TQBR
2024-04-22,8.19,8.279,8.073,8.12,1631200,13284007.5,TQBR
2024-04-23,8.12,8.155,8.043,8.093,817600,6614836.0,TQBR
2024-04-24,8.14,8.165,8.0,8.018,1021100,8215264.1,TQBR
2024-04-25,8.019,8.064,7.997,8.037,950400,7619364.9,TQBR
2024-04-26,8.038,8.097,8.005,8.041,1029900,8286843.1,TQBR
2024-04-27,8.045,8.076,8.0,8.027,679000,5454941.3,TQBR
2024-04-29,8.028,8.089,7.981,8.051,615500,4932750.5,TQBR
2024-04-30,8.08,8.086,8.001,8.023,380800,3057344.6,TQBR
2024-05-02,8.03,8.042,7.916,7.972,764500,6115367.8,TQBR
2024-05-03,7.974,8.064,7.912,7.964,502500,4001329.6,TQBR
