date,open,high,low,close,volume,value,board
2004-09-24,25,67,25,51.0,9400,516259,EQNE
2004-09-27,55,59.98,19.1,19.1,54600,1593918,EQNE
2004-09-28,18.99,21.99,15.17,15.18,58900,965793,EQNE
2004-09-29,15.97,16.24,15.28,15.94,49100,771728,EQNE
2004-09-30,15.94,16.49,15.56,15.97,25500,406444,EQNE
2004-10-01,16.23,16.24,15.7,15.99,11600,183584,EQNE
2004-10-04,15.85,17.4,15.31,17.26,48800,784874,EQNE
2004-10-05,17.5,17.5,16.02,16.06,59100,975832,EQNE
2004-10-06,16.1,16.7,15.8,16.45,67500,1104948,EQNE
2004-10-07,16.89,17.01,16.5,16.9,69000,1172628,EQNE
2004-10-08,17.1,19,16.71,18.0,133300,2354159,EQNE
2004-10-11,17.61,17.61,17.12,17.13,28700,497620,EQNE
2004-10-12,17.11,17.74,16.01,17.25,41300,703183,EQNE
2004-10-13,17.24,17.6,17,17.03,30400,528029,EQNE
2004-10-14,17.17,17.39,16.8,17.39,39000,671781,EQNE
2004-10-15,17.15,17.2,17,17.0,16700,286256,EQNE
2004-10-18,17.25,17.99,17.17,17.5,115800,2027918,EQNE
2004-10-19,17.84,17.84,17.25,17.25,8500,148642,EQNE
2004-10-20,17.26,17.26,16.81,16.82,6200,105639,EQNE
2004-10-21,16.58,17.27,16.08,16.85,6200,103030,EQNE
2004-10-22,17.01,21.88,17,18.0,143800,2640283,EQNE
2004-10-25,18.89,18.89,17.78,17.78,24600,447281,EQNE
2004-10-26,17.99,18.26,17.99,18.26,3000,54499,EQNE
2004-10-27,17.81,18.01,17.62,17.62,8800,158354,EQNE
2004-10-28,17.73,18.46,17.52,17.52,7000,124274,EQNE
2004-10-29,18.22,18.22,17.5,17.96,15500,272799,EQNE
2004-11-01,17.75,17.75,17.55,17.55,206300,3646030,EQNE
2004-11-02,17.43,17.6,17.4,17.44,11000,191492,EQNE
2004-11-03,17.75,17.99,17.75,17.99,1500,26697,EQNE
2004-11-04,17.55,17.75,17.55,17.75,6600,116631,EQNE
2004-11-05,18.2,18.2,17.55,17.99,13900,246160,EQNE
2004-11-09,17.6,18.29,17.6,18.0,262800,4728816,EQNE
2004-11-10,17.55,17.79,17.5,17.5,33500,588794,EQNE
2004-11-12,18.08,18.08,17.38,17.4,5500,96282,EQNE
2004-11-15,17.42,17.6,17.35,17.35,6100,106291,EQNE
2004-11-16,17.89,17.9,17.17,17.19,8500,146639,EQNE
2004-11-17,17.5,17.68,17.26,17.68,26200,454074,EQNE
2004-11-18,17.87,17.87,17.21,17.32,19000,328060,EQNE
2004-11-19,17.2,17.21,17,17.15,19900,339201,EQNE
2004-11-22,17.04,17.04,17,17.0,7500,127724,EQNE
2004-11-23,16.86,16.86,16.25,16.25,26100,427946,EQNE
2004-11-24,15.62,16.4,15.61,16.2,28100,451123,EQNE
2004-11-25,15.08,15.33,15.07,15.2,9300,141650,EQNE
2004-11-26,15.04,15.7,15.01,15.7,2400,36115,EQNE
2004-11-29,15.63,15.63,15.5,15.5,7200,111991,EQNE
2004-11-30,15.2,15.2,15.01,15.04,2400,36137,EQNE
2004-12-01,15.1,15.4,15.1,15.4,2800,42749,EQNE
2004-12-02,15,15,14.9,14.9,8500,126709,EQNE
2004-12-03,15.1,15.2,14.02,15.2,7900,116669,EQNE
2004-12-06,15.28,15.3,15.28,15.28,2600,39730,EQNE
2004-12-07,15.47,15.8,14.5,15.0,68900,1062345,EQNE
2004-12-08,14.8,14.93,14.51,14.93,1500,22036,EQNE
2004-12-09,15.1,15.1,14.8,14.8,55600,823149,EQNE
2004-12-10,14.99,14.99,14.7,14.7,600,8859,EQNE
2004-12-14,15.47,15.48,15.39,15.4,1300,20034,EQNE
2004-12-15,14,14.99,14,14.99,3200,46712,EQNE
2004-12-16,14.98,14.98,14.98,14.98,100,1498,EQNE
2004-12-21,15,15.1,14.99,15.1,2300,34508,EQNE
2004-12-22,14.5,14.5,14.5,14.5,200,2900,EQNE
2004-12-23,15.4,15.4,15,15.0,2500,37970,EQNE
2004-12-24,14.81,15,14.07,14.5,2400,34669,EQNE
2004-12-27,15.59,15.59,14.58,15.1,15900,238529,EQNE
2004-12-28,14.68,15.5,14.68,15.5,6100,93452,EQNE
2004-12-29,14.82,15.8,14.82,15.1,8800,135080,EQNE
2004-12-30,15,15.88,15,15.11,4200,65504,EQNE
2005-02-15,16,16.49,15.5,16.37,6000,96719,EQNE
2005-02-16,15.6,16.48,15.6,16.1,3600,57804,EQNE
2005-02-17,16,16.15,15.5,15.88,9200,145163,EQNE
2005-02-18,16,16,15.8,15.91,9200,146406,EQNE
2005-02-21,16.16,16.32,16.01,16.32,800,13009,EQNE
2005-02-22,16.33,16.36,15.96,16.0,13400,218453,EQNE
2005-02-24,16.41,16.5,16.04,16.5,11200,182868,EQNE
2005-02-25,16.25,16.6,16.25,16.6,37400,616212,EQNE
2005-02-28,16.5,16.84,16.5,16.84,18900,317654,EQNE
2005-03-01,16.55,16.8,16.55,16.8,19700,329536,EQNE
