date,open,high,low,close,volume,value,board
2011-12-16,0.12981,0.12981,0.12981,0.12981,10000,1298.1,EQNE
2011-12-19,0.18173,0.18173,0.18173,0.18173,5000,908.65,SMAL
2012-01-25,0.18173,0.18173,0.18173,0.18173,20000,3634.6,EQNE
2012-02-28,0.25442,0.25442,0.25442,0.25442,10000,2544.2,EQNE
2012-03-14,0.35619,0.35619,0.35619,0.35619,10000,3561.9,EQNE
2012-03-15,0.35619,0.35619,0.35619,0.35619,9787,3486.03,SMAL
2012-03-27,0.35619,0.35619,0.35619,0.35619,10000,3561.9,EQNE
2012-03-28,0.49867,0.49867,0.49866,0.49867,100000,49866.9,EQNE
2012-03-29,0.69814,0.69814,0.69814,0.69814,50000,34907,EQNE
2012-03-30,0.69814,0.69814,0.69814,0.69814,3944,2753.46,SMAL
2012-04-06,0.69814,0.69814,0.69814,0.69814,30000,20944.2,EQNE
2012-04-09,0.97739,0.9774,0.97739,0.9774,70000,68417.9,EQNE
2012-04-10,0.9774,0.9774,0.9774,0.9774,10000,9774,EQNE
2012-04-11,1.05,1.2,1.05,1.2,150000,163499.9,EQNE
2012-04-12,1.05,1.05,1.04,1.04,30000,31300,EQNE
2012-04-13,0.91,0.91,0.9,0.9,20000,18100,EQNE
2012-04-16,1.09,1.1,0.75,0.75,690000,591650.1,EQNE
2012-04-18,0.98,0.98,0.79,0.8,510000,492500,EQNE
2012-04-19,0.8,0.82,0.8,0.81,90000,72300,EQNE
2012-04-20,0.83,0.83,0.83,0.83,10000,8300,EQNE
2012-04-23,0.8,0.8,0.8,0.8,90000,72000,EQNE
2012-04-24,0.8,0.8,0.8,0.8,20000,16000,EQNE
2012-04-25,0.55,0.85,0.55,0.85,270000,152500,EQNE
2012-04-27,0.95,0.95,0.85,0.85,250000,213500,EQNE
2012-05-02,0.8,0.8,0.8,0.8,254,203.2,SMAL
2012-05-04,0.88,0.88,0.88,0.88,46,40.48,SMAL
2012-05-08,0.88,0.88,0.88,0.88,20000,17600,EQNE
2012-05-11,0.748,0.748,0.748,0.748,10000,7480,EQNE
2012-05-12,0.7002,0.7002,0.7002,0.7002,10000,7002,EQNE
2012-05-29,0.57,0.57,0.57,0.57,230000,131100,EQNE
2012-05-31,0.65,0.65,0.65,0.65,744,483.6,SMAL
2012-06-01,0.571,0.571,0.5,0.5,50000,25710,EQNE
2012-06-05,0.51,0.62,0.5,0.62,80000,41302.1,EQNE
2012-06-09,0.5,0.5,0.5,0.5,100000,50000,EQNE
2012-06-15,0.5,0.6,0.5,0.6,20000,11000,EQNE
2012-06-19,0.41,0.41,0.41,0.41,10000,4100,EQNE
2012-06-20,0.5,0.5,0.5,0.5,10000,5000,EQNE
2012-06-21,0.49999,0.49999,0.49999,0.49999,10000,4999.9,EQNE
2012-06-26,0.45,0.46,0.44,0.44,80000,36000,EQNE
2012-08-01,0.439,0.52,0.439,0.52,40000,19239.9,EQNE
2012-08-02,0.40001,0.40001,0.40001,0.40001,10000,4000.1,EQNE
2012-08-16,0.35033,0.4002,0.35033,0.4002,20000,7505.3,EQNE
2012-08-29,0.4,0.4,0.4,0.4,10000,4000,EQNE
2012-08-30,0.4,0.4,0.4,0.4,10000,4000,EQNE
2012-09-07,0.5,0.5,0.5,0.5,10000,5000,EQNE
2012-09-12,0.5,0.5,0.5,0.5,80000,40000,EQNE
2012-09-21,0.5,0.5,0.5,0.5,1658,829,SMAL
2012-09-24,0.45,0.45,0.45,0.45,480000,216000,EQNE
2012-09-26,0.45,0.45,0.45,0.45,2240,1008,SMAL
2012-10-01,0.6,0.6,0.45001,0.45001,20000,10500.1,EQNE
2012-10-02,0.37505,0.63,0.37505,0.46001,30000,14650.6,EQNE
2012-10-03,0.38125,0.38125,0.38125,0.38125,10000,3812.5,EQNE
2012-10-05,0.6,0.75995,0.565,0.75795,70000,47993.3,EQNE
2012-10-10,0.695,0.6989,0.695,0.6989,30000,20928,EQNE
2012-10-11,0.97846,0.97846,0.69999,0.69999,30000,23784.4,EQNE
2012-10-12,0.97999,0.97999,0.97999,0.97999,10000,9799.9,EQNE
2012-10-15,0.7,0.7,0.64879,0.64879,20000,13487.9,EQNE
2012-10-16,0.89997,0.89997,0.89997,0.89997,10000,8999.7,EQNE
2012-10-18,0.5129,0.56001,0.5129,0.56001,30000,16329.2,EQNE
2012-10-19,0.78401,0.78401,0.78401,0.78401,20000,15680.2,EQNE
2012-10-22,0.6,0.6,0.6,0.6,10000,6000,EQNE
2012-10-23,0.6,0.6,0.47501,0.5001,60000,31881.1,EQNE
2012-10-24,0.55,0.55,0.55,0.55,5,2.75,SMAL
2012-10-25,0.4205,0.4205,0.4205,0.4205,10000,4205,EQNE
2012-10-26,0.55,0.5887,0.55,0.5887,20000,11387,EQNE
2012-10-29,0.40005,0.55,0.37705,0.53499,120000,57064,EQNE
2012-10-30,0.4226,0.59995,0.4226,0.55999,130000,66025.9,EQNE
2012-10-31,0.69999,0.69999,0.69999,0.69999,10000,6999.9,EQNE
2012-11-01,0.54,0.6,0.54,0.6,40000,23395.9,EQNE
2012-11-02,0.8398,0.8398,0.8398,0.8398,10000,8398,EQNE
2012-11-06,0.42,0.68999,0.42,0.64599,30000,17559.8,EQNE
2012-11-07,0.59999,0.59999,0.59999,0.59999,10000,5999.9,EQNE
2012-11-08,0.81776,0.81776,0.47,0.77769,30000,20654.5,EQNE
2012-11-13,0.89999,0.89999,0.5,0.57,120000,66182.9,EQNE
2012-11-14,0.78996,0.78996,0.5,0.5,50000,30798.8,EQNE
2012-11-15,0.57999,0.58,0.57999,0.58,20000,11599.9,EQNE
2012-11-19,0.50001,0.50001,0.49,0.49,9904,4892,SMAL
