date,open,high,low,close,volume,value,board
2006-08-09,0.75,0.75,0.75,0.75,100000,75000,EQNE
2006-08-18,3,3.1,2.75,2.75,300000,881000,EQNE
2006-08-22,2.5,3,2.5,2.7,90200,270520,EQNE
2006-08-28,3.32,3.32,3.32,3.32,100,332,EQNE
2006-09-08,0.77,3.29,0.77,3.29,191200,299393,EQNE
2006-09-11,3,3,3,3.0,100,300,EQNE
2006-09-12,2.45,2.45,2.45,2.45,100,245,EQNE
2006-09-15,2.15,2.79,2.15,2.79,9600,26420,EQNE
2006-09-22,2.99,2.99,2.99,2.99,142600,426374,EQNE
2006-09-28,3.21,3.21,3.21,3.21,40300,129363,EQNE
2006-09-29,3.4,3.4,3.25,3.25,2500,8245,EQNE
2006-10-02,3.47,3.47,3.47,3.47,17500,60725,EQNE
2006-10-09,4,4,4,4.0,100,400,EQNE
2006-10-10,4.08,4.08,3.9,3.9,400,1596,EQNE
2006-10-17,4,4.05,4,4.05,79900,321095,EQNE
2006-12-07,3.5,3.5,3.5,3.5,12900,45150,EQNE
2006-12-20,4,4,4,4.0,100,400,EQNE
2007-01-10,4,4,4,4.0,10000,40000,EQNE
2007-01-25,5.22,5.22,4.11,4.95,24500,110437,EQNE
2007-02-02,4.5,4.99,4.21,4.5,23000,108271,EQNE
2007-02-05,5,5,5,5.0,100,500,EQNE
2007-02-08,5.19,5.19,5.19,5.19,100,519,EQNE
2007-02-12,5.19,5.19,5.19,5.19,1100,5709,EQNE
2007-02-13,5.23,5.23,5.23,5.23,100,523,EQNE
2007-02-15,5,5.01,5,5.01,8000,40030,EQNE
2007-02-19,5.24,5.24,5.23,5.23,14700,77026,EQNE
2007-02-20,4.46,5.24,4.46,5.24,2500,12554,EQNE
2007-02-21,5.24,5.24,5.24,5.24,15500,81220,EQNE
2007-02-22,5.24,5.24,5.24,5.24,7000,36680,EQNE
2007-02-26,5.24,5.24,5.24,5.24,10100,52924,EQNE
2007-02-27,5.24,6,5,5.05,671700,3396741,EQNE
2007-02-28,5.8,5.8,4.91,4.98,97100,485431,EQNE
2007-03-01,5.75,5.75,4.7,4.7,600,3150,EQNE
2007-03-02,4.5,5.1,4.5,4.96,3000,14598,EQNE
2007-03-05,4.7,4.7,4.6,4.6,20000,93000,EQNE
2007-03-06,4.95,4.95,4.6,4.6,11000,50952,EQNE
2007-03-13,4.95,5.2,4.9,4.93,8000,39799,EQNE
2007-03-14,4.62,4.62,4.51,4.6,60900,279202,EQNE
2007-03-15,5.1,5.1,5.1,5.1,4000,20400,EQNE
2007-03-16,4.95,5.1,4.95,4.95,9400,47695,EQNE
2007-03-19,4.75,4.75,4.75,4.75,1100,5225,EQNE
2007-03-20,4.8,5,4.8,5.0,5100,25480,EQNE
2007-03-21,5.05,5.05,5,5.0,11200,56480,EQNE
2007-03-22,5.01,5.39,5,5.39,13600,68069,EQNE
2007-03-23,4.88,5.39,4.88,5.39,300,1515,EQNE
2007-03-26,5.2,5.27,5.2,5.27,5100,26527,EQNE
2007-03-27,5.3,5.3,5.24,5.24,2200,11642,EQNE
2007-03-28,5,5.01,5,5.01,1300,6511,EQNE
2007-03-29,5.38,5.38,5.38,5.38,700,3766,EQNE
2007-04-02,5.11,5.21,5.11,5.21,700,3587,EQNE
2007-04-04,5.2,5.2,5.2,5.2,100,520,EQNE
2007-04-06,5.35,5.35,5.02,5.21,6300,33203,EQNE
2007-04-10,5.2,5.2,5.15,5.16,2800,14438,EQNE
2007-04-11,5.02,5.15,4.72,5.15,19500,97913,EQNE
2007-04-13,4.99,5,4.99,5.0,17600,87999,EQNE
2007-04-16,4.9,4.9,4.9,4.9,700,3430,EQNE
2007-04-18,4.9,4.9,4.9,4.9,3000,14700,EQNE
2007-04-19,5,5.3,5,5.3,11400,57418,EQNE
2007-04-20,5.29,5.3,5,5.0,2000,10147,EQNE
2007-04-23,5.1,5.15,5.1,5.15,6100,31115,EQNE
2007-04-24,5,5.15,5,5.15,2200,11080,EQNE
2007-04-25,5.1,5.1,5.1,5.1,6000,30600,EQNE
2007-04-26,5.1,5.11,5.01,5.05,66800,340477,EQNE
2007-04-27,4.7,5.3,4.67,5.1,2100,9952,EQNE
2007-04-28,3.55,5.15,3.55,5.15,2200,10015,EQNE
2007-05-02,5.27,5.27,5.27,5.27,200,1054,EQNE
2007-05-03,5.1,5.1,5.1,5.1,5000,25500,EQNE
2007-05-04,5.15,5.3,5.15,5.3,17000,89377,EQNE
2007-05-07,5.07,5.15,5.07,5.15,80300,407145,EQNE
2007-05-08,5.43,6.55,5.43,5.88,1500,8924,EQNE
2007-05-14,4.12,4.4,4.12,4.4,58300,240237,EQNE
2007-05-15,4.5,4.5,4.5,4.5,4800,21600,EQNE
2007-05-18,4.55,4.55,4.55,4.55,100,455,EQNE
2007-05-21,4.7,4.7,4.7,4.7,2000,9400,EQNE
2007-05-28,5.25,5.5,5.25,5.5,1000,5475,EQNE
2007-05-29,4.25,4.25,4.1,4.1,6000,24660,EQNE
2007-05-30,4.52,4.8,4.52,4.8,500,2288,EQNE
2007-06-01,4.5,4.5,4.5,4.5,300,1350,EQNE
2007-06-06,4.6,4.6,4.6,4.6,310000,1426000,EQNE
2007-06-07,4.36,5.15,4,5.15,3200,13348,EQNE
2007-06-14,4.5,4.7,4.5,4.7,1900,8854,EQNE
