date,open,high,low,close,volume,value,board
2012-04-13,20,20,20,20.0,100,2000,EQNE
2012-09-18,21.8,21.8,21.8,21.8,1,21.8,SMAL
2012-10-09,20.001,24.75,12,15.002,600,11475.3,EQNE
2012-10-10,12.451,15.001,12.451,15.001,500,7245.5,EQNE
2012-10-11,12.55,18.11,9.001,10.7,400,5036.1,EQNE
2012-10-12,17.646,17.646,17.646,17.646,400,7058.4,EQNE
2012-10-15,24.704,24.704,23,24.704,1700,40122.4,EQNE
2012-10-16,34.586,34.586,27,34.49,400,13056.6,EQNE
2012-10-17,48.286,48.286,48.286,48.286,100,4828.6,EQNE
2012-10-18,67.6,67.6,50,50.0,200,11760,EQNE
2012-10-22,31.259,36.999,31.259,36.999,200,6825.8,EQNE
2012-10-23,39.9,51.799,32.001,51.799,300,12370,EQNE
2012-10-25,55,58.659,55,58.659,200,11365.9,EQNE
2012-10-29,58.66,58.66,58.66,58.66,100,5866,EQNE
2012-10-31,34,34,25.14,25.14,2800,77059.5,EQNE
2012-11-01,15.105,23,15.105,23.0,600,11890.4,EQNE
2012-11-02,16.001,24,16.001,24.0,800,16400.2,EQNE
2012-11-06,14.401,22.9,14.401,22.9,1100,19401.2,EQNE
2012-11-07,21,21,15.001,19.996,1200,22199.7,EQNE
2012-11-08,13.556,27.97,13.556,27.97,1300,31298.5,EQNE
2012-11-09,18.5,26.895,15,26.0,2300,46098.8,EQNE
2012-11-12,21,21,21,21.0,100,2100,EQNE
2012-11-13,23,24,21.1,21.1,400,8920.1,EQNE
2012-11-14,19.999,20,19.999,20.0,2,40,SMAL
2012-11-15,26.847,28.998,23.5,23.5,300,7934.5,EQNE
2012-11-16,26.498,26.498,26.498,26.498,100,2649.8,EQNE
2012-11-19,29.899,29.899,21.244,21.244,600,14514.3,EQNE
2012-11-21,29.157,29.157,29.157,29.157,100,2915.7,EQNE
2012-11-26,19.51,27.99,18.335,26.899,14900,334519.8,EQNE
2012-11-28,23.001,24.999,23.001,24.999,300,7100.7,EQNE
2012-11-30,25,25,24,24.0,11200,270000,EQNE
2012-12-05,23.007,27.608,23.007,27.608,200,5061.5,EQNE
2012-12-10,22.5,27.888,19.09,27.888,600,13565.5,EQNE
2012-12-17,27,27,25,25.0,3100,81300,EQNE
2012-12-19,20.003,24.001,20.003,24.001,10000,200429.8,EQNE
2012-12-20,25,25,21,21.4,55000,1256000,EQNE
2012-12-21,21.4,27.37,21.4,27.37,77000,1744522.1,EQNE
2012-12-24,22,29,22,29.0,2100,47400,EQNE
2012-12-26,28.99,34,28.99,34.0,2000,63638,EQNE
2012-12-27,33.7,33.7,33.7,33.7,200,6740,EQNE
2012-12-28,33.5,33.5,33.25,33.25,91300,3035750,EQNE
2013-01-08,33.251,33.251,33.25,33.25,2000,66501,EQNE
2013-01-09,33.25,33.252,33.25,33.252,300,9975.2,EQNE
2013-01-10,33.3,33.3,33.3,33.3,100,3330,EQNE
2013-01-11,33.3,33.3,33.3,33.3,200,6660,EQNE
2013-01-18,33.47,33.47,33.47,33.47,100,3347,EQNE
2013-01-21,34,34,33.25,33.25,18000,602106.2,EQNE
2013-01-23,34,34,33.2,33.2,19100,635780,EQNE
2013-01-31,34,34,34,34.0,300,10200,EQNE
2013-02-01,33.45,33.45,33.45,33.45,400,13380,EQNE
2013-02-14,33.45,33.45,33.45,33.45,200,6690,EQNE
2013-02-15,33.45,33.45,33.45,33.45,3100,103695,EQNE
2013-03-14,33.4,33.4,33.4,33.4,100,3340,EQNE
2013-03-25,33.61,33.61,33.4,33.4,6000,201240,EQNE
2013-03-26,33.45,34.25,33,33.01,49700,1656899,EQNE
