date,open,high,low,close,volume,value,board
2011-12-12,6800,6800,6800,6800.0,1,6800,EQNE
2011-12-15,5001,5001,5001,5001.0,1,5001,EQNE
2011-12-19,6290,6290,6290,6290.0,1,6290,EQNE
2011-12-22,6000,6300,5312,6000.0,87,531374,EQNE
2011-12-30,6150,6150,6150,6150.0,1,6150,EQNE
2012-01-09,6100,6150,6100,6150.0,2,12250,EQNE
2012-01-10,6100,6150,5600,5600.0,47,285850,EQNE
2012-01-11,5600,5800,5500,5800.0,7,39900,EQNE
2012-01-12,5500,5500,5500,5500.0,1,5500,EQNE
2012-01-13,6000,6200,5001,6200.0,63,386501,EQNE
2012-01-16,5950,6300,5950,6300.0,5,30450,EQNE
2012-01-17,6300,6300,6300,6300.0,11,69300,EQNE
2012-01-18,6300,6300,6300,6300.0,42,264600,EQNE
2012-01-19,6500,6500,6500,6500.0,2,13000,EQNE
2012-01-20,6500,7000,6300,6300.0,16,109550,EQNE
2012-01-26,6402,6402,6402,6402.0,1,6402,EQNE
2012-01-30,6020,6020,6020,6020.0,1,6020,EQNE
2012-01-31,6300,6300,6300,6300.0,1,6300,EQNE
2012-02-01,6490,6490,6490,6490.0,1,6490,EQNE
2012-02-06,6304,6304,6207,6207.0,5,31411,EQNE
2012-02-07,6400,6400,6400,6400.0,2,12800,EQNE
2012-02-10,6490,6490,6490,6490.0,1,6490,EQNE
2012-02-17,6505,6650,6505,6650.0,3,19660,EQNE
2012-02-20,6600,6600,6401,6401.0,15,97851,EQNE
2012-02-21,6950,6950,6200,6200.0,2,13150,EQNE
2012-02-24,6100,6100,6100,6100.0,2,12200,EQNE
2012-02-27,6150,6161,6150,6151.0,24,147648,EQNE
2012-02-28,6000,6000,5950,5950.0,2,11950,EQNE
2012-02-29,6000,6550,6000,6550.0,12,76350,EQNE
2012-03-02,6200,6200,6200,6200.0,3,18600,EQNE
2012-03-05,6200,6200,6160,6160.0,6,37003,EQNE
2012-03-06,6790,6790,6200,6200.0,8,52145,EQNE
2012-03-07,6150,6199,6150,6199.0,5,30848,EQNE
2012-03-12,5870,5870,5870,5870.0,8,46960,EQNE
2012-03-13,5910,5910,5910,5910.0,4,23640,EQNE
2012-03-14,6450,6450,5820,6000.0,16,99268,EQNE
2012-03-15,6200,6200,6200,6200.0,2,12400,EQNE
2012-03-19,5430,6598,5430,6598.0,8,44643,EQNE
2012-03-20,6650,6650,5832,5832.0,2,12482,EQNE
2012-03-21,5820,5820,5820,5820.0,4,23280,EQNE
2012-03-26,6390,6390,6360,6360.0,10,63720,EQNE
2012-03-29,5805,5805,5705,5705.0,11,63246,EQNE
2012-04-03,6380,6380,6380,6380.0,2,12760,EQNE
2012-04-04,5562,5562,5561,5561.0,6,33367,EQNE
2012-04-06,5500,5505,5415,5500.0,38,208581,EQNE
2012-04-09,5210,5400,5210,5400.0,53,277640,EQNE
2012-04-10,5499,5499,5499,5499.0,1,5499,EQNE
2012-04-13,5500,5600,5500,5600.0,2,11100,EQNE
2012-04-16,5800,5870,5800,5850.0,9,52670,EQNE
2012-04-19,5050,5350,5005,5200.0,19,96602,EQNE
2012-04-20,5100,5198,5100,5150.0,3,15448,EQNE
2012-04-23,5150,5150,5000,5100.0,42,211000,EQNE
2012-04-24,5005,5005,5001,5002.0,54,270137,EQNE
2012-04-25,5001,5001,5001,5001.0,1,5001,EQNE
2012-04-26,5595,5595,5000,5000.0,4,20595,EQNE
2012-05-02,5100,5300,5100,5300.0,6,31599,EQNE
2012-05-03,5500,5500,5350,5350.0,7,37900,EQNE
2012-05-04,5101,5101,5101,5101.0,1,5101,EQNE
2012-05-05,5500,5800,5500,5800.0,9,51885,EQNE
2012-05-07,5006,5100,5000,5100.0,10,50511,EQNE
2012-05-11,5150,5150,5150,5150.0,1,5150,EQNE
2012-05-15,5100,5100,5100,5100.0,6,30600,EQNE
2012-05-16,4710,4710,4710,4710.0,1,4710,EQNE
2012-05-17,5100,5100,5000,5000.0,11,56000,EQNE
2012-05-18,5099,5100,5000,5000.0,7,35199,EQNE
2012-05-21,4995,4995,4851,4851.0,3,14841,EQNE
2012-05-22,4902,4902,4902,4902.0,1,4902,EQNE
