date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2006-03-02,350,350,350,350.0,25,8750,EQNE
2006-03-17,350,350,340,340.0,35,12100,EQNE
2006-03-20,350,350,350,350.0,1,350,EQNE
2006-04-06,350,350,325,325.0,84,27600,EQNE
2006-04-10,330,330,330,330.0,290,95700,EQNE
2006-04-11,333,333,333,333.0,100,33300,EQNE
2006-04-12,334,370,334,370.0,581,208684,EQNE
2006-04-20,333,333,333,333.0,2,666,EQNE
2006-04-24,325,325,325,325.0,10,3250,EQNE
2006-04-26,370,370,370,370.0,100,37000,EQNE
2006-05-02,375,375,375,375.0,25,9375,EQNE
2006-05-10,320,320,320,320.0,1,320,EQNE
2006-05-23,296.8,296.8,296.8,296.8,290,86072,EQNE
2006-06-27,350,350,350,350.0,19,6650,EQNE
2006-07-04,325,325,325,325.0,25,8125,EQNE
2006-07-07,330,330,330,330.0,25,8250,EQNE
2006-07-10,325,325,325,325.0,20,6500,EQNE
2006-07-20,355,355,355,355.0,80,28400,EQNE
2006-07-21,340,340,340,340.0,1,340,EQNE
2006-07-25,325,325,325,325.0,25,8125,EQNE
2006-09-26,380,420,380,420.0,1502,610389,EQNE
2006-09-27,425,435,410,430.0,1043,446695,EQNE
2006-09-28,449,570.85,420,470.0,384,175583.81,EQNE
2006-09-29,539.97,539.97,360,440.0,298,130833.97,EQNE
2006-10-02,449.9,499,445,450.0,2531,1180006.59,EQNE
2006-10-03,450,450,402,408.98,938,401846.96,EQNE
2006-10-04,405,410,404,405.01,226,91987.09,EQNE
2006-10-05,380.07,404.89,363,404.89,251,98706.2,EQNE
2006-10-06,387,429.9,370,427.0,182,74007.76,EQNE
2006-10-09,410,442,390,409.0,1423,587364.38,EQNE
2006-10-10,410,415,382,412.0,434,176765.34,EQNE
2006-10-11,410,500,410,427.77,3021,1328100.99,EQNE
2006-10-12,427,443.5,390,390.0,1247,504505.17,EQNE
2006-10-13,400,415,390,400.0,61,23966,EQNE
2006-10-16,400,400,375,385.0,98,37221.2,EQNE
2006-10-17,350,390,350,387.0,14,5230.87,EQNE
2006-10-18,378.99,378.99,378.99,378.99,32,12127.68,EQNE
2006-10-23,385,385,384.98,385.0,50,19249.94,EQNE
2006-10-25,350,373.95,340,363.99,766,283538.19,EQNE
2006-10-26,345,345,337,340.0,10,3396.2,EQNE
2006-10-27,330.01,359.9,330.01,359.9,3,1019.92,EQNE
2006-10-30,360,369.98,349.01,349.01,110,39078.98,EQNE
2006-10-31,380,380,350,350.0,82,28828.15,EQNE
2006-11-01,351,355,345,355.0,112,39292,EQNE
2006-11-02,370.9,370.9,360,370.5,35,12807.08,EQNE
2006-11-03,374.8,378.9,351,376.0,604,212982.68,EQNE
2006-11-07,386.97,386.97,351,377.99,7,2627.9,EQNE
2006-11-08,360,369,350,360.0,791,280464,EQNE
2006-11-09,365,365,345.6,364.5,11,3972.2,EQNE
2006-11-10,350.01,350.01,345.17,345.17,2,695.18,EQNE
2006-11-13,340.01,340.01,340,340.0,52,17680.01,EQNE
2006-11-14,356.9,359,340,340.0,198,68430.38,EQNE
2006-11-16,364.99,364.99,364.99,364.99,2,729.98,EQNE
2006-11-20,350,350,350,350.0,2,700,EQNE
2006-11-28,364.98,364.98,364.98,364.98,1,364.98,EQNE
2006-11-29,359,359,359,359.0,6,2154,EQNE
2006-11-30,363,363,359,359.0,2,722,EQNE
2006-12-06,360.01,360.01,360.01,360.01,1,360.01,EQNE
2006-12-07,360,360,360,360.0,3,1080,EQNE
2006-12-11,385,385,385,385.0,1,385,EQNE
2006-12-12,365,365,365,365.0,1,365,EQNE
2006-12-13,360,360,360,360.0,100,36000,EQNE
2006-12-14,355,355,354.5,355.0,226,80215.5,EQNE
2006-12-15,355,355,355,355.0,100,35500,EQNE
2006-12-18,345.01,350,345,350.0,270,93400.01,EQNE
2006-12-19,345,345,345,345.0,17,5865,EQNE
2006-12-20,369,386.97,340.03,365.0,5,1830.98,EQNE
2006-12-21,350,368.8,350,368.8,105,36844,EQNE
2006-12-22,355,355,355,355.0,100,35500,EQNE
2006-12-26,360,360,355,355.0,2,715,EQNE
2006-12-27,355,360,341,360.0,1211,416305.96,EQNE
2006-12-28,360,370,358,370.0,565,203590,EQNE
2006-12-29,370,370,369.98,369.98,56,20719.1,EQNE
2007-01-09,383.99,383.99,300,340.0,114,38855.79,EQNE
2007-01-10,312,340,311,340.0,13,4335,EQNE
2007-01-12,364.99,364.99,364.99,364.99,2,729.98,EQNE
2007-01-15,350,365.85,350,365.0,95,33325.85,EQNE
2007-01-19,350,350,350,350.0,4,1400,EQNE
2007-01-24,337.02,369.99,335,358.03,181,64179.78,EQNE
2007-01-29,350,350,349.99,350.0,380,132999.7,EQNE
2007-01-30,360,360,336.05,345.0,511,173712.6,EQNE
2007-01-31,345.11,367.96,345.1,367.96,11,3818.97,EQNE
2007-02-01,367.91,370,359,370.0,174,63195.09,EQNE
2007-02-02,370.99,380,365,380.0,251,93039.54,EQNE
2007-02-05,386.99,386.99,386.98,386.98,8,3095.89,EQNE
2007-02-06,361,379,361,379.0,54,19621,EQNE
2007-02-07,370.99,370.99,370.99,370.99,1,370.99,EQNE
2007-02-09,355.06,371,355.06,371.0,54,19524.36,EQNE
2007-02-12,360,360,355,360.0,689,247145.14,EQNE
2007-02-13,365,365,365,365.0,685,250025,EQNE
2007-02-14,378.89,378.99,378.89,378.99,74,28038.66,EQNE
2007-02-15,371,371,360,360.0,14,5062.02,EQNE
2007-02-16,370,370,361.01,365.0,50,18260.1,EQNE
2007-02-19,383.39,394,375,375.0,110,42594.38,EQNE
2007-02-20,365.01,365.01,365.01,365.01,16,5840.16,EQNE
2007-02-21,386.89,413.98,386,413.98,515,204182.2,EQNE
2007-02-22,417.95,443.95,360.01,410.01,877,365881.42,EQNE
2007-02-26,419.88,419.88,380,400.0,442,178957.97,EQNE
2007-02-27,414.69,414.69,414.69,414.69,46,19075.74,EQNE
2007-02-28,395.51,395.51,360,360.0,11,4005.51,EQNE
2007-03-01,375,375,367,367.0,102,37912.26,EQNE
2007-03-02,389,389,360,360.0,13,4896,EQNE
2007-03-05,365,383.83,365,383.83,22,8218.3,EQNE
2007-03-06,377.77,389,377,389.0,36,13829.3,EQNE
2007-03-07,380,404.99,380,399.99,77,29385.04,EQNE
2007-03-09,399,404.99,351.01,404.99,127,49504.07,EQNE
2007-03-12,399.37,399.37,399.37,399.37,30,11981.1,EQNE
2007-03-13,399.98,400,399.97,400.0,20,7999.65,EQNE
2007-03-20,400,415,400,415.0,22,8829.99,EQNE
2007-03-21,380,380,380,380.0,10,3800,EQNE
2007-03-22,400,400,380,390.0,56,21549.01,EQNE
2007-03-23,400,400,400,400.0,13,5200,EQNE
2007-03-30,400,400,400,400.0,1,400,EQNE
2007-04-05,414.5,414.5,414.5,414.5,1,414.5,EQNE
2007-04-09,400,400,400,400.0,50,20000,EQNE
2007-04-10,400,400,399.9,400.0,131,52399.4,EQNE
2007-04-11,407.77,407.77,407.77,407.77,1,407.77,EQNE
2007-04-12,399.99,400,390,390.0,285,113849.8,EQNE
2007-04-13,404.99,412.99,400,400.0,35,14027.96,EQNE
2007-04-16,400,408.99,393,400.0,450,181065.02,EQNE
2007-04-17,405,410,400,410.0,168,68206.54,EQNE
2007-04-18,414.99,414.99,414.99,414.99,2,829.98,EQNE
2007-04-19,400,409.99,400,400.0,145,58009.99,EQNE
2007-04-20,409.99,410,409.99,410.0,202,82819.96,EQNE
2007-04-23,409.99,410,409.99,410.0,300,122999.95,EQNE
2007-04-24,413.4,418,413.4,418.0,607,251844.98,EQNE
2007-04-25,416,416,416,416.0,5,2080,EQNE
2007-04-26,418.99,419.94,416,417.0,259,107892.74,EQNE
2007-04-27,410.01,410.01,410,410.0,59,24190.09,EQNE
