date,open,high,low,close,volume,value,board
2005-09-15,20,20,20,20.0,200,4000,EQNE
2005-09-30,10,10,7.5,7.5,300,2500,EQNE
2005-12-01,6.25,6.25,4.69,4.69,2000,10940,EQNE
2005-12-02,4.1,4.1,2.93,3.7,10900,32640,EQNE
2006-02-20,3,3,3,3.0,1200,3600,EQNE
2006-03-06,2.55,2.55,2.55,2.55,10000,25500,EQNE
2006-03-22,1.92,1.92,0.5,1.05,31100,28900,EQNE
2006-03-23,0.99,1.05,0.99,1.05,2000,2004,EQNE
2006-03-24,0.8,1.8,0.8,1.8,400,420,EQNE
2006-03-27,1.05,1.1,1.05,1.1,3100,3330,EQNE
2006-03-28,1.05,1.1,0.82,0.82,7600,7514,EQNE
2006-03-30,1,1.15,1,1.0,2600,2678,EQNE
2006-04-04,1.05,1.05,0.8,0.8,10100,8130,EQNE
2006-04-05,0.8,0.8,0.6,0.8,8600,6840,EQNE
2006-04-10,0.8,0.8,0.8,0.8,200,160,EQNE
2006-04-13,0.8,0.8,0.8,0.8,5100,4080,EQNE
2006-04-14,0.8,0.8,0.8,0.8,100,80,EQNE
2006-04-17,0.79,0.79,0.79,0.79,2400,1896,EQNE
2006-04-19,1.05,1.05,1.05,1.05,100,105,EQNE
2006-04-20,1.1,1.1,1.1,1.1,2100,2310,EQNE
2006-04-25,0.621,1.049,0.62,0.62,14300,8909.2,EQNE
2006-04-26,1.045,1.045,1.045,1.045,100,104.5,EQNE
2006-05-10,1.039,1.039,0.855,0.855,1700,1664.5,EQNE
2006-05-16,0.999,0.999,0.999,0.999,100,99.9,EQNE
2006-05-30,0.8,1.015,0.8,1.0,200500,180607.5,EQNE
2006-06-28,0.68,0.68,0.65,0.65,2000,1330,EQNE
2006-07-03,1.06,1.06,1.06,1.06,100,106,EQNE
2006-07-04,0.801,0.801,0.801,0.801,1000,801,EQNE
2006-07-07,0.625,0.625,0.625,0.625,100,62.5,EQNE
2006-07-12,0.735,0.735,0.735,0.735,1000,735,EQNE
2006-07-25,0.576,0.576,0.041,0.5,2200,699.4,EQNE
2006-07-27,1.019,1.019,0.105,0.105,200100,21170.1,EQNE
2006-07-28,0.102,0.102,0.102,0.102,100,10.2,EQNE
2006-08-03,0.449,0.449,0.42,0.42,200,86.9,EQNE
2006-08-07,0.105,0.49,0.105,0.49,400100,42049,EQNE
2006-08-09,0.11,0.11,0.105,0.105,206700,21734,EQNE
2006-08-11,0.5,0.5,0.5,0.5,100,50,EQNE
2006-08-14,0.898,0.994,0.27,0.33,2400,879,EQNE
2006-08-18,0.157,0.43,0.105,0.27,522100,56637,EQNE
2006-08-21,0.5,0.5,0.375,0.375,8100,3056.5,EQNE
2006-08-28,0.41,0.43,0.41,0.43,200000,85991.4,EQNE
2006-08-29,0.473,0.473,0.4,0.4,1300,549.2,EQNE
2006-09-04,0.35,0.4,0.155,0.4,500000,146000,EQNE
2006-09-05,0.4,0.447,0.4,0.447,24400,9788.5,EQNE
2006-09-06,0.255,0.425,0.255,0.4,365000,117125,EQNE
2006-09-07,0.449,0.715,0.449,0.705,1000700,550466.7,EQNE
2006-09-08,0.551,0.745,0.551,0.649,1005100,555178.5,EQNE
2006-09-11,0.7,0.7,0.551,0.551,700,411,EQNE
2006-09-14,0.511,0.511,0.401,0.401,2700,1302.7,EQNE
2006-09-15,0.402,0.462,0.402,0.45,400,177.4,EQNE
2006-09-20,0.63,0.63,0.63,0.63,2000,1260,EQNE
2006-09-21,0.38,0.634,0.38,0.634,1200,728.6,EQNE
2006-09-25,0.38,0.47,0.38,0.408,115700,47889.1,EQNE
2006-09-26,0.505,0.619,0.505,0.619,400,232.4,EQNE
2006-09-27,0.616,0.616,0.6,0.616,2200,1352,EQNE
2006-09-28,0.61,0.61,0.61,0.61,100,61,EQNE
2006-10-02,0.38,0.448,0.359,0.448,150100,53926.3,EQNE
2006-10-03,0.39,0.526,0.39,0.526,31200,14032.9,EQNE
2006-10-04,0.525,0.545,0.41,0.545,513000,277432.7,EQNE
2006-10-05,0.535,0.535,0.53,0.535,16200,8658,EQNE
2006-10-06,0.535,0.535,0.535,0.535,500,267.5,EQNE
2006-10-09,0.524,0.525,0.425,0.513,10100,4413.4,EQNE
2006-10-10,0.52,0.523,0.427,0.519,1900,848.7,EQNE
2006-10-11,0.53,0.53,0.53,0.53,100,53,EQNE
2006-10-12,0.535,0.535,0.51,0.532,300,157.7,EQNE
2006-10-16,0.405,0.405,0.405,0.405,400,162,EQNE
2006-10-17,0.406,0.406,0.406,0.406,1800,730.8,EQNE
2006-10-18,0.499,0.5,0.499,0.5,7200,3596.9,EQNE
2006-10-19,0.497,0.5,0.497,0.499,900,449.1,EQNE
2006-10-20,0.499,0.499,0.499,0.499,14900,7435.1,EQNE
2006-10-25,0.5,0.5,0.495,0.495,200,99.5,EQNE
2006-10-26,0.51,0.51,0.51,0.51,1000,510,EQNE
2006-10-30,0.53,0.53,0.53,0.53,100,53,EQNE
2006-11-02,0.5,0.525,0.5,0.525,2100,1082.5,EQNE
2006-11-03,0.5,0.5,0.447,0.5,19900,8917.4,EQNE
2006-11-07,0.53,0.53,0.499,0.499,1300,653,EQNE
2006-11-09,0.513,0.555,0.5,0.5,13000,6666.4,EQNE
2006-11-13,0.5,0.519,0.5,0.5,310400,155205.7,EQNE
2006-11-14,0.465,0.509,0.421,0.509,15400,6525.7,EQNE
2006-11-16,0.52,0.52,0.45,0.45,3000,1407,EQNE
2006-11-17,0.451,0.451,0.451,0.451,1000,451,EQNE
2006-11-23,0.451,0.451,0.451,0.451,30000,13530,EQNE
2006-11-24,0.45,0.45,0.45,0.45,4300,1935,EQNE
2006-11-27,0.479,0.481,0.479,0.48,1900,912.6,EQNE
2006-12-04,0.5,0.52,0.5,0.52,60100,30452,EQNE
2006-12-05,0.519,0.52,0.519,0.52,1400,727.4,EQNE
2006-12-06,0.425,0.619,0.425,0.52,137500,61898,EQNE
2006-12-08,0.615,0.615,0.438,0.49,56800,28316.7,EQNE
2006-12-11,0.511,0.745,0.511,0.745,20000,11087,EQNE
2006-12-14,0.669,0.826,0.6,0.826,203700,127378.7,EQNE
2006-12-15,0.7,1.135,0.7,1.0,1842200,1843421.2,EQNE
2006-12-18,1.1,1.15,0.88,1.15,410400,415378.7,EQNE
2006-12-19,0.99,0.99,0.75,0.979,819900,764196.1,EQNE
2006-12-20,0.98,0.98,0.81,0.914,1068300,927803.3,EQNE
2006-12-21,0.97,0.98,0.85,0.85,101800,94894.1,EQNE
2006-12-22,0.88,0.94,0.799,0.898,256900,229970.9,EQNE
2006-12-25,0.9,0.929,0.571,0.828,325000,263007.4,EQNE
2006-12-26,0.83,0.9,0.61,0.679,104100,73584.4,EQNE
2006-12-27,0.701,0.749,0.67,0.736,28400,20333.8,EQNE
2006-12-28,0.743,0.899,0.7,0.723,65700,46864.4,EQNE
2006-12-29,0.768,0.815,0.69,0.731,12800,8999.3,EQNE
