date,open,high,low,close,volume,value,board
2003-02-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-10,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-12,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-13,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-14,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-18,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-19,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-20,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-21,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-25,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-26,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-27,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-28,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2005-02-18,250.0,250.0,250.0,250.0,50,12500.0,EQNE
2005-02-22,200.01,200.01,200.0,200.0,50,10000.01,EQNE
2005-03-02,249.99,249.99,249.99,249.99,1,249.99,EQNE
2005-05-11,230.0,230.0,230.0,230.0,1,230.0,EQNE
2005-06-01,250.0,250.0,250.0,250.0,48,12000.0,EQNE
2006-03-16,100.0,450.0,100.0,402.48,895,267977.28,EQNE
2006-03-17,500.0,740.0,500.0,630.0,764,463846.26,EQNE
2006-03-20,650.0,668.0,650.0,668.0,70,45854.0,EQNE
2006-03-21,670.0,700.0,611.0,690.0,30,20360.0,EQNE
2006-03-22,610.05,610.05,610.0,610.05,167,101876.6,EQNE
2006-03-23,650.0,650.0,640.0,650.0,345,224049.0,EQNE
2006-03-24,675.0,848.0,650.0,847.0,1873,1381231.35,EQNE
2006-03-27,800.0,800.0,800.0,800.0,3,2400.0,EQNE
2006-03-28,940.0,940.0,929.99,929.99,18,16839.92,EQNE
2006-04-03,800.0,815.0,800.0,815.0,5,4030.0,EQNE
2006-04-04,800.0,800.0,800.0,800.0,2,1600.0,EQNE
2006-04-06,800.0,830.0,721.0,830.0,4,3151.0,EQNE
2006-04-10,850.0,850.0,850.0,850.0,1,850.0,EQNE
2006-04-11,870.0,899.01,870.0,870.0,4,3538.02,EQNE
2006-04-17,800.0,800.0,800.0,800.0,12,9600.0,EQNE
2006-04-18,860.0,860.0,850.0,850.0,15,12850.0,EQNE
2006-04-20,600.0,800.0,600.0,800.0,40,28700.0,EQNE
2006-04-21,800.0,850.0,800.0,850.0,45,37750.0,EQNE
2006-04-24,890.0,890.0,888.0,888.0,6,5330.0,EQNE
2006-04-27,900.0,900.0,870.0,900.0,90,79800.0,EQNE
2006-05-02,950.0,975.0,950.0,975.0,20,19250.0,EQNE
2006-05-03,999.0,1048.0,900.0,900.0,125,115568.0,EQNE
2006-05-04,900.0,900.0,900.0,900.0,348,313200.0,EQNE
2006-05-12,750.0,750.0,750.0,750.0,8,6000.0,EQNE
2006-05-17,900.0,900.0,800.0,800.0,33,28403.0,EQNE
2006-05-24,750.0,750.0,750.0,750.0,92,69000.0,EQNE
2006-05-25,567.0,567.0,567.0,567.0,2,1134.0,EQNE
2006-05-30,726.0,726.0,726.0,726.0,20,14520.0,EQNE
2006-06-13,651.0,651.0,651.0,651.0,5,3255.0,EQNE
2006-06-14,700.01,700.01,700.01,700.01,10,7000.1,EQNE
2006-06-15,681.0,681.0,681.0,681.0,6,4086.0,EQNE
2006-06-16,740.0,740.0,740.0,740.0,50,37000.0,EQNE
2006-06-20,750.0,750.0,750.0,750.0,5,3750.0,EQNE
2006-06-22,800.0,800.0,800.0,800.0,1,800.0,EQNE
2006-06-26,830.56,830.56,750.0,750.0,4,3241.68,EQNE
2006-06-28,730.0,730.0,730.0,730.0,80,58400.0,EQNE
2006-06-29,811.99,811.99,811.99,811.99,1,811.99,EQNE
2006-07-03,590.0,590.0,590.0,590.0,17,10030.0,EQNE
2006-07-20,570.0,570.0,570.0,570.0,3,1710.0,EQNE
2006-07-27,557.18,557.18,557.18,557.18,2,1114.36,EQNE
2006-08-30,557.18,565.0,557.18,565.0,11,6144.45,EQNE
2006-09-06,600.0,600.0,600.0,600.0,4,2400.0,EQNE
2006-09-07,560.0,560.0,560.0,560.0,30,16800.0,EQNE
2006-09-19,599.99,599.99,599.99,599.99,1,599.99,EQNE
2006-09-27,580.0,580.0,580.0,580.0,5,2900.0,EQNE
2006-09-29,605.0,700.0,605.0,700.0,3,1985.0,EQNE
2006-10-06,700.0,700.0,695.0,695.0,232,161400.0,EQNE
2006-10-10,699.0,700.0,680.0,680.0,401,280340.01,EQNE
2006-10-12,686.81,700.0,686.81,700.0,288,201586.81,EQNE
2006-10-18,700.0,700.0,685.0,685.0,2,1385.0,EQNE
2006-10-27,620.0,787.0,620.0,787.0,5,3427.0,EQNE
2006-10-30,890.0,942.0,890.0,942.0,2,1832.0,EQNE
2006-10-31,942.0,942.0,710.0,710.0,8,5912.01,EQNE
2006-11-01,800.0,900.0,799.0,799.0,7,5695.0,EQNE
2006-11-02,710.0,730.0,710.0,730.0,382,276050.44,EQNE
2006-11-03,720.0,720.01,720.0,720.0,65,46800.01,EQNE
2006-11-07,734.99,735.01,734.99,735.0,53,38955.0,EQNE
2006-11-08,739.99,750.0,739.99,750.0,100,74459.97,EQNE
2006-11-09,755.85,820.0,755.85,820.0,535,425474.55,EQNE
2006-11-21,900.0,900.0,850.0,850.0,11,9400.0,EQNE
2006-11-23,770.11,800.0,770.11,800.0,22,17290.22,EQNE
2006-11-27,800.0,870.0,800.0,870.0,153,130980.0,EQNE
2006-12-14,621.01,788.88,621.0,750.0,606,438235.93,EQNE
2006-12-15,750.0,763.84,750.0,763.84,1619,1222210.51,EQNE
2006-12-18,769.99,784.75,769.99,784.75,1300,1013649.73,EQNE
2006-12-19,780.0,783.0,780.0,783.0,11,8598.0,EQNE
2006-12-26,750.0,750.0,750.0,750.0,1,750.0,EQNE
2006-12-27,761.0,761.0,761.0,761.0,1,761.0,EQNE
2006-12-28,700.0,750.0,665.0,750.0,9,6585.0,EQNE
2007-01-10,700.01,735.0,700.0,735.0,42,30134.0,EQNE
2007-01-11,715.01,720.0,715.0,720.0,6,4310.01,EQNE
2007-01-12,747.47,747.47,720.0,720.35,10,7372.79,EQNE
2007-01-15,722.16,722.16,710.02,710.02,2,1432.18,EQNE
