date,open,high,low,close,volume,value,board
2005-09-29,0.02,0.37,0.02,0.37,1300,394.0,EQNE
2005-09-30,0.41,0.65,0.41,0.65,1700,902.0,EQNE
2005-10-03,0.6,0.69,0.6,0.69,10100,6069.0,EQNE
2005-10-04,0.57,0.75,0.57,0.62,51200,32350.0,EQNE
2005-10-05,0.6,0.83,0.6,0.83,2200,1720.0,EQNE
2005-10-07,0.67,0.67,0.62,0.62,50100,31067.0,EQNE
2005-10-11,0.59,0.59,0.59,0.59,100,59.0,EQNE
2005-10-13,0.6,0.6,0.6,0.6,1100,660.0,EQNE
2005-10-18,0.58,0.58,0.58,0.58,100,58.0,EQNE
2005-10-19,0.51,0.51,0.5,0.5,5100,2551.0,EQNE
2005-10-20,0.51,0.51,0.5,0.5,2200,1111.0,EQNE
2005-10-21,0.56,0.56,0.56,0.56,200,112.0,EQNE
2005-10-24,0.6,0.61,0.48,0.6,1500,842.0,EQNE
2005-10-25,0.56,0.64,0.55,0.64,300,175.0,EQNE
2005-10-26,0.69,0.69,0.69,0.69,100,69.0,EQNE
2005-10-28,0.78,0.83,0.7,0.83,400,311.0,EQNE
2005-10-31,0.82,0.82,0.82,0.82,100,82.0,EQNE
2005-11-14,0.74,0.74,0.74,0.74,100,74.0,EQNE
2005-11-16,0.73,0.73,0.73,0.73,100,73.0,EQNE
2005-11-17,0.73,4.99,0.63,0.7,97300,65372.0,EQNE
2005-11-18,0.82,0.82,0.67,0.67,161400,111587.0,EQNE
2005-11-21,0.81,0.81,0.72,0.77,3600,2684.0,EQNE
2005-11-22,0.71,0.81,0.7,0.75,63500,44582.0,EQNE
2005-11-23,0.71,0.71,0.7,0.7,600,421.0,EQNE
2005-11-24,0.72,0.73,0.65,0.65,589400,388409.0,EQNE
2005-11-25,0.71,0.89,0.71,0.89,184100,142048.0,EQNE
2005-11-28,0.89,0.89,0.83,0.83,197100,172406.0,EQNE
2005-11-29,0.88,0.88,0.73,0.73,195700,149897.0,EQNE
2005-11-30,0.74,0.74,0.73,0.73,1100,804.0,EQNE
2005-12-01,0.88,0.88,0.72,0.74,161100,121338.0,EQNE
2005-12-02,0.85,0.85,0.74,0.74,69200,51838.0,EQNE
2005-12-05,0.86,0.86,0.83,0.84,2400,2023.0,EQNE
2005-12-06,0.84,0.84,0.8,0.8,3500,2895.0,EQNE
2005-12-07,0.79,0.81,0.77,0.77,213700,169821.0,EQNE
2005-12-08,0.76,0.8,0.75,0.78,189400,142739.0,EQNE
2005-12-09,0.82,0.88,0.82,0.84,1131400,955388.0,EQNE
2005-12-12,0.88,0.88,0.82,0.82,22100,19257.0,EQNE
2005-12-13,0.81,0.92,0.8,0.8,794600,646813.0,EQNE
2005-12-14,0.848,0.85,0.848,0.85,416100,353683.0,EQNE
2005-12-15,0.8,0.8,0.8,0.8,18100,14480.0,EQNE
2005-12-16,0.759,0.879,0.759,0.86,1700,1400.4,EQNE
2005-12-19,0.85,0.919,0.85,0.9,193900,167193.6,EQNE
2005-12-20,0.86,1.0,0.86,1.0,46900,40710.9,EQNE
2005-12-21,0.853,0.88,0.85,0.88,21400,18201.1,EQNE
2005-12-22,0.86,0.86,0.825,0.831,162700,134811.9,EQNE
2005-12-23,0.84,1.04,0.84,0.91,370500,353634.2,EQNE
2005-12-27,0.91,0.91,0.91,0.91,1000,910.0,EQNE
2005-12-30,0.909,0.91,0.909,0.91,3000,2729.0,EQNE
2006-01-10,0.9,0.92,0.9,0.92,100800,92710.0,EQNE
2006-01-11,0.93,0.95,0.88,0.95,212900,197702.2,EQNE
2006-01-12,1.0,1.0,1.0,1.0,100,100.0,EQNE
2006-01-13,0.89,0.95,0.89,0.95,200,184.0,EQNE
2006-01-16,0.93,0.93,0.93,0.93,33000,30690.0,EQNE
2006-01-18,0.93,0.93,0.821,0.906,4800,4327.7,EQNE
2006-01-25,0.849,0.92,0.849,0.92,268100,235506.2,EQNE
2006-01-26,0.9,0.95,0.9,0.95,992600,926125.0,EQNE
2006-01-27,0.925,0.925,0.857,0.88,500,445.2,EQNE
2006-01-30,0.89,0.89,0.86,0.86,300,264.0,EQNE
2006-01-31,0.8,0.925,0.8,0.9,15200,13533.9,EQNE
2006-02-01,0.905,0.905,0.904,0.904,200,180.9,EQNE
2006-02-02,0.9,0.9,0.9,0.9,300,270.0,EQNE
2006-02-06,0.87,0.91,0.85,0.91,800,692.0,EQNE
2006-02-07,0.905,0.909,0.85,0.87,3600,3228.5,EQNE
2006-02-08,0.8,0.899,0.8,0.897,5500,4439.4,EQNE
2006-02-09,0.908,0.909,0.89,0.89,464100,417597.2,EQNE
2006-02-10,0.891,0.927,0.891,0.919,37700,34524.2,EQNE
2006-02-13,0.998,1.25,0.934,0.934,333100,372935.6,EQNE
2006-02-14,1.099,1.099,0.963,1.0,35600,36420.1,EQNE
2006-02-16,1.079,1.079,1.079,1.079,100,107.9,EQNE
2006-02-17,0.938,1.07,0.937,1.07,186300,188127.1,EQNE
2006-02-21,1.089,1.35,1.089,1.35,28500,31205.9,EQNE
2006-02-22,1.15,1.295,1.15,1.22,536400,658672.4,EQNE
2006-02-26,1.2,1.235,1.2,1.235,35000,42730.5,EQNE
2006-02-27,1.23,1.23,1.2,1.21,232800,282157.0,EQNE
2006-02-28,1.229,1.23,1.191,1.22,177700,218161.1,EQNE
2006-03-01,1.11,1.15,1.11,1.15,162000,185140.0,EQNE
2006-03-02,1.11,1.11,1.11,1.11,48000,53280.0,EQNE
2006-03-03,1.11,1.3,1.11,1.297,1243000,1575614.9,EQNE
2006-03-06,1.25,1.55,1.25,1.5,2036500,2860179.4,EQNE
2006-03-07,1.49,1.54,1.45,1.45,545700,806665.5,EQNE
2006-03-09,1.47,1.8,1.43,1.5,728400,1057188.0,EQNE
2006-03-10,1.35,1.548,1.35,1.5,34600,52207.8,EQNE
2006-03-13,1.53,1.53,1.5,1.52,10800,16416.5,EQNE
2006-03-14,1.57,1.57,1.5,1.55,400,612.0,EQNE
2006-03-15,1.7,1.7,1.275,1.487,1385900,2060858.3,EQNE
2006-03-16,1.48,1.48,1.48,1.48,67500,99900.0,EQNE
2006-03-17,1.577,1.577,1.401,1.5,71500,101101.4,EQNE
2006-03-20,1.6,1.6,1.45,1.5,73000,114900.0,EQNE
2006-03-21,1.311,1.48,1.311,1.45,132100,184628.0,EQNE
2006-03-22,1.44,1.45,1.44,1.44,419600,604699.0,EQNE
2006-03-23,1.31,1.47,1.31,1.46,407800,596167.0,EQNE
2006-03-24,1.46,1.65,1.46,1.65,762500,1139122.0,EQNE
2006-03-28,1.32,1.47,1.32,1.47,106000,154242.0,EQNE
2006-03-29,1.4,1.47,1.17,1.45,277000,345938.0,EQNE
2006-03-30,1.311,1.47,1.311,1.47,523000,733697.1,EQNE
2006-03-31,1.47,1.47,1.47,1.47,53000,77910.0,EQNE
2006-04-03,1.313,1.313,1.313,1.313,160000,210080.0,EQNE
2006-04-04,1.46,1.46,1.45,1.45,92700,134615.0,EQNE
2006-04-05,1.42,1.469,1.4,1.45,596300,849233.1,EQNE
2006-04-06,1.45,1.452,1.44,1.44,1142200,1649588.3,EQNE
2006-04-07,1.441,1.441,1.311,1.311,788200,1089383.7,EQNE
2006-04-10,1.43,1.43,1.43,1.43,100,143.0,EQNE
2006-04-12,1.439,1.44,1.43,1.43,396700,570280.9,EQNE
2006-04-13,1.256,1.4,1.255,1.4,52300,72640.3,EQNE
2006-04-14,1.44,1.44,1.44,1.44,6900,9936.0,EQNE
2006-04-17,1.397,1.398,1.397,1.398,300,419.3,EQNE
2006-04-18,1.377,1.377,1.33,1.33,21100,28160.9,EQNE
2006-04-19,1.31,1.33,1.31,1.33,10200,13564.0,EQNE
2006-04-20,1.409,1.409,1.39,1.39,6200,8619.9,EQNE
2006-04-24,1.466,1.469,1.466,1.469,300,440.2,EQNE
2006-04-26,1.38,1.45,1.35,1.38,519500,702445.0,EQNE
2006-04-27,1.39,1.39,1.39,1.39,20000,27800.0,EQNE
