date,open,high,low,close,volume,value,board
2008-11-27,66.48,66.48,66.48,66.48,200,13296,EQNE
2008-12-01,66.48,66.48,66.48,66.48,2,132.96,EQNE
2008-12-02,66.48,66.48,66.48,66.48,1,66.48,EQNE
2008-12-04,66.47,66.47,66.47,66.47,1,66.47,EQNE
2008-12-08,66.45,66.45,66.45,66.45,1,66.45,EQNE
2008-12-16,60,60,60,60.0,2,120,EQNE
2008-12-25,59.99,59.99,59.99,59.99,2,119.98,EQNE
2008-12-26,59,59,59,59.0,1,59,EQNE
2009-01-12,59.9,59.9,59.9,59.9,1,59.9,EQNE
2009-01-21,60,60,60,60.0,1,60,EQNE
2009-03-20,58,58,43.2,48.0,225,10667.09,EQNE
2009-04-06,50,50,50,50.0,4,200,EQNE
2009-04-16,50,50,50,50.0,10,500,EQNE
2009-04-23,55.99,55.99,55.99,55.99,1,55.99,EQNE
2009-04-24,50,55.99,50,55.99,2,105.99,EQNE
2009-04-27,50.99,50.99,50.99,50.99,2,101.98,EQNE
2009-04-30,50,50,50,50.0,1,50,EQNE
2009-05-05,55.99,55.99,55.99,55.99,8,447.92,EQNE
2009-05-08,40.08,40.08,40.08,40.08,55,2204.4,EQNE
2009-05-14,50,52,50,52.0,38,1938,EQNE
2009-05-18,42.03,42.03,42.03,42.03,9,378.27,EQNE
2009-06-05,25.51,45,25.5,45.0,155,4245.1,EQNE
2009-06-16,49.99,49.99,49.99,49.99,15,749.85,EQNE
2009-06-19,50,50,50,50.0,1,50,EQNE
2009-07-16,49,49,45.12,45.12,36,1683.57,EQNE
2009-07-27,35,35,35,35.0,1,35,EQNE
2009-07-30,25,39.99,25,39.99,2,64.99,EQNE
2009-08-31,40,40,40,40.0,1,40,EQNE
2009-09-03,40,40,40,40.0,10,400,EQNE
2009-09-04,56,56,38,56.0,60,2786.6,EQNE
2009-09-15,75,75,39.11,73.1,29,1910.4,EQNE
2009-09-16,90,90,43.9,68.0,19,1160.99,EQNE
2009-09-17,53.14,95.19,53.13,87.09,10,648.16,EQNE
2009-09-18,96.88,99,75,99.0,24,2252.78,EQNE
2009-09-21,98,114,63.12,88.01,142,12109.28,EQNE
2009-09-23,70.1,80,70.1,80.0,3,220.23,EQNE
2009-09-24,68.27,89.96,68.27,85.54,17,1394.76,EQNE
2009-09-25,99.99,109.98,85.8,100.0,29,2881.52,EQNE
2009-09-28,80.06,108.99,80.06,87.14,24,2281.37,EQNE
2009-09-29,100,125,93.07,100.0,90,9282.35,EQNE
2009-09-30,139.97,140,110.04,140.0,453,62065.55,EQNE
2009-10-01,151,196,125.07,196.0,227,43414.25,EQNE
2009-10-02,200,274.4,199.9,274.4,519,137174.6,EQNE
2009-10-05,384,384,220.05,251.75,205,55743.97,EQNE
2009-10-06,222.92,253.48,222.04,252.47,23,5410.9,EQNE
2009-10-07,279.97,279.98,236.21,279.94,89,23878.3,EQNE
2009-10-08,390,390,221,365.0,294,101914.52,EQNE
2009-10-09,408,470,309.01,400.14,616,250180.25,EQNE
2009-10-12,500,500,380.01,380.01,78,29885.77,EQNE
2009-10-13,479.99,479.99,229.02,293.09,577,170443.01,EQNE
2009-10-14,298.86,350,298.86,340.0,188,64274.75,EQNE
2009-10-15,349.97,443,298.01,442.99,248,94213.71,EQNE
2009-10-16,444,444,354,370.0,21,8059.95,EQNE
2009-10-19,351.05,361,300,330.0,482,152766.74,EQNE
2009-10-20,339.8,339.8,315.02,315.02,225,74600.25,EQNE
2009-10-21,291.23,332.97,291.23,310.0,100,32548.49,EQNE
2009-10-22,290,318.99,288,318.99,289,83266.99,EQNE
2009-10-23,317.99,318,258,276.98,991,267385.11,EQNE
2009-10-26,290.99,314.99,262,263.78,173,50379.85,EQNE
2009-10-27,275.49,286.4,250,275.0,118,30479.04,EQNE
2009-10-29,230.24,230.25,165,194.99,5680,1008032.42,EQNE
2009-10-30,195,209,173,184.62,1385,258604.31,EQNE
2009-11-02,210,210,132,163.0,1053,163572.39,EQNE
2009-11-03,163.01,170,150,170.0,484,76968.95,EQNE
2009-11-05,178,178.87,160,177.7,1050,173080.07,EQNE
2009-11-06,180,185.95,170,178.84,375,66646.57,EQNE
2009-11-09,171.01,178.95,165.22,176.96,541,94277.29,EQNE
2009-11-10,165,176.92,163.05,171.52,1976,326463.33,EQNE
2009-11-11,184.51,188,163.03,183.48,1494,267716.34,EQNE
2009-11-12,164.01,179.54,164.01,176.99,74,13009.1,EQNE
2009-11-13,157.5,189.99,157.5,176.41,874,162538.2,EQNE
2009-11-16,174.55,179.98,155.1,178.0,1219,207790.27,EQNE
2009-11-17,147.5,180,147.5,176.57,1721,297752.26,EQNE
2009-11-18,170.45,175,166.53,172.99,476,80776.56,EQNE
2009-11-19,170,173.99,170,173.76,33,5727.58,EQNE
2009-11-20,170,178.7,131,158.0,9543,1303774.17,EQNE
2009-11-23,160,163.88,138.25,157.0,786,121006.5,EQNE
2009-11-24,155,155,136.5,150.99,1532,222829.76,EQNE
2009-11-25,145,164,139.03,159.78,4229,633446.85,EQNE
2009-11-26,182,182,145.51,145.52,809,121531.61,EQNE
2009-11-27,149.99,173.5,149.74,169.99,1459,244480.38,EQNE
2009-11-30,162.01,235,156,235.0,3224,591447.06,EQNE
2009-12-01,176,298,176,203.0,12215,2534880.76,EQNE
2009-12-02,194.1,204.9,180.4,200.67,3980,767090.51,EQNE
2009-12-03,175.01,203,175.01,195.49,424,81501.39,EQNE
2009-12-04,197.99,199.99,184.05,196.99,635,122401.56,EQNE
2009-12-07,190.11,206.98,190.11,206.98,851,168601.25,EQNE
2009-12-08,203.99,209.87,191.01,201.99,1372,271791.92,EQNE
2009-12-09,201.97,215.99,191.03,200.0,661,132998.26,EQNE
2009-12-10,200.03,209.87,194.68,194.69,658,130298.66,EQNE
2009-12-11,184.05,197.97,184.05,193.88,369,70978.81,EQNE
2009-12-14,196.24,196.24,180.01,192.99,96,18094.81,EQNE
2009-12-15,195.45,197.97,186.58,193.31,115,21842.5,EQNE
2009-12-16,232,232,171.06,181.77,2972,534688.18,EQNE
2009-12-17,182,182,170,179.0,1530,268564.41,EQNE
2009-12-18,179,179,166.31,176.79,390,67124.1,EQNE
2009-12-21,175.97,176.99,165,174.99,1171,195537.89,EQNE
2009-12-22,177,178.5,165.35,173.16,269,45501.9,EQNE
