date,open,high,low,close,volume,value,board
2005-09-20,1,1,0.8,0.8,2300,2259,EQNE
2005-09-21,0.75,0.79,0.62,0.79,39300,26286,EQNE
2005-09-22,0.68,0.78,0.68,0.78,300,214,EQNE
2005-09-23,0.75,0.75,0.75,0.75,18500,13875,EQNE
2005-09-26,0.62,0.66,0.6,0.64,33600,21181,EQNE
2005-09-27,0.6,0.66,0.6,0.66,18300,10986,EQNE
2005-09-28,0.7,0.7,0.7,0.7,12000,8400,EQNE
2005-09-29,0.56,0.61,0.39,0.61,15300,6956,EQNE
2005-09-30,0.69,0.7,0.57,0.61,9800,6703,EQNE
2005-10-03,0.68,0.68,0.28,0.36,359400,117313,EQNE
2005-10-04,0.36,0.37,0.31,0.35,73900,24470,EQNE
2005-10-05,0.32,0.33,0.3,0.32,22100,7015,EQNE
2005-10-06,0.31,0.33,0.29,0.33,13300,3968,EQNE
2005-10-07,0.33,0.33,0.3,0.33,138100,42058,EQNE
2005-10-10,0.43,0.43,0.33,0.35,16300,5488,EQNE
2005-10-11,0.42,0.42,0.3,0.32,201700,63267,EQNE
2005-10-12,0.31,0.31,0.31,0.31,5200,1612,EQNE
2005-10-13,0.3,0.31,0.29,0.3,79800,23369,EQNE
2005-10-14,0.3,0.3,0.29,0.29,17500,5078,EQNE
2005-10-17,0.3,0.3,0.3,0.3,1600,480,EQNE
2005-10-18,0.3,0.3,0.28,0.3,101300,28380,EQNE
2005-10-19,0.31,0.31,0.27,0.29,35400,9564,EQNE
2005-10-20,0.3,0.3,0.3,0.3,200,60,EQNE
2005-10-21,0.3,0.31,0.3,0.31,5600,1683,EQNE
2005-10-24,0.27,0.32,0.26,0.31,111600,30083,EQNE
2005-10-25,0.31,0.31,0.22,0.29,8500,1985,EQNE
2005-10-26,0.23,0.28,0.22,0.26,310200,71491,EQNE
2005-10-27,0.26,0.27,0.24,0.24,2900,725,EQNE
2005-10-28,0.23,0.24,0.18,0.21,457200,90597,EQNE
2005-10-31,0.2,0.2,0.18,0.2,327100,61004,EQNE
2005-11-01,0.2,0.2,0.2,0.2,2500,500,EQNE
2005-11-02,0.22,0.22,0.2,0.21,2500,507,EQNE
2005-11-03,0.21,0.22,0.21,0.21,3000,631,EQNE
2005-11-07,0.2,0.2,0.2,0.2,600,120,EQNE
2005-11-08,0.21,0.21,0.2,0.2,7600,1572,EQNE
2005-11-09,0.2,0.21,0.19,0.21,380400,76140,EQNE
2005-11-10,0.2,0.21,0.19,0.2,187000,38007,EQNE
2005-11-11,0.2,0.2,0.2,0.2,36000,7200,EQNE
2005-11-14,0.2,0.2,0.2,0.2,58500,11700,EQNE
2005-11-15,0.21,0.21,0.2,0.2,97000,20269,EQNE
2005-11-16,0.21,0.21,0.21,0.21,10000,2100,EQNE
2005-11-17,0.2,0.2,0.2,0.2,230500,46100,EQNE
2005-11-18,0.2,0.21,0.2,0.21,170600,34641,EQNE
2005-11-21,0.21,0.21,0.2,0.2,35200,7090,EQNE
2005-11-22,0.2,0.21,0.2,0.21,60000,12001,EQNE
2005-11-24,0.2,0.2,0.2,0.2,20000,4000,EQNE
2005-11-28,0.2,0.2,0.17,0.17,355700,63840,EQNE
2005-11-29,0.18,0.18,0.14,0.15,2869800,424178,EQNE
2005-11-30,0.15,0.17,0.15,0.15,176000,27694,EQNE
2005-12-01,0.16,0.17,0.12,0.16,703700,105279,EQNE
2005-12-02,0.16,0.16,0.15,0.15,338900,51024,EQNE
2005-12-05,0.16,0.16,0.14,0.15,463800,65977,EQNE
2005-12-06,0.15,0.16,0.15,0.16,318900,47858,EQNE
2005-12-07,0.15,0.16,0.14,0.15,656400,94551,EQNE
2005-12-08,0.15,0.16,0.14,0.16,525800,75416,EQNE
2005-12-09,0.15,0.16,0.15,0.16,495100,77321,EQNE
2005-12-12,0.15,0.19,0.15,0.18,369100,64098,EQNE
2005-12-13,0.17,0.18,0.16,0.18,989900,169076,EQNE
2005-12-14,0.18,0.18,0.166,0.167,1103600,188395.1,EQNE
2005-12-15,0.16,0.18,0.151,0.161,591900,94534.4,EQNE
2005-12-16,0.166,0.182,0.162,0.167,518500,89442.5,EQNE
2005-12-19,0.17,0.175,0.163,0.173,579900,99781.5,EQNE
2005-12-20,0.175,0.18,0.165,0.175,863800,150010.4,EQNE
2005-12-21,0.173,0.18,0.166,0.179,174600,30359.2,EQNE
2005-12-22,0.189,0.189,0.166,0.168,507400,88439.1,EQNE
2005-12-23,0.179,0.19,0.175,0.175,1001000,186745.2,EQNE
2005-12-26,0.189,0.189,0.17,0.173,343300,58534,EQNE
2005-12-27,0.17,0.18,0.169,0.169,866000,150779.9,EQNE
2005-12-28,0.17,0.177,0.167,0.167,126600,21307.7,EQNE
2005-12-29,0.17,0.17,0.153,0.168,81400,13127.7,EQNE
2005-12-30,0.168,0.17,0.16,0.161,98800,15887.8,EQNE
2006-01-10,0.17,0.18,0.161,0.161,190700,32816.2,EQNE
2006-01-11,0.17,0.172,0.16,0.16,563800,92820.4,EQNE
2006-01-12,0.156,0.168,0.156,0.167,199700,32332.8,EQNE
2006-01-13,0.171,0.171,0.154,0.16,235500,37382,EQNE
2006-01-16,0.166,0.167,0.164,0.166,493800,81654.6,EQNE
2006-01-17,0.167,0.169,0.165,0.165,36400,6030.5,EQNE
2006-01-18,0.16,0.18,0.16,0.175,1165600,200927,EQNE
2006-01-19,0.162,0.173,0.157,0.157,511300,81203.3,EQNE
2006-01-20,0.168,0.168,0.165,0.165,2800,467.7,EQNE
2006-01-23,0.152,0.163,0.152,0.163,75100,11416.3,EQNE
2006-01-24,0.169,0.169,0.156,0.162,77500,12112,EQNE
2006-01-25,0.165,0.165,0.159,0.159,10300,1688.9,EQNE
2006-01-26,0.164,0.164,0.164,0.164,100,16.4,EQNE
2006-01-27,0.16,0.173,0.157,0.157,222200,36795.5,EQNE
2006-01-30,0.165,0.166,0.161,0.161,1000,165.1,EQNE
2006-01-31,0.16,0.16,0.153,0.158,62200,9728.7,EQNE
2006-02-01,0.158,0.159,0.152,0.159,59200,9061.6,EQNE
2006-02-02,0.168,0.168,0.15,0.156,263300,40830.1,EQNE
2006-02-03,0.16,0.16,0.156,0.159,12500,1985.3,EQNE
2006-02-06,0.164,0.164,0.15,0.161,58400,8796.5,EQNE
2006-02-07,0.159,0.159,0.158,0.159,6300,1001.5,EQNE
2006-02-08,0.16,0.16,0.14,0.152,443600,63846,EQNE
2006-02-09,0.15,0.15,0.144,0.144,149700,22043,EQNE
2006-02-10,0.145,0.145,0.144,0.144,174300,25137.8,EQNE
2006-02-13,0.142,0.148,0.14,0.141,152900,21861.6,EQNE
2006-02-14,0.154,0.154,0.148,0.148,9200,1368.8,EQNE
2006-02-15,0.142,0.142,0.119,0.138,3048400,388903,EQNE
2006-02-16,0.131,0.144,0.131,0.144,103300,14422.1,EQNE
2006-02-17,0.141,0.143,0.13,0.141,71100,9425.8,EQNE
2006-02-20,0.144,0.275,0.144,0.259,8425900,1804886.7,EQNE
2006-02-21,0.268,0.289,0.23,0.238,3978900,996533.2,EQNE
2006-02-22,0.23,0.25,0.214,0.238,943900,216555.5,EQNE
2006-02-26,0.238,0.277,0.19,0.239,1044500,246168.1,EQNE
2006-02-27,0.213,0.24,0.2,0.22,654000,148268.7,EQNE
2006-02-28,0.22,0.26,0.216,0.23,1281200,305845.3,EQNE
2006-03-01,0.21,0.23,0.182,0.199,604000,120627.5,EQNE
2006-03-02,0.2,0.22,0.189,0.214,1359200,275470.1,EQNE
2006-03-03,0.211,0.215,0.199,0.208,426800,86711.6,EQNE
2006-03-06,0.215,0.253,0.202,0.205,1477400,319867.2,EQNE
2006-03-07,0.201,0.201,0.185,0.197,48100,9096.1,EQNE
2006-03-09,0.21,0.21,0.158,0.185,115200,20288.6,EQNE
2006-03-10,0.185,0.185,0.183,0.184,55000,10144.9,EQNE
2006-03-13,0.201,0.21,0.2,0.205,524900,108001.8,EQNE
2006-03-14,0.205,0.25,0.205,0.23,4622100,1059116.6,EQNE
2006-03-15,0.234,0.234,0.2,0.23,45400,9812.1,EQNE
2006-03-16,0.21,0.229,0.202,0.22,214700,45929,EQNE
2006-03-17,0.229,0.229,0.21,0.22,147200,31767,EQNE
2006-03-20,0.227,0.227,0.18,0.2,258200,51803,EQNE
2006-03-21,0.21,0.21,0.182,0.182,281800,58764.2,EQNE
2006-03-22,0.2,0.205,0.195,0.195,257000,50985,EQNE
2006-03-23,0.17,0.217,0.17,0.216,106200,22896.5,EQNE
2006-03-24,0.221,0.221,0.195,0.201,446200,87589.3,EQNE
2006-03-27,0.173,0.219,0.173,0.197,982300,201036.4,EQNE
2006-03-28,0.189,0.2,0.189,0.2,5300,1016,EQNE
2006-03-29,0.173,0.199,0.173,0.193,176000,33403.7,EQNE
2006-03-30,0.203,0.204,0.18,0.19,309000,57475.7,EQNE
2006-03-31,0.189,0.2,0.175,0.198,1376700,263057.1,EQNE
2006-04-03,0.198,0.2,0.189,0.192,204400,39690.6,EQNE
2006-04-04,0.18,0.191,0.18,0.19,661900,122686,EQNE
2006-04-05,0.181,0.194,0.18,0.194,744500,140380.1,EQNE
2006-04-06,0.193,0.193,0.175,0.18,571500,102384.7,EQNE
2006-04-07,0.183,0.183,0.175,0.181,663500,117591.9,EQNE
2006-04-10,0.181,0.181,0.17,0.179,242500,41959.8,EQNE
2006-04-11,0.185,0.185,0.179,0.179,33900,6091.5,EQNE
2006-04-12,0.172,0.183,0.17,0.179,582900,100053,EQNE
2006-04-14,0.17,0.175,0.165,0.169,782500,132124.9,EQNE
2006-04-17,0.167,0.168,0.164,0.168,989200,163141.8,EQNE
2006-04-18,0.166,0.173,0.165,0.167,157300,26311.2,EQNE
2006-04-19,0.165,0.168,0.15,0.15,1224800,199093.4,EQNE
2006-04-20,0.166,0.175,0.16,0.165,273100,45285.5,EQNE
2006-04-21,0.165,0.197,0.165,0.194,3261000,604253.4,EQNE
2006-04-24,0.194,0.194,0.177,0.178,565300,103126.7,EQNE
2006-04-25,0.183,0.184,0.173,0.174,497200,86702,EQNE
