date,open,high,low,close,volume,value,board
2008-09-04,56.2,56.2,56.2,56.2,2000,112400,EQNE
2008-09-10,56.3,56.3,56.3,56.3,2000,112600,EQNE
2008-09-19,56.18,56.2,56.18,56.2,200,11238,EQNE
2008-09-22,56.25,56.34,56.25,56.34,2100,118288,EQNE
2008-12-17,55.1,55.1,55.1,55.1,1400,77140,EQNE
2008-12-18,55.16,55.16,55.16,55.16,1400,77224,EQNE
2008-12-19,55.2,55.21,55.2,55.2,1300,71765,EQNE
2008-12-22,55.26,55.26,55.26,55.26,1400,77364,EQNE
2009-03-24,55.4,55.4,55.4,55.4,2700,149580,EQNE
2009-03-25,55.4,55.4,55.4,55.4,2800,155120,EQNE
2009-03-27,55.4,55.4,55.4,55.4,900,49860,EQNE
2009-03-31,56,56,56,56.0,1100,61600,EQNE
2009-06-29,56,56.05,56,56.03,5400,302557,EQNE
2009-09-25,57,57.4,57,57.4,2600,148820,EQNE
2009-09-28,58.2,58.3,58,58.0,2600,151350,EQNE
2009-12-21,58.5,58.8,58.5,58.7,1100,64550,EQNE
2009-12-22,59.1,59.6,59,59.4,2200,130600,EQNE
2009-12-23,59.9,60.2,59.7,60.2,2000,119910,EQNE
2010-03-25,60.25,60.25,60.2,60.25,3600,216790,EQNE
2010-03-26,60.25,60.25,60.2,60.2,1500,90315,EQNE
2010-06-24,60.25,60.25,60.25,60.25,4500,271125,EQNE
2010-06-25,60.27,60.27,60.27,60.27,500,30135,EQNE
2010-07-02,61.8,61.8,61.7,61.7,2500,154430,EQNE
2010-07-06,61.7,61.8,61.7,61.8,2500,154450,EQNE
