date,open,high,low,close,volume,value,board
2012-01-09,4.1,4.1,4.1,4.1,1000,4100.0,EQNE
2012-03-01,3.6,3.6,3.6,3.6,38000,136800.0,EQNE
2012-03-06,3.9,3.9,3.9,3.9,53000,206700.0,EQNE
2012-03-14,4.2,4.2,4.2,4.2,1,4.2,SMAL
2012-03-16,4.0,4.0,4.0,4.0,8000,32000.0,EQNE
2012-03-20,4.05,4.05,4.05,4.05,1000,4050.0,EQNE
2012-03-23,4.6,4.6,4.6,4.6,1000,4600.0,EQNE
2012-03-27,4.3,4.3,4.3,4.3,62000,266600.0,EQNE
2012-04-12,4.35,4.35,4.35,4.35,10000,43500.0,EQNE
2012-04-23,4.1,4.1,4.05,4.05,50000,204000.0,EQNE
2012-04-24,4.3,4.3,4.3,4.3,1000,4300.0,EQNE
2012-04-25,4.24,4.24,4.24,4.24,49000,207760.0,EQNE
2012-05-02,4.0,4.0,4.0,4.0,32000,128000.0,EQNE
2012-05-04,3.998,3.998,3.998,3.998,16000,63968.0,EQNE
2012-07-06,3.0,3.0,3.0,3.0,5000,15000.0,EQNE
2012-07-09,3.1,3.4,3.0,3.2,111000,348100.0,EQNE
2012-07-10,3.033,3.033,3.033,3.033,100000,303300.0,EQNE
2012-07-19,2.55,3.0,2.5058,3.0,230000,625467.7,EQNE
2012-07-20,2.9999,2.9999,2.54,2.7,160000,433741.4,EQNE
2012-07-24,2.5003,2.5003,2.5003,2.5003,1000,2500.3,EQNE
2012-07-27,2.4949,2.5,2.4949,2.5,6000,14994.9,EQNE
2012-08-01,2.6999,2.6999,2.6999,2.6999,1000,2699.9,EQNE
2012-08-02,2.5999,2.6,2.5999,2.6,10000,25999.6,EQNE
2012-08-03,2.7,2.7,2.7,2.7,40000,108000.0,EQNE
2012-08-06,2.7,2.7,2.7,2.7,10000,27000.0,EQNE
2012-08-08,2.6,2.6,2.6,2.6,10000,26000.0,EQNE
2012-08-10,2.6,2.6,2.6,2.6,150000,390000.0,EQNE
2012-08-13,2.8,2.8,2.6,2.6,16000,44600.0,EQNE
2012-08-14,2.75,2.8,2.642,2.642,35000,97265.0,EQNE
2012-08-15,2.5,2.8,2.5,2.8,37000,101900.0,EQNE
2012-08-16,2.62,2.62,2.6,2.6,100000,260400.0,EQNE
2012-08-17,2.9485,2.9485,2.6,2.6,338000,951511.4,EQNE
2012-08-20,2.6,2.6,2.6,2.6,503000,1307800.0,EQNE
2012-08-21,2.5999,2.6,2.5999,2.6,6000,15599.9,EQNE
2012-08-22,2.7,2.7,2.55,2.55,4210000,10861491.5,EQNE
2012-08-23,2.7,2.75,2.5999,2.5999,57000,149272.7,EQNE
2012-08-24,2.625,2.645,2.595,2.595,707000,1857220.0,EQNE
2012-08-27,2.6,2.9,2.6,2.605,2049000,5359949.8,EQNE
2012-08-28,2.65,2.7499,2.5501,2.5501,601000,1588124.2,EQNE
2012-08-29,2.7,2.7495,2.65,2.65,444000,1196263.0,EQNE
2012-08-30,2.7,2.725,2.58,2.71,837000,2260564.3,EQNE
2012-08-31,2.7,2.7495,2.45,2.59,477000,1246657.4,EQNE
2012-09-03,2.75,2.8499,2.505,2.6,1599000,4200914.0,EQNE
2012-09-04,2.6998,2.7497,2.65,2.6999,180000,487667.8,EQNE
2012-09-05,2.69,2.7,2.6,2.6398,346000,903476.4,EQNE
2012-09-06,2.6498,2.7,2.55,2.7,1218000,3227378.0,EQNE
2012-09-07,2.7,2.7498,2.55,2.55,1141000,3017826.5,EQNE
2012-09-10,2.6999,2.7,2.6,2.65,1384000,3636858.0,EQNE
2012-09-11,2.7,2.75,2.7,2.7,501000,1369528.4,EQNE
2012-09-12,2.7,2.7495,2.49,2.607,4794000,12335199.0,EQNE
2012-09-13,2.6,2.6472,2.501,2.559,309000,778702.9,EQNE
2012-09-14,2.52,2.695,2.52,2.695,1372000,3499283.4,EQNE
2012-09-17,2.67,2.7365,2.625,2.675,179000,481472.5,EQNE
2012-09-18,2.561,2.6998,2.56,2.6,752000,1962971.5,EQNE
2012-09-19,2.6,2.65,2.55,2.6,369000,949733.9,EQNE
2012-09-20,2.689,2.689,2.55,2.6,170000,445504.5,EQNE
2012-09-21,2.6,2.645,2.6,2.6,76000,199234.0,EQNE
2012-09-24,2.64,2.64,2.64,2.64,1000,2640.0,EQNE
2012-09-25,2.571,2.571,2.571,2.571,1000,2571.0,EQNE
2012-09-26,2.6,2.6,2.55,2.55,54000,137951.0,EQNE
2012-09-27,2.6,2.6,2.56,2.6,782000,2032680.2,EQNE
2012-09-28,2.6,2.6695,2.6,2.6,690000,1813554.7,EQNE
2012-10-01,2.625,2.6398,2.6,2.6,219000,574374.8,EQNE
2012-10-02,2.625,2.674,2.6,2.6001,317000,834319.4,EQNE
2012-10-03,2.7,2.7,2.7,2.7,180,486.0,SMAL
2012-10-05,2.61,2.6669,2.6,2.6,165000,435472.2,EQNE
2012-10-08,2.6,2.6,2.6,2.6,27000,70200.0,EQNE
2012-10-09,2.62,2.64,2.6,2.6399,66000,173339.1,EQNE
2012-10-10,2.605,2.6368,2.6,2.6298,50000,130433.0,EQNE
2012-10-11,2.6,2.6,2.6,2.6,20000,52000.0,EQNE
2012-10-12,2.6,2.6,2.6,2.6,3000,7800.0,EQNE
2012-10-15,2.6255,2.649,2.6,2.6,162000,427503.5,EQNE
2012-10-16,2.6,2.6399,2.5701,2.6,141000,367804.1,EQNE
2012-10-17,2.6001,2.672,2.6,2.6,232000,611237.8,EQNE
2012-10-18,2.61,2.6549,2.61,2.6549,29000,76611.6,EQNE
2012-10-19,2.6022,2.666,2.6022,2.666,134000,355143.0,EQNE
2012-10-22,2.6104,2.6699,2.6104,2.64,92000,244402.8,EQNE
2012-10-23,2.6122,2.666,2.61,2.61,269000,708055.7,EQNE
2012-10-24,2.6398,2.6499,2.5999,2.6,251000,659700.6,EQNE
2012-10-25,2.6001,2.61,2.6,2.6,21000,54631.0,EQNE
2012-10-26,2.6199,2.6249,2.5999,2.6,314000,819719.3,EQNE
2012-10-29,2.61,2.6369,2.6,2.6,240000,629297.1,EQNE
2012-10-30,2.6002,2.7,2.5999,2.6799,2226000,5877890.3,EQNE
2012-10-31,2.69,2.748,2.651,2.677,154000,412186.0,EQNE
2012-11-01,2.6401,2.677,2.64,2.6696,94000,248298.8,EQNE
2012-11-02,2.65,2.72,2.6499,2.6799,551000,1476564.8,EQNE
2012-11-06,2.65,2.812,2.65,2.7448,1164000,3183095.5,EQNE
2012-11-07,2.6802,2.7799,2.622,2.6499,1078000,2901286.3,EQNE
2012-11-08,2.6699,2.6699,2.599,2.6399,396000,1040829.9,EQNE
2012-11-09,2.63,2.673,2.63,2.66,54000,142662.5,EQNE
2012-11-12,2.66,2.6798,2.6399,2.64,296000,784493.9,EQNE
2012-11-13,2.6696,2.6696,2.6,2.6,48000,125214.5,EQNE
2012-11-14,2.65,2.65,2.62,2.6497,185000,488598.8,EQNE
