date,open,high,low,close,volume,value,board
2024-03-29,1000.0,1070.0,950.0,950.0,5161193,5139557831.2,TQBR
2024-04-01,950.0,980.0,930.0,976.2,1235147,1192824154.0,TQBR
2024-04-02,978.7,980.0,956.3,960.0,440637,425543978.6,TQBR
2024-04-03,960.5,985.6,957.7,984.2,721561,701961951.5,TQBR
2024-04-04,985.8,1024.0,977.0,1005.0,876915,876888175.0,TQBR
2024-04-05,1005.2,1018.0,991.0,1011.5,774458,781331249.7,TQBR
2024-04-08,1015.8,1024.0,1011.5,1015.5,424832,432967010.2,TQBR
2024-04-09,1017.0,1021.4,991.4,997.9,459651,461168589.3,TQBR
2024-04-10,998.5,1009.0,991.0,1002.0,394192,393523610.3,TQBR
2024-04-11,1003.0,1015.8,995.1,1005.0,300462,301441945.1,TQBR
2024-04-12,1005.0,1014.9,995.2,997.1,230511,231143531.1,TQBR
2024-04-15,1007.9,1007.9,991.0,991.7,261884,260837669.9,TQBR
2024-04-16,993.7,1010.0,991.4,1008.0,500329,503038617.1,TQBR
2024-04-17,1011.1,1017.2,1001.0,1004.3,296216,298572630.0,TQBR
2024-04-18,1004.3,1014.3,1001.1,1005.0,267287,269141053.2,TQBR
2024-04-19,1005.0,1048.8,1002.1,1040.0,1164353,1199204455.6,TQBR
2024-04-22,1040.0,1048.7,1025.8,1044.0,708410,735154355.9,TQBR
2024-04-23,1045.0,1054.0,1025.1,1037.2,439503,457377553.9,TQBR
2024-04-24,1045.0,1048.0,1031.0,1044.0,657652,685352074.5,TQBR
2024-04-25,1045.2,1056.0,1033.0,1050.0,659898,690295129.6,TQBR
2024-04-26,1050.9,1059.9,1030.5,1054.7,520344,547959251.4,TQBR
2024-04-27,1051.4,1052.8,1030.0,1047.0,393228,410079545.1,TQBR
2024-04-29,1047.1,1059.9,1041.0,1050.0,81012,85142221.7,TQBR
2024-04-30,1050.0,1053.6,1040.0,1040.6,50533,52722058.3,TQBR
2024-05-02,1048.1,1049.9,1030.7,1046.5,165550,172597283.1,TQBR
2024-05-03,1047.0,1054.0,1043.5,1047.2,109443,114803483.5,TQBR
2024-05-06,1048.0,1048.0,1032.0,1035.5,148322,154204311.4,TQBR
2024-05-07,1035.5,1035.5,1020.0,1023.2,180761,185576369.0,TQBR
2024-05-08,1023.3,1040.0,1010.0,1038.7,180182,184413874.4,TQBR
2024-05-10,1038.0,1043.2,1035.0,1036.3,41426,43031376.7,TQBR
2024-05-13,1031.0,1036.5,1025.2,1028.0,152787,157254307.4,TQBR
2024-05-14,1028.6,1032.0,1020.6,1025.9,102145,104759229.5,TQBR
2024-05-15,1025.9,1029.8,1013.5,1014.7,138976,141602658.5,TQBR
2024-05-16,1015.0,1038.0,1004.2,1028.6,381269,389880920.9,TQBR
2024-05-17,1035.0,1050.0,1029.0,1045.1,311009,324607669.6,TQBR
2024-05-20,1045.0,1045.0,1035.0,1040.7,124305,129292198.7,TQBR
2024-05-21,1040.7,1040.8,1021.0,1030.1,88038,90760872.3,TQBR
2024-05-22,1030.1,1040.0,1025.2,1033.0,73877,76493988.3,TQBR
2024-05-23,1036.0,1039.4,1022.4,1027.6,117963,121251848.2,TQBR
2024-05-24,1037.0,1040.0,1012.2,1017.0,229953,235393370.8,TQBR
2024-05-27,1024.4,1024.5,975.3,976.6,323128,321727688.5,TQBR
2024-05-28,980.0,1000.0,980.0,989.0,195882,194273665.4,TQBR
2024-05-29,989.0,992.4,971.0,976.9,156108,152563302.2,TQBR
2024-05-30,989.0,1017.9,980.3,996.4,287453,287757131.9,TQBR
2024-05-31,985.1,996.6,960.1,969.3,206160,201076871.3,TQBR
2024-06-03,970.0,984.3,920.2,982.8,323611,307574621.6,TQBR
2024-06-04,989.0,1005.1,975.0,1000.9,287528,286518631.3,TQBR
2024-06-05,1000.8,1023.5,1000.8,1020.4,236145,239681893.1,TQBR
2024-06-06,1020.0,1023.0,1001.0,1003.4,92897,93616223.1,TQBR
2024-06-07,1011.0,1024.0,1005.0,1012.0,162037,164407906.3,TQBR
2024-06-10,1016.0,1020.0,975.0,1015.0,275688,280130742.3,TQBR
2024-06-11,997.0,1004.0,982.0,988.0,183606,182307810.8,TQBR
2024-06-13,969.9,987.9,950.0,985.8,248334,242610121.6,TQBR
2024-06-14,984.0,999.0,975.2,995.0,136679,135323927.9,TQBR
2024-06-17,995.2,1004.4,953.7,965.0,168687,166186279.0,TQBR
2024-06-18,965.1,980.2,934.0,952.3,168924,162920241.0,TQBR
2024-06-19,952.7,966.0,925.7,938.4,162982,153715856.6,TQBR
2024-06-20,940.2,964.8,920.8,952.0,582309,551293961.4,TQBR
2024-06-21,957.0,963.0,932.2,941.5,169528,160666307.7,TQBR
2024-06-24,950.0,960.0,921.2,935.2,168204,156746532.8,TQBR
2024-06-25,934.0,934.9,911.0,915.4,188809,173222790.0,TQBR
2024-06-26,916.0,937.8,900.4,930.3,396506,362723717.5,TQBR
2024-06-27,930.0,931.3,905.1,908.5,268675,244813221.1,TQBR
2024-06-28,916.8,920.0,906.5,911.8,195869,178948946.5,TQBR
2024-07-01,913.3,920.0,910.1,914.9,101838,93164211.4,TQBR
2024-07-02,914.9,915.0,907.0,909.0,97353,88561203.7,TQBR
2024-07-03,909.1,910.3,893.0,901.0,235412,212035974.0,TQBR
2024-07-04,901.5,904.0,877.7,880.0,141157,125811803.1,TQBR
2024-07-05,880.0,955.9,844.1,895.0,733028,663883910.1,TQBR
2024-07-08,897.0,899.7,857.9,871.0,181525,158448988.6,TQBR
2024-07-09,874.0,874.0,844.0,848.3,190378,161963499.9,TQBR
2024-07-10,844.0,874.9,827.0,831.9,254986,214786352.7,TQBR
2024-07-11,831.9,899.9,826.1,893.6,196944,170932310.5,TQBR
2024-07-12,893.0,899.0,865.1,883.2,101346,89056266.3,TQBR
2024-07-15,883.2,884.6,835.3,856.9,129605,111810972.3,TQBR
2024-07-16,857.0,857.0,836.5,855.0,232384,196867108.8,TQBR
2024-07-17,858.6,867.6,844.8,849.9,118261,101361205.4,TQBR
