date,open,high,low,close,volume,value,board
2021-12-14,1095,1095,1095,1095.0,42,45990,TQBR
2021-12-15,1204,1204,1050,1150.0,1630,1872199.6,TQBR
2021-12-16,1200,1264.4,1177,1264.4,4839,6031176.6,TQBR
2021-12-17,1299,1389.6,1281.8,1301.0,6592,8908328,TQBR
2021-12-20,1287.8,1320,1110,1150.0,7426,8845631.6,TQBR
2021-12-21,1182.6,1182.6,1069,1111.8,4973,5592392.6,TQBR
2021-12-22,1111.6,1112,1032,1057.0,7541,8069503.2,TQBR
2021-12-23,1050.2,1075.6,1006,1014.0,9392,9670438.8,TQBR
2021-12-24,1015.8,1035.4,992,997.6,8144,8150506.8,TQBR
2021-12-27,1012,1057,996.2,1049.2,12164,12537660.8,TQBR
2021-12-28,1040,1042,1010.2,1033.6,4720,4887539,TQBR
2021-12-29,1003,1032,996.2,999.0,14225,14261457,TQBR
2021-12-30,1029.8,1029.8,995,998.0,7618,7617281.2,TQBR
2022-01-03,998.4,1021.4,970,1001.4,5219,5220595.4,TQBR
2022-01-04,1013,1022.8,1000,1019.8,8034,8149704.8,TQBR
2022-01-05,1018,1026,1002.8,1025.0,2104,2146796,TQBR
2022-01-06,1024.4,1030,1010,1019.6,2142,2179341.8,TQBR
2022-01-10,1016.6,1036.2,995,999.0,11516,11557420.2,TQBR
2022-01-11,1005.8,1008.8,990.4,1008.8,2663,2658922.8,TQBR
2022-01-12,1009.2,1014.4,1004.4,1009.2,2210,2228623.8,TQBR
2022-01-13,1000.4,1014,982,982.6,10076,10052815.2,TQBR
2022-01-14,984,999.8,961,977.2,8370,8195697.8,TQBR
2022-01-17,977.4,999,968.2,974.2,5476,5320532,TQBR
2022-01-18,970,980.8,929.6,933.8,11763,11211839.2,TQBR
2022-01-19,933.8,966.2,918.2,940.8,8376,7786482.6,TQBR
2022-01-20,990,990,925.4,958.6,3798,3616623,TQBR
2022-01-21,971.4,971.4,894.2,919.0,15082,13814624.2,TQBR
2022-01-24,932.8,995,785.2,826.8,23880,20052866.4,TQBR
2022-01-25,852,852,799.6,830.0,8717,7197073,TQBR
2022-01-26,850,869,833.2,858.0,3767,3217521,TQBR
2022-01-27,875,888.8,831.2,880.0,3228,2811923,TQBR
2022-01-28,899.8,927,880,898.0,3242,2895287.6,TQBR
2022-01-31,890.2,932,860.4,894.2,9945,8938894,TQBR
2022-02-01,910,910,894.5,907.0,2340,2119434.5,TQBR
2022-02-02,910,919.5,897.5,905.0,3534,3194356,TQBR
2022-02-03,900.5,900.5,880,888.0,2073,1839815,TQBR
2022-02-04,915,915,875,877.5,1908,1700512,TQBR
2022-02-07,885.5,892,861,872.5,2900,2521760,TQBR
2022-02-08,875.5,881.5,840,870.0,2736,2370212.5,TQBR
2022-02-09,875.5,894,871,885.0,2588,2285314.5,TQBR
2022-02-10,878.5,894,878.5,884.5,4171,3697388.5,TQBR
2022-02-11,889.5,915.5,850.5,879.0,7817,6903003.5,TQBR
2022-02-14,875,879,851.5,866.0,1490,1294606,TQBR
2022-02-15,879,894,865.5,878.0,3277,2900280,TQBR
2022-02-16,899.5,916,890,893.5,3849,3481383.5,TQBR
2022-02-17,893,921,875.5,883.5,4564,4075459.5,TQBR
2022-02-18,883,920.5,871,877.0,3176,2802779.5,TQBR
2022-02-21,900,910.5,821,839.0,18041,15659971.5,TQBR
2022-02-22,825,866.5,735,850.5,7748,6101358,TQBR
2022-02-24,750,765,370,605.0,40975,21107155.5,TQBR
2022-02-25,660,753.5,602,645.0,10760,7236028.5,TQBR
2022-03-28,680,699.5,548,638.5,9672,5963661.5,TQBR
2022-03-29,650,749,638.5,708.0,11513,8001441.5,TQBR
2022-03-30,730,970,708,884.5,65865,57865798,TQBR
2022-03-31,887,900,761,863.0,26016,22371692.5,TQBR
2022-04-01,870,949,860.5,861.0,18306,16052781.5,TQBR
2022-04-04,861.5,888.5,815.5,855.5,7632,6584719.5,TQBR
2022-04-05,862.5,862.5,802,812.5,9025,7390213,TQBR
2022-04-06,800,860,776,804.0,7027,5693609,TQBR
2022-04-07,804.5,835,790,808.0,3213,2606576.5,TQBR
2022-04-08,826.5,827,787.5,802.0,4923,3937233.5,TQBR
