date,open,high,low,close,volume,value,board
2006-08-09,13,13,13,13.0,9700,126100,EQNE
2006-08-11,14,14,14,14.0,2900,40600,EQNE
2006-08-28,15.5,15.5,15.5,15.5,12900,199950,EQNE
2006-09-01,16,16,15.5,15.5,200,3150,EQNE
2006-09-04,16,16,16,16.0,3800,60800,EQNE
2006-09-15,16.5,16.5,16.5,16.5,3000,49500,EQNE
2006-09-21,19,19,19,19.0,500,9500,EQNE
2006-10-02,19,19,19,19.0,500,9500,EQNE
2006-10-05,18.6,18.6,18.6,18.6,100,1860,EQNE
2006-10-10,18.5,18.5,18.5,18.5,500,9250,EQNE
2006-10-11,18.5,18.5,18.5,18.5,500,9250,EQNE
2006-10-26,18,18,18,18.0,1600,28800,EQNE
2006-11-02,18,18,18,18.0,1700,30600,EQNE
2006-11-08,19,19,19,19.0,100,1900,EQNE
2006-11-09,18.2,18.2,18.2,18.2,27300,496860,EQNE
2006-11-10,18.3,18.3,18.3,18.3,7200,131760,EQNE
2006-11-14,17.4,17.6,17.3,17.6,49000,857100,EQNE
2006-11-15,16.5,18.5,16.5,18.5,70800,1217840,EQNE
2006-11-16,18.9,18.9,18.9,18.9,12400,234360,EQNE
2006-11-17,19.85,19.85,19.85,19.85,100,1985,EQNE
2006-11-20,20.9,20.9,20.9,20.9,2900,60610,EQNE
2006-11-21,21.7,22.22,21.7,22.22,54500,1183920,EQNE
2006-11-22,19,19,19,19.0,500,9500,EQNE
2006-11-23,20,20,20,20.0,16400,328000,EQNE
2006-11-27,20.9,21,20.9,21.0,2500,52340,EQNE
2006-11-29,21,21,21,21.0,31100,653100,EQNE
2006-12-19,21,21,21,21.0,100,2100,EQNE
2006-12-20,21,21,21,21.0,500,10500,EQNE
2006-12-21,21,21,21,21.0,400,8400,EQNE
2007-01-09,19,19,19,19.0,100,1900,EQNE
2007-01-30,25.5,25.5,25.5,25.5,1800,45900,EQNE
2007-02-05,25.75,28,25.75,28.0,1400,38736,EQNE
2007-02-06,28.66,30,28.66,30.0,1400,40392,EQNE
2007-02-08,25,28.66,24,28.66,23400,625489,EQNE
2007-02-09,27.55,27.55,27,27.0,1000,27056,EQNE
2007-02-16,28.01,30,24,30.0,25100,612702,EQNE
2007-02-20,33,33,29.85,32.5,17200,522124,EQNE
2007-02-21,27.01,32.5,26,29.85,27800,770835,EQNE
2007-02-22,30.43,32,30.43,32.0,16900,523462,EQNE
2007-02-26,32.9,36,32.9,36.0,700,24890,EQNE
2007-02-27,34,42,30,31.5,6300,202830,EQNE
2007-02-28,35,35,30,30.0,600,19900,EQNE
2007-03-01,31,35,31,35.0,2200,70600,EQNE
2007-03-05,35,35,30,30.0,3800,129000,EQNE
2007-03-07,30,30,30,30.0,1300,39000,EQNE
2007-03-12,28,28,28,28.0,1200,33600,EQNE
2007-03-13,30,30.99,29,29.5,5700,170835,EQNE
2007-03-14,29,29,29,29.0,4700,136300,EQNE
2007-03-15,28,30,28,30.0,3800,110400,EQNE
2007-03-21,29,29,29,29.0,300,8700,EQNE
2007-03-22,29,29,28.7,28.7,17100,495000,EQNE
2007-03-28,29,29,29,29.0,1900,55100,EQNE
2007-03-29,29.59,29.59,29.59,29.59,500,14795,EQNE
2007-04-03,29.01,29.01,29.01,29.01,1400,40614,EQNE
2007-04-04,30,30,29.5,30.0,14400,429800,EQNE
2007-04-12,30,30,30,30.0,40000,1200000,EQNE
2007-04-16,31,31,31,31.0,200,6200,EQNE
2007-05-14,29.5,29.5,29.5,29.5,5000,147500,EQNE
2007-05-18,28,28,28,28.0,1000,28000,EQNE
2007-05-31,27,28.9,27,28.9,1800,50491,EQNE
2007-06-08,29.49,29.49,29.46,29.47,5000,147359,EQNE
2007-06-20,27.3,27.3,27,27.0,5000,135030,EQNE
2007-06-25,26.51,26.51,26.51,26.51,200,5302,EQNE
2007-06-29,27.01,27.99,26,27.99,10500,288253,EQNE
2007-07-02,26,26,26,26.0,2000,52000,EQNE
2007-07-03,26,26,26,26.0,5000,130000,EQNE
2007-07-04,26.99,26.99,26.99,26.99,5000,134950,EQNE
2007-07-05,27,27,27,27.0,5000,135000,EQNE
2007-07-19,28,28,26,28.0,9500,264783,EQNE
2007-07-20,27.5,30.8,27.5,28.0,16600,464380,EQNE
2007-07-23,27.5,27.5,27.25,27.25,7000,191675,EQNE
2007-07-24,27.2,27.2,27.2,27.2,300,8160,EQNE
2007-07-26,27,27,26,26.0,15100,398015,EQNE
2007-07-27,26,27.99,26,27.99,24400,658980,EQNE
2007-07-31,28.8,29.3,28.8,29.3,11500,333550,EQNE
2007-08-01,28,29.5,28,29.5,23800,690523,EQNE
2007-08-02,27.01,27.01,26.75,26.75,7000,187810,EQNE
2007-08-03,28,28,28,28.0,8100,226800,EQNE
2007-08-06,28.5,28.5,28.5,28.5,8100,230850,EQNE
2007-08-15,27,27,27,27.0,3800,102600,EQNE
2007-08-17,26,26,26,26.0,1400,36400,EQNE
2007-08-21,25.5,25.5,25.5,25.5,12300,313650,EQNE
2007-08-22,25.5,25.5,25,25.3,9300,233850,EQNE
2007-08-23,27.92,27.92,26.99,26.99,800,21685,EQNE
2007-08-24,25.02,26.1,25,26.1,14200,356059,EQNE
2007-08-28,25.3,26,25.3,26.0,15000,383136,EQNE
2007-08-29,26,26,26,26.0,1000,26000,EQNE
2007-09-03,26.02,26.02,26,26.0,5200,135252,EQNE
2007-09-05,27.05,28,27.05,28.0,9200,250905,EQNE
2007-09-06,29.8,29.8,28,28.0,1200,34441,EQNE
2007-09-11,27,27,27,27.0,3900,105300,EQNE
2007-09-12,28,28,28,28.0,100,2800,EQNE
2007-09-17,25,25,25,25.0,700,17500,EQNE
2007-09-18,27.5,29.19,27.5,29.19,300,8419,EQNE
2007-09-19,29.55,29.99,29.55,29.99,3500,104789,EQNE
2007-09-20,29.79,29.79,29.79,29.79,100,2979,EQNE
2007-09-25,26,26,25.5,25.5,1000,25650,EQNE
2007-09-26,28.28,28.28,28.28,28.28,1000,28280,EQNE
2007-09-27,29,30.01,29,30.0,40700,1220004,EQNE
2007-09-28,29,30,29,30.0,9500,277000,EQNE
2007-10-01,28.5,28.5,28.5,28.5,100,2850,EQNE
2007-10-02,30.5,30.82,30.5,30.82,3200,98592,EQNE
2007-10-15,30.68,30.68,26.5,26.5,16300,436122,EQNE
2007-10-17,28.2,29,28.2,28.51,11800,337110,EQNE
2007-10-18,29,29.99,29,29.99,6000,174198,EQNE
2007-10-19,31,31,27.2,30.98,23600,683720,EQNE
2007-10-22,30.99,31,30.99,31.0,12500,387499,EQNE
2007-10-29,28.45,31,28,28.0,6600,185869,EQNE
2007-10-30,28.02,28.02,26,26.0,18200,476448,EQNE
2007-10-31,27,27,26,26.95,28900,758842,EQNE
2007-11-01,30.31,30.31,26,26.49,19400,512121,EQNE
2007-11-02,26,26.05,25.8,26.0,20000,518313,EQNE
2007-11-06,26.03,28,26,28.0,29800,799268,EQNE
2007-11-07,27.02,27.02,27.01,27.01,10200,275504,EQNE
2007-11-08,27,29.38,27,27.34,5100,145272,EQNE
2007-11-09,27.03,27.03,27.01,27.01,9100,245847,EQNE
2007-11-12,27.97,28.99,27.51,28.5,21300,593543,EQNE
2007-11-13,28.5,29.9,28.5,29.9,5900,171462,EQNE
2007-11-14,28.7,28.7,28.7,28.7,200,5740,EQNE
2007-11-15,29.02,29.5,29.02,29.02,3100,90010,EQNE
2007-11-19,29.02,29.13,29.02,29.13,17200,499254,EQNE
2007-11-21,29.18,29.57,29.18,29.57,4200,122712,EQNE
2007-11-22,28.5,28.5,28.5,28.5,3000,85500,EQNE
2007-11-26,28.2,28.2,28,28.0,4200,117621,EQNE
2007-11-27,27.45,27.45,27.45,27.45,100,2745,EQNE
2007-11-28,25.55,29.88,25.01,25.01,62400,1591609,EQNE
2007-11-29,25.03,25.03,25.03,25.03,400,10012,EQNE
2007-11-30,26.45,26.45,25.4,25.4,3100,78845,EQNE
2007-12-03,26.47,27.95,26.47,27.95,29100,771288,EQNE
2007-12-04,27.5,27.5,27.5,27.5,100,2750,EQNE
2007-12-06,26.4,26.6,26.4,26.6,5200,137310,EQNE
2007-12-07,25.99,26.44,25.99,26.44,2800,72817,EQNE
2007-12-10,28.57,28.57,28.57,28.57,100,2857,EQNE
2007-12-12,28.59,28.59,27,28.59,18400,501388,EQNE
2007-12-13,27.21,27.21,27.21,27.21,2100,57141,EQNE
2007-12-17,27.21,28.15,27.2,28.0,14400,403761,EQNE
2007-12-18,28.01,28.01,27.76,27.76,2500,69905,EQNE
2007-12-19,27.6,28.8,27.01,28.8,87000,2431444,EQNE
2007-12-21,27.12,28.12,27.12,28.12,600,16772,EQNE
2007-12-24,28.01,29.5,27,28.88,100900,2859020,EQNE
2007-12-25,28.1,28.99,28,28.6,23900,675377,EQNE
2007-12-26,27.52,29.5,27.52,29.0,149600,4282252,EQNE
2007-12-27,28.5,29,28.5,29.0,1100,31850,EQNE
2007-12-28,28.02,28.02,28.01,28.01,1000,28011,EQNE
2008-01-09,27.02,28.15,27.02,28.15,5300,143432,EQNE
2008-01-10,28.45,28.7,28.39,28.7,5300,150555,EQNE
2008-01-11,28.99,29.07,28.9,29.0,10300,298680,EQNE
2008-01-14,29.01,29.01,29.01,29.01,1200,34812,EQNE
2008-01-15,29.01,29.01,29,29.0,500,14503,EQNE
2008-01-16,28.5,28.5,28.5,28.5,1000,28500,EQNE
2008-01-17,28.5,29,28.25,28.5,42700,1217031,EQNE
2008-01-18,28.7,28.7,28.7,28.7,4100,117670,EQNE
2008-01-21,27.01,27.01,27,27.0,5800,156650,EQNE
2008-01-22,27.5,27.5,27,27.0,53200,1448400,EQNE
2008-01-24,26.1,26.1,26.1,26.1,100,2610,EQNE
2008-01-29,28.99,28.99,28.99,28.99,200,5798,EQNE
2008-01-30,26,26,26,26.0,300,7800,EQNE
2008-01-31,26.04,26.04,26.03,26.03,1200,31246,EQNE
2008-02-01,26.22,26.22,26.22,26.22,200,5244,EQNE
2008-02-04,26.26,27.85,26.26,27.85,400,10981,EQNE
2008-02-11,25.66,25.66,25.66,25.66,200,5132,EQNE
2008-02-18,26.95,28,26.95,28.0,28600,800338,EQNE
2008-02-20,28.01,28.5,28,28.5,9700,273109,EQNE
2008-02-26,27.51,27.51,27.51,27.51,2000,55020,EQNE
2008-02-27,27.5,27.5,27.5,27.5,5000,137500,EQNE
2008-02-29,29.94,29.94,29.94,29.94,100,2994,EQNE
2008-03-04,28,28,28,28.0,600,16800,EQNE
2008-03-05,28,28,28,28.0,6300,176400,EQNE
2008-03-06,27.51,27.51,27.51,27.51,4000,110040,EQNE
2008-03-07,28.5,28.5,28.5,28.5,1000,28500,EQNE
2008-03-12,28.5,29,28.5,29.0,23000,666400,EQNE
2008-03-13,28,28,28,28.0,200,5600,EQNE
2008-03-14,28,28.31,28,28.3,50100,1417279,EQNE
2008-03-18,28.49,28.5,28.49,28.5,132600,3779000,EQNE
