date,open,high,low,close,volume,value,board
2002-02-12,448.0,449.0,440.0,445.4,6161,2745974.01,EQBR
2002-02-13,443.47,445.0,435.0,436.5,5259,2298248.12,EQBR
2002-02-14,415.0,418.0,415.0,417.0,3863,1608654.0,EQBR
2002-02-15,416.4,417.99,409.31,410.0,3218,1323440.81,EQBR
2002-02-18,410.0,410.0,388.0,390.01,1232,483518.61,EQBR
2002-02-19,392.0,392.0,390.0,390.0,1800,705200.0,EQBR
2002-02-20,380.0,380.5,370.0,380.5,1562,592360.0,EQBR
2002-02-21,380.0,380.0,380.0,380.0,1,380.0,EQBR
2002-02-22,401.5,401.5,401.5,401.5,69,27703.5,EQBR
2002-02-26,398.0,402.99,389.05,390.01,19464,7741433.0,EQBR
2002-02-27,384.0,384.0,384.0,384.0,118,45312.0,EQBR
2002-02-28,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-03-01,385.0,390.0,380.0,390.0,4468,1734185.8,EQBR
2002-03-04,407.0,407.0,398.0,398.0,1341,542877.0,EQBR
2002-03-05,401.0,403.0,396.0,396.0,1152,457911.0,EQBR
2002-03-06,401.0,402.0,400.0,402.0,1958,784951.0,EQBR
2002-03-07,413.0,415.0,400.01,415.0,1978,814393.4,EQBR
2002-03-11,405.0,405.0,398.0,398.0,135,54257.5,EQBR
2002-03-12,397.5,404.0,397.5,400.0,1130,453038.0,EQBR
2002-03-13,405.0,408.0,405.0,405.0,207,83862.0,EQBR
2002-03-14,398.0,410.0,398.0,408.0,824,334932.0,EQBR
2002-03-15,414.0,420.0,414.0,420.0,1925,804483.0,EQBR
2002-03-18,424.0,434.0,424.0,431.0,2149,922792.0,EQBR
2002-03-19,420.5,425.5,420.5,425.5,67,28322.87,EQBR
2002-03-20,414.0,420.0,412.0,417.0,840,348362.0,EQBR
2002-03-21,414.0,424.0,414.0,424.0,3511,1472430.71,EQBR
2002-03-22,427.57,436.0,427.5,427.5,6905,2987354.19,EQBR
2002-03-25,420.5,420.5,412.1,418.0,4950,2061568.5,EQBR
2002-03-26,412.0,412.0,410.0,412.0,759,312010.5,EQBR
2002-03-27,422.5,437.5,422.5,427.0,8033,3449020.64,EQBR
2002-03-28,437.0,453.0,437.0,453.0,11808,5232290.3,EQBR
2002-03-29,455.0,457.0,448.5,450.55,4471,2023802.32,EQBR
2002-04-01,450.0,453.0,450.0,453.0,5454,2467528.0,EQBR
2002-04-02,453.31,456.5,448.0,448.0,2600,1178255.3,EQBR
2002-04-03,452.0,452.0,432.0,440.0,6843,3010157.18,EQBR
2002-04-04,440.0,443.0,440.0,441.0,4644,2045795.5,EQBR
2002-04-05,444.0,450.0,444.0,448.0,2649,1182797.0,EQBR
2002-04-08,445.0,451.5,445.0,451.5,2399,1074658.0,EQBR
2002-04-09,454.8,472.0,454.8,461.52,5829,2705182.16,EQBR
2002-04-10,464.0,479.9,460.0,479.9,6281,2975416.0,EQBR
2002-04-11,480.0,490.0,471.99,490.0,10431,5000585.12,EQBR
