date,open,high,low,close,volume,value,board
2009-01-14,1400.0,1400.0,1400.0,1400.0,2,2800.0,EQNE
2009-01-15,1960.0,1960.0,1960.0,1960.0,1,1960.0,EQNE
2009-01-21,1950.0,1950.0,1800.0,1830.0,3,5580.0,EQNE
2009-01-23,1650.0,1700.0,1650.0,1700.0,2,3350.0,EQNE
2009-01-26,1695.0,1719.0,1695.0,1719.0,3,5109.0,EQNE
2009-01-27,1730.0,1740.0,1730.0,1740.0,3,5200.0,EQNE
2009-01-28,1750.0,1795.0,1750.0,1795.0,7,12295.0,EQNE
2009-01-29,1760.0,1760.0,1650.0,1650.0,26,43640.0,EQNE
2009-01-30,1650.0,1675.0,1640.0,1645.0,8,13235.0,EQNE
2009-02-02,1650.0,1650.0,1650.0,1650.0,1,1650.0,EQNE
2009-02-03,1630.0,1649.0,1600.0,1649.0,11,17739.0,EQNE
2009-02-04,1620.0,1660.0,1500.0,1600.0,45,69935.0,EQNE
2009-02-05,1500.0,1620.0,1500.0,1600.0,6,9555.0,EQNE
2009-02-06,1600.0,1600.0,1300.0,1380.0,129,176602.35,EQNE
2009-02-09,1390.0,1440.0,1300.0,1435.0,55,74409.16,EQNE
2009-02-10,1430.0,1438.9,1350.0,1420.0,159,226808.9,EQNE
2009-02-11,1449.0,1478.0,1430.0,1478.0,22,32212.8,EQNE
2009-02-12,1500.0,1500.0,1500.0,1500.0,2,3000.0,EQNE
2009-02-13,1489.0,1540.0,1350.0,1520.0,609,880178.0,EQNE
2009-02-16,1517.0,1517.0,1350.01,1350.01,2,2867.01,EQNE
2009-02-17,1357.0,1395.0,1200.0,1318.0,51,67166.08,EQNE
2009-02-18,1300.0,1549.0,1199.0,1330.0,347,523722.12,EQNE
2009-02-19,1300.01,1390.0,1300.0,1390.0,271,374360.0,EQNE
2009-02-20,1399.98,1450.0,1081.0,1398.99,97,118209.69,EQNE
2009-02-24,1399.99,1500.0,1111.0,1348.0,47,60946.32,EQNE
2009-02-25,1300.0,1397.77,1113.0,1287.0,207,239606.86,EQNE
2009-02-26,1300.02,1300.02,1190.0,1214.99,5,6095.01,EQNE
2009-02-27,1214.99,1279.0,1100.0,1199.0,24,27728.98,EQNE
2009-03-02,1200.0,1200.0,1101.0,1200.0,6,6999.0,EQNE
2009-03-03,1187.0,1225.0,1100.0,1100.0,26,29288.11,EQNE
2009-03-04,1101.0,1188.99,1100.0,1120.0,27,30372.85,EQNE
2009-03-05,1125.0,1125.0,1120.0,1120.0,10,11225.0,EQNE
2009-03-06,1169.99,1200.0,1000.0,1200.0,68,76737.96,EQNE
2009-03-10,1101.0,1164.89,1101.0,1164.89,14,15746.92,EQNE
2009-03-11,1150.0,1169.99,1100.0,1100.0,5,5619.99,EQNE
2009-03-12,1176.0,1249.9,1120.0,1159.99,83,97259.82,EQNE
2009-03-13,1111.01,1197.0,1100.0,1197.0,31,35724.03,EQNE
2009-03-16,1189.0,1199.99,1141.01,1199.99,78,92877.94,EQNE
