date,open,high,low,close,volume,value,board
2005-10-05,16,18.1,16,18.1,10800,193630,EQNE
2005-10-07,18,21,18,18.0,1400,25700,EQNE
2005-10-11,18,20,18,20.0,2900,52400,EQNE
2005-10-19,18.2,19.8,18.2,19.8,300,5640,EQNE
2005-10-25,18.2,18.2,16,16.0,200,3420,EQNE
2005-10-26,16.5,18.5,16.5,18.5,200,3500,EQNE
2005-11-02,15.1,15.1,15,15.0,800,12060,EQNE
2005-11-03,18,18,18,18.0,1200,21600,EQNE
2005-11-16,18.1,19.8,18.1,19.2,1500,28550,EQNE
2005-11-18,19.99,19.99,19.99,19.99,100,1999,EQNE
2005-11-30,22,22,22,22.0,1000,22000,EQNE
2005-12-01,22,22,22,22.0,500,11000,EQNE
2005-12-02,23,23,23,23.0,500,11500,EQNE
2006-02-16,24.98,24.99,24.98,24.99,1100,27488,EQNE
2006-02-20,24.99,26.5,24.99,26.5,13800,347482,EQNE
2006-02-21,26.9,26.9,26.9,26.9,2000,53800,EQNE
2006-03-03,27.9,27.9,27.9,27.9,1000,27900,EQNE
2006-03-07,28.5,28.5,28.5,28.5,500,14250,EQNE
2006-03-15,31.76,31.76,31.76,31.76,1200,38112,EQNE
2006-03-16,29,29,29,29.0,1100,31900,EQNE
2006-03-21,30,30,30,30.0,1000,30000,EQNE
2006-03-30,30.99,31,30.99,31.0,400,12399,EQNE
2006-04-10,29.51,29.51,29.51,29.51,33000,973830,EQNE
2006-04-12,34,34,34,34.0,1000,34000,EQNE
2006-04-13,32,32,30.3,30.3,4100,126580,EQNE
2006-04-17,29.51,29.51,29.51,29.51,2700,79677,EQNE
2006-04-21,30,30.4,30,30.0,66600,2024520,EQNE
2006-04-24,30,30,30,30.0,100,3000,EQNE
2006-04-25,33.5,33.5,30,32.0,6000,193150,EQNE
2006-04-26,32,32,32,32.0,2700,86400,EQNE
2006-05-03,28.5,28.5,28.5,28.5,8100,230850,EQNE
2006-05-06,28,28,28,28.0,1600,44800,EQNE
2006-05-10,28.5,28.5,28.5,28.5,58900,1678650,EQNE
2006-05-15,26.53,26.53,26.53,26.53,9900,262647,EQNE
2006-05-16,26.53,26.53,26.53,26.53,39300,1042629,EQNE
2006-05-18,27,27,27,27.0,200,5400,EQNE
2006-05-22,25,26.5,25,25.0,5500,139750,EQNE
2006-05-23,25.52,25.52,25.52,25.52,21400,546128,EQNE
2006-05-29,28,28,28,28.0,100,2800,EQNE
2006-05-30,25.52,26,25.52,26.0,53200,1362560,EQNE
2006-06-02,25,25,25,25.0,1900,47500,EQNE
2006-06-06,29,29,29,29.0,1000,29000,EQNE
2006-06-15,25,25,24,24.0,300,7400,EQNE
2006-06-19,22.5,22.5,22.5,22.5,12700,285750,EQNE
2006-06-20,23,23,23,23.0,19100,439300,EQNE
2006-06-27,20,24,20,24.0,4000,88000,EQNE
2006-06-29,24.5,24.5,24,24.0,13600,332700,EQNE
2006-06-30,22,26,22,24.0,28000,663000,EQNE
2006-07-31,26.5,26.6,26.5,26.6,300,7965,EQNE
2006-08-02,26.75,26.75,26.75,26.75,200,5350,EQNE
2006-08-03,25,25,25,25.0,4000,100000,EQNE
2006-08-09,25,25,24.51,24.51,1900,47451,EQNE
2006-08-10,27,27,27,27.0,100,2700,EQNE
2006-08-16,28,28,28,28.0,5000,140000,EQNE
2006-08-22,26.99,26.99,26,26.5,300,7949,EQNE
2006-08-25,26.7,27,26.7,26.7,16700,445920,EQNE
2006-08-28,28,28,26.6,26.7,19500,521870,EQNE
2006-08-30,27.4,28.49,27.4,28.49,9500,261048,EQNE
2006-08-31,28.2,28.6,28.2,28.6,21000,600200,EQNE
2006-09-04,28.26,28.26,28.26,28.26,8300,234558,EQNE
2006-09-11,28.499,28.499,27.77,27.77,4700,130591.9,EQNE
2006-09-12,27.5,28,27.5,28.0,11700,326600,EQNE
2006-09-14,28,28,28,28.0,20000,560000,EQNE
