date,open,high,low,close,volume,value,board
2010-11-12,1.2,1.2,1.2,1.2,100,120,EQNE
2010-11-13,1.68,1.68,1.68,1.68,100,168,EQNE
2010-11-15,2.352,2.352,2.352,2.352,300,705.6,EQNE
2010-11-16,3.293,3.293,2.7,3.293,483300,1560280.2,EQNE
2010-11-17,4.45,4.45,2.7,3.0,167200,547785.8,EQNE
2010-11-18,3,3.79,2.9,3.1,39700,123956.9,EQNE
2010-11-19,3,3,2.821,3.0,7200,21307.6,EQNE
2010-11-22,3.1,3.1,2.636,3.1,30700,92469.5,EQNE
2010-11-23,3,3.125,3,3.1,26000,80462.5,EQNE
2010-11-24,2.544,3.1,2.544,3.09,44300,133426.7,EQNE
2010-11-25,3.15,3.5,2.83,3.1,57600,178353.9,EQNE
2010-11-26,3.049,3.049,2.85,2.989,12300,35792.7,EQNE
2010-11-29,3,3.5,2.99,3.111,68000,212100.7,EQNE
2010-11-30,3.173,3.25,2.551,2.861,49200,141895.8,EQNE
2010-12-01,2.874,3.2,2.8,2.999,5300,15287,EQNE
2010-12-02,3.05,3.25,2.76,2.89,1900,5518.9,EQNE
2010-12-03,2.9,2.9,2.641,2.89,30500,86037.2,EQNE
2010-12-06,2.88,3.235,2.7,3.051,12000,35166.5,EQNE
2010-12-07,2.992,3.08,2.991,2.991,2800,8459.1,EQNE
2010-12-08,3.049,3.049,2.89,2.89,6300,18279,EQNE
2010-12-10,2.875,2.9,2.875,2.9,200,577.5,EQNE
2010-12-13,2.932,3.1,2.932,3.1,200,603.2,EQNE
2010-12-14,2.991,3.1,2.82,2.82,6900,20334.6,EQNE
2010-12-15,2.98,3,2.932,2.932,1700,5079.5,EQNE
2010-12-16,2.99,2.99,2.875,2.875,1300,3779.5,EQNE
2010-12-17,2.933,2.933,2.933,2.933,200,586.6,EQNE
2010-12-20,2.902,2.902,2.585,2.7,349000,932385.2,EQNE
2010-12-21,2.675,3.399,2.65,2.739,158300,453669.7,EQNE
2010-12-22,2.921,3.286,2.533,2.6,133400,350687.6,EQNE
2010-12-23,2.698,2.698,2.5,2.55,13900,35082,EQNE
2010-12-24,2.55,2.55,2.338,2.545,129200,317839.5,EQNE
2010-12-27,2.55,2.55,2.498,2.498,900,2258.8,EQNE
2010-12-28,2.55,2.55,2.301,2.472,27900,65693.8,EQNE
2010-12-29,2.521,2.521,2.245,2.344,19300,44402,EQNE
2010-12-30,2.33,2.458,2.112,2.44,150700,339641.4,EQNE
2011-01-11,2.489,2.489,2.489,2.489,100,248.9,EQNE
2011-01-12,2.495,3.1,2.24,2.65,166100,417688.2,EQNE
2011-01-13,2.506,2.623,2.411,2.554,20700,51588.5,EQNE
2011-01-14,2.556,2.556,2.414,2.527,4700,11469.2,EQNE
2011-01-17,2.546,2.859,2.505,2.609,47800,125113,EQNE
2011-01-18,2.655,2.7,2.38,2.601,171100,425670.1,EQNE
2011-01-19,2.65,2.735,2.574,2.599,23400,61619,EQNE
2011-01-20,2.574,3.078,2.57,2.609,15300,41059.4,EQNE
2011-01-21,2.558,2.66,2.383,2.5,74800,183619.6,EQNE
2011-01-24,2.499,2.685,2.461,2.5,28300,70747.2,EQNE
2011-01-25,2.48,2.48,2.48,2.48,100,248,EQNE
2011-01-26,2.491,2.555,2.405,2.5,17900,44655.9,EQNE
2011-01-27,2.558,2.558,2.48,2.498,4300,10712.3,EQNE
2011-01-28,2.498,2.498,2.332,2.369,16200,39168.4,EQNE
2011-01-31,2.363,2.393,2.317,2.376,6900,16382,EQNE
2011-02-01,2.328,2.6,2.328,2.335,860300,2152102.4,EQNE
2011-02-02,2.5,2.711,2.38,2.464,23700,58168.5,EQNE
2011-02-03,2.424,2.721,2.12,2.509,2932600,6235691.5,EQNE
2011-02-04,2.5,2.5,2.444,2.488,10400,25954.5,EQNE
2011-02-07,2.514,2.616,2.2,2.355,359800,872928,EQNE
2011-02-08,2.717,2.717,2.254,2.345,19200,45179.4,EQNE
2011-02-09,2.406,2.406,2.22,2.33,17100,39361.8,EQNE
2011-02-10,2.366,2.366,2.231,2.364,2100,4814.4,EQNE
2011-02-11,2.367,2.367,2.23,2.349,8500,19061.8,EQNE
2011-02-14,2.349,2.349,2.349,2.349,100,234.9,EQNE
2011-02-15,2.231,2.344,2.231,2.342,2500,5756.9,EQNE
2011-02-16,2.333,2.345,2.16,2.345,38200,86876.9,EQNE
2011-02-17,2.231,2.348,2.231,2.347,2300,5227.9,EQNE
2011-02-18,2.269,2.37,2.269,2.31,2000,4589.3,EQNE
2011-02-21,2.278,2.278,2.165,2.165,7000,15387.5,EQNE
2011-02-22,2.225,2.25,2.225,2.25,300,670.1,EQNE
2011-02-24,2.223,2.246,2.222,2.246,7500,16746.8,EQNE
2011-02-25,2.135,2.344,2.135,2.334,1300,2923.5,EQNE
2011-02-28,2.343,2.992,2.296,2.449,541300,1359519.6,EQNE
2011-03-01,2.326,2.448,2.313,2.3779,39000,91018.4,EQNE
2011-03-02,2.3815,2.3979,2.259,2.3511,26000,61325.4,EQNE
2011-03-03,2.4685,2.4909,2.2686,2.3499,23000,54159,EQNE
2011-03-04,2.265,2.35,2.265,2.35,5000,11410,EQNE
2011-03-09,2.2384,2.3124,2.2384,2.3124,3000,6849.8,EQNE
2011-03-10,2.331,2.59,2.277,2.58,128000,302700.7,EQNE
