date,open,high,low,close,volume,value,board
2011-04-15,35000,35000,35000,35000.0,48,1680000,EQNE
2011-04-18,45100,45100,34500,39000.0,63,2453851,EQNE
2011-04-19,43444,44510,36012,43740.0,57,2433741,EQNE
2011-04-20,46450,46450,30500,33990.0,87,3155556,EQNE
2011-04-21,31500,34978,28011,30551.0,28,865862,EQNE
2011-04-22,33333,33333,29700,30401.0,7,217434,EQNE
2011-04-25,30000,31495,30000,30000.0,11,333862,EQNE
2011-04-26,30397,30397,30397,30397.0,1,30397,EQNE
2011-04-27,30499,35000,29650,29999.0,20,626580,EQNE
2011-04-28,30000,30000,30000,30000.0,2,60000,EQNE
2011-04-29,29701,29701,29000,29000.0,3,87702,EQNE
2011-05-03,29014,29014,29014,29014.0,1,29014,EQNE
2011-05-04,27000,27000,25000,25000.0,14,352002,EQNE
2011-05-05,25031,25031,25000,25000.0,9,225151,EQNE
2011-05-06,22000,22000,22000,22000.0,1,22000,EQNE
2011-05-10,22000,22080,22000,22080.0,2,44080,EQNE
2011-05-11,21001,23000,21000,23000.0,3,65001,EQNE
2011-05-19,23000,23000,23000,23000.0,1,23000,EQNE
2011-05-20,21100,23998,20000,21000.0,10,209099,EQNE
2011-05-23,20000,21529,20000,21529.0,3,61529,EQNE
2011-05-26,20000,20001,20000,20001.0,6,120001,EQNE
2011-05-31,21187,28001,21187,28001.0,32,843500,EQNE
2011-06-01,29999,37000,26000,26017.0,43,1286649,EQNE
2011-06-02,26002,26200,24000,24003.0,24,603075,EQNE
2011-06-03,25000,25600,24500,25600.0,10,250644,EQNE
2011-06-06,25697,25697,25000,25500.0,3,76197,EQNE
2011-06-07,25000,27392,24348,27392.0,6,151376,EQNE
2011-06-09,23101,27900,23101,27900.0,3,78501,EQNE
2011-06-10,28500,38780,28500,38780.0,51,1897782,EQNE
2011-06-14,49000,49000,32503,34711.0,34,1308893,EQNE
2011-06-15,39799,43000,36000,36000.0,26,1024045,EQNE
2011-06-16,37997,37997,30000,30000.0,19,609217,EQNE
2011-06-17,31971,31973,30000,30501.0,4,124445,EQNE
2011-06-20,30500,30500,30500,30500.0,3,91500,EQNE
2011-06-21,28106,28106,28106,28106.0,2,56212,EQNE
2011-06-23,29580,29580,28500,29000.0,7,202911,EQNE
2011-06-24,29299,29299,29299,29299.0,1,29299,EQNE
2011-06-27,27000,27000,27000,27000.0,1,27000,EQNE
2011-06-28,26810,27599,24000,27599.0,35,887599,EQNE
2011-06-29,26201,27980,26201,27980.0,8,215231,EQNE
2011-06-30,28700,30990,28000,29994.0,25,756485,EQNE
2011-07-01,29991,30748,28704,28704.0,7,209570,EQNE
2011-07-04,30301,33600,30301,33600.0,9,291332,EQNE
2011-07-05,30000,30500,29300,30013.0,9,269915,EQNE
2011-07-06,30500,30500,30500,30500.0,15,457500,EQNE
2011-07-07,30500,30500,30500,30500.0,1,30500,EQNE
2011-07-08,31490,31490,30800,30800.0,2,62290,EQNE
2011-07-12,31000,31248,30101,30101.0,5,153301,EQNE
2011-07-14,30000,30000,28000,29000.0,9,263000,EQNE
2011-07-18,28500,28500,28500,28500.0,1,28500,EQNE
2011-07-22,29000,29000,27207,27207.0,2,56207,EQNE
2011-07-25,27200,27200,27200,27200.0,1,27200,EQNE
2011-07-26,26999,26999,26999,26999.0,1,26999,EQNE
2011-07-27,26500,26500,26500,26500.0,1,26500,EQNE
2011-07-28,26500,27100,26500,27100.0,3,80600,EQNE
2011-07-29,31979,37000,28000,28001.0,22,729467,EQNE
2011-08-01,28500,28500,28500,28500.0,2,57000,EQNE
2011-08-02,28500,28700,28001,28700.0,5,142496,EQNE
2011-08-04,28001,28001,28000,28000.0,2,56001,EQNE
2011-08-05,29000,29000,29000,29000.0,1,29000,EQNE
2011-08-08,24500,24500,24500,24500.0,1,24500,EQNE
2011-08-09,24684,26100,24100,26100.0,3,74884,EQNE
2011-08-11,24001,24001,24000,24000.0,2,48001,EQNE
2011-08-12,25000,25000,25000,25000.0,1,25000,EQNE
2011-08-15,25000,28999,25000,28999.0,2,53999,EQNE
2011-08-17,27500,27500,26000,26000.0,2,53500,EQNE
2011-08-18,25899,25899,24000,24000.0,2,49899,EQNE
2011-08-19,23000,23000,22012,22012.0,2,45012,EQNE
2011-08-22,23001,23001,23001,23001.0,1,23001,EQNE
2011-08-24,23900,23900,23900,23900.0,1,23900,EQNE
2011-08-26,24000,24000,24000,24000.0,1,24000,EQNE
2011-08-31,24780,24780,24780,24780.0,1,24780,EQNE
2011-09-01,24500,26249,24500,26249.0,2,50749,EQNE
2011-09-05,25000,25000,25000,25000.0,1,25000,EQNE
2011-09-09,17299,23100,17299,23100.0,4,85200,EQNE
2011-09-12,23799,23799,23799,23799.0,1,23799,EQNE
2011-09-22,21008,21008,21000,21000.0,2,42008,EQNE
2011-09-23,20100,23100,20008,20008.0,5,103294,EQNE
2011-09-30,20600,21745,20001,20001.0,5,104690,EQNE
2011-10-03,20000,20000,20000,20000.0,1,20000,EQNE
2011-10-04,20500,20500,19000,20299.0,4,78799,EQNE
2011-10-06,19000,20000,19000,20000.0,3,59000,EQNE
2011-10-07,21999,21999,21999,21999.0,1,21999,EQNE
2011-10-10,21800,21800,19891,19891.0,3,63491,EQNE
2011-10-11,19579,19579,19579,19579.0,1,19579,EQNE
2011-10-12,19187,22000,19185,21621.0,7,143320,EQNE
2011-10-14,20036,20036,20036,20036.0,1,20036,EQNE
2011-10-24,20012,21000,18500,20206.0,5,100717,EQNE
2011-10-26,20500,20500,20020,20020.0,3,61020,EQNE
2011-10-27,20101,20101,20101,20101.0,1,20101,EQNE
2011-10-28,20400,20400,18011,19350.0,24,458079,EQNE
2011-10-31,18801,19399,18801,18801.0,12,228201,EQNE
2011-11-01,18300,18300,15001,16100.0,28,453270,EQNE
2011-11-02,15141,15998,14600,15998.0,36,543062,EQNE
2011-11-03,15100,15819,13200,15819.0,97,1397411,EQNE
2011-11-07,16999,21855,16999,17112.0,146,2854213,EQNE
2011-11-08,17011,19797,16500,18989.0,30,515305,EQNE
2011-11-09,19590,19590,16501,17300.0,18,308683,EQNE
2011-11-10,16001,17200,16001,17200.0,5,84000,EQNE
2011-11-11,17499,17500,16501,16550.0,10,168500,EQNE
2011-11-14,16700,17000,16530,16530.0,7,117631,EQNE
