date,open,high,low,close,volume,value,board
2003-02-03,285.0,289.29,285.0,286.0,814,232602.87,EQNE
2003-02-04,281.0,285.02,281.0,281.1,1359,386918.9,EQNE
2003-02-05,289.34,289.34,285.0,286.0,7710,2210420.43,EQNE
2003-02-06,289.48,289.48,285.0,288.49,9983,2873695.94,EQNE
2003-02-07,289.48,300.0,288.0,299.39,5592,1656544.85,EQNE
2003-02-10,300.99,300.99,293.2,297.0,2143,635992.19,EQNE
2003-02-11,292.01,304.3,292.0,300.0,10804,3239618.56,EQNE
2003-02-12,303.99,303.99,295.0,298.98,2639,784086.15,EQNE
2003-02-13,299.99,299.99,291.0,293.98,4266,1247689.49,EQNE
2003-02-14,294.78,297.5,287.01,294.5,19260,5682549.58,EQNE
2003-02-17,298.0,298.0,291.1,291.52,367,107202.8,EQNE
2003-02-18,286.0,297.0,285.15,294.93,4960,1462168.48,EQNE
2003-02-19,293.0,293.95,290.1,290.1,5190,1520132.5,EQNE
2003-02-20,290.0,292.0,290.0,292.0,1008,293876.0,EQNE
2003-02-21,293.5,294.5,293.0,293.0,17005,4984472.5,EQNE
2003-02-25,291.0,291.0,289.15,290.0,3191,925599.3,EQNE
2003-02-26,288.8,288.8,288.0,288.0,2038,587764.52,EQNE
2003-02-27,290.0,291.0,287.0,291.0,17537,5083818.5,EQNE
2003-02-28,288.0,290.0,288.0,289.89,4897,1416309.8,EQNE
2003-03-03,293.99,293.99,286.0,289.0,13653,3942965.48,EQNE
2003-03-04,289.99,290.1,288.0,290.0,4926,1423859.5,EQNE
2003-03-05,294.49,299.99,291.0,292.5,6482,1901589.1,EQNE
2003-03-06,293.01,295.0,292.2,292.5,23490,6900467.99,EQNE
2003-03-07,294.0,295.0,285.01,286.0,14902,4321816.75,EQNE
2003-03-11,286.0,298.0,282.0,285.0,1227,363243.33,EQNE
2003-03-12,294.0,295.5,285.01,285.01,748,219486.34,EQNE
2003-03-13,286.0,286.0,285.01,285.01,656,187033.55,EQNE
2003-03-14,289.4,289.4,278.1,278.1,1548,441801.59,EQNE
2003-03-17,276.0,279.98,270.01,279.97,1505,414850.42,EQNE
2003-03-18,270.01,279.89,267.5,267.5,28895,7954563.42,EQNE
2003-03-19,275.0,275.0,261.02,261.02,1104,295179.53,EQNE
