date,open,high,low,close,volume,value,board
2011-12-23,2700,2700,2675,2675.0,7898,21310850,EQNE
2011-12-26,2675,2675,2675,2675.0,2504,6698200,EQNE
2011-12-28,2700,2715,2690,2690.0,5504,14913830,EQNE
2011-12-30,2705,2750,2705,2750.0,6078,16705500,EQNE
2012-01-03,2800,2814,2800,2814.0,503,1408442,EQNE
2012-01-04,2810,2820,2800,2815.0,22958,64474851.1,EQNE
2012-01-05,2825,2835,2800,2835.0,25601,72293527.7,EQNE
2012-01-06,2820,2820,2820,2820.0,100,282000,EQNE
2012-01-09,2825,2850,2825,2850.0,1000,2837500,EQNE
2012-01-10,2875,2900,2875,2900.0,1633,4709775,EQNE
2012-01-11,2950,2990,2950,2990.0,202,599980,EQNE
2012-01-12,3050,3090,3000,3050.0,1231,3755017,EQNE
2012-01-13,3050,3050,3030,3030.0,101,308030,EQNE
2012-01-16,2955,3070,2950,3040.0,528,1567608,EQNE
2012-01-17,3060,3105,3020,3100.0,10700,32887330,EQNE
2012-01-18,3090,3200,3090,3180.0,691,2186530,EQNE
2012-01-19,3200,3250,3200,3250.0,3000,9672452.6,EQNE
2012-01-20,3166.1,3175,3060,3060.0,941,2952490.1,EQNE
2012-01-23,3080,3150,3015,3120.0,4528,14066797,EQNE
2012-01-24,3115,3185,3110,3184.0,526,1651781.1,EQNE
2012-01-25,3170,3195,3165,3195.0,72,228690,EQNE
2012-01-26,3190,3250,3190,3250.0,7320,23423856.9,EQNE
2012-01-27,3200,3285,3170,3250.0,6272,20296212.3,EQNE
2012-01-30,3257.5,3300,3220,3250.0,4092,13423904.8,EQNE
2012-01-31,3249.9,3255,3199.9,3229.9,19106,61337177.8,EQNE
2012-02-01,3240,3380,3240,3325.0,4647,15456400,EQNE
2012-02-02,3340,3500,3330,3500.0,17614,59317669,EQNE
2012-02-03,3450,3450,3352,3400.0,1854,6215636,EQNE
2012-02-06,3370,3400,3360,3360.0,8521,28781380,EQNE
2012-02-07,3370,3370,3340,3340.0,7220,24225950,EQNE
2012-02-08,3400,3425,3400,3400.0,2750,9387500,EQNE
2012-02-09,3351,3390,3280,3280.0,3951,13187331,EQNE
2012-02-10,3220,3329.9,3220,3325.0,3106,10314714.1,EQNE
2012-02-13,3340,3390,3340,3390.0,1973,6639444.9,EQNE
2012-02-14,3425,3480,3400,3480.0,2104,7263985,EQNE
2012-02-15,3505,3570,3500,3550.0,7975,28246377.3,EQNE
2012-02-16,3580,3580,3485,3485.0,255,889150,EQNE
2012-02-17,3490,3500,3480,3499.0,22,76692,EQNE
2012-02-20,3450,3480,3450,3480.0,99,343140,EQNE
2012-02-21,3400.3,3499.9,3400.3,3499.9,6,20533.8,EQNE
2012-02-24,3500,3640,3490,3640.0,377,1342728.8,EQNE
2012-02-27,3599.9,3599.9,3599.9,3599.9,252,907174.8,EQNE
2012-02-28,3550,3600,3550,3600.0,125,449271,EQNE
2012-02-29,3650,3700,3550.1,3625.0,2083,7572700,EQNE
2012-03-01,3575.3,3649.9,3558.9,3600.0,539,1927141.9,EQNE
2012-03-02,3599.9,3600,3501.1,3550.0,179,633333.9,EQNE
2012-03-05,3649.9,3650,3520.2,3560.0,89,318652.7,EQNE
2012-03-06,3505,3580,3500,3500.0,5,17650,EQNE
2012-03-07,3250.1,3500,3250.1,3500.0,28,95140.7,EQNE
2012-03-11,3550,3629.9,3550,3629.9,217,775319,EQNE
2012-03-12,3750,3750,3750,3750.0,10,37500,EQNE
2012-03-13,3750,3795,3680,3795.0,236,884244,EQNE
2012-03-14,3910,3910,3825,3825.0,223,853060,EQNE
2012-03-15,3925,3925,3805,3850.0,624,2378450,EQNE
2012-03-16,3750.1,3850,3750,3850.0,184,691101,EQNE
2012-03-19,3799.9,3799.9,3799.7,3799.7,7,26598.9,EQNE
2012-03-20,3650,3710,3601.1,3601.1,26,95226.1,EQNE
2012-03-21,3600.1,3675,2942.1,3550.0,1047,3779605.7,EQNE
2012-03-22,3625,3625,3625,3625.0,721,2613625,EQNE
2012-03-23,3600,3625,3585,3615.0,57,206446.7,EQNE
2012-03-26,3670,3695,3620,3675.0,1179,4313949.5,EQNE
2012-03-27,3660,3670,3611,3640.0,438,1597492.8,EQNE
