date,open,high,low,close,volume,value,board
2002-03-27,607.5,607.5,607.5,607.5,785000,476887500.0,EQBR
2002-03-28,607.5,607.5,607.5,607.5,652100,396150750.0,EQBR
2002-03-29,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-01,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-02,623.05,623.18,623.05,623.18,2000,1246230.0,EQBR
2002-04-03,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-04,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-05,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-08,624.75,624.88,624.75,624.88,2200,1374593.0,EQBR
2002-04-09,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-10,625.13,625.26,625.13,625.26,1000,625195.0,EQBR
2002-04-11,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-12,625.09,625.22,625.09,625.22,1200,750186.0,EQBR
2002-04-15,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-16,625.25,625.38,625.25,625.38,1200,750378.0,EQBR
2002-04-17,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-18,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-19,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-22,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-23,626.85,626.98,626.85,626.98,800,501532.0,EQBR
2002-04-24,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-25,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-26,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-27,627.45,627.45,627.45,627.45,82600,51827370.0,EQBR
2002-04-29,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-04-30,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-06,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-07,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-08,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-13,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-14,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-15,637.5,637.63,637.5,637.63,2000,1275130.0,EQBR
2002-05-16,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-17,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-18,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-20,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-21,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-22,643.5,643.5,643.5,643.5,1000,643500.0,EQBR
2002-05-23,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-24,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-27,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-28,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-29,640.1,640.1,640.1,640.1,62100,39750210.0,EQBR
2002-05-30,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-05-31,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-03,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-04,639.7,639.7,639.7,639.7,500,319850.0,EQBR
2002-06-05,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-06,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-07,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-10,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-11,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-13,659.4,659.4,659.4,659.4,62100,40948740.0,EQBR
2002-06-14,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-17,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-18,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-19,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-20,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-21,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-24,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-25,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-26,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-27,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-06-28,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-01,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-02,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-03,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-04,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-05,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-08,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-09,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-10,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-11,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-12,675.0,675.0,675.0,675.0,600,405000.0,EQBR
2002-07-15,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-16,674.0,674.0,674.0,674.0,600,404400.0,EQBR
2002-07-17,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-18,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-19,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-22,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-23,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-24,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-25,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-26,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-29,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-30,0.0,0.0,0.0,0.0,0,0.0,EQBR
2002-07-31,0.0,0.0,0.0,0.0,0,0.0,EQBR
