date,open,high,low,close,volume,value,board
2003-02-03,213,213,213,213.0,5000,1065000,EQNE
2003-02-04,213.05,213.05,213.05,213.05,5000,1065250,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,213.2,213.35,213.2,213.35,10000,2132750,EQNE
2003-02-07,213.56,213.56,213.56,213.56,5000,1067800,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2010-01-12,439.98,439.98,425,439.98,15,6524.81,EQNE
2010-01-13,425,439.98,425,439.98,2,864.98,EQNE
2010-01-15,430,439.88,430,439.88,7,3039.64,EQNE
2010-01-18,425.01,450,425.01,427.3,403,176936.47,EQNE
2010-01-19,450,482.3,427.03,449.99,2486,1129110.79,EQNE
2010-01-20,450,450,410,429.98,1103,475230.09,EQNE
2010-01-21,420,420.98,401,420.98,138,57179.53,EQNE
2010-01-22,406,419.98,402,419.98,122,50643.7,EQNE
2010-01-25,437.2,437.87,402,425.01,109,45919.8,EQNE
2010-01-26,433.98,433.98,402.01,402.01,85,34332.89,EQNE
2010-01-27,426.88,427.8,426.88,427.8,50,21366.67,EQNE
2010-01-28,422.99,429.9,410.85,410.85,24,10284.73,EQNE
2010-01-29,420,420,408.06,408.06,28,11748.06,EQNE
2010-02-01,428.77,428.77,428.77,428.77,5,2143.85,EQNE
2010-02-02,427.65,430,416.01,430.0,1154,495306.08,EQNE
2010-02-03,420,420,419,419.0,26,10904.99,EQNE
2010-02-04,429.99,429.99,412.12,414.51,9,3729.34,EQNE
2010-02-09,414.99,415,414.99,415.0,12,4979.94,EQNE
2010-02-10,414.5,415,414.5,415.0,19,7882.5,EQNE
2010-02-11,405.02,405.02,405.02,405.02,1,405.02,EQNE
2010-02-12,402.06,402.06,391.03,391.03,157,62234.24,EQNE
2010-02-15,377.12,377.12,371.12,371.12,2,748.24,EQNE
2010-02-16,399.98,406.89,385.77,395.77,6,2391.07,EQNE
2010-02-17,395.77,405.96,395.77,405.96,4,1593.27,EQNE
2010-02-18,414.94,414.94,414.94,414.94,4,1659.76,EQNE
2010-02-19,391.29,391.29,391.29,391.29,1,391.29,EQNE
2010-02-24,407.27,412.19,407.27,412.19,2,819.46,EQNE
2010-02-25,395,395,362,374.0,298,110501.93,EQNE
2010-02-26,379.98,394.87,379.98,394.87,11,4194.67,EQNE
2010-02-27,403.98,460,403.98,415.0,267,114862.11,EQNE
2010-03-01,411.57,411.57,410.55,410.55,7,2879.96,EQNE
2010-03-02,407.15,423.1,407.15,423.1,179,75493.79,EQNE
