date,open,high,low,close,volume,value,board
2004-12-16,105,107,105,107.0,4700,497100,EQNE
2004-12-17,110,110,110,110.0,1500,165000,EQNE
2004-12-20,114.49,115,114.49,115.0,2100,240949,EQNE
2004-12-21,123,130,120,124.9,1100,139787,EQNE
2004-12-22,127,150,124.9,150.0,2100,299791,EQNE
2004-12-23,137,137,120.51,120.51,2900,375293,EQNE
2004-12-24,120,120,120,120.0,100,12000,EQNE
2004-12-27,125,125,125,125.0,53500,6687500,EQNE
2004-12-28,124,124,124,124.0,100,12400,EQNE
2004-12-29,107,107,106.45,106.45,500,53280,EQNE
2004-12-30,106,106,106,106.0,100,10600,EQNE
2005-01-12,124.9,124.9,124,124.9,182,22641.8,EQNE
2005-01-13,139.99,139.99,120.01,129.81,30,3800.16,EQNE
2005-01-14,130.9,130.9,121.77,128.99,24,3042.66,EQNE
2005-01-17,127.99,127.99,107,120.0,103,11418.54,EQNE
2005-01-18,110,111,110,111.0,210,23300,EQNE
2005-01-19,117.06,117.06,117.06,117.06,7,819.42,EQNE
2005-01-20,117,117,117,117.0,80,9360,EQNE
2005-01-24,121.99,122,117,122.0,217,26448.95,EQNE
2005-01-25,117,117,117,117.0,1,117,EQNE
2005-01-26,106.21,107.01,106.21,107.01,10,1069.3,EQNE
2005-01-27,108.01,122,101.12,122.0,325,36424.98,EQNE
2005-01-28,118,118,118,118.0,1,118,EQNE
2005-01-31,108,108,106.01,106.01,169,17987.09,EQNE
2005-02-01,119,119,119,119.0,1,119,EQNE
2005-02-02,107,114.61,105.5,114.61,70,7502.59,EQNE
2005-02-03,112.5,112.5,112.5,112.5,1,112.5,EQNE
2005-02-04,112,112,107.01,107.01,632,68780.79,EQNE
2005-02-07,110,120,109.3,110.0,49,5437.05,EQNE
2005-02-08,110,113.9,108.5,110.0,694,76522.6,EQNE
2005-02-09,110.7,115,110.7,114.8,7,800.48,EQNE
2005-02-10,113,114,113,114.0,61,6894,EQNE
2005-02-11,112,115,112,115.0,31,3542,EQNE
2005-02-14,115,115,112,115.0,11,1256,EQNE
2005-02-15,115,119.88,115,119.8,13,1518.24,EQNE
2005-02-16,120,120.98,118,120.98,21,2490.98,EQNE
2005-02-17,119,120.9,118.98,120.0,3147,377369.9,EQNE
2005-02-18,118,129,115,127.0,1421,177173.25,EQNE
