date,open,high,low,close,volume,value,board
2013-02-15,58.15,58.15,51.23,55.0,6082550,334608786.3,EQLV
2013-02-18,55.0,56.6,54.18,56.02,2767350,152576101.0,EQLV
2013-02-19,56.54,56.6,55.95,56.0,1761630,98840767.4,EQLV
2013-02-20,56.3,56.5,54.98,55.4,1438600,79847643.3,EQLV
2013-02-21,55.18,55.39,54.41,54.7,519350,28486704.7,EQLV
2013-02-22,55.82,55.82,53.89,54.5,1234870,67005183.8,EQLV
2013-02-25,54.76,54.8,54.07,54.75,106000,5770195.9,EQLV
2013-02-26,54.57,54.74,52.57,54.4,1493030,80418474.5,EQLV
2013-02-27,54.25,54.25,53.4,54.2,2764760,149073506.8,EQLV
2013-02-28,54.74,54.74,53.5,53.89,361840,19467888.6,EQLV
2013-03-01,53.7,54.28,52.5,52.5,2356840,124197066.0,EQLV
2013-03-04,52.5,52.97,52.3,52.8,2048950,107795018.2,EQLV
2013-03-05,52.88,54.17,52.7,53.75,585420,31211872.4,EQLV
2013-03-06,53.3,54.2,53.3,53.8,1080540,58348046.3,EQLV
2013-03-07,53.49,54.2,53.43,53.99,573780,30929506.8,EQLV
2013-03-11,53.98,54.6,53.27,54.0,1553460,84094393.3,EQLV
2013-03-12,53.52,54.8,53.28,54.6,1707750,92978139.7,EQLV
2013-03-13,54.23,55.08,54.22,54.55,4383160,239936989.2,EQLV
2013-03-14,54.8,55.15,54.3,54.9,2690980,147516839.2,EQLV
2013-03-15,55.0,55.24,54.16,55.0,9059010,497956170.3,EQLV
2013-03-18,52.9,53.43,51.1,52.85,1143960,60579375.8,EQLV
2013-03-19,53.2,53.2,51.87,51.96,1408040,73301357.9,EQLV
2013-03-20,49.41,52.36,49.41,52.12,1013210,52696137.5,EQLV
2013-03-21,52.57,52.96,51.95,52.13,407400,21194226.3,EQLV
2013-03-22,52.3,52.3,51.5,51.94,456610,23726923.4,EQLV
2013-03-25,52.38,52.38,51.8,51.92,199820,10385067.6,EQLV
2013-03-26,51.55,52.0,50.3,51.49,338920,17399763.7,EQLV
2013-03-27,52.03,52.03,50.55,51.26,265600,13647823.1,EQLV
2013-03-28,51.0,51.0,48.8,48.87,628750,31204575.0,EQLV
2013-03-29,49.5,51.95,49.0,49.48,388660,19353189.6,EQLV
2013-04-01,50.18,50.18,49.16,49.63,79790,3972002.5,EQLV
2013-04-02,49.61,49.63,48.38,48.59,168380,8227632.0,EQLV
2013-04-03,48.52,48.52,47.89,48.23,133190,6415753.7,EQLV
