date,open,high,low,close,volume,value,board
2009-02-27,3,3,3,3.0,10000,30000,EQNE
2009-03-02,2.7,2.7,2.7,2.7,10000,27000,EQNE
2009-03-04,2.5,2.5,2.203,2.203,5400,13470.3,EQNE
2009-03-05,2.213,2.666,2.213,2.666,400,1021.1,EQNE
2009-03-06,2.67,2.67,2.67,2.67,100,267,EQNE
2009-03-12,2.3,2.3,2.3,2.3,2200,5060,EQNE
2009-03-13,2.51,2.51,2.51,2.51,100,251,EQNE
2009-03-20,3,3,3,3.0,100,300,EQNE
2009-03-23,2.301,2.301,2.003,2.003,2000,4228.7,EQNE
2009-03-24,2.03,2.03,2.03,2.03,1200,2436,EQNE
2009-03-25,2.55,2.55,2.55,2.55,1200,3060,EQNE
2009-03-27,2.033,2.488,2.033,2.488,1200,2485.1,EQNE
2009-04-01,2.63,2.644,2.033,2.555,5400,12720.4,EQNE
2009-04-02,2.6,2.6,2.6,2.6,100,260,EQNE
2009-04-06,2.5,2.5,2.5,2.5,300,750,EQNE
2009-04-07,2.444,2.444,2.133,2.133,2600,5950.1,EQNE
2009-04-09,2.2,2.2,2.2,2.2,100,220,EQNE
2009-04-10,2.488,2.49,2.05,2.1,5200,11866.4,EQNE
2009-04-13,2.1,2.1,2.1,2.1,2800,5880,EQNE
2009-04-15,2.12,2.326,2.12,2.326,1300,2817.8,EQNE
2009-04-16,2.111,2.29,2.11,2.29,3500,7403.2,EQNE
2009-04-17,2.11,2.277,2.1,2.277,8800,18546.7,EQNE
2009-04-20,2.15,2.15,2.15,2.15,1000,2150,EQNE
2009-04-22,2.27,2.3,2.07,2.07,1400,3052,EQNE
2009-04-23,2.22,2.22,2.22,2.22,5200,11544,EQNE
2009-04-24,2.27,2.3,2.27,2.3,1500,3443,EQNE
2009-05-04,2.4,2.4,2.075,2.4,5300,12555.5,EQNE
2009-05-05,2.32,2.4,2.32,2.4,1400,3320,EQNE
2009-05-06,2.37,2.397,2.37,2.397,1100,2633.5,EQNE
2009-05-07,2.39,2.39,2.39,2.39,1100,2629,EQNE
2009-05-08,2.39,2.39,2.39,2.39,1000,2390,EQNE
2009-05-12,2.39,2.4,2.13,2.39,8700,20562,EQNE
