date,open,high,low,close,volume,value,board
2008-07-07,0.44,0.44,0.4,0.4,1100,480,EQLI
2008-07-08,0.3702,0.3702,0.3701,0.3701,77600,28719.81,EQLI
2008-07-10,0.363,0.363,0.363,0.363,200,72.6,EQLI
2008-07-11,0.3651,0.3651,0.3651,0.3651,110000,40161,EQLI
2008-07-14,0.36,0.4,0.36,0.3651,12800,4685.83,EQLI
2008-07-15,0.3651,0.3651,0.3651,0.3651,230,83.98,SMAL
2008-07-16,0.3601,0.3601,0.3601,0.3601,10100,3637.01,EQLI
2008-07-17,0.3511,0.3511,0.35,0.35,10700,3745.75,EQLI
2008-07-22,0.3323,0.3323,0.3323,0.3323,43,14.29,SMAL
2008-07-23,0.355,0.355,0.355,0.355,2000,710,EQLI
2008-07-25,0.3355,0.34,0.3355,0.34,500100,167784,EQLI
2008-07-28,0.3323,0.3555,0.3323,0.34,5600,1892.42,EQLI
2008-07-29,0.3335,0.3335,0.3323,0.3323,7100,2362.93,EQLI
2008-07-30,0.3323,0.3323,0.3201,0.3201,159800,51164.18,EQLI
2008-08-04,0.3379,0.3379,0.3379,0.3379,100,33.79,EQLI
2008-08-07,0.3389,0.339,0.3387,0.3387,7500,2541.5,EQLI
2008-08-13,0.333,0.333,0.3323,0.3323,300,99.83,EQLI
