date,open,high,low,close,volume,value,board
2008-05-27,1.19,1.19,1.19,1.19,10000,11900,EQNE
2008-06-11,1.2,1.23,1.2,1.23,194200,236366,EQNE
2008-06-16,1.21,1.21,1.21,1.21,11100,13431,EQNE
2008-06-17,1.19,1.19,1.19,1.19,100,119,EQNE
2008-06-19,1.205,1.205,1.205,1.205,95500,115077.5,EQNE
2008-06-20,1.215,1.215,1.215,1.215,100,121.5,EQNE
2008-06-26,1.18,1.18,1.18,1.18,23500,27730,EQNE
2008-07-04,1.19,1.19,1.18,1.18,170700,202426,EQNE
2008-07-07,1.199,1.199,1.199,1.199,279600,335240.4,EQNE
2008-07-10,1.17,1.17,1.17,1.17,173100,202527,EQNE
2008-07-16,1.18,1.181,1.18,1.181,4191000,4947475.5,EQNE
2008-07-17,1.105,1.105,1.1,1.1,73100,80460,EQNE
2008-07-18,1.1,1.1,1.1,1.1,600,660,EQNE
2008-07-24,1.1,1.1,1.1,1.1,49700,54670,EQNE
2008-07-25,1.046,1.046,0.99,0.99,51800,51307.6,EQNE
2008-07-31,1.1,1.1,1.1,1.1,1000,1100,EQNE
2008-08-05,1.05,1.05,1.031,1.031,116200,121696.5,EQNE
2008-08-06,1.024,1.024,1.02,1.02,141400,144428,EQNE
2008-08-08,1.05,1.05,1.05,1.05,69000,72450,EQNE
