date,open,high,low,close,volume,value,board
2011-04-01,4.9,4.9,4.9,4.9,5000,24500.0,EQNL
2011-04-05,4.7,4.7,4.7,4.7,15000,70500.0,EQNL
2011-04-25,4.54,4.54,4.54,4.54,1000000,4540000.0,EQNL
2011-04-28,4.28,4.28,4.1,4.1,468000,1962760.0,EQNL
2011-05-05,4.02,4.02,4.02,4.02,1000000,4020000.0,EQNL
2011-05-23,4.2,4.2,4.2,4.2,1000,4200.0,EQNL
2011-06-03,3.8,3.8,3.8,3.8,100000,380000.0,EQNL
2011-06-09,3.855,3.883,3.76,3.878,31977000,122534926.0,EQBR
2011-06-10,3.767,3.88,3.767,3.848,27837000,107289615.0,EQBR
2011-06-14,3.953,3.953,3.856,3.94,44181000,172264264.0,EQBR
2011-06-15,3.949,4.065,3.875,3.989,50514000,200734982.0,EQBR
2011-06-16,3.9,3.98,3.89,3.963,23252000,91827175.0,EQBR
2011-06-17,3.957,3.967,3.832,3.909,47392000,184100542.0,EQBR
2011-06-20,3.878,3.891,3.822,3.877,20543000,79237970.0,EQBR
2011-06-21,3.884,3.905,3.841,3.851,11393000,44095187.0,EQBR
2011-06-22,3.851,3.876,3.756,3.786,26779000,101841744.0,EQBR
2011-06-23,3.755,3.768,3.562,3.635,53026000,194164067.0,EQBR
2011-06-24,3.652,3.695,3.587,3.6,45294000,164562414.0,EQBR
2011-06-27,3.585,3.617,3.57,3.589,25937000,93028587.0,EQBR
2011-06-28,3.6,3.706,3.596,3.677,36983000,134864212.0,EQBR
2011-06-29,3.676,3.749,3.675,3.717,26159000,97060168.0,EQBR
2011-06-30,3.738,3.745,3.655,3.66,24936000,91818846.0,EQBR
2011-07-01,3.7,3.84,3.625,3.801,43695000,161119118.0,EQBR
2011-07-04,3.804,3.855,3.78,3.843,24053000,92110080.0,EQBR
2011-07-05,3.823,4.13,3.797,4.078,121175000,483019549.0,EQBR
2011-07-06,4.08,4.12,3.976,4.0,102418000,410881387.0,EQBR
2011-07-07,4.038,4.144,4.02,4.125,55140000,226264575.0,EQBR
2011-07-08,4.15,4.186,4.013,4.04,33471000,136040931.0,EQBR
2011-07-11,4.009,4.037,3.916,3.927,40282000,160244088.0,EQBR
2011-07-12,3.9,3.904,3.784,3.81,102612000,393231696.0,EQBR
2011-07-13,3.857,3.862,3.715,3.792,69798000,263266179.0,EQBR
2011-07-14,3.761,3.83,3.732,3.747,67073000,252562651.0,EQBR
2011-07-15,3.734,3.744,3.686,3.711,45505000,168970377.0,EQBR
