date,open,high,low,close,volume,value,board
2008-06-05,0.4,0.4499,0.4,0.4499,52600,21064.95,EQNE
2008-06-06,0.495,0.495,0.4495,0.4495,7500,3394,EQNE
2008-06-07,0.45,0.45,0.45,0.45,44100,19845,EQNE
2008-06-09,0.53,0.53,0.53,0.53,100,53,EQNE
2008-06-10,0.4444,0.4444,0.4444,0.4444,5300,2355.32,EQNE
2008-06-11,0.445,0.449,0.44,0.449,15300,6736.3,EQNE
2008-06-16,0.4011,0.4509,0.4008,0.4507,54500,22918.39,EQNE
2008-06-17,0.4724,0.4744,0.4724,0.4744,1700,806.08,EQNE
2008-06-18,0.4525,0.4525,0.4101,0.4101,28100,11582.76,EQNE
2008-06-19,0.4623,0.4623,0.4623,0.4623,300,138.69,EQNE
2008-06-20,0.45,0.5,0.45,0.5,538900,249494.86,EQNE
2008-06-24,0.49,0.49,0.49,0.49,100,49,EQNE
2008-06-25,0.4699,0.47,0.4699,0.47,32000,15038.15,EQNE
2008-06-27,0.46,0.46,0.46,0.46,100,46,EQNE
2008-06-30,0.4,0.4,0.4,0.4,89,35.6,SMAL
2008-07-01,0.4204,0.4204,0.4204,0.4204,74100,31151.64,EQNE
2008-07-03,0.5253,0.5253,0.429,0.429,67800,29105.46,EQNE
2008-07-08,0.4012,0.4012,0.4,0.4,15900,6377.97,EQNE
2008-07-14,0.3998,0.3999,0.3998,0.3999,1000,399.88,EQNE
2008-07-15,0.3995,0.3995,0.3995,0.3995,100,39.95,EQNE
2008-07-21,0.45,0.45,0.45,0.45,35,15.75,SMAL
2008-08-19,0.45,0.45,0.45,0.45,3,1.35,SMAL
2008-08-20,0.3995,0.3995,0.3995,0.3995,2500,998.75,EQNE
