date,open,high,low,close,volume,value,board
2008-06-20,0.47,0.47,0.47,0.47,543500,255445,EQNE
2008-06-24,0.44,0.44,0.44,0.44,99500,43780,EQNE
2008-06-25,0.4401,0.4402,0.44,0.4402,157500,69301.25,EQNE
2008-07-02,0.4299,0.4299,0.4299,0.4299,47500,20420.25,EQNE
2008-07-03,0.43,0.43,0.42,0.42,56500,23735,EQNE
2008-07-07,0.4175,0.4175,0.4175,0.4175,100,41.75,EQNE
2008-07-08,0.4,0.4,0.4,0.4,2900,1160,EQNE
2008-07-09,0.3995,0.3995,0.3995,0.3995,55500,22172.25,EQNE
2008-07-21,0.3995,0.3995,0.3995,0.3995,500,199.75,EQNE
2008-07-31,0.3995,0.3995,0.3995,0.3995,18300,7310.85,EQNE
2008-08-05,0.3995,0.3995,0.3995,0.3995,800000,319600,EQNE
2008-08-07,0.399,0.3995,0.37,0.3995,1740400,681269.8,EQNE
2008-08-08,0.389,0.389,0.389,0.389,590400,229665.6,EQNE
2008-08-14,0.35,0.36,0.35,0.3535,5500,1942,EQNE
2008-08-15,0.3535,0.3535,0.3535,0.3535,200,70.7,EQNE
2008-08-18,0.3082,0.34,0.3082,0.3101,300200,102009.69,EQNE
2008-08-20,0.3399,0.3399,0.3399,0.3399,50000,16995,EQNE
2008-08-21,0.384,0.384,0.384,0.384,50000,19200,EQNE
2012-04-23,0.1319,0.1319,0.1269,0.1269,200000,25439.6,EQNL
2012-04-24,0.13194,0.13194,0.11999,0.12297,580000,72069.4,EQNL
2012-04-25,0.11041,0.11041,0.11041,0.11041,7354,811.96,SMAL
2012-04-26,0.11341,0.12,0.11341,0.11341,8044,954.54,SMAL
2012-04-27,0.115,0.12,0.1104,0.12,40216,4531.44,SMAL
2012-04-28,0.088,0.11041,0.088,0.11,544954,59944.48,SMAL
2012-05-02,0.12,0.12,0.12,0.12,1614,193.68,SMAL
2012-05-03,0.088,0.11111,0.088,0.11111,5307,584.88,SMAL
2012-05-04,0.1188,0.1188,0.11,0.1188,110000,12446.9,EQNL
2012-05-05,0.1229,0.1229,0.1229,0.1229,10000,1229,SMAL
2012-05-07,0.127,0.127,0.10142,0.11,608338,68917.93,SMAL
2012-05-08,0.12154,0.12154,0.10689,0.11139,490000,53281.7,EQNL
2012-05-10,0.10992,0.11122,0.10688,0.11122,250000,27134,EQNL
2012-05-11,0.10994,0.11114,0.1025,0.10443,930000,96891.8,EQNL
2012-05-12,0.1,0.1,0.1,0.1,1000,100,SMAL
2012-05-14,0.09605,0.099,0.0925,0.09444,4480000,424955.7,EQNL
2012-05-15,0.09414,0.09414,0.0853,0.09199,7920000,727054.8,EQNL
2012-05-16,0.08994,0.08994,0.08994,0.08994,1000,89.94,SMAL
2012-05-17,0.07324,0.07324,0.07324,0.07324,5243,384,SMAL
2012-05-18,0.09207,0.09207,0.07822,0.08195,700000,56799,EQNL
2012-05-21,0.07988,0.07988,0.07988,0.07988,96,7.67,SMAL
2012-05-22,0.07986,0.07986,0.07329,0.07329,2900,219.11,SMAL
2012-05-23,0.07411,0.0829,0.07411,0.07996,3180000,251213.5,EQNL
2012-05-24,0.08761,0.08761,0.075,0.079,2400000,183158.6,EQNL
2012-05-25,0.08936,0.08936,0.07603,0.0777,1020000,79663.8,EQNL
2012-05-28,0.07115,0.07115,0.07115,0.07115,100,7.12,SMAL
2012-05-29,0.08547,0.08547,0.076,0.07698,440000,33861.5,EQNL
2012-05-30,0.0841,0.0841,0.0741,0.0784,650000,49322.6,EQNL
2012-05-31,0.07899,0.07984,0.07501,0.07501,2080000,162595.2,EQNL
2012-06-01,0.07599,0.07599,0.072,0.07579,460000,33397.1,EQNL
2012-06-04,0.06112,0.06112,0.06111,0.06111,8300,507.22,SMAL
2012-06-05,0.07975,0.07975,0.07159,0.07932,180000,14131.3,EQNL
2012-06-06,0.0793,0.07986,0.07401,0.07899,2400000,184870.3,EQNL
