date,open,high,low,close,volume,value,board
2008-06-20,0.45,0.47,0.449,0.47,548700,251950.44,EQNE
2008-06-23,0.46,0.46,0.46,0.46,394300,181378,EQNE
2008-06-24,0.46,0.489,0.46,0.489,356900,166769.59,EQNE
2008-06-25,0.46,0.46,0.46,0.46,510200,234692,EQNE
2008-06-26,0.48,0.48,0.465,0.465,1371400,640304.66,EQNE
2008-06-27,0.465,0.465,0.4501,0.465,510500,237375,EQNE
2008-06-30,0.449,0.449,0.4312,0.4312,633200,283609.04,EQNE
2008-07-01,0.4312,0.4312,0.4302,0.4302,18100,7795.72,EQNE
2008-07-02,0.431,0.431,0.431,0.431,110000,47410,EQNE
2008-07-03,0.4301,0.4312,0.4001,0.43,237000,100263.41,EQNE
2008-07-04,0.4549,0.4549,0.4005,0.43,231800,95245.22,EQNE
2008-07-07,0.4201,0.43,0.4017,0.43,5700,2398.54,EQNE
2008-07-08,0.395,0.4279,0.39,0.4,400500,156900.32,EQNE
2008-07-09,0.415,0.415,0.3655,0.4143,4400,1618.03,EQNE
2008-07-10,0.39,0.4164,0.39,0.4164,1061600,417069.24,EQNE
2008-07-14,0.395,0.4,0.395,0.4,34000,13580,EQNE
2008-07-17,0.378,0.378,0.378,0.378,100000,37800,EQNE
2008-07-18,0.33,0.365,0.33,0.35,2369800,820962.52,EQNE
2008-07-23,0.36,0.3849,0.36,0.38,110500,40787.49,EQNE
2008-07-24,0.3701,0.3701,0.37,0.37,510000,188701,EQNE
2008-07-25,0.356,0.356,0.356,0.356,2400,854.4,EQNE
2008-07-28,0.36,0.36,0.345,0.356,1048200,364510.9,EQNE
2008-07-29,0.35,0.38,0.35,0.37,2813300,1010169.42,EQNE
2008-07-30,0.3631,0.367,0.363,0.367,298400,108394.07,EQNE
2008-07-31,0.37,0.37,0.368,0.368,748800,275582.2,EQNE
2008-08-01,0.368,0.368,0.368,0.368,1509000,555312,EQNE
2008-08-04,0.421,0.4392,0.421,0.4392,2000,873.38,EQNE
2008-08-05,0.4092,0.4092,0.4092,0.4092,100,40.92,EQNE
2008-08-07,0.3789,0.38,0.361,0.361,140800,53396.8,EQNE
2008-08-08,0.365,0.365,0.3626,0.3626,300000,109260,EQNE
2008-08-12,0.3306,0.35,0.3305,0.35,11100,3768.09,EQNE
2008-08-13,0.3798,0.3799,0.3503,0.3503,234500,87162.35,EQNE
2008-08-14,0.3797,0.47,0.3797,0.47,1679300,670540.62,EQNE
2008-08-15,0.4001,0.488,0.3635,0.488,356900,149061.2,EQNE
2008-08-18,0.3,0.3,0.3,0.3,53,15.9,SMAL
2008-08-19,0.38,0.38,0.38,0.38,356300,135394,EQNE
2008-08-20,0.39,0.39,0.378,0.378,418300,158131.4,EQNE
2008-08-21,0.375,0.375,0.375,0.375,199700,74887.5,EQNE
2008-08-25,0.3411,0.36,0.341,0.36,2800,970.13,EQNE
2008-08-26,0.34,0.38,0.34,0.3701,872600,325875.97,EQNE
2008-08-27,0.37,0.37,0.36,0.36,2001100,737406,EQNE
2008-08-28,0.3662,0.3662,0.3662,0.3662,114100,41783.42,EQNE
2008-08-29,0.3401,0.3755,0.34,0.3755,14000,4826.15,EQNE
2008-09-02,0.3503,0.365,0.3503,0.3601,50000,17773.91,EQNE
2008-09-04,0.3501,0.3503,0.35,0.35,106900,37415.56,EQNE
2008-09-05,0.3401,0.3401,0.33,0.33,13100,4353.61,EQNE
2008-09-08,0.33,0.35,0.33,0.35,5100,1745,EQNE
2008-09-09,0.3601,0.3601,0.36,0.36,117400,42264.09,EQNE
