date,open,high,low,close,volume,value,board
2008-06-18,0.4599,0.4599,0.451,0.4589,700,317.49,EQNE
2008-06-19,0.4,0.4477,0.4,0.4477,490800,197272.23,EQNE
2008-06-20,0.4101,0.46,0.4101,0.46,549700,242039.18,EQNE
2008-06-23,0.4402,0.46,0.4402,0.46,101400,46642.02,EQNE
2008-06-24,0.46,0.4753,0.46,0.4753,1684500,775176,EQNE
2008-06-25,0.4647,0.4899,0.4647,0.4702,4224300,2016191.28,EQNE
2008-06-26,0.48,0.48,0.4717,0.4717,600000,283850,EQNE
2008-06-27,0.455,0.455,0.455,0.455,476000,216580,EQNE
2008-06-30,0.455,0.455,0.445,0.445,798200,361520.5,EQNE
2008-07-01,0.445,0.4451,0.433,0.433,1619100,719045.34,EQNE
2008-07-02,0.449,0.449,0.4301,0.4302,169200,75967.03,EQNE
2008-07-03,0.43,0.435,0.43,0.435,8500000,3667500,EQNE
2008-07-04,0.4206,0.4499,0.406,0.4141,581900,244604.84,EQNE
2008-07-07,0.425,0.425,0.425,0.425,100,42.5,EQNE
2008-07-09,0.42,0.42,0.3901,0.395,1420500,594137.42,EQNE
2008-07-10,0.4,0.4,0.4,0.4,122700,49080,EQNE
2008-07-15,0.3601,0.3601,0.3558,0.3558,3300,1184.89,EQNE
2008-07-21,0.3402,0.3402,0.3401,0.3401,207500,70580.75,EQNE
2008-07-22,0.3251,0.345,0.3222,0.345,63900,20795.14,EQNE
2008-07-23,0.35,0.3998,0.35,0.39,91000,32966.98,EQNE
2008-07-24,0.3701,0.3701,0.37,0.37,10200,3775,EQNE
2008-07-28,0.33,0.4217,0.33,0.4217,1000,348.34,EQNE
2008-07-29,0.35,0.35,0.33,0.35,2887600,983124,EQNE
2008-07-30,0.38,0.4218,0.38,0.4218,200,80.18,EQNE
2008-07-31,0.3338,0.4197,0.3338,0.4197,5300,2198.62,EQNE
2008-08-04,0.334,0.351,0.334,0.351,10000,3425,EQNE
2008-08-05,0.3999,0.3999,0.359,0.36,1489300,547016.5,EQNE
2008-08-07,0.3309,0.37,0.33,0.37,3177900,1158463.35,EQNE
2008-08-08,0.38,0.38,0.3625,0.3625,1139000,416397.5,EQNE
2008-08-11,0.3301,0.39,0.3301,0.39,18000500,7020152.55,EQNE
2008-08-12,0.4229,0.423,0.38,0.38,17951000,6821422.91,EQNE
2008-08-14,0.38,0.4197,0.38,0.4197,33800,12847.97,EQNE
2008-08-15,0.3603,0.3603,0.3601,0.3601,18600,6698.66,EQNE
2008-08-18,0.3676,0.3676,0.3676,0.3676,200,73.52,EQNE
2008-08-19,0.37,0.38,0.37,0.38,120300,45694,EQNE
2008-08-20,0.378,0.378,0.378,0.378,200000,75600,EQNE
2008-08-21,0.375,0.375,0.375,0.375,5000,1875,EQNE
2008-08-22,0.377,0.377,0.377,0.377,192700,72647.9,EQNE
2008-08-25,0.3503,0.3503,0.3503,0.3503,30000,10509,EQNE
2008-08-26,0.375,0.375,0.37,0.372,144600,53576,EQNE
2008-08-27,0.37,0.37,0.365,0.365,520800,192446,EQNE
2008-08-28,0.39,0.3991,0.37,0.37,24600,9702,EQNE
2008-09-01,0.4,0.4,0.4,0.4,100,40,EQNE
2008-09-02,0.438,0.438,0.438,0.438,29500000,12921000,EQNE
2008-09-03,0.375,0.375,0.375,0.375,500,187.5,EQNE
2008-09-05,0.35,0.35,0.3405,0.3405,10300,3510,EQNE
2008-09-08,0.306,0.3999,0.306,0.3525,197000,61049.41,EQNE
2008-09-09,0.36,0.36,0.36,0.36,100000,36000,EQNE
2008-09-12,0.3499,0.3599,0.341,0.3598,735600,251665.63,EQNE
2008-09-15,0.3401,0.349,0.32,0.3388,9708500,3236637.61,EQNE
2008-09-16,0.3028,0.3298,0.2388,0.26,9860400,2778564.37,EQNE
2008-09-17,0.269,0.269,0.2,0.2,607900,123242.7,EQNE
2008-09-19,0.2501,0.3186,0.2053,0.3186,13676800,3491331.71,EQNE
2008-09-22,0.2699,0.33,0.2649,0.315,5589300,1552388.2,EQNE
2008-09-23,0.2702,0.3299,0.2702,0.3199,78600,21965.84,EQNE
2008-09-24,0.2801,0.3099,0.28,0.3099,542500,152146.18,EQNE
2008-09-25,0.285,0.285,0.27,0.27,95900,26456.65,EQNE
2008-09-26,0.275,0.275,0.255,0.275,2944900,795027.91,EQNE
2008-09-29,0.2501,0.274,0.24,0.24,2802200,690706.64,EQNE
2008-09-30,0.2588,0.2687,0.228,0.2687,4651400,1185906.75,EQNE
2008-10-01,0.2507,0.35,0.2505,0.3385,28665200,9507932.29,EQNE
2008-10-02,0.289,0.309,0.2701,0.285,10385500,3099801.03,EQNE
2008-10-03,0.28,0.36,0.26,0.36,65682300,19791607.24,EQNE
2008-10-06,0.29,0.3,0.2565,0.2565,5734000,1518951.52,EQNE
2008-10-07,0.2552,0.27,0.23,0.26,6482900,1660204.74,EQNE
2008-10-08,0.2263,0.2599,0.19,0.2593,456100,92510.37,EQNE
2008-10-09,0.245,0.2589,0.22,0.241,3298100,796347.52,EQNE
2008-10-13,0.2584,0.2584,0.2105,0.2411,3214400,793160.93,EQNE
2008-10-14,0.23,0.255,0.21,0.224,2960800,636298.69,EQNE
2008-10-15,0.229,0.229,0.19,0.195,1730100,344131.8,EQNE
2008-10-16,0.19,0.2,0.17,0.17,527500,94476.91,EQNE
2008-10-17,0.17,0.21,0.15,0.21,4966900,883468.09,EQNE
2008-10-20,0.1541,0.1848,0.1485,0.1525,18557000,2833848.93,EQNE
2008-10-21,0.1599,0.206,0.148,0.1525,104304300,15844797.06,EQNE
2008-10-22,0.15,0.15,0.135,0.1465,444400,63707.84,EQNE
2008-10-23,0.1302,0.1499,0.113,0.113,72478100,9657679.08,EQNE
2008-10-24,0.11,0.11,0.1,0.1001,793100,80336.77,EQNE
2008-10-28,0.1,0.1,0.0975,0.0985,1047100,102208.85,EQNE
2008-10-29,0.09,0.09,0.082,0.0855,70076600,6243804.96,EQNE
2008-10-30,0.11,0.11,0.086,0.0949,5530000,491559.53,EQNE
2008-10-31,0.0949,0.095,0.08,0.0849,7996000,706739.71,EQNE
2008-11-01,0.0849,0.0993,0.0849,0.0993,21300,2010.81,EQNE
2008-11-05,0.1,0.1149,0.0905,0.0909,372600,35015.76,EQNE
2008-11-06,0.0907,0.0907,0.0837,0.0854,2043400,174730.26,EQNE
2008-11-07,0.085,0.085,0.0801,0.085,907100,74926.05,EQNE
2008-11-10,0.0812,0.0938,0.0812,0.085,65532400,5706042.71,EQNE
2008-11-11,0.0826,0.085,0.0826,0.0849,3356400,283165.99,EQNE
2008-11-13,0.0933,0.0933,0.0845,0.089,6772700,603314.76,EQNE
2008-11-14,0.09,0.0999,0.0856,0.0857,11437300,1033179.63,EQNE
2008-11-17,0.09,0.092,0.0801,0.085,35663300,3202727.48,EQNE
2008-11-18,0.084,0.089,0.0815,0.082,2302200,190889.05,EQNE
2008-11-19,0.0889,0.1149,0.0802,0.09,48663800,4400759.87,EQNE
2008-11-20,0.085,0.085,0.0809,0.084,4195000,341137.46,EQNE
2008-11-21,0.083,0.083,0.0809,0.0809,778500,63002.65,EQNE
2008-11-24,0.09,0.09,0.0801,0.087,16990500,1382945.6,EQNE
2008-11-25,0.0812,0.0835,0.0786,0.081,9388300,754289.13,EQNE
2008-11-26,0.0812,0.0849,0.0789,0.079,22673500,1822346.39,EQNE
2008-11-27,0.0812,0.0886,0.077,0.078,20657300,1638801.87,EQNE
2008-11-28,0.0839,0.0839,0.0772,0.0799,199100,16064.45,EQNE
2008-12-01,0.0838,0.0839,0.076,0.0784,8079600,623471.48,EQNE
2008-12-02,0.0789,0.079,0.0757,0.0785,823500,63281.6,EQNE
2008-12-03,0.0784,0.0849,0.0784,0.0811,17054200,1365304.98,EQNE
2008-12-04,0.0811,0.0888,0.0806,0.0843,12532900,1032848.78,EQNE
2008-12-05,0.084,0.0845,0.0801,0.0815,15280500,1248079.41,EQNE
2008-12-08,0.0816,0.0899,0.079,0.0825,1027900,86823.35,EQNE
2008-12-09,0.0899,0.09,0.082,0.0823,5745300,472449.88,EQNE
2008-12-10,0.082,0.0828,0.0799,0.0799,5921400,483972.36,EQNE
2008-12-11,0.0801,0.0826,0.08,0.0826,67589700,5426713.41,EQNE
2008-12-12,0.0803,0.0876,0.0803,0.081,16178900,1350845.58,EQNE
2008-12-15,0.0829,0.083,0.0815,0.0821,14767300,1216207.34,EQNE
2008-12-16,0.082,0.0848,0.082,0.0839,4209600,350345.1,EQNE
2008-12-17,0.0858,0.0858,0.0826,0.0839,26380300,2209596.32,EQNE
2008-12-18,0.086,0.088,0.0839,0.0839,30884000,2625414.95,EQNE
2008-12-19,0.0634,0.086,0.0634,0.085,12079400,1035642.22,EQNE
2008-12-22,0.0896,0.0896,0.083,0.0845,10617300,898336.29,EQNE
2008-12-23,0.0889,0.0895,0.084,0.0845,16481100,1406160.63,EQNE
2008-12-24,0.086,0.0889,0.085,0.087,47898700,4162990.57,EQNE
2008-12-25,0.0875,0.088,0.085,0.086,17815800,1522347.6,EQNE
2008-12-26,0.0851,0.086,0.0851,0.0859,3184400,272412.8,EQNE
2008-12-29,0.085,0.088,0.084,0.085,60193100,5165334.99,EQNE
2008-12-30,0.0802,0.088,0.08,0.085,18773600,1624650.63,EQNE
2008-12-31,0.087,0.0871,0.086,0.086,6190700,538585.4,EQNE
2009-01-11,0.089,0.0894,0.0854,0.089,14500,1290.06,EQNE
2009-01-12,0.0625,0.0625,0.0625,0.0625,103,6.44,SMAL
2009-01-13,0.087,0.088,0.086,0.086,21216600,1852323.06,EQNL
2009-01-14,0.0606,0.0606,0.0606,0.0606,147,8.91,SMAL
2009-01-15,0.088,0.088,0.0794,0.0794,154,12.25,SMAL
2009-01-16,0.0778,0.0781,0.0778,0.0781,237,18.45,SMAL
2009-01-19,0.084,0.085,0.084,0.085,155,13.11,SMAL
2009-01-20,0.0764,0.0764,0.0764,0.0764,1,0.08,SMAL
2009-01-21,0.0834,0.0889,0.082,0.0854,6313500,528279.49,EQNL
2009-01-22,0.0899,0.0899,0.0825,0.0839,7500700,625166.06,EQNL
2009-01-23,0.072,0.072,0.059,0.059,101,6.59,SMAL
2009-01-26,0.079,0.08,0.0775,0.08,12337400,962631.63,EQNL
2009-01-27,0.07,0.07,0.07,0.07,53,3.71,SMAL
2009-01-28,0.0769,0.077,0.072,0.0754,7794800,576712.09,EQNL
2009-01-29,0.07,0.07,0.07,0.07,71,4.97,SMAL
2009-01-30,0.0722,0.0725,0.0711,0.0711,10116300,730497.52,EQNL
2009-02-02,0.05,0.05,0.05,0.05,53,2.65,SMAL
2009-02-03,0.0699,0.07,0.0699,0.07,15300,1070.44,EQNL
2009-02-04,0.0705,0.0705,0.0682,0.07,52200,3667.79,EQNL
2009-02-05,0.0492,0.0492,0.0492,0.0492,59,2.9,SMAL
2009-02-06,0.07,0.07,0.07,0.07,66,4.62,SMAL
2009-02-09,0.07,0.074,0.07,0.0718,28273300,2032094.71,EQNL
2009-02-10,0.0505,0.0505,0.0505,0.0505,47,2.38,SMAL
2009-02-11,0.0716,0.0716,0.0691,0.0711,2783500,194716.58,EQNL
2009-02-12,0.0492,0.0492,0.0492,0.0492,82,4.03,SMAL
2009-02-13,0.0715,0.072,0.0699,0.07,36320600,2573463.92,EQNL
2009-02-16,0.0717,0.073,0.07,0.0702,21262400,1514261.84,EQNL
2009-02-17,0.07,0.07,0.068,0.068,28361700,1967873.96,EQNL
2009-02-18,0.0676,0.0705,0.0676,0.0682,18744900,1308677.03,EQNL
2009-02-19,0.0479,0.0669,0.0479,0.0669,29,1.91,SMAL
2009-02-20,0.0714,0.0748,0.07,0.0722,10837300,789044.29,EQNL
2009-02-24,0.0749,0.0749,0.0724,0.0742,982700,72908.33,EQNL
2009-02-25,0.0521,0.0521,0.0521,0.0521,47,2.44,SMAL
2009-02-26,0.0749,0.0749,0.0735,0.0748,1500000,111562.19,EQNL
2009-02-27,0.0723,0.0747,0.0722,0.0747,211500,15522.21,EQNL
2009-03-02,0.0723,0.0723,0.0704,0.072,9056600,652018.54,EQNL
2009-03-03,0.0705,0.072,0.0704,0.072,7577900,545537.36,EQNL
2009-03-04,0.0728,0.075,0.0728,0.073,3215400,236913.43,EQNL
2009-03-05,0.075,0.075,0.072,0.075,10957900,815437.1,EQNL
2009-03-06,0.0741,0.0972,0.0741,0.08,103826200,9012362.58,EQNL
2009-03-10,0.081,0.081,0.0794,0.081,11071200,887826.76,EQNL
2009-03-11,0.0795,0.08,0.079,0.079,3879600,307062.3,EQNL
2009-03-12,0.0561,0.0561,0.0561,0.0561,96,5.38,SMAL
2009-03-13,0.0809,0.0809,0.0767,0.0788,13847500,1073291.57,EQNL
2009-03-16,0.0766,0.0785,0.0765,0.0785,146200,11296.1,EQNL
2009-03-17,0.0755,0.08,0.0755,0.08,96,7.33,SMAL
2009-03-18,0.0531,0.0531,0.0531,0.0531,21,1.12,SMAL
2009-03-19,0.0792,0.0792,0.076,0.077,4368200,337341.56,EQNL
2009-03-20,0.0768,0.077,0.0725,0.0755,888600,65488.1,EQNL
2009-03-23,0.0759,0.0779,0.071,0.0752,12879900,981557.21,EQNL
2009-03-24,0.0741,0.0741,0.074,0.074,2324,171.98,SMAL
2009-03-25,0.0526,0.0526,0.0526,0.0526,36,1.89,SMAL
2009-03-26,0.0767,0.0799,0.0741,0.0775,14028200,1067128.83,EQNL
2009-03-27,0.0551,0.0551,0.0551,0.0551,86,4.74,SMAL
2009-03-30,0.0779,0.0779,0.0772,0.0772,2207500,171522.75,EQNL
2009-03-31,0.0771,0.0795,0.0771,0.0776,9856100,769220.75,EQNL
2009-04-01,0.0772,0.0795,0.0772,0.0795,41983800,3320987.64,EQNL
2009-04-02,0.08,0.0886,0.08,0.0837,17265000,1441105.67,EQNL
2009-04-03,0.0816,0.0816,0.0816,0.0816,76,6.2,SMAL
2009-04-06,0.08,0.08,0.08,0.08,24,1.92,SMAL
2009-04-07,0.0851,0.0859,0.083,0.0838,6732700,563778.87,EQNL
2009-04-08,0.0823,0.0839,0.082,0.083,4958000,411749.8,EQNL
2009-04-09,0.0846,0.0869,0.083,0.0858,21853400,1854248.62,EQNL
2009-04-10,0.085,0.089,0.085,0.089,35625400,3136500.07,EQNL
2009-04-13,0.0634,0.0681,0.0634,0.0681,53,3.52,SMAL
2009-04-14,0.096,0.1179,0.096,0.1029,22846000,2336873.66,EQNL
2009-04-15,0.1038,0.1085,0.1,0.101,10645600,1088264.38,EQNL
2009-04-16,0.1,0.1054,0.1,0.1032,7942400,817320.15,EQNL
2009-04-17,0.11,0.11,0.11,0.11,24,2.64,SMAL
2009-04-20,0.077,0.097,0.077,0.097,182,14.99,SMAL
2009-04-21,0.0957,0.0957,0.0957,0.0957,55,5.26,SMAL
2009-04-22,0.0695,0.0695,0.0695,0.0695,95,6.6,SMAL
2009-04-23,0.07,0.07,0.07,0.07,1,0.07,SMAL
2009-04-24,0.098,0.098,0.098,0.098,25,2.45,SMAL
2009-04-27,0.0711,0.0711,0.0711,0.0711,43,3.06,SMAL
2009-04-28,0.0962,0.0975,0.096,0.0965,946000,90885.36,EQNL
2009-04-29,0.0984,0.099,0.0979,0.099,1293600,127606.22,EQNL
2009-04-30,0.1,0.101,0.1,0.1005,1240300,124894.04,EQNL
2009-05-04,0.1009,0.1009,0.0983,0.1007,1715500,172373.69,EQNL
2009-05-05,0.101,0.1029,0.098,0.1029,13052200,1307385.32,EQNL
2009-05-06,0.1,0.1049,0.0999,0.0999,216,22.41,SMAL
