date,open,high,low,close,volume,value,board
2008-05-23,0.2243,0.2243,0.2,0.2243,400,86.86,EQNE
2008-05-26,0.18,0.18,0.18,0.18,10000,1800,EQNE
2008-05-27,0.2,0.2,0.1672,0.17,289800,48967.25,EQNE
2008-05-28,0.17,0.1855,0.169,0.169,119100,20151.05,EQNE
2008-05-29,0.17,0.17,0.1699,0.17,1719400,292293.86,EQNE
2008-05-30,0.181,0.1854,0.167,0.1799,428500,71998.14,EQNE
2008-06-02,0.198,0.198,0.1658,0.1671,108800,18105.87,EQNE
2008-06-03,0.17,0.17,0.1675,0.1675,358000,60090,EQNE
2008-06-04,0.166,0.166,0.166,0.166,13900,2307.4,EQNE
2008-06-05,0.1699,0.199,0.165,0.1651,969700,177016.61,EQNE
2008-06-06,0.172,0.175,0.1699,0.175,11000,1873.2,EQNE
2008-06-07,0.166,0.166,0.166,0.166,1600,265.6,EQNE
2008-06-09,0.167,0.1953,0.167,0.1953,27300,4567.59,EQNE
2008-06-10,0.167,0.172,0.167,0.172,290700,49618.9,EQNE
2008-06-11,0.17,0.175,0.1658,0.175,669300,115073.62,EQNE
2008-06-16,0.17,0.17,0.17,0.17,9300,1581,EQNE
2008-06-17,0.17,0.17,0.17,0.17,242000,41140,EQNE
2008-06-18,0.1797,0.1797,0.1675,0.17,92900,16192.79,EQNE
2008-06-19,0.166,0.175,0.166,0.175,700400,121441.1,EQNE
2008-06-20,0.175,0.175,0.175,0.175,69,12.08,SMAL
2008-06-23,0.1725,0.1799,0.1707,0.1799,71600,12619.09,EQNE
2008-06-25,0.17,0.186,0.17,0.1849,62500,10670.25,EQNE
2008-06-26,0.1699,0.1699,0.1699,0.1699,87200,14815.28,EQNE
2008-06-27,0.1699,0.1789,0.1692,0.1692,24400,4129.52,EQNE
2008-06-30,0.1683,0.1683,0.1658,0.1658,193000,32363.9,EQNE
2008-07-01,0.167,0.167,0.166,0.166,13900,2317.4,EQNE
2008-07-04,0.1658,0.1658,0.1658,0.1658,10000,1658,EQNE
2008-07-22,0.1658,0.1658,0.1658,0.1658,500,82.9,EQNE
2008-07-23,0.1658,0.1658,0.1658,0.1658,100,16.58,EQNE
2008-07-25,0.1675,0.1675,0.1675,0.1675,200,33.5,EQNE
2008-07-29,0.166,0.166,0.166,0.166,69,11.45,SMAL
2008-08-12,0.1658,0.1658,0.1658,0.1658,1000,165.8,EQNE
2008-08-29,0.166,0.166,0.166,0.166,24,3.98,SMAL
2008-09-05,0.11,0.1438,0.1063,0.1197,53900,5852.34,EQNE
